conv:people_2019081901_108:aug_0:chat_0:chataug_0| gregory malcolm| [person:gregory m 0-0][person:malcolm m 1-1]
gerald| Hey Eddie I am so good What about you Why are you asking permission You can directly order me| [person:eddie m 1-1][person:gerald m 2-2][person:eddie m 8-8][person:eddie m 11-11][person:eddie m 14-14][person:gerald m 18-18]
gerald| I am ready to help you anything that you want from me| [person:gerald m 0-0][person:eddie m 5-5][person:eddie m 8-8][person:gerald m 11-11]
eddie| I am good and glad to hear your words I have some friends who are my class mates from my school| [person:eddie m 0-0][person:gerald m 7-7][person:eddie m 9-9][person:friends g() 12-12][person:eddie m 15-15][person:eddie m 19-19][location:school s 20-20]
eddie| We are all plan to go to a pub to grab a drink and we are visiting your working area So can you suggest some nice pubs for us| [person:we g(eddie:gerald) 0-0][location:pub s 8-8][person:we g(eddie:gerald) 14-14][person:gerald m 17-17][person:gerald m 22-22][location:pubs g() 26-26][person:us g(eddie:gerald) 28-28]
gerald| Who are your friends may I know them I know more than 3 pubs which are good| [person:eddie m 2-2][person:friends g() 3-3][person:gerald m 5-5][person:them g() 7-7][person:gerald m 8-8][location:pubs g() 13-13]
eddie| Yes of course they are Phil and Rodger Which are the pubs you recommend| [person:they g() 3-3][person:phil m 5-5][person:rodger m 7-7][location:pubs g() 11-11][person:gerald m 12-12]
gerald| What about the one that is near to my office which is my favorite place and I am always going there whenever I have free time| [person:gerald m 8-8][location:office s 9-9][person:gerald m 12-12][location:place s 14-14][person:gerald m 16-16][location:pubs g() 20-20][person:gerald m 22-22]
eddie| That is good I think Thanks Can you join us| [person:gerald m 3-3][person:gerald m 7-7][person:us g(eddie:gerald) 9-9]
gerald| Sorry I have some work Will meet next time Bye| [person:gerald m 1-1]

conv:people_2019081902_128:aug_0:chat_0:chataug_0| jacqueline stephen| [person:jacqueline f 0-0][person:stephen m 1-1]
stephen| Hi Jac Are you free now| [person:jacqueline f 3-3]
jacqueline| Yes Stephen I am free now Anything important| [person:stephen m 1-1][person:jacqueline f 2-2]
stephen| Do you forget Jac Tomorrow we are planning to go to Cinema| [person:jacqueline f 1-1][person:we g(stephen:jacqueline) 5-5]
jacqueline| Yes I remember it Myself with our friends Beverly Derrick Amy and Tyler are eager to go to cinema tomorrow| [person:jacqueline f 1-1][person:jacqueline f 4-4][person:we g(stephen:jacqueline) 6-6][person:beverly f 8-8][person:derrick m 9-9][person:amy f 10-10][person:tyler m 12-12]
stephen| That is nice Do you know the genre of the movie| [person:jacqueline f 4-4]
jacqueline| No idea Stephen Do you know it| [person:stephen m 2-2][person:stephen m 4-4]
stephen| It is a suspense thriller story Jac Our friends especially Amy and Tyler are very much interested in that genre| [person:we g(stephen:jacqueline) 7-7][person:friends g(beverly:derrick:amy:tyler) 8-8][person:amy f 10-10][person:tyler m 12-12]
jacqueline| Oh Good Me too very much interested in that genre| [person:jacqueline f 2-2]
stephen| Is it Good Shall we discuss the things to be purchased to make our move night a fantastic one| [person:we g(stephen:jacqueline) 4-4][person:we g(stephen:jacqueline) 13-13]
jacqueline| Oh Sure What shall we purchase| [person:we g(stephen:jacqueline) 4-4]
stephen| Let us purchase 10 packets of potato chips and cock What is your opinion| [person:we g(stephen:jacqueline) 1-1][person:jacqueline f 12-12]
jacqueline| It is a good idea Let us purchase some more cookies to eat| [person:we g(stephen:jacqueline) 6-6]
stephen| It is good too Let me purchase all these things We will meet tomorrow Bye dear| [person:stephen m 5-5][person:we g(stephen:jacqueline) 10-10]
jacqueline| Bye|

conv:people_2019081902_129:aug_0:chat_0:chataug_0| dennis richard| [person:dennis m 0-0][person:richard m 1-1]
dennis| So who should we invite to movie night| [person:we g(dennis:richard) 3-3]
richard| I think we should only invite Jonathan Timothy and Sean| [person:richard m 0-0][person:we g(dennis:richard) 2-2][person:jonathan m 6-6][person:timothy m 7-7][person:sean m 9-9]
dennis| Why don t you want to invite Dave Any particular reason| [person:richard m 3-3][person:dave m 7-7]
richard| No we just don t talk or hangout much at all| [person:we g(dennis:richard) 1-1]
dennis| We should invite him then you can get to know each other better| [person:we g(dennis:richard) 0-0][person:dave m 3-3][person:richard m 5-5]
richard| I guess that makes sense That s fine with me| [person:richard m 0-0][person:richard m 9-9]
dennis| Now where should we go watch the movie| [person:we g(dennis:richard) 3-3]
richard| Timothy Sean and Dave all live in Ocean Beach Let s meet there| [person:timothy m 0-0][person:sean m 1-1][person:dave m 3-3][location:beach s 8-8][location:beach s 12-12]
dennis| Yeah that would make the most sense Let s watch a horror movie|
richard| Sounds great We ll talk more later Have a good day| [person:we g(dennis:richard) 2-2]

conv:people_2019081902_130:aug_0:chat_0:chataug_0| gloria shirley| [person:gloria f 0-0][person:shirley f 1-1]
gloria| Hey Shirley The 4th of July is coming up Where do you want to hit this year| [person:shirley f 1-1][person:shirley f 11-11]
shirley| Hi Gloria I don t know We ve been everywhere Maybe Kate has an idea| [person:gloria f 1-1][person:shirley f 2-2][person:we g(gloria:shirley) 6-6][person:kate f 11-11]
gloria| Well if we invite Kate we have to also invite Dorothy or else there will be trouble for us| [person:we g(gloria:shirley) 2-2][person:kate f 4-4][person:we g(gloria:shirley) 5-5][person:dorothy f 10-10][person:we g(gloria:shirley) 18-18]
shirley| Tru Dat Girlfriend But if we invite Dorothy we have to invite Denise or else there will be trouble for Kate| [person:dorothy f 2-2][person:we g(gloria:shirley) 5-5][person:dorothy f 7-7][person:we g(gloria:shirley) 8-8][person:denise f 12-12][person:kate f 20-20]
gloria| LOL I forgot The two D s can t be separated They go together like Dungeons and Dragons| [person:gloria f 1-1][person:they g(dorothy:denise) 11-11]
shirley| LOL You re too funny Anyway the more the merrier Now where should we go| [person:gloria f 1-1][person:we g(gloria:shirley) 13-13]
gloria| Well Denise and Dorothy like the sun Kate has a place in California that would save us some money| [person:denise f 1-1][person:dorothy f 3-3][person:kate f 7-7][location:place s 10-10][location:california s 12-12][person:we g(gloria:shirley) 16-16]
shirley| That sounds good Can you ask her if we can all crash at her pad| [person:gloria f 4-4][person:kate f 6-6][person:we g(gloria:shirley) 8-8][person:kate f 13-13]
gloria| I ll ask her This way all we need are tickets and bikinis You ask Denise and Dorothy if this works for them| [person:gloria f 0-0][person:kate f 3-3][person:we g(gloria:shirley) 7-7][person:shirley f 13-13][person:denise f 15-15][person:dorothy f 17-17][person:they g(dorothy:denise) 22-22]
shirley| Will do Sounds like a plan Gloria I can t wait for the 4th| [person:gloria f 6-6][person:shirley f 7-7]

conv:people_2019081902_131:aug_0:chat_0:chataug_0| kate pam| [person:kate f 0-0][person:pam f 1-1]
pam| Hi Kate I think I will be heading over to Boston this weekend for a short holiday| [person:kate f 1-1][person:pam f 2-2][person:pam f 4-4][location:boston s 10-10]
pam| I think Chloe Matt and Adam stays in that area too do you want to meet up together| [person:pam f 0-0][person:chloe f 2-2][person:matt m 3-3][person:adam m 5-5][person:kate f 12-12]
kate| Sure That would be great it s been a while since we all met| [person:we g(pam:kate:chloe:matt:adam) 11-11]
pam| Do you know where Chloe Matt and Adam live Would like to find a meeting place convenient for all| [person:kate f 1-1][person:chloe f 4-4][person:matt m 5-5][person:adam m 7-7][location:place s 15-15]
kate| I believe Chloe and Adam lives down south and Matt lives in the Central area| [person:kate f 0-0][person:chloe f 2-2][person:adam m 4-4][person:matt m 9-9][location:central_area s 13-14]
kate| Although I recall Matt has told me once that he does not like to drive to far so let s meet somewhere near him| [person:kate f 1-1][person:matt m 3-3][person:kate f 6-6][person:matt m 9-9][person:matt m 23-23]
pam| I see How about the Boston Central area then It s a short drive from Matt s house| [person:pam f 0-0][location:boston s 5-5][location:central_area s 6-7][person:matt m 15-15][location:house s 17-17]
kate| That would be great Can t wait to meet you guys| [person:pam f 9-9]
pam| Sure I will see you guys there this weekend then| [person:pam f 1-1][person:kate f 4-4][location:central_area s 6-6]
kate| Yes see you Will inform them about the meeting right now| [person:pam f 2-2][person:we g(pam:kate:chloe:matt:adam) 5-5]

conv:people_2019081902_132:aug_0:chat_0:chataug_0| christian randy| [person:christian m 0-0][person:randy m 1-1]
christian| Hey Randy Are you ready to go the Smith s place for breakfast| [person:randy m 1-1][person:randy m 3-3][person:smith g() 8-8][location:place s 10-10]
randy| Damn that was today I completely forgot I am free i m sure i can make it| [person:randy m 4-4][person:randy m 7-7][person:randy m 10-10][person:randy m 13-13]
christian| That s typical you I was wondering what we should get them Do you have any ideas| [person:randy m 3-3][person:christian m 4-4][person:we g(christian:randy) 8-8][person:them g(smith) 11-11][person:randy m 13-13]
randy| Lets just go empty handed it s just breakfast|
christian| I don t think that s nice man I was thinking croissants will do the trick What do you say| [person:christian m 0-0][person:christian m 8-8][person:randy m 18-18]
randy| So you will bring them a breakfast item while they are hosting us for breakfast That should go well| [person:christian m 1-1][person:them g(smith) 4-4][person:them g(smith) 9-9][person:we g(christian:randy) 12-12]
christian| Stop mocking me and help I wish Chris were there he d know what to get them He does spend a lot of time with them Could you ask him| [person:christian m 2-2][person:christian m 5-5][person:chris m 7-7][person:chris m 10-10][person:them g(smith) 16-16][person:chris m 17-17][person:randy m 27-27][person:chris m 29-29]
randy| Sound like a great idea I will try to get in touch with him| [person:randy m 5-5][person:chris m 13-13]
christian| Could you just buy what he suggests i will reimburse you later One last thing don t be late| [person:randy m 1-1][person:chris m 5-5][person:christian m 7-7][person:randy m 10-10]
randy| Yeah no problem I can do that He said to bring them mangoes apparently Mrs Smith loves them There s a shop nearby i will just buy some and head right over| [person:randy m 3-3][person:chris m 7-7][person:them g(smith) 11-11][person:smith f 15-15][person:them g(smith) 17-17][location:shop s 21-21][person:randy m 23-23]

conv:people_2019081902_133:aug_0:chat_0:chataug_0| kathryn melinda| [person:kathryn f 0-0][person:melinda f 1-1]
melinda| I will be in Seatlle tomorrow and need to meet all friends| [person:melinda f 0-0][person:friends g() 11-11]
kathryn| I think we have to pick some place near to Dwayne s place| [person:kathryn f 0-0][person:we g(melinda:kathryn) 2-2][location:place s 7-7][person:dwayne m 10-10][location:place s 12-12]
melinda| Why you selected such place| [person:kathryn f 1-1][location:place s 4-4]
kathryn| For the simple reason that Dwayne does not like to travel far| [person:dwayne m 5-5]
melinda| okay no problem if other s are okay|
kathryn| Everybody will be fine with this place| [person:everybody g() 0-0][location:place s 6-6]
melinda| So i will be there tomorrow morning and expect you to meet me first| [person:melinda f 1-1][location:there u 4-4][person:kathryn f 9-9][person:melinda f 12-12]
kathryn| Yes i will be right there for you| [person:kathryn f 1-1][location:there u 5-5][person:melinda f 7-7]
melinda| I am very excited for tomorrow s meeting| [person:melinda f 0-0]
kathryn| Yes so see you in the morning tomorrow bye| [person:melinda f 3-3]

conv:people_2019081902_134:aug_0:chat_0:chataug_0| benjamin bob| [person:benjamin m 0-0][person:bob m 1-1]
benjamin| Hey Bob do you want to go to breakfast this Sunday| [person:bob m 1-1][person:bob m 3-3]
bob| Yeah that would be great Actually do you remember Samantha and Pete from school| [person:benjamin m 7-7][person:samantha f 9-9][person:pete m 11-11][location:school s 13-13]
benjamin| Yeah they re going to be in town right| [person:they g(samantha:pete) 1-1][location:town s 7-7]
bob| Yeah I was thinking we can go with them They told me they re free Sunday morning| [person:bob m 1-1][person:we g(benjamin:bob) 4-4][person:them g(samantha:pete) 8-8][person:they g(samantha:pete) 9-9][person:bob m 11-11][person:they g(samantha:pete) 12-12]
benjamin| Yeah that would be cool Do you think they d like the diner or the cafe| [person:bob m 6-6][person:they g(samantha:pete) 8-8][location:cafe s 15-15]
bob| I think they d like the cafe They both really like pastries| [person:bob m 0-0][person:they g(samantha:pete) 2-2][location:cafe s 6-6][person:they g(samantha:pete) 7-7]
benjamin| Okay let s go to the cafe for breakfast They have great pastries| [location:cafe s 6-6]
bob| Yeah their coffee is also really good I think Samantha and Pete would really like it| [person:bob m 7-7][person:samantha f 9-9][person:pete m 11-11]
benjamin| Do you know the number of the cafe I don t have it can you make a reservation| [person:bob m 1-1][location:cafe s 7-7][person:benjamin m 8-8][person:bob m 14-14]
bob| Yeah I can make the reservation I ll make it for 9 Let s all meet up there| [person:bob m 1-1][person:bob m 6-6][location:cafe s 17-17]
benjamin| Okay see you there| [person:bob m 2-2][location:cafe s 3-3]

conv:people_2019081902_138:aug_0:chat_0:chataug_0| andrea cynthia| [person:andrea f 0-0][person:cynthia f 1-1]
cynthia| Hi Andrea I need a favor| [person:andrea f 1-1][person:cynthia f 2-2]
andrea| Hi Cynthia Anything for you| [person:cynthia f 1-1][person:cynthia f 4-4]
cynthia| Actually my uncle Howard and aunt Melissa are visiting New York Can you show them around| [person:cynthia f 1-1][person:howard m 3-3][person:aunt f 5-5][person:melissa f 6-6][location:new_york s 9-10][person:andrea f 12-12][person:them g(howard:melissa) 14-14]
cynthia| As you live there I thought You can help| [person:andrea f 1-1][location:new_york s 3-3][person:cynthia f 4-4][person:andrea f 6-6]
andrea| What would they like to visit| [person:them g(howard:melissa) 2-2]
cynthia| What do you suggest| [person:andrea f 2-2]
andrea| I have some places in mind You send them And I will take care of them| [person:andrea f 0-0][location:places g() 3-3][person:cynthia f 6-6][person:them g(howard:melissa) 8-8][person:andrea f 10-10][person:them g(howard:melissa) 15-15]
cynthia| Okay That is why yoou are my best friend| [person:cynthia f 6-6][person:andrea f 8-8]
andrea| Hahaha Anything for you bro| [person:cynthia f 3-3]
cynthia| I will not forget this| [person:cynthia f 0-0]
andrea| I know| [person:andrea f 0-0]
cynthia| See You Andrea Bye| [person:andrea f 1-1][person:andrea f 2-2]
andrea| Bye Cybthia|

conv:people_2019081902_140:aug_0:chat_0:chataug_0| jack lara| [person:jack m 0-0][person:lara f 1-1]
jack| Hey Lara I was just talking to Steven over the phone| [person:lara f 1-1][person:jack m 2-2][person:steven m 7-7]
lara| That s funny I was just texting with Jane| [person:lara f 3-3][person:jane f 8-8]
jack| We haven t seen them since they moved out west| [person:we g(jack:lara) 0-0][person:them g(steven:jane) 4-4][person:they g(steven:jane) 6-6][location:west s 9-9]
lara| We should really go visit them I was thinking about the fall| [person:we g(jack:lara) 0-0][person:them g(steven:jane) 5-5][person:lara f 6-6]
jack| Maybe we should go in the winter It ll be cold here but definitely warmer there| [person:we g(jack:lara) 1-1][location:here s 11-11][location:west s 15-15]
lara| That sounds like a good idea A warmer winter would be fun|
jack| Yeah we can also bring them holiday gifts from here They probably miss some things| [person:we g(jack:lara) 1-1][person:them g(steven:jane) 5-5][location:here s 9-9][person:they g(steven:jane) 10-10]
lara| Yeah Jane was telling me how much she misses those candies from her favorite shop| [person:jane f 1-1][person:lara f 4-4][person:jane f 7-7][person:jane f 12-12]
jack| And Steven says he d love some things from around town| [person:steven m 1-1][person:steven m 3-3][location:town s 10-10]
lara| Let s finalize plans to visit them later tonight I m really excited| [person:them g(steven:jane) 6-6][person:lara f 9-9]
jack| Me too See you later| [person:jack m 0-0][person:lara f 3-3]

conv:people_2019081902_141:aug_0:chat_0:chataug_0| amanda kim| [person:amanda f 0-0][person:kim f 1-1]
kim| Hey what s up|
amanda| Looking forward to poker tonight|
kim| Where are we meeting| [person:we g(kim:amanda) 2-2]
amanda| Not sure My house will work| [person:amanda f 2-2][location:house s 3-3]
kim| That s a bit far for Pamela and Elizabeth to drive| [person:pamela f 6-6][person:elizabeth f 8-8]
amanda| Do you have any ideas| [person:kim f 1-1]
kim| I guess my house is close for everyone| [person:kim f 0-0][person:kim f 2-2][location:house s 3-3][person:everyone g(kim:amanda:pamela:elizabeth) 7-7]
amanda| Should I bring food or drinks| [person:amanda f 1-1]
kim| Don t forget Elizabeth is a vegetarian| [person:elizabeth f 3-3]
amanda| I could work with that| [person:amanda f 0-0]
kim| Pam is lactose intolerant| [person:pamela f 0-0]
amanda| I could do a veggie tray with dip| [person:amanda f 0-0]
kim| I could bring some chips salsa and guacomole| [person:kim f 0-0]
amanda| Getting hungry just thinking about it|
kim| Thinking we will do a Mexican dinner where we can each make our own burritos and tacos| [person:everyone g(kim:amanda:pamela:elizabeth) 1-1][person:everyone g(kim:amanda:pamela:elizabeth) 8-8][person:everyone g(kim:amanda:pamela:elizabeth) 12-12]
amanda| I will bring corn chips salsa guacamole and some topping like lettuce tomato and onion| [person:amanda f 0-0]
kim| Great I will double check with Elizabeth and Pam and get back to you in about 30 minutes| [person:kim f 1-1][person:elizabeth f 6-6][person:pamela f 8-8][person:amanda f 13-13]
amanda| Talk to you later| [person:kim f 2-2]

conv:people_2019081902_142:aug_0:chat_0:chataug_0| joan lucy| [person:joan f 0-0][person:lucy f 1-1]
joan| Hi Lucy how are you| [person:lucy f 1-1][person:lucy f 4-4]
lucy| Hi Joan I m fine thanks And you| [person:joan f 1-1][person:lucy f 2-2][person:joan f 7-7]
joan| I m fine I would like to invite you for lunch on Tuesday| [person:joan f 0-0][person:joan f 3-3][person:lucy f 8-8]
joan| I have also decided to invite Debra Sandra and Doris What do you say| [person:joan f 0-0][person:debra f 6-6][person:sandra f 7-7][person:doris f 9-9][person:lucy f 12-12]
lucy| I m very happy I ll be there| [person:lucy f 0-0][person:lucy f 4-4]
joan| Perfect Can you give me some suggestions What are our friends favorite foods| [person:lucy f 2-2][person:joan f 4-4][person:our g(joan:lucy) 9-9][person:friends g(debra:sandra:doris) 10-10]
lucy| Well I know that Debra and Doris love diner| [person:lucy f 1-1][person:debra f 4-4][person:doris f 6-6]
lucy| Instead Sandra really likes Italian food| [person:sandra f 1-1]
joan| I see I would like to please everyone| [person:joan f 0-0][person:joan f 2-2][person:everyone g(joan:lucy:debra:sandra:doris) 7-7]
lucy| No problem I know a place where many Italian dishes are served| [person:lucy f 2-2]
joan| Fantastic Then we book there Thank you see you soon| [person:our g(joan:lucy) 2-2][person:lucy f 6-6][person:lucy f 8-8]

conv:people_2019081902_143:aug_0:chat_0:chataug_0| cynthia lara| [person:cynthia f 0-0][person:lara f 1-1]
cynthia| Hi Lara are you free right now| [person:lara f 1-1][person:lara f 3-3]
lara| I don t think so why did you ask| [person:lara f 0-0][person:cynthia f 7-7]
cynthia| My friend Marilyn is going to visit me today but I am currently busy so am unable to fetch her| [person:cynthia f 0-0][person:friend f 1-1][person:marilyn f 2-2][person:cynthia f 7-7][person:cynthia f 10-10][person:marilyn f 19-19]
cynthia| I wanted to check if you would be free to help me pick her up from the play school| [person:cynthia f 0-0][person:lara f 5-5][person:cynthia f 11-11][person:marilyn f 13-13][location:school s 18-18]
lara| Sorry I don t think I can help you now as I am going to meet Albert soon| [person:lara f 1-1][person:lara f 5-5][person:cynthia f 8-8][person:lara f 11-11][person:albert m 16-16]
cynthia| Do you think it would be possible for you to reschedule your meeting with Albert| [person:lara f 1-1][person:lara f 8-8][person:lara f 11-11][person:albert m 14-14]
lara| That would be quite troublesome for me and I wouldn t want to inconvenience Albert| [person:lara f 6-6][person:lara f 8-8][person:albert m 14-14]
cynthia| Just help me this once please I owe you a favor this is important to me| [person:cynthia f 2-2][person:cynthia f 6-6][person:lara f 8-8][person:cynthia f 15-15]
lara| Fine you owe me this time I will pick up Marilyn from the play school then| [person:cynthia f 1-1][person:lara f 3-3][person:lara f 6-6][person:marilyn f 10-10][location:school s 14-14]
cynthia| Oh my thank you so much I really appreciate your help| [person:cynthia f 1-1][person:lara f 3-3][person:cynthia f 6-6][person:lara f 9-9]
lara| No worries be glad to help you| [person:cynthia f 6-6]

conv:people_2019081902_144:aug_0:chat_0:chataug_0| betty jill| [person:betty f 0-0][person:jill f 1-1]
betty| Hey Jill do you remember my friend Lori| [person:jill f 1-1][person:jill f 3-3][person:betty f 5-5][person:lori f 6-6][person:lori f 7-7]
jill| Yes I remember her from the party two weeks ago| [person:jill f 1-1][person:lori f 3-3]
betty| Could you do me a huge favor Would you mind picking her up from the mall| [person:jill f 1-1][person:betty f 3-3][person:jill f 8-8][person:lori f 11-11][location:mall s 15-15]
jill| I would but I have a meeting with Gerald today I m so sorry| [person:jill f 0-0][person:jill f 3-3][person:gerald m 8-8][person:jill f 10-10]
betty| When s your meeting with Gerald Is there any way you can reschedule| [person:jill f 2-2][person:gerald m 5-5][person:jill f 10-10]
jill| I talked to Gerald and was able to reschedule for tomorrow What time does Lori need a ride| [person:jill f 0-0][person:gerald m 3-3][person:lori f 14-14]
betty| Actually it s okay Catherine said she d pick her up Thanks for trying| [person:catherine f 4-4][person:lori f 6-6][person:lori f 9-9]
jill| Are you serious I had to reschedule my meeting with Gerald| [person:betty f 1-1][person:jill f 3-3][person:jill f 7-7][person:gerald m 10-10]
betty| I m so sorry Catherine volunteered at this last minute Plus Catherine and Lori are actually good friends| [person:betty f 0-0][person:catherine f 4-4][person:catherine f 11-11][person:lori f 13-13][person:friends g(lori:catherine) 17-17]
jill| It s fine Don t worry about it I ll just leave work early Let me know if you want to get dinner later| [person:jill f 8-8][person:jill f 15-15][person:betty f 18-18]

conv:people_2019081902_145:aug_0:chat_0:chataug_0| christopher howard| [person:christopher m 0-0][person:howard m 1-1]
christopher| Hey man are you ready for brunch at the Wilboroughs today| [person:howard m 3-3]
howard| Yeah I was just wondering what to bring them any suggestions| [person:howard m 1-1][person:them g() 8-8]
christopher| You know I suck at such decisions Please decide something or i may just end up bringing a biscuit or something| [person:howard m 0-0][person:christopher m 2-2][person:christopher m 11-11]
howard| I don t know the Wilboroghs well enough to come to a conclusion Do you know someone who knows them well| [person:howard m 0-0][person:them g() 5-5][person:christopher m 14-14][person:someone u 16-16][person:them g() 19-19]
christopher| Robert used to hang out with them he may know what they like| [person:robert m 0-0][person:them g() 6-6][person:robert m 7-7][person:them g() 11-11]
howard| Oh yeah I totally forgot about him I will ask him right now| [person:howard m 2-2][person:robert m 6-6][person:howard m 7-7][person:robert m 10-10]
christopher| Cool tell me when you have spoken to him| [person:christopher m 2-2][person:howard m 4-4][person:robert m 8-8]
howard| He says they like good wine It maybe expensive| [person:robert m 0-0][person:them g() 2-2]
christopher| Oh don t worry about that At least now we know what we should bring I will get it just be there alright| [person:we g(christopher:howard) 9-9][person:we g(christopher:howard) 12-12][person:christopher m 15-15]
howard| Great man you are a lifesaver I m really excited about the brunch See you soon| [person:christopher m 2-2][person:howard m 6-6][person:christopher m 14-14]

conv:people_2019081902_146:aug_0:chat_0:chataug_0| david monica| [person:david m 0-0][person:monica f 1-1]
david| Hey are you busy right now I am running late from work| [person:monica f 2-2][person:david m 6-6]
monica| Oh you are running late Will you be able to pick up Ruth from the train station| [person:david m 1-1][person:david m 6-6][person:ruth f 12-12][location:train_station s 15-16]
david| I am concerned I won t get there in time I don t want her to wait Can you pick her up| [person:david m 0-0][person:david m 3-3][location:train_station s 7-7][person:david m 10-10][person:ruth f 14-14][person:monica f 18-18][person:ruth f 20-20]
monica| Yes I will go pick her up I was supposed to buy the popcorn chips and soda for the movie with Beverly and her family Can you pick those up| [person:monica f 1-1][person:ruth f 5-5][person:monica f 7-7][person:beverly f 21-21][person:ruth f 23-23][person:family g() 24-24][person:david m 26-26]
david| Yeah I can pick those up no problem What kind should I get| [person:david m 1-1][person:david m 11-11]
monica| I think they like root beer and regular popcorn But I forgot what kind of chips they tend to eat| [person:monica f 0-0][person:they g(ruth:beverly) 2-2][person:monica f 10-10][person:they g(ruth:beverly) 16-16]
david| Let me try to remember| [person:david m 1-1]
david| OK I think it was sour cream chips| [person:david m 1-1]
monica| Yeah That s the type of chips they often have| [person:they g(ruth:beverly) 7-7]
david| OK I will buy regular popcorn sour cream chips and root beer See you there| [person:david m 1-1][person:monica f 13-13][location:train_station s 14-14]
monica| I m heading out now to pick up Ruth| [person:monica f 0-0][person:ruth f 8-8]

conv:people_2019081902_147:aug_0:chat_0:chataug_0| john tom| [person:john m 0-0][person:tom m 1-1]
john| Hey Tom I m thinking of going to the movie Would you like to go| [person:tom m 1-1][person:john m 2-2][person:tom m 11-11]
tom| That sounds like a great idea should we invite Jacob and Jose as well| [person:we g(john:tom) 7-7][person:jacob m 9-9][person:jose m 11-11]
john| That s a good idea Do you want me to call and invite them or will you| [person:tom m 6-6][person:john m 8-8][person:them g(jacob:jose) 13-13][person:tom m 16-16]
tom| I ll call them What day are you thinking will work best for you Also what kind of movie should we see| [person:tom m 0-0][person:them g(jacob:jose) 3-3][person:john m 7-7][person:john m 13-13][person:we g(john:tom:jacob:jose) 20-20]
john| I love action movies though I know Jose and Jacob enjoy horror movies| [person:john m 0-0][person:john m 5-5][person:jose m 7-7][person:jacob m 9-9]
tom| I like both action and horror Let s decide on a day then see what is playing Friday or Saturday work best for me| [person:tom m 0-0][person:tom m 23-23]
john| I know Jacob and jose have a wedding they are attending Saturday so let s go Friday evening| [person:john m 0-0][person:jacob m 2-2][person:jose m 4-4][person:them g(jacob:jose) 8-8]
tom| Friday evening sounds good I just googled the movies at our local theater and I don t see any good action movies so how about a horror movie| [person:tom m 4-4][person:we g(john:tom) 10-10][location:theater s 12-12][person:tom m 14-14]
john| Alright What horror movie is playing|
tom| Dracula is playing ad it received good reviews It s a 730 pm show so let s meet at the theater at 715 pm|
john| Perfect Thanks Talk to you later| [person:tom m 4-4]

conv:people_2019081902_150:aug_0:chat_0:chataug_0| ann joyce| [person:ann f 0-0][person:joyce f 1-1]
joyce| Hey do you remember my friend Victoria| [person:ann f 2-2][person:joyce f 4-4][person:victoria f 5-5][person:victoria f 6-6]
ann| Yes she s really sweet Why do you ask| [person:victoria f 1-1][person:joyce f 7-7]
joyce| She s coming into town this weekend We should all hang out| [person:victoria f 0-0][location:town s 4-4][person:we g(joyce:ann:victoria) 7-7]
ann| That s exciting I m down| [person:ann f 3-3]
joyce| Is there any way you could pick her up from the school at noon| [person:ann f 4-4][person:victoria f 7-7][location:school s 11-11]
ann| I would but I have a meeting with Howard at noon| [person:ann f 0-0][person:ann f 3-3][location:howard s 8-8]
joyce| Darn Really Is there any way you can reschedule| [person:ann f 6-6]
ann| Fine I ll reschedule the meeting for 11| [person:ann f 1-1]
joyce| Nevermind Catherine is going to pick her up| [person:catherine f 1-1][person:victoria f 6-6]
ann| Okay I ll just meet Howard at 11 and then leave work early Text me when you get off| [person:ann f 1-1][location:howard s 5-5][person:ann f 14-14][person:joyce f 16-16]

conv:people_2019081902_151:aug_0:chat_0:chataug_0| maria megan| [person:maria f 0-0][person:megan f 1-1]
megan| Hey Maria do you remember when the playoff game we re gonna watch is| [person:maria f 1-1][person:maria f 3-3][person:we g(megan:maria) 9-9]
maria| Hi Megan yes it s next Saturday| [person:megan f 1-1]
megan| Okay cool just making sure because I want to ask if Janice and Sarah want to come| [person:megan f 6-6][person:janice f 11-11][person:sarah f 13-13]
maria| Do you think they like that kind of stuff| [person:megan f 1-1][person:they g(janice:sarah) 3-3]
megan| I don t know for sure but it doesn t hurt to ask| [person:megan f 0-0]
maria| Well that s true Maybe it ll be fun for them if all four of us are together anyway| [person:they g(janice:sarah) 10-10][person:us g(megan:maria:janice:sarah) 15-15]
megan| Where do you think we should meet| [person:maria f 2-2][person:us g(megan:maria:janice:sarah) 4-4]
maria| If it s just the two of us we can just meet at the entrance| [person:us g(megan:maria:janice:sarah) 7-7][person:we g(megan:maria) 8-8]
maria| But the other two might not know where it is|
megan| True so if they accept we should meet at the closest bus station| [person:us g(megan:maria:janice:sarah) 3-3][person:us g(megan:maria:janice:sarah) 5-5][location:station s 12-12]
maria| Let me know when you ask them then| [person:maria f 1-1][person:megan f 4-4][person:they g(janice:sarah) 6-6]
megan| Sure Bye for now|

conv:people_2019081902_152:aug_0:chat_0:chataug_0| lawrence maria| [person:lawrence m 0-0][person:maria f 1-1]
lawrence| Hey Maria what s going on| [person:maria f 1-1]
maria| Hi Lawrence I m doing well how about you| [person:lawrence m 1-1][person:maria f 2-2][person:lawrence m 8-8]
