conv:chats_1126_306:aug_0:chat_0:chataug_0| philip sandy| [person:philip m 0-0][person:sandy f 1-1]
jonathan| Feeling same here Actually I need a small suggestion from you Rachel| [person:jonathan m 4-4][person:rachel f 10-10][person:rachel f 11-11]
rachel| Tell me Jonathan I would definetly help you| [person:rachel f 1-1][person:jonathan m 2-2][person:rachel f 3-3][person:jonathan m 7-7]
jonathan| Actually my siblings Ethan and Heather are visiting for a visit and I am confused about the place to be visited| [person:jonathan m 1-1][person:ethan m 3-3][person:heather f 5-5][person:jonathan m 12-12][location:place s 17-17]
rachel| My suggestion would be is take them to the place which they had already visited and what do they really like So that you can decide| [person:rachel f 0-0][person:them g(ethan:heather) 6-6][location:place s 9-9][person:them g(ethan:heather) 11-11][person:them g(ethan:heather) 18-18][person:jonathan m 23-23]
jonathan| Yeah that would be really better and i will ask them that where are they actually willing to visit and if it is safe to visit we shall leave there Thank you for the suggestion Meet you soon| [person:jonathan m 7-7][person:them g(ethan:heather) 10-10][person:them g(ethan:heather) 14-14][person:we g(jonathan:ethan:heather) 26-26][person:rachel f 31-31][person:rachel f 36-36]
rachel| Perfect go a head Have a safe and joyfull trip See you soon| [person:jonathan m 11-11]

conv:chats_1127_104:aug_0:chat_0:chataug_0| faith joseph| [person:faith f 0-0][person:joseph m 1-1]
faith| Hello Joseph Congrajulations for being selected as teamleader for the project| [person:joseph m 1-1]
joseph| Hi Faith Thank you for your greetings and congrajulations too as you even got selected as team leader for the same project| [person:faith f 1-1][person:faith f 3-3][person:faith f 5-5][person:faith f 11-11][person:we g(faith:joseph) 16-16]
faith| Thank you Looking forward to work with you and any idea about the projecct| [person:joseph m 1-1][person:joseph m 7-7]
joseph| As project is very important I thought of adding few pupils into the project What do you say| [person:joseph m 5-5][person:faith f 16-16]
faith| That s actually a good idea lets proceed and I would say that we will add students who are already worked on the previous project I guess that will help us| [person:faith f 9-9][person:we g(faith:joseph) 13-13][person:faith f 25-25][person:we g(faith:joseph) 30-30]
joseph| Great lets do it in the way you said Do you have any idea to choose| [person:faith f 7-7][person:faith f 10-10]
faith| Yeah I do have naames to suggest Names from my choice would be our classmates Howard and Meredith| [person:faith f 1-1][person:faith f 9-9][person:we g(faith:joseph) 13-13][person:classmates g() 14-14][person:howard m 15-15][person:meredith f 17-17]
joseph| That s actually cool Adding these two into our project would really help us And only two into the project why not few more| [person:we g(faith:joseph) 8-8][person:we g(faith:joseph) 13-13]
faith| I guess these are enough and even we are there in the project So we can handle and submit the project by ETA We will inform them as soon as we meet them tomorrow morning| [person:faith f 0-0][person:we g(faith:joseph) 7-7][person:we g(faith:joseph) 14-14][person:we g(faith:joseph) 23-23][person:classmates g(howard:meredith) 26-26][person:we g(faith:joseph) 30-30]
joseph| Cool Lets meet early and we will distribute work among ourselves See you soon tomorrow in the morning| [person:we g(faith:joseph:howard:meredith) 5-5][person:faith f 12-12]

conv:chats_1127_105:aug_0:chat_0:chataug_0| ben val| [person:ben m 0-0][person:val f 1-1]
ben| Hey dear when will we you be back to home| [person:we g(ben:val) 4-4][person:val f 5-5][location:home s 9-9]
val| Hi dear I will be back to home with in few hours Tell me what is the issue| [person:val f 2-2][location:home s 7-7][person:val f 13-13]
ben| Do you remember that we thought of a vacation and thought of speaking to our neighbours| [person:val f 1-1][person:we g(ben:val) 4-4][person:we g(ben:val) 14-14]
val| Yeah I do remember and yeah thought of talking to take care of our plants and to watch over our home| [person:val f 1-1][person:we g(ben:val) 13-13][person:we g(ben:val) 19-19][location:home s 20-20]
ben| Exactly when do we do this It s already late| [person:we g(ben:val) 3-3]
val| As soon as we reach home we shall go to them and talk about this issue| [person:we g(ben:val) 3-3][location:home s 5-5][person:we g(ben:val) 6-6][person:neighbors g() 10-10]
ben| Okay Can you come back home soon so that we can do it little early| [person:val f 2-2][location:home s 5-5][person:we g(ben:val) 9-9]
val| Yeah I will be there at home early but I think that would be wierd if we ask so| [person:val f 1-1][location:home s 4-4][location:home s 6-6][person:val f 9-9][person:we g(ben:val) 16-16]
ben| Lets get them a beautiful gift from our vacation trip so that they even feel happy| [person:neighbors g() 2-2][person:we g(ben:val) 7-7][person:neighbors g() 12-12]
val| Perfect Lets gift them in such a way that it would be very useful to them| [person:neighbors g() 3-3][person:neighbors g() 15-15]

conv:chats_1127_106:aug_0:chat_0:chataug_0| peggy troy| [person:peggy f 0-0][person:troy m 1-1]
peggy| Hey Troy what s up bro Where are you| [person:troy m 1-1][person:troy m 8-8]
troy| Hello bro I m at my place watching Netflix What s up with you| [person:troy m 2-2][person:troy m 5-5][location:place s 6-6][person:peggy f 13-13]
peggy| Nothing bro I m still unable to understand why Kristan and Jason betrayed us| [person:kristan f 0-0][person:peggy f 2-2][person:jason m 11-11][person:us g(peggy:troy) 13-13]
troy| Yes even I m finding it hard to believe Kristan was really sweet to me before and all of a sudden I couldn t take it| [person:troy m 2-2][person:troy m 14-14][person:troy m 21-21]
peggy| We worked really hard to complete it out fast but they still betrayed us| [person:us g(peggy:troy) 0-0][person:they g(kristan:jason) 10-10][person:us g(peggy:troy) 13-13]
troy| Yes I agree we are unable to finish the earlier projects but this project I have put a lot of efforts to complete it| [person:troy m 1-1][person:us g(peggy:troy) 3-3][person:troy m 14-14]
peggy| Jason was a person and I couldn t take it what he has done to me now| [person:jason m 0-0][person:peggy f 5-5][person:jason m 11-11][person:peggy f 15-15]
troy| Yeah I understand brother Let s show them our power next time Every success starts with a failure| [person:troy m 1-1][person:peggy f 3-3][person:they g(kristan:jason) 7-7][person:us g(peggy:troy) 8-8]
peggy| I completely agree with you mate See you soon I have some work to do| [person:peggy f 0-0][person:troy m 4-4][person:troy m 7-7][person:peggy f 9-9]
troy| Yes brother see you soon Hope you will be my partner in the upcoming project| [person:peggy f 1-1][person:peggy f 3-3][person:peggy f 6-6][person:troy m 9-9]

conv:chats_1127_108:aug_0:chat_0:chataug_0| jacoby samuel| [person:jacoby m 0-0][person:samuel m 1-1]
samuel| Hi Jacoby How was the day to day Hope everything is good| [person:jacoby m 1-1]
jacoby| Hi Samuel Yeah it was went good I need to ask you something| [person:samuel m 1-1][person:jacoby m 7-7][person:samuel m 11-11]
samuel| Yeah Tell me What is the matter all about| [person:samuel m 2-2]
jacoby| Actually I saw you were went out today My wife Shirley had prepared a excess of food for dinner So can you take it| [person:jacoby m 1-1][person:samuel m 3-3][person:jacoby m 8-8][person:shirley f 9-9][person:shirley f 10-10][person:samuel m 21-21]
samuel| Oh I see Let me call my wife Grace and ask her regarding this| [person:samuel m 1-1][person:samuel m 4-4][person:samuel m 6-6][person:grace f 7-7][person:grace f 8-8][person:grace f 11-11]
jacoby| Okay We had prepared Mutton biriyani with Onion salad| [person:we g(jacoby:shirley) 1-1]
samuel| Oh That s nice to here I will ask my wife Grace to come and collect it| [person:samuel m 6-6][person:samuel m 9-9][person:grace f 10-10][person:grace f 11-11]
jacoby| Okay Then I ask my wife Shirley to pack it| [person:jacoby m 2-2][person:jacoby m 4-4][person:shirley f 5-5][person:shirley f 6-6]
samuel| Okay My wife Grace will come and collect it with in 5 minutes| [person:samuel m 1-1][person:grace f 2-2][person:grace f 3-3]
jacoby| Okay It is ready you can collect it| [person:samuel m 4-4]

conv:chats_1127_111:aug_0:chat_0:chataug_0| kim michael| [person:kim f 0-0][person:michael m 1-1]
kim| Hello Micheal how are you doing| [person:michael m 4-4]
michael| I m doing great Kim Hope you re doing good as well How s my friend Albert| [person:michael m 0-0][person:kim f 4-4][person:kim f 6-6][person:michael m 14-14][person:albert m 15-15][person:albert m 16-16]
kim| He s good Micheal and also gearing up for his birthday next week| [person:albert m 0-0][person:albert m 9-9]
michael| Oh I forgot what are the plans for his birthday| [person:michael m 1-1][person:albert m 8-8]
kim| This year I m planning to invite all of your friends so that he will feel happy for the re union| [person:kim f 2-2][person:michael m 9-9][person:friends g() 10-10][person:albert m 13-13]
michael| That sounds great for him but not for me I think I may not come as I am scheduled to fly Boston on the same day for some office work| [person:albert m 4-4][person:michael m 8-8][person:michael m 9-9][person:michael m 11-11][person:michael m 16-16][location:boston s 21-21][location:office s 28-28]
kim| This is not I m expecting from you Micheal You and Albert have been the best buddies till date and he will not be happy without your presence| [person:kim f 3-3][person:michael m 7-7][person:michael m 9-9][person:albert m 11-11][person:buddies g(michael:albert) 16-16][person:albert m 20-20][person:michael m 26-26]
michael| I do understand Kim but this is really important My promotion is going to happen in this trip So I have to make it at any cost| [person:michael m 0-0][person:kim f 3-3][person:michael m 9-9][person:michael m 19-19]
kim| Congrats for your promotion but the party will not be the same without you| [person:michael m 2-2][person:michael m 13-13]
michael| I will surely make it next year Don t worry I will tell Bella to attend this party now I m gonna share her contact details to you| [person:michael m 0-0][person:michael m 10-10][person:bella f 13-13][person:michael m 19-19][person:bella f 23-23][person:kim f 27-27]

conv:chats_1127_112:aug_0:chat_0:chataug_0| lori stella| [person:lori f 0-0][person:stella f 1-1]
lori| Hey dude how is the practice going on|
stella| Hello dude yeah it s going quiet good How about you| [person:lori f 10-10]
lori| Yeah it s the same from my side and even working hard for the victory| [person:lori f 6-6]
stella| Yeah Lori this time we have to win the tennis match at any cost by offending the two players Briana and Maddison| [person:lori f 1-1][person:lori_and_stella g(lori:stella) 4-4][person:briana f 19-19][person:maddison f 21-21]
lori| Absolutely correct Stella We should not again loose the match this year People have expectations on us we need to reach them at any cost| [person:stella f 2-2][person:lori_and_stella g(lori:stella) 3-3][person:lori_and_stella g(lori:stella) 16-16][person:lori_and_stella g(lori:stella) 17-17]
stella| Exactly we need to practice for the whole day bhy cut shorting our breaks And should even increase workuts level which gives fitness to our body| [person:lori_and_stella g(lori:stella) 1-1][person:lori_and_stella g(lori:stella) 12-12][person:lori_and_stella g(lori:stella) 24-24]
lori| That s true Stella And we even need to meditate which increases our concentration levels| [person:stella f 3-3][person:lori_and_stella g(lori:stella) 5-5][person:lori_and_stella g(lori:stella) 12-12]
stella| We even ned to rectify our flaws so that we donot repeat them and loose the competition| [person:lori_and_stella g(lori:stella) 0-0][person:lori_and_stella g(lori:stella) 5-5][person:lori_and_stella g(lori:stella) 9-9]
lori| Yes Stella this actually helps us and will be the reason for our victory See you in the competition All the best Stella Give your best| [person:stella f 1-1][person:lori_and_stella g(lori:stella) 5-5][person:lori_and_stella g(lori:stella) 12-12][person:stella f 15-15][person:stella f 22-22][person:stella f 24-24]
stella| Thank you Lori and all the best for you even| [person:lori f 1-1][person:lori f 2-2][person:lori f 8-8]

conv:chats_1127_114:aug_0:chat_0:chataug_0| dan patricia| [person:dan m 0-0][person:patricia f 1-1]
dan| Hey Patricia how are you I hope you re doing good| [person:patricia f 1-1][person:patricia f 4-4][person:dan m 5-5][person:patricia f 7-7]
patricia| Yes Dan I m good but I m not that energetic like how I used to be before This new manger is making my life difficult everyday| [person:dan m 1-1][person:patricia f 2-2][person:patricia f 6-6][person:patricia f 13-13][person:patricia f 23-23]
dan| Yes I know about him I would like to see Catherine coming back to her position again| [person:dan m 1-1][person:manager m 4-4][person:dan m 5-5][person:catherine f 10-10][person:catherine f 14-14]
patricia| Yeah I m missing her so badly She understands me really well and I always preformed really well under her guidance| [person:patricia f 1-1][person:catherine f 4-4][person:catherine f 7-7][person:patricia f 9-9][person:patricia f 13-13][person:catherine f 19-19]
dan| Pat does not have patience and he yells at everyone That made him really bad| [person:pat m 0-0][person:pat m 6-6][person:everyone g(dan:patricia:catherine) 9-9][person:manager m 12-12]
patricia| Yes that idiot shouted at me for no reason yesterday Do you Catherine s number I will call her up and explain her my pain| [person:patricia f 5-5][person:dan m 11-11][person:catherine f 12-12][person:patricia f 15-15][person:catherine f 18-18][person:catherine f 22-22][person:patricia f 23-23]
dan| Sorry Patricia I lost her contact recently Is there anyway we can catch her up| [person:patricia f 1-1][person:dan m 2-2][person:catherine f 4-4][person:we g(dan:patricia) 10-10][person:catherine f 13-13]
patricia| Let me find out with my fellow colleagues and I will get back to you| [person:patricia f 1-1][person:patricia f 5-5][person:colleagues g() 7-7][person:patricia f 9-9][person:dan m 14-14]
dan| Okay I will also try from my side We need talk to her at any cost| [person:dan m 1-1][person:dan m 6-6][person:we g(dan:patricia) 8-8][person:catherine f 12-12]
patricia| Good news I got her email id through my friend and I will be mailing her all my issues I m forwarding the mail id to you| [person:patricia f 2-2][person:catherine f 4-4][person:patricia f 8-8][person:friend u 9-9][person:patricia f 11-11][person:catherine f 15-15][person:patricia f 17-17][person:patricia f 19-19]

conv:chats_1127_116:aug_0:chat_0:chataug_0| liam maria| [person:liam m 0-0][person:maria f 1-1]
maria| Hey Liam how is your football practice going on| [person:liam m 1-1][person:liam m 4-4]
liam| Hello mom You are on to the field anyway my practice is going well| [person:maria f 1-1][person:maria f 2-2][person:liam m 9-9]
maria| Good let me teach you few tips which will help you| [person:maria f 2-2][person:liam m 4-4][person:liam m 10-10]
liam| Yeah mom sure I am glad to learn from you| [person:maria f 1-1][person:liam m 3-3][person:maria f 9-9]
maria| So this is how you kick the ball and this is how you face the opposite team| [person:liam m 4-4][person:liam m 12-12][person:team g() 16-16]
liam| Okay mom let me give a try Mom look is this the way you said| [person:maria f 1-1][person:liam m 3-3][person:maria f 7-7][person:maria f 13-13]
maria| Yeah that s exact Okay Liam we will talk at home I guess I shouldn t be on the field as your coach is blowing whistle at me Practice well my boy| [person:liam m 5-5][person:maria___liam g(maria:liam) 6-6][person:maria f 11-11][person:maria f 13-13][person:liam m 21-21][person:maria f 27-27][person:maria f 30-30]
liam| Sure mom I will practice well And i will come home by walk I am embarrased with coach behaviour and me and coach Adam had long discussion about this I was very upset| [person:maria f 1-1][person:liam m 2-2][person:liam m 7-7][location:home s 10-10][person:liam m 13-13][person:liam m 20-20][person:adam m 23-23][person:liam m 29-29]
maria| Liam donot over react it is all my fault that s not the right thing to teach you on the field in the presence of your coach Lets talk about this next time Just concentrate on your practice| [person:liam m 0-0][person:maria f 7-7][person:liam m 17-17][person:liam m 25-25][person:liam m 36-36]
liam| Okay mom I will practice well Thank you for the suggestion and tips| [person:maria f 1-1][person:liam m 2-2][person:maria f 7-7]

conv:chats_1127_119:aug_0:chat_0:chataug_0| diane matthew| [person:diane f 0-0][person:matthew m 1-1]
diane| Hello have your winter holidays started| [person:matthew m 2-2]
matthew| Yeah from yesterday only I was thinking to visit grand parent s place| [person:matthew m 4-4][person:parent g() 10-10][location:place s 12-12]
diane| Really Even I was thinking the same Last time we all had a wonderful vacation| [person:diane f 2-2][person:we g(diane:matthew) 9-9]
matthew| Grandpa Gerald loved the desert that we took for him He also said some of his favorite desserts| [person:gerald m 1-1][person:we g(diane:matthew) 6-6][person:gerald m 9-9][person:gerald m 10-10][person:gerald m 15-15]
diane| Hey I remember two of them I will take Brownie with vanilla icecream for him| [person:diane f 1-1][person:them g(gerald) 5-5][person:diane f 6-6][person:gerald m 14-14]
matthew| Okay then I will take some healthy sweet for Grandma Margaret| [person:matthew m 2-2][person:margaret f 10-10]
diane| Last time although we informed them about our arrival and grandma cooked delicious dishes for us| [person:we g(diane:matthew) 3-3][person:them g(gerald) 5-5][person:we g(diane:matthew) 7-7][person:we g(diane:matthew) 15-15]
matthew| These time we will not inform them| [person:we g(diane:matthew) 2-2][person:them g(gerald) 6-6]
diane| That s a great Idea bro They will be very happy seeing us| [person:them g(gerald) 6-6][person:we g(diane:matthew) 12-12]
matthew| So lets start our journey day after tomorrow| [person:we g(diane:matthew) 3-3]

conv:chats_1127_126:aug_0:chat_0:chataug_0| bella victor| [person:bella f 0-0][person:victor m 1-1]
bella| I am very upset after Andrew s yesterday match| [person:bella f 0-0][person:andrew m 5-5]
victor| Why are you saying so What happened there| [person:bella f 2-2][location:there s 7-7]
bella| The referee Drew was continuously calling unnecessary fouls| [person:andrew m 2-2]
victor| Is it Are you sure about what you saying| [person:bella f 3-3][person:bella f 7-7]
bella| Definitely I want to complain to the school authorities about this What do you think| [person:bella f 1-1][location:school s 7-7][person:victor m 13-13]
victor| Please be calm and then you should decide what to do| [person:bella f 5-5]
bella| I have already decided what will be my next step You tell me if you have any other better idea| [person:bella f 0-0][person:bella f 7-7][person:victor m 10-10][person:bella f 12-12][person:victor m 14-14]
victor| Drew is very experienced He knows better than us Just watching one match we can t complain against him| [person:andrew m 0-0][person:andrew m 4-4][person:us g(bella:victor) 8-8][person:us g(bella:victor) 13-13][person:andrew m 18-18]
bella| So what are you suggesting We should just sit and tolerate what he is doing with my son| [person:victor m 3-3][person:us g(bella:victor) 5-5][person:andrew m 12-12][person:bella f 16-16][person:son m 17-17]
victor| I think you should watch one more match where Drew will be refereeing and then you should think about complain| [person:victor m 0-0][person:bella f 2-2][person:andrew m 9-9][person:bella f 15-15]

conv:chats_1127_130:aug_0:chat_0:chataug_0| julia robert| [person:julia f 0-0][person:robert m 1-1]
julia| Firstly happy married life dear Praying god we should be happy together for life time| [person:we g(julia:robert) 7-7]
robert| Thank youand wishing the same even|
julia| Dear what do you think or in which way you want our wedding reception should be| [person:robert m 3-3][person:robert m 9-9][person:we g(julia:robert) 11-11]
robert| Any way but that should be joyful and colorful|
julia| Oh yeah it is going to be in the same way but at which place you would like to celebrate| [location:place s 14-14][person:robert m 15-15]
robert| Any place which costs low in price and mostly not in china because inviting all the guests and celebrating would costs us high in price| [location:place s 1-1][location:china s 11-11][person:we g(julia:robert) 21-21]
julia| I dont think that would cost high but as you said I agree and I will talk to the wedding planner June to see if she could shop around for a discount on china| [person:robert m 0-0][person:robert m 9-9][person:robert m 11-11][person:robert m 14-14][person:june f 25-25][location:china s 33-33]
robert| That s actually cool We will even make our wedding reception little intresting so for that I would even like to talk with June| [person:we g(julia:robert) 4-4][person:we g(julia:robert) 8-8][person:robert m 16-16]
julia| Sure why not lets make it intresting by planning and discussing together with June|
robert| Okay dear as you say and looking forward for the wedding reception day| [person:julia f 3-3]

conv:chats_1127_131:aug_0:chat_0:chataug_0| greg katy| [person:greg m 0-0][person:katy f 1-1]
greg| We need to sale the house and for that we need to contact with different people| [person:we g(greg:katy) 0-0][person:we g(greg:katy) 9-9]
katy| I contacted with Waynerick and his wife Pamela about the house| [person:katy f 0-0][person:waynerick m 5-5][person:pamela f 6-6][person:pamela f 7-7]
greg| Great Are they willing to buy it| [person:they g(waynerick:pamela) 2-2]
katy| They asked few question about our house| [person:they g(waynerick:pamela) 0-0][person:we g(greg:katy) 5-5]
greg| Okay send me those and we shall reply them| [person:greg m 2-2][person:we g(greg:katy) 5-5][person:they g(waynerick:pamela) 8-8]
katy| I had some conversation with them They are a gentle couple| [person:katy f 0-0][person:they g(waynerick:pamela) 5-5][person:they g(waynerick:pamela) 6-6]
greg| Do you really think that they are the right person whom we can sale our house| [person:katy f 1-1][person:they g(waynerick:pamela) 5-5][person:we g(greg:katy) 11-11][person:we g(greg:katy) 14-14]
katy| They were really good It would be a good idea to sale them| [person:they g(waynerick:pamela) 0-0][person:they g(waynerick:pamela) 12-12]
greg| Then we should sit together and think of answering their quarries| [person:we g(greg:katy) 1-1][person:they g(waynerick:pamela) 9-9]
katy| Definitely we should do it as soon as possible| [person:we g(greg:katy) 1-1]

conv:chats_1127_132:aug_0:chat_0:chataug_0| nathan susan| [person:nathan m 0-0][person:susan f 1-1]
susan| Hey Nathan How are you I tried calling you but you are not answering my calls| [person:nathan m 1-1][person:nathan m 4-4][person:susan f 5-5][person:nathan m 8-8][person:nathan m 10-10][person:susan f 14-14]
nathan| Hey Susan sorry dear I couldn t answer Work is keeping me busy all the time How is Ted doing| [person:susan f 1-1][person:nathan m 4-4][person:nathan m 11-11][person:ted m 18-18]
susan| Ted is great and his birthday is coming this weekend That is the main reason I have been calling you| [person:ted m 0-0][person:ted m 4-4][person:susan f 15-15][person:nathan m 19-19]
nathan| Oh that s great What are your plans for his birthday Are you planning any surprises| [person:susan f 6-6][person:ted m 9-9][person:susan f 12-12]
susan| Yes Nathan I m planning to call all his childhood friends which includes you and want to surprise him on that day I think that will work out| [person:nathan m 1-1][person:susan f 2-2][person:ted m 8-8][person:friends g(nathan) 10-10][person:nathan m 13-13][person:ted m 18-18][person:susan f 22-22]
nathan| Yes it will but I m not sure whether I will be coming or not Because I m moving to Florida for office purpose on this weekend| [person:nathan m 4-4][person:nathan m 9-9][person:nathan m 16-16][location:florida s 20-20][location:office s 22-22]
susan| Don t do this Nathan you are the only one who escapes all the time| [person:nathan m 4-4][person:nathan m 5-5]
nathan| Understand my situation My promotion will be decided in this month and If I miss one day I will loose it Don t worry I will rell Judith to attend instead of me| [person:nathan m 1-1][person:nathan m 3-3][person:nathan m 13-13][person:nathan m 17-17][person:nathan m 24-24][person:judith f 27-27][person:nathan m 32-32]
susan| Okay try attending next year at least Please don t come up with reasons that time Please share your wife contact details| [person:nathan m 18-18][person:judith f 19-19]
nathan| Sure I will see you guys soon Goodbye| [person:nathan m 1-1][person:susan f 4-4]

conv:chats_1127_133:aug_0:chat_0:chataug_0| ethan mellisa| [person:ethan m 0-0][person:mellisa f 1-1]
ethan| Hello Mellisa where are you Need a help Are you free| [person:mellisa f 1-1][person:mellisa f 4-4][person:mellisa f 9-9]
mellisa| Hey Ethan I am out actually I have come to meet my friend Ivan| [person:ethan m 1-1][person:mellisa f 2-2][person:mellisa f 6-6][person:mellisa f 11-11][person:ivan m 12-12][person:ivan m 13-13]
ethan| I thought of giving bath to our cat but there is no shampoo can you get me| [person:ethan m 0-0][person:our g(ethan:mellisa) 6-6][person:mellisa f 14-14][person:ethan m 16-16]
mellisa| I am sorry I will be late to home today I cant get you| [person:mellisa f 0-0][person:mellisa f 3-3][location:home s 8-8][person:mellisa f 10-10][person:ethan m 13-13]
ethan| What to do now I got time today that is the reason why I thought of giving bath to the cat| [person:ethan m 4-4][person:ethan m 13-13]
mellisa| Let me help you with this do as I say| [person:mellisa f 1-1][person:ethan m 3-3][person:mellisa f 8-8]
ethan| Tell me what is that Any possible way I am ready| [person:ethan m 1-1][person:ethan m 8-8]
mellisa| Our room mate Sally is supposed to go too the store today ask her to bring as the store is on the way to home| [person:our g(ethan:mellisa) 0-0][person:sally f 3-3][person:sally f 13-13][location:home s 24-24]
ethan| Thank you I will now it self call her and ask her to bring the shampoo| [person:mellisa f 1-1][person:ethan m 2-2][person:sally f 8-8][person:sally f 11-11]
mellisa| Always welcome take care of the cat See you soon| [person:ethan m 8-8]

conv:chats_1127_135:aug_0:chat_0:chataug_0| issac suzy| [person:issac m 0-0][person:suzy f 1-1]
issac| Hello dear I will be back to home with in couple of minutes Do you feel like eating any snack| [person:issac m 2-2][location:home s 7-7][person:suzy f 14-14]
suzy| Hey man yeah I feel like having donuts Can you get me them| [person:suzy f 3-3][person:issac m 9-9][person:suzy f 11-11]
issac| Yeah okay What s Russell doing| [person:russell m 4-4]
suzy| He s back from the school and playing with toys| [person:russell m 0-0][location:school s 5-5]
issac| Suzy I am there in the bakery There are too many kinds of donuts here Which type you want to eat| [person:suzy f 0-0][person:issac m 1-1][location:bakery s 3-3][location:bakery s 6-6][location:bakery s 14-14][person:suzy f 17-17]
suzy| Any donut which has many toppings added on it|
issac| Okay So Maddison the bakery employee suggested me few which could be even decorated according to our taste Shall I get them to you| [person:maddison f 2-2][location:bakery s 4-4][person:issac m 7-7][person:suzy___isaac g(issac:suzy) 16-16][person:issac m 19-19][person:suzy f 23-23]
suzy| Yeah thats cool Pick them And get any eatable for Russell even Take Maddison help she would suggest you in a better way| [person:russell m 10-10][person:maddison f 13-13][person:maddison f 15-15][person:issac m 18-18]
issac| Okay for sure Will be back to home with in some time| [location:home s 7-7]
suzy| Thank you for the snacks and see you soon| [person:issac m 1-1][person:issac m 7-7]

conv:chats_1127_136:aug_0:chat_0:chataug_0| greg katy| [person:greg m 0-0][person:katy f 1-1]
greg| We need to sale the house and for that we need to contact with different people| [person:we g(greg:katy) 0-0][person:we g(greg:katy) 9-9]
katy| I contacted with Waynerick and his wife Pamela about the house| [person:katy f 0-0][person:waynerick m 5-5][person:pamela f 6-6][person:pamela f 7-7]
greg| Great Are they willing to buy it| [person:they g(pamela:waynerick) 2-2]
katy| They asked few question about our house| [person:they g(pamela:waynerick) 0-0][person:we g(greg:katy) 5-5]
greg| Okay send me those and we shall reply them| [person:greg m 2-2][person:we g(greg:katy) 5-5][person:they g(pamela:waynerick) 8-8]
katy| I had some conversation with them They are a gentle couple| [person:katy f 0-0][person:they g(pamela:waynerick) 5-5][person:they g(pamela:waynerick) 6-6]
greg| Do you really think that they are the right person whom we can sale our house| [person:katy f 1-1][person:they g(pamela:waynerick) 5-5][person:we g(greg:katy) 11-11][person:we g(greg:katy) 14-14]
katy| They were really good It would be a good idea to sale them| [person:they g(pamela:waynerick) 0-0][person:they g(pamela:waynerick) 12-12]
greg| Then we should sit together and think of answering their quarries| [person:we g(greg:katy) 1-1][person:they g(pamela:waynerick) 9-9]
katy| Definitely we should do it as soon as possible| [person:we g(greg:katy) 1-1]

conv:chats_1127_137:aug_0:chat_0:chataug_0| jerry kevin| [person:jerry m 0-0][person:kevin m 1-1]
jerry| Hey Kevin you re all set for the dinner party tonight| [person:kevin m 1-1][person:kevin m 2-2]
kevin| Yes of course Jerry how can I miss it| [person:jerry m 3-3][person:kevin m 6-6]
jerry| Great I was thinking to invite our neighbors Alexis and Abigail for the dinner party too| [person:jerry m 1-1][person:our g(jerry:kevin) 6-6][person:neighbors g() 7-7][person:alexis f 8-8][person:abigail f 10-10]
kevin| Yeah that is a good idea but I don t think that Alexis will agree for it| [person:kevin m 7-7][person:alexis f 12-12]
kevin| Yeah but I m excited that Abigail would join us for the party| [person:kevin m 2-2][person:abigail f 6-6][person:our g(jerry:kevin) 9-9]
jerry| I think that opposite of this will happen| [person:jerry m 0-0]
kevin| What do you mean Jerry| [person:jerry m 2-2][person:jerry m 4-4]
jerry| I mean Alexis would turn up for the party but Abigail might not| [person:jerry m 0-0][person:alexis f 2-2][person:abigail f 10-10]
kevin| But still invite both of them for the party We ll see who turns up and who does not at the end| [person:neighbors g(alexis:abigail) 5-5][person:our g(jerry:kevin) 9-9]
jerry| Yeah I ll do it now| [person:jerry m 1-1]

conv:chats_1127_140:aug_0:chat_0:chataug_0| dory raymond| [person:dory f 0-0][person:raymond m 1-1]
raymond| Hi Dory I need you to do me a favor| [person:dory f 1-1][person:raymond m 2-2][person:dory f 4-4][person:raymond m 7-7]
dory| Hi Uncle Raymond How can I help you| [person:raymond m 2-2][person:dory f 5-5][person:raymond m 7-7]
raymond| Can you please pick up some cigars for me on your way back home| [person:dory f 1-1][person:raymond m 8-8][person:dory f 10-10][location:home s 13-13]
dory| Cigars Didn t the doctor tell you not to smoke| [person:doctor u 4-4][person:raymond m 6-6]
raymond| A couple of cigars won t do any harm dear Please|
dory| What does Aunt Jen think about it| [person:jen f 2-2][person:jen f 3-3]
raymond| I asked her to get me some but she refused That s why I m asking you to get them| [person:raymond m 0-0][person:jen f 2-2][person:raymond m 5-5][person:jen f 8-8][person:raymond m 13-13][person:dory f 16-16]
dory| No uncle I won t buy cigars for you You re ill with a lung problem It ll only get worse if you smoke| [person:dory f 2-2][person:raymond m 8-8][person:raymond m 9-9][person:raymond m 22-22]
raymond| Please Dory Just get me one I ll get you whatever you want in return| [person:dory f 1-1][person:raymond m 4-4][person:raymond m 6-6][person:dory f 9-9][person:dory f 11-11]
dory| Sorry I m not going to do this because I want you to be healthy I ll be home in 10 minutes without the cigars| [person:dory f 1-1][person:dory f 9-9][person:raymond m 11-11][person:dory f 15-15][location:home s 18-18]

conv:chats_1127_142:aug_0:chat_0:chataug_0| helen tyler| [person:helen f 0-0][person:tyler m 1-1]
helen| Hey Tyler I have got a problem to be resolved| [person:tyler m 1-1][person:helen f 2-2]
