conv:people_1011_1528_50:aug_0:chat_0:chataug_0| bob dom| [person:bob m 0-0][person:dom m 1-1]
paul| K Bye|

conv:people_2019072901_9:aug_0:chat_0:chataug_0| amy larry| [person:amy f 0-0][person:larry m 1-1]
larry| Hi Amy What are you bringing on the hike| [person:amy f 1-1][person:amy f 4-4]
amy| hi|
amy| what are you doing| [person:larry m 2-2]
larry| I talked Angela Alex and Jack I think they are bringing the tent and marshmellows| [person:larry m 0-0][person:angela f 2-2][person:alex m 3-3][person:jack m 5-5][person:larry m 6-6][person:they g(angela:alex:jack) 8-8]
amy| oh very good|
larry| Do you want to bring the fishing poles| [person:amy f 1-1]
amy| no thank you| [person:larry m 2-2]
larry| How bout the tackle box and the hot dogs|
amy| nice|

conv:people_2019072901_10:aug_0:chat_0:chataug_0| george tim| [person:george m 0-0][person:tim m 1-1]
tim| Hi|
george| Hi there Tim| [person:tim m 2-2]
tim| Where do you think we should go| [person:george m 2-2][person:we g(tim:george) 4-4]
george| Hmmm I don t know what do you have in mind| [person:george m 1-1][person:tim m 7-7]
tim| I guess to the moutains for hiking| [person:tim m 0-0][location:the_moutains s 3-4][location:moutains s 4-4]
george| That sounds good|
george| Should I make the bookings| [person:george m 1-1]
tim| Yes We should invite Jeff and Matt| [person:we g(tim:george) 1-1][person:jeff m 4-4][person:matt m 6-6]
george| That s a good idea Can you contact them| [person:tim m 6-6][person:them g(jeff:matt) 8-8]
tim| Yes Can you book the hotel while you are at it| [person:george m 2-2][location:the_hotel s 4-5][location:hotel s 5-5][person:george m 7-7]
george| Sure Let me get at it I will call once I have collected the details| [person:george m 2-2][person:george m 6-6][person:george m 10-10]
tim| Ok Do you have Jeff and Matt s numbers| [person:george m 2-2][person:jeff m 4-4][person:matt m 6-6]
george| Let me look in my diary and I will send you soon| [person:george m 1-1][person:george m 4-4][person:george m 7-7][person:tim m 10-10]
tim| Alright Sounds good|
george| okay have a good day will call you later| [person:tim m 7-7]
tim| Alright goodbye|
george| bye|

conv:people_2019072901_12:aug_0:chat_0:chataug_0| jack ronald| [person:jack m 0-0][person:ronald m 1-1]
jack| hey ronald| [person:jack m 1-1]
ronald| Hey Jack how s it going| [person:ronald m 1-1]
jack| going great gonna watch the baseball game soon you interested| [person:jack m 8-8]
ronald| Definitely we should invite Patrick and Steve i m sure they would want to go too| [person:ronald m 1-1][person:ronald m 4-4][person:ronald m 6-6][person:ronald m 7-7][person:ronald m 10-10]
jack| I think that sounds like a great plan| [person:jack m 0-0]
jack| I haven t seen them in forever| [person:jack m 0-0][person:jack m 4-4]
jack| I will pick them up on the way sound good| [person:jack m 0-0][person:jack m 3-3]
ronald| Perfect that saves me the trouble| [person:ronald m 3-3]
ronald| Really appreciate it|
jack| see you soon| [person:jack m 1-1]
ronald| Does this Saturday work|

conv:people_2019072901_14:aug_0:chat_0:chataug_0| malcolm roger| [person:malcolm m 0-0][person:roger m 1-1]
roger| Hey Malcom|
malcolm| Hello Roger how is your wife| [person:roger m 1-1][person:roger m 4-4][person:wife f 5-5]
roger| Great thanks listen The Watsons are coming over for dinner later this week and I was wondering if you know what they like as far as food goes| [person:watsons g() 4-4][person:roger m 14-14][person:malcolm m 18-18][person:watsons g() 21-21]
malcolm| They are both pretty open to anything we ve tried several different types of restaurants together| [person:watsons g() 0-0][person:watsons g() 2-2][person:we g(malcolm) 7-7]
roger| I see any things they don t like| [person:roger m 0-0][person:watsons g() 4-4]
malcolm| I seem to remember that Shane has a sensitivity to cinnamon and Linda has a thing about artichokes| [person:malcolm m 0-0][person:shane m 5-5][person:linda f 12-12]
roger| Good to know I plan on reading them excerpt from The Communist Manifesto after dinner it should be a grand time Anything else I should know about them| [person:roger m 3-3][person:watsons g(shane:linda) 7-7][person:roger m 23-23][person:watsons g(shane:linda) 27-27]
malcolm| They are Republican so I would change your book| [person:watsons g(shane:linda) 0-0][person:malcolm m 4-4][person:roger m 7-7]
roger| Ah very good I also have Ben Shapiro s book True Allegiance that I could read to them from I bet they ll enjoy that very much don t you think| [person:roger m 3-3][person:ben m 6-6][person:roger m 13-13][person:watsons g(shane:linda) 17-17][person:roger m 19-19][person:watsons g(shane:linda) 21-21][person:malcolm m 29-29]
malcolm| I think they would like that very much sounds like it will be an exciting night I ll see you there| [person:malcolm m 0-0][person:watsons g(shane:linda) 2-2][person:malcolm m 16-16][person:roger m 19-19]
roger| That s very interesting Malcom thanks for your insights and good luck| [person:malcolm m 7-7]

conv:people_2019072901_15:aug_0:chat_0:chataug_0| stephanie william| [person:stephanie f 0-0][person:william m 1-1]
william| Hey what were you thinking of bringing to the picnic| [person:william m 3-3]
stephanie| Hey I was planning on bringing some sandwiches| [person:stephanie f 1-1]
william| That sounds good I think I ll bring beverages and some chips| [person:william m 3-3][person:william m 5-5]
stephanie| Yum What kind of drinks|
william| How about a bottle of wine and some soft drinks Hmm do you think the Winstons would be okay with bringing dessert| [person:william m 12-12][person:william m 15-15]
stephanie| Yes that would be perfect Maybe they could bring cookies or cupcakes so they do not melt| [person:stephanie f 6-6][person:stephanie f 13-13]
william| Sounds tasty so far Can you think of anything else you d like for the picnic| [person:william m 5-5][person:william m 10-10]
stephanie| I think we thought of everything I will bring some napkins| [person:stephanie f 0-0][person:stephanie f 2-2][person:stephanie f 6-6]

conv:people_2019072901_18:aug_0:chat_0:chataug_0| amanda melissa| [person:amanda f 0-0][person:melissa f 1-1]
amanda| Hey Melissa| [person:melissa f 1-1]
melissa| Amanda what s up| [person:amanda f 0-0]
amanda| Do you want to go to Six Flags soon| [person:melissa f 1-1]
melissa| Yeah that sounds fun When|
amanda| Well it depends on who s going Do you think we should bring our neighbors| [person:melissa f 8-8][person:we g(amanda:melissa) 10-10][person:we g(amanda:melissa) 13-13][person:neighbors g() 14-14]
melissa| That sounds fun let s bring Frank Catherine and Edward| [person:frank m 6-6][person:catherine f 7-7][person:edward m 9-9]
amanda| That s what I was thinking too I think they are all free this Saturday| [person:amanda f 3-3][person:amanda f 7-7][person:neighbors g() 9-9]
melissa| Alright so let us go to Six Flags this Saturday yes| [person:us g(amanda:melissa:frank:catherine:edward) 3-3]
amanda| Yes See you then| [person:melissa f 2-2]
melissa| See ya|

conv:people_2019072901_20:aug_0:chat_0:chataug_0| malcolm roger| [person:malcolm m 0-0][person:roger m 1-1]
roger| Hey Malcolm| [person:malcolm m 1-1]
roger| I m excited about dinner tonight| [person:roger m 0-0][location:dinner s 4-4]
roger| I heard you invited the Watsons over| [person:roger m 0-0][person:roger m 2-2][person:roger m 5-5]
malcolm| What time does it start| [location:dinner s 3-3]
roger| I was thinking 6 but that is your call| [person:roger m 0-0][person:roger m 7-7]
malcolm| 6 is fine with me| [person:malcolm m 4-4]
roger| Cool what are we eating| [person:roger m 3-3]
malcolm| I was think steak and mash peas| [person:malcolm m 0-0]
roger| Sounds delicious|
malcolm| Who s cooking me are you| [person:malcolm m 3-3][person:malcolm m 5-5]
roger| I figured you were| [person:roger m 0-0][person:roger m 2-2]
malcolm| Okay I ll get started soon as I get home thanks| [person:malcolm m 1-1][person:malcolm m 7-7][location:home s 9-9]
roger| Sounds good I think I heard Linda doesn t eat steak can you make a chicken breast for her| [person:roger m 2-2][person:roger m 4-4][person:roger m 6-6][person:roger m 12-12][person:roger m 18-18]
malcolm| Okay I ll pick it up on my way home see you at 6| [person:malcolm m 1-1][location:dinner s 4-4][person:malcolm m 7-7][location:dinner s 9-9][person:malcolm m 11-11]
roger| see you at 6 thanks| [person:roger m 1-1]

conv:people_2019072901_22:aug_0:chat_0:chataug_0| adam nathan| [person:adam m 0-0][person:nathan m 1-1]
nathan| Hello|
adam| Hi Nathan It s Adam I have a favor to ask you| [person:nathan m 1-1][person:nathan m 4-4][person:adam m 5-5][person:nathan m 11-11]
nathan| Sure what do you need| [person:adam m 3-3]
adam| My parents are coming into town Do you think you could meet them there| [person:adam m 0-0][person:parents g() 1-1][location:town s 5-5][person:nathan m 7-7][person:nathan m 9-9][person:parents g() 12-12][location:town s 13-13]
nathan| Where would they need to go| [person:parents g() 2-2]
adam| They need to go to the hotel Their reservations are under their name Berry and Martha Do you think you could take them to pick up lunch too| [person:parents g() 0-0][person:parents g() 7-7][person:parents g() 11-11][person:berry f 13-13][person:martha f 15-15][person:nathan m 17-17][person:nathan m 19-19][person:parents g() 22-22]
nathan| Sure do you know their favourite meals so that they will feel more comfortable| [person:nathan m 2-2][person:parents g() 4-4][person:parents g() 9-9]
adam| They like hamburgers and fries Thank you so much for your help| [person:parents g() 0-0][person:nathan m 6-6][person:nathan m 10-10]

conv:people_2019072901_24:aug_0:chat_0:chataug_0| amy larry| [person:amy f 0-0][person:larry m 1-1]
larry| What Do you think we should bring for the trip this weekend| [person:amy f 2-2][person:we g(larry:amy) 4-4][location:trip s 9-9]
amy| what should we carry| [person:we g(larry:amy) 2-2]
larry| I think we should pack as light as possible It s only for a couple days| [person:larry m 0-0][person:we g(larry:amy) 2-2][location:trip s 9-9]
amy| I think we should carry some beddings| [person:larry m 0-0][person:we g(larry:amy) 2-2]
larry| Agreed I think everyone is bringing their own bedding| [person:larry m 1-1][person:everyone g() 3-3][person:everyone g() 6-6]
amy| How about drinking water|
larry| Angela said she would bring a bunch of water Alex is bringing food and jack is bringing bug spray| [person:angela f 0-0][person:angela f 2-2][person:alex m 9-9][person:jack m 14-14]
larry| I think that pretty much covers what we need What do you think| [person:larry m 0-0][person:we g(larry:amy) 7-7][person:amy f 11-11]
amy| Great|
larry| I ll bring some flint and steel so we can start a fire| [person:larry m 0-0][person:we g(larry:amy) 8-8]
amy| I almost forgot that| [person:amy f 0-0]
larry| I think that covers it Maybe you could bring some sunscreen just in case| [person:larry m 0-0][location:trip s 4-4][person:amy f 6-6]
amy| Okay|

conv:people_2019072901_25:aug_0:chat_0:chataug_0| amy larry| [person:amy f 0-0][person:larry m 1-1]
larry| hi|
amy| Hi Larry Are you excited for our hiking trip| [person:larry m 1-1][person:larry m 3-3][person:our g(larry:amy) 6-6]
larry| yes definetly|
amy| What are Angela Alex and Jack bringing along I have a pack with snacks and water and I have my boots and camera ready to go| [person:angela f 2-2][person:alex m 3-3][person:jack m 5-5][person:amy f 8-8][person:amy f 17-17][person:amy f 19-19]
amy| Is there anything else we need| [person:we g(larry:amy:angela:alex:jack) 4-4]
larry| peanut butter and jelly lots of it|
amy| Does anyone have a trail guide or map| [person:anyone g(larry:angela:alex:jack) 1-1]
amy| We don t want to get lost| [person:we g(larry:amy:angela:alex:jack) 0-0]
larry| i got one| [person:larry m 0-0]
amy| Great See you there| [person:larry m 2-2][location:there s 3-3]
larry| awesome|

conv:people_2019072901_27:aug_0:chat_0:chataug_0| lisa nancy| [person:lisa f 0-0][person:nancy f 1-1]
nancy| Hi Lisa| [person:lisa f 1-1]
lisa| Hi Nancy| [person:nancy f 1-1]
nancy| Any good spot for vacations|
nancy| or good places for food visit| [location:places g() 2-2]
lisa| I love Miami last time I visited| [person:lisa f 0-0][location:miami s 2-2][person:lisa f 5-5]
nancy| ah whats so good about Miami| [location:miami s 5-5]
lisa| The food and the night life|
nancy| lets ask Emma Cathy and Amy for more info since they went to Miami last year| [person:emma f 2-2][person:cathy f 3-3][person:amy f 5-5][person:they g(emma:cathy:amy) 10-10][location:miami s 13-13]
lisa| Cool are they going to join us on chat| [person:they g(emma:cathy:amy) 2-2][person:us g(nancy:lisa) 6-6]
nancy| they will when they are available| [person:they g(emma:cathy:amy) 0-0][person:they g(emma:cathy:amy) 3-3]

conv:people_2019072901_29:aug_0:chat_0:chataug_0| greg peter| [person:greg m 0-0][person:peter m 1-1]
peter| hi|
peter| looking for a job|
greg| You are looking for a job| [person:peter m 0-0]
peter| do you know someone at ford| [person:greg m 1-1][person:sam m 3-3]
greg| I do actually My friend Sam works at Ford| [person:greg m 0-0][person:greg m 3-3][person:sam m 4-4][person:sam m 5-5]
peter| will you talk to him| [person:greg m 1-1][person:sam m 4-4]
greg| About a job I can but who is looking for a job| [person:greg m 3-3]
peter| justin| [person:justin m 0-0]
greg| Oh ok I think I remember Sam talking about going to State University with a Justin Did Justin go to State university| [person:greg m 2-2][person:greg m 4-4][person:sam m 6-6][location:state s 11-11][location:university s 12-12][person:justin m 15-15][person:justin m 17-17][location:university s 21-21]
peter| yup thanks|

conv:people_2019072901_30:aug_0:chat_0:chataug_0| henry paul| [person:henry m 0-0][person:paul m 1-1]
henry| hi paul| [person:paul m 1-1]
paul| Hi Henry Have you talked to Jack Dennis and Alex about the trip this summer| [person:henry m 1-1][person:henry m 3-3][person:jack m 6-6][person:dennis m 7-7][person:alex m 9-9][location:trip s 12-12]
henry| yes|
paul| I m thinking we should camp at Emma Wood State Beach How does June work for you Thought| [person:paul m 0-0][person:we g(henry:paul:jack:dennis:alex) 3-3][location:emma_wood_state_beach s 9-9][location:emma_wood_state_beach s 10-10][person:henry m 16-16]
henry| i am just free in june| [person:henry m 0-0]
paul| Well that s great new Henry| [person:henry m 5-5]
henry| i accept your plan paul| [person:henry m 0-0][person:paul m 2-2][person:paul m 4-4]
paul| I m planning to bring my dog Cujo| [person:paul m 0-0][person:paul m 5-5]
henry| oh good|
paul| Nice talking with you Henry Have a good night and we ll talk soon Good night| [person:henry m 3-3][person:henry m 4-4][person:we g(henry:paul) 10-10]

conv:people_2019072901_32:aug_0:chat_0:chataug_0| amy larry| [person:amy f 0-0][person:larry m 1-1]
larry| Hey amy| [person:amy f 1-1]
larry| Ready to go|
amy| Yes|
amy| Just got on here Gotta read instructions|
larry| I need Jack to carry the hiking Bag| [person:larry m 0-0][person:jack m 2-2]
larry| Can you manage to carry yours alone| [person:larry m 1-1][person:amy f 5-5]
larry| so what should we bring along| [person:amy f 3-3]
larry| ok|
amy| Absolutely and Angela can carry knives and Alex can bring food| [person:angela f 2-2][person:alex m 7-7]
larry| Food|
larry| What will you be bringing| [person:amy f 2-2]
amy| I will bring tents and weed| [person:amy f 0-0]
larry| weeds thats great its gonna be awesome|
larry| um I may bring 3 torches| [person:larry m 1-1]
amy| Awesome Looks like everything is planned out|
larry| What will Jack bring| [person:jack m 2-2]
larry| yes plan going great|
amy| Jack can bring a shovel and bug spray| [person:jack m 0-0]
amy| Alright see you later| [person:larry m 2-2]
larry| ok I guess we are ready Lets wait for them to come so we get moving| [person:larry m 1-1][person:larry m 3-3][person:them g() 9-9][person:larry m 13-13]
larry| Yea later we leave in 5| [person:larry m 2-2]

conv:people_2019072901_33:aug_0:chat_0:chataug_0| adam nathan| [person:adam m 0-0][person:nathan m 1-1]
nathan| hello adam| [person:adam m 1-1]
adam| Hello Nathan How are things| [person:nathan m 1-1]
nathan| things are going well thanks|
adam| As you know my parents are visiting L A Thank you so much for agreeing to help them out while they are in town| [person:nathan m 1-1][person:adam m 3-3][person:parents g() 4-4][location:l_a s 7-8][person:nathan m 10-10][person:parents g() 17-17][person:parents g() 20-20][location:l_a s 23-23]
nathan| not a problem happy to help|
adam| Thank is so awesome of you to pick them up at the train station I would do it myself but did not opt to go on this trip| [person:nathan m 5-5][person:parents g() 8-8][location:train_station s 12-13][person:adam m 14-14][person:adam m 18-18]
nathan| what type of food do they like| [person:parents g() 5-5]
adam| They love many different types but are particularly fond of fine Italian food Do you know of a great Italian restaurant near you I m sure you do| [person:parents g() 0-0][person:nathan m 14-14][location:restaurant s 20-20][person:nathan m 22-22][person:adam m 23-23][person:nathan m 26-26]
nathan| yes i ll make sure to take them there| [person:nathan m 1-1][person:parents g() 7-7][location:restaurant s 8-8]
adam| Wonderful Thank you so much It s also nice to celebrate a new adventure with a lovely meal| [person:nathan m 2-2]
adam| always nice rather|
nathan| absolutely have a good day|
adam| Thank you so much again You too| [person:nathan m 1-1][person:nathan m 5-5]

conv:people_2019072901_34:aug_0:chat_0:chataug_0| elizabeth stephanie| [person:elizabeth f 0-0][person:stephanie f 1-1]
elizabeth| Hi Stephanie When are you going to see John and Kim| [person:stephanie f 1-1][person:stephanie f 4-4][person:john m 8-8][person:kim m 10-10]
elizabeth| What do you plan to get them| [person:stephanie f 2-2][person:them g(john:kim) 6-6]
stephanie| Hello Elizabeth I am thinking of seeing them tommorrow| [person:elizabeth f 1-1][person:stephanie f 2-2][person:them g(john:kim) 7-7]
stephanie| I don t know what to get them yet Do you have any suggestions| [person:stephanie f 0-0][person:them g(john:kim) 7-7][person:elizabeth f 10-10]
elizabeth| I was thinking that you could purchase them a gardening set since it is getting warm outside| [person:elizabeth f 0-0][person:stephanie f 4-4][person:them g(john:kim) 7-7]
stephanie| Yes That is a great idea They enjoy gardening a lot but they also like chocalate so maybe I will get them two things| [person:they g(john:kim) 6-6][person:they g(john:kim) 12-12][person:stephanie f 18-18][person:them g(john:kim) 21-21]
elizabeth| I think that is a great idea What type of chocolate will you buy| [person:elizabeth f 0-0][person:stephanie f 12-12]
stephanie| I don t know yet I m thinking truffles but I m so busy this week I don t know if I ll have time to pick up both| [person:stephanie f 0-0][person:stephanie f 5-5][person:stephanie f 10-10][person:stephanie f 16-16][person:stephanie f 21-21][person:both g(john:kim) 28-28]
elizabeth| I can pick up the truffles for you| [person:elizabeth f 0-0][person:stephanie f 7-7]
stephanie| I will be heading to the store tomorrow for the gardening stuff if you could pick up the chocoalte that would be amazing| [person:stephanie f 0-0][person:elizabeth f 13-13]
elizabeth| Of course Stephanie Talk to you then| [person:stephanie f 2-2][person:stephanie f 5-5]

conv:people_2019072901_36:aug_0:chat_0:chataug_0| elizabeth stephanie| [person:elizabeth f 0-0][person:stephanie f 1-1]
stephanie| Hey Elizabeth| [person:stephanie f 1-1]
elizabeth| Good day|
stephanie| So I ve decided on what to get John and Kim| [person:stephanie f 1-1][person:john m 8-8][person:kim m 10-10]
stephanie| Since John is a movie fanatic I decided to buy him the AMC Movie all access pass| [person:john m 1-1][person:stephanie f 6-6][person:john m 10-10]
elizabeth| and that s because|
stephanie| And since Kim is into makeup I m thinking about getting her some new makeup from sephora| [person:kim m 2-2][person:stephanie f 6-6][person:elizabeth f 11-11]
stephanie| Does that sound okay|
stephanie| I m vising them next week| [person:stephanie f 0-0][person:them g(elizabeth:john:kim) 3-3]
elizabeth| what movie do you like about action drama| [person:stephanie f 3-3]
stephanie| I m not really into movies my brother John is| [person:stephanie f 0-0][person:stephanie f 6-6][person:john m 7-7][person:john m 8-8]
elizabeth| oh ok you like it s makeup| [person:stephanie f 2-2]
stephanie| No|
stephanie| I m visiting my brother and sister next week and I wanted to bring them gifts| [person:stephanie f 0-0][person:stephanie f 3-3][person:john m 4-4][person:elizabeth f 6-6][person:stephanie f 10-10][person:them g(elizabeth:john:kim) 14-14]
stephanie| Since my brother John likes movies I m getting him movie tickets| [person:stephanie f 1-1][person:john m 2-2][person:john m 3-3][person:stephanie f 6-6][person:john m 9-9]
elizabeth| ah ok|
stephanie| And my sister Kim likes makeup so I m planning on buying her a kit from Sephora| [person:stephanie f 1-1][person:kim f 2-2][person:kim f 3-3][person:stephanie f 7-7][person:elizabeth f 12-12]
stephanie| Does it sound like a good idea|
elizabeth| sounds good|

conv:people_2019072901_38:aug_0:chat_0:chataug_0| brian jose| [person:brian m 0-0][person:jose m 1-1]
jose| Richard is coming to visit it what should we plan to do with him| [person:richard m 0-0][location:it s 5-5][person:brian m 8-8][person:richard m 13-13]
brian| Hi There I m not sure does he like the outdoors| [person:brian m 2-2][person:richard m 7-7][location:outdoors_ s 10-10]
jose| Yeah I think he does Maybe we could go for a hike| [person:jose m 1-1][person:richard m 3-3][person:we g(jose:brian) 6-6][location:hike s 11-11]
brian| That sounds great Maybe he would like that Any ideas which trail| [person:richard m 4-4][location:trail_ s 11-11]
jose| We could go on Granite Trail or Mountain Trail I think Granite Trail would be better| [person:we g(jose:brian:richard) 0-0][location:granite_trail s 4-5][location:mountain s 7-7][location:mountain_trail s 7-8][person:brian m 9-9]
brian| I do too I really like that trail How about packing a lunch and doing some exploring| [person:brian m 0-0][person:brian m 3-3][location:granite_trail s 7-7]
jose| Sounds perfect There s a picnic area right near the trail where we can eat our lunch at| [location:picnic_area s 5-6][location:granite_trail s 10-10][person:we g(jose:brian:richard) 12-12][person:we g(jose:brian:richard) 15-15]
brian| OK You might want to let Richard know to bring his backpack and hiking boots| [person:jose m 1-1][person:richard m 6-6][person:richard m 10-10]
jose| I will See you soon Brian| [person:jose m 0-0][person:brian m 3-3][person:brian m 5-5]
brian| Thanks Jose See you Friday| [person:jose m 1-1][person:jose m 3-3]

conv:people_2019072901_39:aug_0:chat_0:chataug_0| chris samantha| [person:chris m 0-0][person:samantha f 1-1]
samantha| The Robinsons says that the Martins have a sweet tooth| [person:robinsons g() 1-1][person:martins g() 5-5]
chris| That is a good start with ideas on what to take|
samantha| I can pick up cake on the way over there for lunch| [person:samantha f 0-0][location:there u 9-9]
chris| That would be good You going to grab a chocolate or strawberry top cake| [person:samantha f 4-4]
chris| Or do you have another kind in mind| [person:samantha f 2-2]
samantha| Did you hear when the Robinson s said the really like chocolate| [person:chris m 1-1][person:robinsons g() 5-5]
chris| Ok You pick up the chocolate cake and maybe I can grab some ice cream maybe for the chocolate cake| [person:samantha f 1-1][person:chris m 9-9]
samantha| That sounds great I ll see you at the Martin s for lunch time| [person:samantha f 3-3][person:chris m 6-6][person:martins g() 9-9]
chris| Well I am going to run now and will meet you at the Martin s for lunch| [person:chris m 1-1][person:samantha f 10-10][person:martins g() 13-13]

conv:people_2019072901_40:aug_0:chat_0:chataug_0| angela debra| [person:angela f 0-0][person:debra f 1-1]
angela| Hello How have you been Debra| [person:debra f 3-3][person:debra f 5-5]
debra| Not too bad Angela other than just stressing over what to get the Murphys| [person:angela f 3-3][person:murphys g() 13-13]
debra| How about you| [person:angela f 2-2]
angela| I was just going to ask you about that Do you know what they like Should we stick with something basic like Wine| [person:angela f 0-0][person:debra f 6-6][person:debra f 10-10][person:murphys g() 13-13][person:we g(angela:debra) 16-16]
debra| You know I was just going to mention that I thought the Smiths always enjoyed vintage wine| [person:angela f 0-0][person:debra f 2-2][person:debra f 9-9][person:smiths g() 12-12]
angela| I was thinking of getting the Smiths a nice bottle of wine if you want I can pick that up if you can come up with something for the Murpheys| [person:angela f 0-0][person:smiths g() 6-6][person:debra f 13-13][person:angela f 15-15][person:debra f 21-21][person:murphys g() 29-29]
debra| But I m not sure about the Murphys We could always pick up a bottle for them as well I suppose| [person:debra f 1-1][person:murphys g() 7-7][person:we g(angela:debra) 8-8][person:murphys g() 16-16][person:debra f 19-19]
angela| Yes Good idea|
angela| How about if I pick up some vintage wine for the Smiths and you choose a bottle for the Murpheys I think they prefer red| [person:angela f 3-3][person:smiths g() 11-11][person:debra f 13-13][person:murphys g() 19-19][person:angela f 20-20][person:murphys g() 22-22]
debra| That sounds great I purchased Cabernet for the Smiths last time just so you know| [person:debra f 3-3][person:smiths g() 8-8][person:angela f 13-13]
angela| Thanks so much for the tip That will be so helpful|
debra| Thanks for your help Angela Now I don t have to stress over that anymore Talk to you soon| [person:angela f 2-2][person:angela f 4-4][person:debra f 6-6][person:angela f 17-17]

conv:people_2019072901_43:aug_0:chat_0:chataug_0| amy larry| [person:amy f 0-0][person:larry m 1-1]
larry| Hey Amy| [person:amy f 1-1]
larry| We need to get a list together of campinghiking gear we all need to bring| [person:we g(larry:amy) 0-0][person:we g(larry:amy) 10-10]
amy| Hey Larry Excited for our camping trip| [person:larry m 1-1][person:we g(larry:amy) 4-4][location:trip s 6-6]
amy| so we ll need a tent sleeping bags cookware what else| [person:we g(larry:amy) 1-1]
larry| Yes I am What do you think we should bring I am happy to bring a few tents| [person:larry m 1-1][person:amy f 5-5][person:we g(larry:amy) 7-7][person:larry m 10-10]
amy| Great I can bring sleeping bags for everyone That leaves cookware an axe and food for the others| [person:amy f 1-1][person:everyone g(larry:amy) 7-7][person:other g() 17-17]
larry| Ok Angela told me she could bring the food| [person:angela f 1-1][person:larry m 3-3][person:angela f 4-4]
amy| I know Jack has an axe| [person:amy f 0-0][person:jack m 2-2]
larry| Have you talked to Alex| [person:amy f 1-1][person:alex m 4-4]
amy| Great Alex can be in charge of the cookware| [person:alex m 1-1]
larry| Great I am looking forward to getting together| [person:larry m 1-1]
amy| me too| [person:amy f 0-0]
larry| Talk soon Bye|
amy| bye Larry| [person:larry m 1-1]

conv:people_2019072901_44:aug_0:chat_0:chataug_0| stephanie william| [person:stephanie f 0-0][person:william m 1-1]
stephanie| Hi im stepahnie|
william| Hey I am William| [person:william m 1-1][person:william m 3-3]
stephanie| you know the Winstons| [person:william m 0-0][person:winstons g() 3-3]
william| Yeah I guess there is a picnic going on next week| [person:william m 1-1]
stephanie| what are you bringing to the picnic| [person:william m 2-2]
william| I think I am going to bring pasta salad and a cooler of drinks Are you going to be going What will you bring| [person:william m 0-0][person:william m 2-2][person:stephanie f 15-15][person:stephanie f 22-22]
stephanie| just myself what is kevin bringing| [person:stephanie f 1-1][person:kevin m 4-4]
william| I think he is bringing chips and salad I think the Winston s feed to bring desert and some kind of entree| [person:william m 0-0][person:kevin m 2-2][person:william m 8-8][person:winstons g() 11-11]
stephanie| Sounds good See you soon| [person:william m 3-3]

conv:people_2019072901_48:aug_0:chat_0:chataug_0| carol joe| [person:carol f 0-0][person:joe m 1-1]
carol| Hi Joe| [person:joe m 1-1]
joe| Hi Carol How are you| [person:carol f 1-1][person:carol f 4-4]
carol| Good and you| [person:joe m 2-2]
joe| Good So what do you think Henry Kelly Christina and Walter would like to eat| [person:carol f 4-4][person:henry m 6-6][person:kelly m 7-7][person:christina f 8-8][person:walter m 10-10]
carol| Well Christina doesn t eat meat I am not sure if the others have any restrictions| [person:christina f 1-1][person:carol f 6-6][person:others g(henry:kelly:walter) 12-12]
joe| Ok we can make a vegetarian dinner like eggplant parmesan and dinner with meat like chicken parm to make it easy Sound good| [person:we g(carol:joe) 1-1]
carol| That sounds great I am going grocery shopping later What do you need me to get| [person:carol f 3-3][person:joe m 11-11][person:carol f 13-13]
joe| You could get the eggplant and sauce and I will get the chicken and a pasta dish| [person:carol f 0-0][person:joe m 8-8]
carol| Great Sounds like a plan|
joe| Ok see you later| [person:carol f 2-2]
carol| Okay bye for now|

conv:people_2019072901_49:aug_0:chat_0:chataug_0| anthony chris| [person:anthony m 0-0][person:chris m 1-1]
chris| Hi Anthony| [person:anthony m 1-1]
anthony| Hey Chris| [person:chris m 1-1]
anthony| You should come and join me and my colleagues| [person:chris m 0-0][person:anthony m 5-5][person:anthony m 7-7][person:colleagues g() 8-8]
chris| I am not sure about that I do not know them| [person:chris m 0-0][person:chris m 6-6][person:colleagues g() 10-10]
anthony| They re very nice and I think you would like them| [person:colleagues g() 0-0][person:anthony m 5-5][person:chris m 7-7][person:colleagues g() 10-10]
anthony| Jason likes a lot of the same interests that you do| [person:jason m 0-0][person:chris m 9-9]
chris| You know how I am with people I do not know I just don t feel confortable| [person:anthony m 0-0][person:chris m 3-3][person:chris m 7-7][person:chris m 11-11]
anthony| I know but just give it a try They re very eager to meet you| [person:anthony m 0-0][person:colleagues g(jason) 8-8][person:chris m 14-14]
chris| Do they know I am coming Do they mind that you are bringing a friend| [person:colleagues g(jason) 1-1][person:chris m 3-3][person:colleagues g(jason) 7-7][person:anthony m 10-10][person:chris m 14-14]
anthony| Yeah they know all about you from what I told them| [person:colleagues g(jason) 1-1][person:chris m 5-5][person:anthony m 8-8][person:colleagues g(jason) 10-10]
anthony| They don t mind at all they are excited to meet you| [person:colleagues g(jason) 0-0][person:colleagues g(jason) 6-6][person:chris m 11-11]

conv:people_2019072901_51:aug_0:chat_0:chataug_0| adam nathan| [person:adam m 0-0][person:nathan m 1-1]
adam| Can you pick up Barry and Martha for me| [person:nathan m 1-1][person:barry m 4-4][person:martha f 6-6][person:adam m 8-8]
nathan| Sure I can do that| [person:nathan m 1-1]
