conv:chats_1126_86:aug_0:chat_0:chataug_0| mark rusell| [person:mark m 0-0][person:rusell m 1-1]
ellen| I m not sure I don t like hanging out with them| [person:ellen f 0-0][person:ellen f 4-4][person:them g(kathleen:karan) 11-11]
mike| Why s that so|
ellen| I don t know them and I don t like being with them| [person:ellen f 0-0][person:them g(kathleen:karan) 4-4][person:ellen f 6-6][person:them g(kathleen:karan) 12-12]
mike| You re being too salty about them They re fun to hang around with Invite them and you ll see| [person:ellen f 0-0][person:them g(kathleen:karan) 6-6][person:them g(kathleen:karan) 7-7][person:them g(kathleen:karan) 15-15][person:ellen f 17-17]
ellen| If you say so| [person:mike m 1-1]

conv:chats_1126_255:aug_0:chat_0:chataug_0| dom frank| [person:dom m 0-0][person:frank m 1-1]
frank| Hi Dom Have you reached the store| [person:dom m 1-1][person:dom m 3-3][location:store s 6-6]
dom| Hi Frank Yeah Just now I reached| [person:frank m 1-1][person:dom m 5-5]
frank| Okay Dom Can you suggest me what fruits shall I purchase I am bit confused| [person:dom m 1-1][person:dom m 3-3][person:frank m 5-5][person:frank m 9-9][person:frank m 11-11]
dom| Sure I will tell you what all are required for the office| [person:dom m 1-1][person:frank m 4-4][location:office s 11-11]
frank| Okay Dom just text me the fruits name Then I will purchase it| [person:dom m 1-1][person:frank m 4-4][person:frank m 9-9]
dom| Yes Frank Purchase some Apples Oranges Mangoes and Strawberries| [person:frank m 1-1]
frank| Wow That s nice I will purchase it How did you got this knowledge in purchasing| [person:frank m 4-4][person:dom m 10-10]
dom| I learnt it from my wife Lisa I want you to cross check with Brit as she is good in estimating| [person:dom m 0-0][person:dom m 4-4][person:wife f 5-5][person:wife f 6-6][person:dom m 7-7][person:frank m 9-9][person:brit f 14-14][person:brit f 16-16]
frank| Okay I will ask her and let you know soon| [person:frank m 1-1][person:brit f 4-4][person:dom m 7-7]
dom| That is Fine Meet you in office Bye| [person:frank m 4-4][location:office s 6-6]

conv:chats_1126_256:aug_0:chat_0:chataug_0| andrew janice| [person:andrew m 0-0][person:janice f 1-1]
janice| Hey Andrew How do you think about double date with Tyler and Lisa| [person:andrew m 1-1][person:andrew m 4-4][person:tyler m 10-10][person:lisa f 12-12]
andrew| Who s Tyler Lisa s new boyfriend I thought she was dating James| [person:tyler m 2-2][person:lisa f 3-3][person:andrew m 7-7][person:lisa f 9-9][person:james m 12-12]
janice| No they broke up last week Tyler is a good guy I met him last Saturday I am sure you like him| [person:they g(lisa:james) 1-1][person:tyler m 6-6][person:janice f 11-11][person:tyler m 13-13][person:janice f 16-16][person:andrew m 19-19][person:tyler m 21-21]
andrew| Hey Janice you know how uncomfortable it will be for me when I am around your friends I don t think it as a good idea| [person:janice f 1-1][person:janice f 2-2][person:andrew m 10-10][person:andrew m 12-12][person:janice f 15-15][person:they g(lisa:james:tyler) 16-16][person:andrew m 17-17]
janice| I have been friends with Lisa since college I am sure you will not regret this| [person:janice f 0-0][person:lisa f 3-3][person:lisa f 5-5][person:janice f 8-8][person:andrew m 11-11]
andrew| Well I do remember having a great time with Lisa and Tyler at the movie last month| [person:andrew m 1-1][person:lisa f 9-9][person:tyler m 11-11]
janice| Tyler is also a great guy I think you should meet him| [person:tyler m 0-0][person:janice f 6-6][person:andrew m 8-8][person:tyler m 11-11]
andrew| Okay Janice Anything for you| [person:janice f 1-1][person:janice f 4-4]
janice| Alright then we ll meet them this Sunday| [person:we g(janice:andrew) 2-2][person:them g(tyler:lisa) 5-5]
andrew| Great I am looking forward to it| [person:andrew m 1-1]

conv:chats_1126_257:aug_0:chat_0:chataug_0| cole pat| [person:cole m 0-0][person:pat m 1-1]
cole| Hey Pat How was the day Are you busy right now| [person:pat m 1-1][person:pat m 7-7]
pat| It was fine I am returning from my office right now Is there something serious| [person:pat m 3-3][person:pat m 7-7][location:office s 8-8]
cole| Nothing much Pat I have prepared Mutton chaps along with Fish Molly Would you like to have a taste| [person:pat m 2-2][person:cole m 3-3][person:pat m 13-13]
pat| That s great news But I am not sure about what Anna has prepared today Let me check with her and come to you| [person:pat m 5-5][person:anna f 11-11][person:pat m 16-16][person:anna f 19-19][person:cole m 23-23]
cole| Doesn t matter Have a better food at least for today Its your call Pat| [person:pat m 12-12][person:pat m 14-14]
pat| Just now spoke with her Seems that I can have a better food for my supper Are you at your home right now| [person:anna f 4-4][person:pat m 7-7][person:pat m 14-14][person:cole m 17-17][person:cole m 19-19][location:home s 20-20]
cole| Yes Can you collect it on your way back It s been a long and tiring day for me| [person:pat m 2-2][person:pat m 6-6][person:cole m 18-18]
pat| That s okay Cole You just relax yourself I am on my way Do you want me to get something for you| [person:cole m 3-3][person:cole m 4-4][person:cole m 7-7][person:pat m 8-8][person:pat m 11-11][person:cole m 14-14][person:pat m 16-16][person:cole m 21-21]
cole| Nothing Pat I have packed it for both of you Make it fast so that you I can go to bed early| [person:pat m 1-1][person:cole m 2-2][person:pat m 9-9][person:pat m 15-15][person:cole m 16-16]
pat| Of course Just give me 15 minutes Even I am eagerly waiting to have your Mutton chops| [person:pat m 4-4][person:pat m 8-8][person:cole m 14-14]

conv:chats_1126_258:aug_0:chat_0:chataug_0| alice malcolm| [person:alice f 0-0][person:malcolm m 1-1]
malcolm| Hey Alice How are you doing| [person:alice f 1-1][person:alice f 4-4]
alice| Hey Malcolm I am fine Thank you What about you| [person:malcolm m 1-1][person:alice f 2-2][person:malcolm m 6-6][person:malcolm m 9-9]
malcolm| Yeah I am fine We are going to the beach by this week end| [person:malcolm m 1-1][person:we g(malcolm:alice) 4-4]
alice| Yes We shall go for sure But I am running out of my budget| [person:we g(malcolm:alice) 1-1][person:alice f 7-7][person:alice f 12-12]
malcolm| Yeah me too We shall invite our friends Jeff and Adam along with us| [person:malcolm m 1-1][person:we g(malcolm:alice) 3-3][person:we g(malcolm:alice) 6-6][person:friends g() 7-7][person:jeff m 8-8][person:adam m 10-10]
alice| I never met them before But you had said about them with me already| [person:alice f 0-0][person:friends g(jeff:adam) 3-3][person:malcolm m 6-6][person:friends g(jeff:adam) 10-10][person:alice f 12-12]
malcolm| Yes If they join us they can bare for the gas so it will be helpful for us| [person:friends g(jeff:adam) 2-2][person:we g(malcolm:alice) 4-4][person:friends g(jeff:adam) 5-5][person:we g(malcolm:alice) 17-17]
alice| Yeah It will be fun Inform them and let me know| [person:friends g(jeff:adam) 6-6][person:alice f 9-9]
malcolm| Okay I will let you know by this end of the day| [person:malcolm m 1-1][person:alice f 4-4]
alice| Okay I will be waiting for your positive reply| [person:alice f 1-1][person:malcolm m 6-6]

conv:chats_1126_260:aug_0:chat_0:chataug_0| gabriel vince| [person:gabriel m 0-0][person:vince m 1-1]
gabriel| Hey Vince Shall we go for a school shopping this Saturday| [person:vince m 1-1][person:we g(gabriel:vince) 3-3][location:school s 7-7]
vince| That is a good idea We can also invite Candice and Zach it will be fun| [person:we g(gabriel:vince) 5-5][person:candice f 9-9][person:zach m 11-11]
gabriel| Oh I am even more excited as I will get to see Candice| [person:gabriel m 1-1][person:gabriel m 7-7][person:candice f 12-12]
vince| Where do you want to go We should make sure Candice and Zach will like the place too| [person:gabriel m 2-2][person:we g(gabriel:vince) 6-6][person:candice f 10-10][person:zach m 12-12][location:place s 16-16]
gabriel| We shall go to the place where we went last time and I am sure that both of them would like it| [person:we g(gabriel:vince) 0-0][location:place s 5-5][person:we g(gabriel:vince) 7-7][person:gabriel m 12-12][person:them g(candice:zach) 18-18]
vince| I think we should try a new place this time How about one in the 47th street| [person:vince m 0-0][person:we g(gabriel:vince) 2-2][location:place s 7-7][location:street s 16-16]
gabriel| It s too far What do you think of one in the Road number 10| [location:street s 0-0][person:vince m 6-6][location:road s 12-12]
vince| Alright we will go with your choice You tell Candice about it and I ll invite Zach| [person:we g(gabriel:vince) 1-1][person:gabriel m 5-5][person:gabriel m 7-7][person:candice f 9-9][person:vince m 13-13][person:zach m 16-16]
gabriel| Okay We shall meet at your house in the evening| [person:we g(gabriel:vince) 1-1][person:vince m 5-5]
vince| Alright see you on Saturday Good bye| [person:gabriel m 2-2]

conv:chats_1126_264:aug_0:chat_0:chataug_0| abigail daniel| [person:abigail f 0-0][person:daniel m 1-1]
abigail| Hi Daniel Are you free I want to talk to you| [person:daniel m 1-1][person:daniel m 3-3][person:abigail f 5-5][person:daniel m 10-10]
daniel| Hi Abigail Yes I am free now Tell me what is the matter| [person:abigail f 1-1][person:daniel m 3-3][person:daniel m 8-8]
abigail| Did you notice our neighbor Mathew s garden| [person:daniel m 1-1][person:abigail___daniel g(abigail:daniel) 3-3][person:matthew m 4-4]
daniel| Yes I saw Matthew is not cleaning his garden His yard has insects and wild plants in it| [person:daniel m 1-1][person:matthew m 3-3][person:matthew m 7-7][person:matthew m 9-9]
abigail| Yes If he keeps like this it will affect our garden s also| [person:matthew m 2-2][person:abigail___daniel g(abigail:daniel) 9-9]
daniel| Yes You are right but we have to inform him about this matter seriously| [person:abigail f 1-1][person:abigail___daniel g(abigail:daniel) 5-5][person:matthew m 9-9]
abigail| Yeah But How can we approach him| [person:abigail___daniel g(abigail:daniel) 4-4][person:matthew m 6-6]
daniel| Don t worry we will approach him by tomorrow and he will definitely understand the situation| [person:abigail___daniel g(abigail:daniel) 3-3][person:matthew m 6-6][person:matthew m 10-10]
abigail| Okay Then I will be get ready by tomorrow evening 5 PM Bye| [person:abigail f 2-2]
daniel| Okay I will talk to you later Bye| [person:daniel m 1-1][person:abigail f 5-5]

conv:chats_1126_265:aug_0:chat_0:chataug_0| arthur margaret| [person:arthur m 0-0][person:margaret f 1-1]
margaret| Hey Arthur how about a game of basketball after we re finished with our homework for the night| [person:arthur m 1-1][person:margaret_and_arthur g(margaret:arthur) 9-9][person:margaret_and_arthur g(margaret:arthur) 13-13]
arthur| That is a good idea I ll ask dad to play for my side| [person:arthur m 5-5][person:dad m 8-8][person:arthur m 12-12]
margaret| Then I ll ask mom to join my team| [person:margaret f 1-1][person:mom f 4-4][person:margaret f 7-7][person:margaret_and_mom g(margaret:mom) 8-8]
arthur| That is so unfair mom is better than dad at basketball| [person:mom f 4-4][person:dad m 8-8]
margaret| But you chose dad first You can t complain now| [person:arthur m 1-1][person:dad m 3-3][person:arthur m 5-5]
arthur| I am not complaining I am just stating the facts| [person:arthur m 0-0][person:arthur m 4-4]
margaret| It looks like you re making excuses in case you lose| [person:arthur m 3-3][person:arthur m 9-9]
arthur| No we ll definitely beat you this time| [person:arthur_and_dad g(arthur:dad) 1-1][person:margaret f 5-5]
margaret| I do not think so| [person:margaret f 0-0]
arthur| It does not matter what you think we are going to win| [person:margaret f 5-5][person:arthur_and_dad g(arthur:dad) 7-7]

conv:chats_1126_266:aug_0:chat_0:chataug_0| fred madison| [person:fred m 0-0][person:madison f 1-1]
madison| Hey Fred I want to talk with you about the students| [person:fred m 1-1][person:madison f 2-2][person:fred m 7-7]
fred| Yes Madison tell me about whom you want to talk| [person:madison f 1-1][person:fred m 3-3][person:madison f 6-6]
madison| I feel Shane was inwardlooking I wanted to help out What do you say| [person:madison f 0-0][person:shane m 2-2][person:madison f 5-5][person:fred m 12-12]
fred| Yeah that s our duty to recover the students from the problem| [person:our g(madison:fred:shane) 3-3]
madison| Okay Let me inform this issue to my husband and seek his help| [person:madison f 2-2][person:madison f 7-7][person:husband m 8-8][person:husband m 11-11]
fred| Okay That s a good idea but what will you text him| [person:madison f 9-9][person:shane m 11-11]
madison| I can say that my students are facing issue of withdrawn from the other students so can you give a counseling| [person:madison f 0-0][person:madison f 4-4][person:fred m 17-17]
fred| Okay That s fine Ask him to give the appointment for the counseling| [person:husband m 5-5]
madison| That|
madison| That s Cool I will get the appointment timings and the date| [person:madison f 3-3]
fred| Okay I will inform this to our students to get ready for the counseling| [person:fred m 1-1][person:our g(madison:fred:shane) 6-6]

conv:chats_1126_267:aug_0:chat_0:chataug_0| ethan kim| [person:ethan m 0-0][person:kim f 1-1]
kim| Hey Ethan i am so excited to meet your parents| [person:ethan m 1-1][person:kim f 2-2][person:ethan m 8-8][person:parents g() 9-9]
ethan| Hey Kim yeah they re excited to meet you too| [person:kim f 1-1][person:they g(kim:ethan) 3-3][person:kim f 8-8]
kim| I wanted to know what they like the most| [person:kim f 0-0][person:they g() 5-5]
ethan| They like fruit over sweets and stuff of that sorts| [person:they g() 0-0]
kim| OK what kind of sweets they like i mean like specific varieties| [person:they g() 5-5][person:kim f 7-7]
ethan| Not sure they d even bother Hey they re only interested in meeting you not in the sweets you re bringing| [person:they g() 2-2][person:they g() 7-7][person:kim f 13-13][person:kim f 18-18]
kim| But even though i am willing to get them| [person:kim f 3-3][person:them g() 8-8]
ethan| Don t you worry Kim They re the coolest friendliest and the most relaxed people You don t have to bother| [person:kim f 2-2][person:kim f 4-4][person:they g(kim:ethan) 5-5][person:kim f 15-15]
kim| OK fine as your wish hope everything goes well| [person:ethan m 3-3]
ethan| It will go well You ll see My parents just want to meet you Come on over you ll see| [person:kim f 4-4][person:ethan m 7-7][person:parents g() 8-8][person:kim f 13-13][person:kim f 17-17]

conv:chats_1126_269:aug_0:chat_0:chataug_0| denise jade| [person:denise f 0-0][person:jade f 1-1]
jade| Hi Denise How was the day| [person:denise f 1-1]
denise| Hi Jade My day was good How was your day| [person:jade f 1-1][person:denise f 2-2][person:jade f 8-8]
jade| Yeah It went good Are you coming for the pool party at Carol s house| [person:denise f 5-5][location:carol_s_house s 10-10][person:carol f 12-12]
denise| Yes I was eagerly waiting to attend the party Do you have a perfect swim suit| [person:denise f 1-1][location:carol_s_house s 8-8][person:jade f 10-10]
jade| Yes I have 2 sets with me Do you want it| [person:jade f 1-1][person:jade f 6-6][person:denise f 8-8]
denise| I want one but I have a problem here That I do not know how my crushes will take it| [person:denise f 0-0][person:denise f 4-4][person:denise f 10-10][person:denise f 15-15]
jade| Yeah They will feel guilty But we can handle it by wearing different colors| [person:crushes g() 1-1][person:we g(jade:denise) 6-6]
denise| Yeah Colors will separate our views Let me collect the swim suit by tomorrow| [person:we g(jade:denise) 4-4][person:denise f 7-7]
jade| Okay I will be waiting for you in my home by tomorrow evening Bye| [person:jade f 1-1][person:denise f 6-6][person:jade f 8-8][location:home s 9-9]
denise| Okay I will be there by 500 PM in your home See you| [person:denise f 1-1][location:home s 4-4][person:jade f 9-9][person:jade f 12-12]

conv:chats_1126_270:aug_0:chat_0:chataug_0| alissa wanda| [person:alissa f 0-0][person:wanda f 1-1]
alissa| Hey Wanda Are you interested in playing football today| [person:wanda f 1-1][person:wanda f 3-3]
wanda| Yes Wanda I m bored from morning and I want a refresher to boost my self I think soccer is a great idea| [person:wanda f 1-1][person:wanda f 2-2][person:wanda f 8-8][person:wanda f 14-14][person:wanda f 16-16]
alissa| Fine then we should play today Tell your dad that we are playing in my house and we ll be very careful about it| [person:we g(alissa:wanda) 2-2][person:wanda f 7-7][person:dad m 8-8][person:we g(alissa:wanda) 10-10][person:alissa f 14-14][person:we g(alissa:wanda) 17-17]
wanda| I don t think so he will accept It s sunny outside and my dad generally do not entertain these activities in the sun| [person:wanda f 0-0][person:dad m 5-5][person:wanda f 13-13][person:dad m 14-14]
alissa| If that is the case then son t inform him Let him search for you for a while and then we will surprise him| [person:dad m 9-9][person:dad m 11-11][person:wanda f 14-14][person:we g(alissa:wanda) 20-20][person:dad m 23-23]
wanda| Then you won t see me from next time Let s not do this stunts and be honest I will talk to my dad I hope he will agree| [person:alissa f 1-1][person:wanda f 5-5][person:wanda f 18-18][person:wanda f 22-22][person:dad m 23-23][person:wanda f 24-24][person:dad m 26-26]
alissa| That was my first advice given to you You were not interested in that initially Now did you understand how I brought your interest back in that| [person:alissa f 2-2][person:wanda f 7-7][person:wanda f 8-8][person:wanda f 17-17][person:alissa f 20-20][person:wanda f 22-22]
wanda| Guess what He agreed to send me out My mom also help me in the middle| [person:dad m 2-2][person:wanda f 6-6][person:wanda f 8-8][person:mom f 9-9][person:wanda f 12-12]
alissa| That will be fun Let me try bringing in my mom too| [person:alissa f 5-5][person:alissa f 9-9][person:mom f 10-10]
wanda| Yeah I want to see how aunt plays as well See you soon| [person:wanda f 1-1][person:mom f 6-6][person:alissa f 11-11]

conv:chats_1126_271:aug_0:chat_0:chataug_0| nancy zach| [person:nancy f 0-0][person:zach m 1-1]
zach| Hi Nancy can you give Don a ride home this coming Friday Or do you know any other parent who can I am busy with some work that day| [person:nancy f 1-1][person:nancy f 3-3][location:home s 8-8][person:nancy f 14-14][person:parent u 18-18][person:zach m 21-21]
nancy| I am sorry I am busy this Friday I ll check with Lindsey| [person:nancy f 0-0][person:nancy f 3-3][person:nancy f 8-8][person:lindsey f 12-12]
zach| Thank you Please let me know if she s available| [person:nancy f 1-1][person:zach m 4-4][person:lindsey f 7-7]
nancy| I just talked to her unfortunately she is also unavailable that day| [person:nancy f 0-0][person:lindsey f 4-4][person:lindsey f 6-6]
zach| What do you suggest I should do| [person:nancy f 2-2][person:zach m 4-4]
nancy| I can take Don to my house then later Nick will drop him at your house| [person:nancy f 0-0][person:nancy f 5-5][person:nick m 9-9][person:nick m 12-12][person:zach m 14-14][location:house s 15-15]
zach| Are you sure that s a good idea| [person:nancy f 1-1]
nancy| Don always has a great time at my house I am sure he will be okay with this| [person:nancy f 7-7][location:house s 8-8][person:nancy f 9-9][person:don m 12-12]
zach| Thank you so much Nancy| [person:nancy f 1-1][person:nancy f 4-4]
nancy| It s okay just remember you owe me| [person:zach m 5-5][person:nancy f 7-7]

conv:chats_1126_272:aug_0:chat_0:chataug_0| bradley justin| [person:bradley m 0-0][person:justin m 1-1]
bradley| Hey Justin I am very new to this I really don t have any idea about what to get and how many| [person:justin m 1-1][person:bradley m 2-2][person:bradley m 8-8]
justin| Nothing to worry It s very easy Since you are coming through the outer ring road you can get some Oranges and Kiwi from the B mall| [person:bradley m 8-8][location:road s 15-15][person:bradley m 16-16][location:mall s 26-26]
bradley| How about the quantity Is it very cheap here Oranges and Kiwi| [location:mall s 8-8]
justin| There they have a good plantations of those fruits I can get apple and grape here Get half a pound of each fruit| [person:justin m 9-9][location:mall s 15-15]
bradley| How did you gather so much knowledge about this Are you very regular in going to markets| [person:justin m 2-2][person:justin m 10-10][location:markets s 16-16]
justin| Not at all My wife Jasmine is an expert in this and I should really thank her for my knowledge| [person:justin m 3-3][person:jasmine f 4-4][person:jasmine f 5-5][person:justin m 12-12][person:jasmine f 16-16][person:justin m 18-18]
bradley| You re very lucky to have such a wife Can you tell me how much will all of these costs| [person:justin m 0-0][person:jasmine f 8-8][person:justin m 10-10][person:bradley m 12-12]
justin| I am good at managing a house and many other things But I am very bad at my mathematics| [person:justin m 0-0][location:house s 6-6][person:justin m 12-12][person:justin m 17-17]
bradley| That s very funny Can you ask this to Jenny She is very good at estimating| [person:justin m 5-5][person:jenny f 9-9][person:jenny f 10-10]
justin| Sure I ll let you know once I had a word with her See you soon| [person:justin m 1-1][person:bradley m 4-4][person:justin m 7-7][person:jenny f 12-12][person:bradley m 14-14]

conv:chats_1126_273:aug_0:chat_0:chataug_0| cameron terry| [person:cameron f 0-0][person:terry m 1-1]
cameron| Hey Terry we thought of playing a tennis match do you remember that| [person:terry m 1-1][person:we g(cameron:terry) 2-2][person:terry m 10-10]
terry| Yeah sure I m on my way now| [person:terry m 2-2][person:terry m 5-5]
cameron| OK come fast so that we will finish the match early and go home| [person:we g(cameron:terry) 5-5][location:home s 13-13]
terry| Actually I met a friend of mine Andrew and he s interested in joining us for a game| [person:terry m 1-1][person:andrew m 4-4][person:terry m 6-6][person:andrew m 7-7][person:andrew m 9-9][person:we g(cameron:terry) 14-14]
cameron| Its okay form me to play doubles get him with you| [person:cameron f 3-3][person:andrew m 8-8][person:terry m 10-10]
cameron| for|
terry| That s nice We might need a fourth person I think| [person:we g(cameron:terry) 3-3][person:terry m 9-9]
cameron| Yea right whom can we call up| [person:we g(cameron:terry) 4-4]
terry| We got Tommy Gus and Elle to choose from to be the fourth| [person:we g(cameron:terry) 0-0][person:tommy m 2-2][person:gus m 3-3][person:elle f 5-5]
cameron| OK lets go with Tommy for the match| [person:tommy m 4-4][location:match s 7-7]
terry| Okay sure I ll invite him| [person:terry m 2-2][person:tommy m 5-5]

conv:chats_1126_274:aug_0:chat_0:chataug_0| clyde macy| [person:clyde m 0-0][person:macy f 1-1]
clyde| Macy I think using china for all the guests is too expensive| [person:macy f 0-0][person:clyde m 1-1][location:china s 4-4]
macy| I don t think so Clyde What other option do we have| [person:macy f 0-0][person:clyde m 5-5][person:we g(clyde:macy) 10-10]
clyde| I think we should go with a different and cheaper option| [person:clyde m 0-0][person:we g(clyde:macy) 2-2]
macy| Alright I ll find a lower price for china| [person:macy f 1-1][location:china s 8-8]
clyde| How do you plan on doing that| [person:clyde m 2-2]
macy| I ll talk to Maya to see if she can shop around for a discount on china| [person:macy f 0-0][person:maya f 4-4][person:clyde m 8-8][location:china s 16-16]
clyde| Alright we will see how it goes What about the total number of guests| [person:we g(clyde:macy) 1-1]
macy| I m working on the guest list I ll tell you once it s finalized| [person:macy f 0-0][person:macy f 7-7][person:clyde m 10-10]
clyde| Did you decide on the decorations yet| [person:macy f 1-1]
macy| No I will talk to Maya about that tomorrow| [person:maya f 1-1][person:maya f 5-5]

conv:chats_1126_275:aug_0:chat_0:chataug_0| ed malcolm| [person:ed m 0-0][person:malcolm m 1-1]
malcolm| Hey Ed guess what I won the Texas lotto| [person:ed m 1-1][person:malcolm m 4-4]
ed| That s great How much did you win| [person:malcolm m 6-6]
malcolm| I ll get around 15000 after all the taxes| [person:malcolm m 0-0]
ed| Amazing What do you plan to do with all that money| [person:malcolm m 3-3]
malcolm| I ll tell my family first and then decide on what to do with the money| [person:malcolm m 0-0][person:malcolm m 3-3][person:family g() 4-4]
ed| Have you told Benjamin and Jasmine| [person:malcolm m 1-1][person:benjamin m 3-3][person:jasmine f 5-5]
malcolm| No and I don t want them to know| [person:malcolm m 2-2][person:them g(benjamin:jasmine) 6-6]
ed| Why I thought you liked them as you guys hangout often| [person:ed m 1-1][person:malcolm m 3-3][person:them g(benjamin:jasmine) 5-5][person:malcolm m 7-7]
malcolm| They are good to hang out with but I know that Jasmine will suddenly need to borrow money Benjamin would want to go out to dinner and forget his wallet| [person:they g(benjamin:jasmine) 0-0][person:malcolm m 8-8][person:jasmine f 11-11][person:benjamin m 18-18][person:benjamin m 28-28]
ed| Alright it s up to you| [person:malcolm m 5-5]

conv:chats_1126_280:aug_0:chat_0:chataug_0| dom sharon| [person:dom m 0-0][person:sharon f 1-1]
dom| Hey Sharon I need a favor from you I need you to pick some cigars for me| [person:sharon f 1-1][person:dom m 2-2][person:sharon f 7-7][person:dom m 8-8][person:sharon f 10-10][person:dom m 16-16]
sharon| Have you gone mad Have you forgotten the advice given by the doctor during last checkup| [person:dom m 1-1][person:dom m 5-5][person:doctor u 12-12]
dom| I remember everything But try to understand my situation right now My hand are shivering Please help me| [person:dom m 0-0][person:dom m 7-7][person:dom m 11-11][person:dom m 17-17]
sharon| I need to speak with Christina regarding this I am sure that she will curse me if I do according to your wish| [person:sharon f 0-0][person:christina f 5-5][person:sharon f 8-8][person:christina f 12-12][person:sharon f 15-15][person:sharon f 17-17][person:dom m 21-21]
dom| Its better to live for 1 day happily than to live for 100 days sadly I have started loosing myself I am addicted to it| [person:dom m 15-15][person:dom m 19-19][person:dom m 20-20]
sharon| It s all up in your mind Try to control that You cannot continue your addiction further| [person:sharon f 5-5][person:sharon f 11-11][person:sharon f 14-14]
dom| You wont understand now Everyone will get to know about my issue only when after I get mad without cigars I am sure it will be late by then| [person:sharon f 0-0][person:everyone g() 4-4][person:dom m 10-10][person:dom m 15-15][person:dom m 20-20]
sharon| Please try to understand If I do this and if something happens to you because of this I ll regret that my whole life time Please don t give me such a punishment| [person:sharon f 5-5][person:dom m 13-13][person:sharon f 17-17][person:sharon f 21-21][person:sharon f 29-29]
dom| You think that you are trying to help me But I am very sorry to say that you have failed I have tried all possible ways to make you understand I have lost| [person:dom m 0-0][person:sharon f 3-3][person:dom m 8-8][person:dom m 10-10][person:sharon f 17-17][person:sharon f 28-28]
sharon| I don t want you to loose and I don t want to loose you I ll get the cigars Make sure Christina is unaware about it| [person:sharon f 0-0][person:dom m 4-4][person:sharon f 8-8][person:dom m 14-14][person:sharon f 15-15][person:christina f 22-22]

conv:chats_1126_281:aug_0:chat_0:chataug_0| christopher orlando| [person:christopher m 0-0][person:orlando m 1-1]
christopher| Hey Orlando I just noticed water coming into our home form the creek down the street I was wondering if you have the same problem| [person:orlando m 1-1][person:christopher m 2-2][person:our g(christopher) 8-8][location:home s 9-9][location:street s 15-15][person:christopher m 16-16][person:orlando m 20-20]
orlando| I don t know about it as I am not at home right now| [person:orlando m 0-0][person:orlando m 7-7][location:home s 11-11]
christopher| Alright I thought this might be a common problem| [person:christopher m 1-1]
orlando| Why don t you check with Macy and Barry| [person:christopher m 3-3][person:macy f 6-6][person:barry m 8-8]
christopher| That is a good idea I ll do that| [person:christopher m 5-5]
christopher| I just checked with Barry he confirmed that he has the same problem| [person:christopher m 0-0][person:barry m 4-4][person:barry m 5-5][person:barry m 8-8]
orlando| Do you know how to fix the problem| [person:christopher m 1-1]
christopher| I do not have any knowledge in that area| [person:christopher m 0-0]
orlando| Do you know any contractor who can work fix this| [person:christopher m 1-1]
christopher| Actually I do I ll talk to him as soon as possible| [person:christopher m 1-1][person:christopher m 3-3][person:him m 7-7]
orlando| Alright tell me how it goes| [person:orlando m 2-2]

conv:chats_1126_282:aug_0:chat_0:chataug_0| jackie jeff| [person:jackie f 0-0][person:jeff m 1-1]
jeff| Hi Jackie How was the work going on| [person:jackie f 1-1]
jackie| Hello Jeff Yeah the work is going good| [person:jeff m 1-1]
jeff| What about our friends Jean and Patrick Are you in contact with them| [person:our g(jeff:jackie) 2-2][person:friends g() 3-3][person:jean f 4-4][person:patrick m 6-6][person:jackie f 8-8][person:friends g(jean:patrick) 12-12]
jackie| Yes last week also I met them in the pub Why| [person:jackie f 4-4][person:friends g(jean:patrick) 6-6]
jeff| Yes We shall invite them to our garden grooming| [person:our g(jeff:jackie) 1-1][person:friends g(jean:patrick) 4-4][person:our g(jeff:jackie) 6-6]
jackie| Wow That was a nice idea Patrick is a plant lover so he definitely like it| [person:patrick m 6-6][person:patrick m 12-12]
jeff| Oh That s great I think Patrick is out of station on that day But I am not sure about Jean| [person:jeff m 4-4][person:patrick m 6-6][location:station s 10-10][person:jeff m 15-15][person:jean f 20-20]
jackie| No Just now I asked him he is available on that day He also said that he will ask Jean and let us know| [person:jackie f 3-3][person:patrick m 5-5][person:patrick m 6-6][person:patrick m 12-12][person:patrick m 16-16][person:jean f 19-19][person:our g(jeff:jackie) 22-22]
jeff| Okay Let us wait for their reply Catch you later| [person:our g(jeff:jackie) 2-2][person:friends g(jean:patrick) 5-5][person:jackie f 8-8]
jackie| Okay Once i get the reply let you know bye| [person:jackie f 2-2][person:jeff m 7-7]

conv:chats_1126_286:aug_0:chat_0:chataug_0| lori tony| [person:lori f 0-0][person:tony m 1-1]
lori| Hi Tony How are you doing Where are you| [person:tony m 1-1][person:tony m 4-4][person:tony m 8-8]
tony| Hi Lori I am doing good What about you| [person:lori f 1-1][person:tony m 2-2][person:lori f 8-8]
lori| I am fine Tell me where are you| [person:lori f 0-0][person:lori f 4-4][person:tony m 7-7]
tony| I am near the dunk tank I found Mr Smith here| [person:tony m 0-0][person:tony m 6-6][person:smith m 9-9]
lori| Oh Is it What he is doing there| [person:smith m 4-4]
tony| Wait I will send you a picture and then you confirm it| [person:tony m 1-1][person:lori f 4-4][person:lori f 9-9]
lori| Okay Send me soon I will tell what he is about to| [person:lori f 2-2][person:lori f 4-4][person:smith m 8-8]
tony| Yeah I had sent the picture in your what s app Check it| [person:tony m 1-1][person:lori f 7-7]
