conv:people_2019082001_6:aug_0:chat_0:chataug_0| benjamin mike| [person:benjamin m 0-0][person:mike m 1-1]
denise| That s great I m free and we can plan to meet when you get here| [person:denise f 3-3][person:we g(caroline:denise) 7-7][person:caroline f 13-13][location:new_york s 15-15]
caroline| Thanks Do you know where Linda Ben and Nate live I was hoping to meet them as well| [person:denise f 2-2][person:linda f 5-5][person:ben m 6-6][person:nate m 8-8][person:caroline f 10-10][person:them g(ben:linda:nate) 15-15]
denise| That s a great idea We could all meet up for dinner at some restaurant I ll contact them and see where we can meet| [person:we g(caroline:denise:ben:linda:nate) 5-5][location:restaurant s 14-14][person:denise f 15-15][person:them g(ben:linda:nate) 18-18][person:we g(caroline:denise:ben:linda:nate) 22-22]
caroline| Thank you so much Do let me know where we ll meet once you guys decide| [person:denise f 1-1][person:caroline f 6-6][person:we g(caroline:denise:ben:linda:nate) 9-9][person:friends g(denise:ben:linda:nate) 13-13]
denise| Sure Since Ben doesn t like to drive too far I ll find some good place close to where he lives| [person:ben m 2-2][person:denise f 10-10][location:place s 15-15][person:ben m 19-19]
caroline| That works for me Just let me know by Friday| [person:caroline f 3-3][person:caroline f 6-6]
denise| Will do See you on Saturday then Bye| [person:caroline f 3-3]
caroline| Bye Take care and see you soon| [person:denise f 5-5]

conv:people_2019082201_15:aug_0:chat_0:chataug_0| mary michelle| [person:mary f 0-0][person:michelle f 1-1]
mary| Hi Michelle| [person:michelle f 1-1]
michelle| Hi Mary| [person:mary f 1-1]
mary| Are you free now| [person:michelle f 1-1]
michelle| No I am not I have a meeting with Matthew| [person:michelle f 1-1][person:michelle f 4-4][person:matthew m 9-9]
mary| Oh|
michelle| Is there any problem|
mary| No I told Shirley that I will come to pick up her But I can t go because of the work| [person:mary f 1-1][person:shirley f 3-3][person:mary f 5-5][person:michelle f 11-11][person:mary f 13-13]
michelle| Oh I also can t go| [person:michelle f 1-1]
mary| When you have meeting with Matthew| [person:michelle f 1-1][person:matthew m 5-5]
michelle| Evening 4 30 PM|
mary| Then you can go and pickup Shirley| [person:michelle f 1-1][person:shirley f 6-6]
michelle| What about the time|
mary| She is waiting now It will take only 30 minutes| [person:shirley f 0-0]
michelle| Are you sure| [person:michelle f 1-1]
mary| Yes you can return before 4 30PM| [person:michelle f 1-1]
michelle| Ok I will go| [person:michelle f 1-1]
mary| Thank you| [person:michelle f 1-1]

conv:people_2019082201_16:aug_0:chat_0:chataug_0| ashley patrick| [person:ashley f 0-0][person:patrick m 1-1]
patrick| I have a plan for this weekend Would you like to join with me| [person:patrick m 0-0][person:ashley f 8-8][person:patrick m 13-13]
ashley| That s great what s that anything interesting|
patrick| No just hanging around with my friends Megan Mary and Jim| [person:patrick m 5-5][person:friends g() 6-6][person:megan f 7-7][person:mary f 8-8][person:jim m 10-10]
ashley| May I know them Had I met them before| [person:ashley f 1-1][person:friends g(megan:mary:jim) 3-3][person:ashley f 5-5][person:friends g(megan:mary:jim) 7-7]
patrick| Yes I think once in a party a long time before| [person:patrick m 1-1][location:party s 6-6]
ashley| Sorry I can t remember Well happy for you will meet after this weekend| [person:ashley f 1-1][person:patrick m 8-8]
patrick| What Aren t you coming with us| [person:ashley f 3-3][person:us g(patrick:megan:mary:jim) 6-6]
ashley| No sorry I can t I don t know anything about your friends and I feel nervous to meet new people| [person:ashley f 2-2][person:ashley f 5-5][person:patrick m 11-11][person:friends g(megan:mary:jim) 12-12][person:ashley f 14-14]
patrick| They are not the new persons They are my friends and they are also easily mingle with us| [person:friends g(megan:mary:jim) 0-0][person:friends g(megan:mary:jim) 6-6][person:patrick m 8-8][person:friends g(megan:mary:jim) 9-9][person:friends g(megan:mary:jim) 11-11]
ashley| But I feel I could not come Please understand me| [person:ashley f 1-1][person:ashley f 3-3][person:ashley f 9-9]
patrick| No You have to come Don t feel I am there for you and my friends will love to have you as their friend| [person:ashley f 1-1][person:patrick m 8-8][person:ashley f 12-12][person:patrick m 14-14][person:friends g(megan:mary:jim) 15-15][person:ashley f 20-20][person:ashley f 23-23]
ashley| Okay will try|

conv:people_2019082201_19:aug_0:chat_0:chataug_0| charlotte ellen| [person:charlotte f 0-0][person:ellen f 1-1]
ellen| I bumped into Phil this morning and he said he can t make it to lunch| [person:ellen f 0-0][person:phil m 3-3][person:phil m 7-7][person:phil m 9-9]
charlotte| Oh no I was looking forward to hanging out with Phil and Julie| [person:charlotte f 2-2][person:phil m 10-10][person:julie f 12-12]
ellen| Yeah I know Let s set up a different time to meet up with them How does that sound| [person:ellen f 1-1][person:them g(phil:julie) 14-14]
charlotte| Yeah sure I have to look at my calendar to see when I can meet up| [person:charlotte f 2-2][person:charlotte f 7-7][person:charlotte f 12-12]
ellen| Sounds good I m free on Saturday if that s a good day for you| [person:ellen f 2-2][person:charlotte f 14-14]
charlotte| Let me see Saturday works I have pilates in the morning and a doctor visit at 1pm| [person:charlotte f 1-1][person:charlotte f 5-5]
ellen| Okay That s fine I m spending some time with my parents that morning so I m free afterwards| [person:ellen f 4-4][person:ellen f 10-10][person:parents g(phil:julie) 11-11][person:ellen f 15-15]
charlotte| Okay Do you want to meet up in the evening around 6pm Will that work| [person:ellen f 2-2]
ellen| Sure Hm what do you want to do Maybe some dinner| [person:charlotte f 4-4]
charlotte| Okay What about the new Italian restaurant Luigi s I heard it s really good| [location:restaurant s 6-6][person:charlotte f 9-9][location:restaurant s 11-11]
ellen| Yeah I heard about it too I can t wait Let me ask the Clarks if that s a good day for them| [person:ellen f 1-1][location:restaurant s 4-4][person:ellen f 6-6][person:ellen f 11-11][person:them g(phil:julie) 22-22]

conv:people_2019082201_22:aug_0:chat_0:chataug_0| jackie martha| [person:jackie f 0-0][person:martha f 1-1]
martha| What do we need for our trip| [person:we g(martha:jackie) 2-2][person:our g(martha:jackie) 5-5]
jackie| Gas hotels food and entertanment| [location:hotels g() 1-1]
martha| Who will buy what|
jackie| Nicholas has a lot of money so he should cover hotels| [person:nicholas m 0-0][person:nicholas m 7-7][location:hotels g() 10-10]
martha| I will take care of gas since I am driving| [person:martha f 0-0][person:martha f 7-7]
jackie| Julie can take care of food| [person:julie f 0-0]
martha| Nicholas and Lisa can split hotel costs as that may run higher and I want it to be fair| [person:nicholas m 0-0][person:lisa f 2-2][location:hotel s 5-5][person:martha f 13-13]
jackie| I say we all divide entertainment equal| [person:jackie f 0-0][person:we g(martha:jackie) 2-2]
martha| Sounds fair|
jackie| We could also divide everything equal and pay as we go| [person:we g(martha:jackie) 0-0][person:we g(martha:jackie) 9-9]
martha| I will text Nicholas Julie and Lisa to see what they think| [person:martha f 0-0][person:nicholas m 3-3][person:julie f 4-4][person:lisa f 6-6][person:they g(nicholas:julie:lisa) 10-10]
jackie| Let me know as soon as you know| [person:jackie f 1-1][person:martha f 6-6]
martha| Alright going to text them now bye| [person:them g(nicholas:julie:lisa) 4-4]
jackie| Good luck|

conv:people_2019082201_23:aug_0:chat_0:chataug_0| lara terry| [person:lara f 0-0][person:terry m 1-1]
lara| Hi Terry| [person:terry m 1-1]
terry| Hi Lara| [person:lara f 1-1]
lara| Do you know Ruth and Carolyn coming to meet us| [person:terry m 1-1][person:ruth f 3-3][person:carolyn f 5-5][person:us g(lara:terry) 9-9]
terry| Lara Yes I know Lara told me about that| [person:lara f 0-0][person:terry m 2-2][person:lara f 4-4][person:terry m 6-6]
lara| Do you have any plan to surprise them| [person:terry m 1-1][person:them g(ruth:carolyn) 7-7]
terry| I told her that I had work on that day| [person:terry m 0-0][person:ruth f 2-2][person:terry m 4-4]
lara| Nice It will be fun|
terry| Ok what is our next plan| [person:us g(lara:terry) 3-3]
lara| We will go for theater Carolyn is interested in cinemas| [person:us g(lara:terry) 0-0][location:theater s 4-4][person:carolyn f 5-5]
terry| Yes That sounds nice|
lara| Then we can go for memorial places such as museums| [person:us g(lara:terry) 1-1][location:places g() 6-6][location:museums g() 9-9]
terry| Yes Do you have bike It will be useful to take a trip around the town| [person:lara f 2-2][location:town s 15-15]
lara| Yes I have Then| [person:lara f 1-1]
terry| Then we can go for restaurant| [person:us g(lara:terry) 1-1][location:restaurant s 5-5]
lara| That sounds perfect|

conv:people_2019082201_24:aug_0:chat_0:chataug_0| edgar karan| [person:edgar m 0-0][person:karan m 1-1]
karan| Hey man where do you want to watch the game I m so hungry| [person:edgar m 4-4][person:karan m 10-10]
edgar| There s a sports bar near Darren s house| [location:sports_bar s 3-4][person:darren m 6-6][location:darren_s_house s 8-8]
karan| No that place is way too loud Let s find somewhere quieter| [location:sports_bar s 2-2]
edgar| Hmmm could we just go watch it at Jim s house I don t want to drive too far| [person:we g(karan:edgar) 2-2][person:jim m 8-8][location:jim_s_house s 10-10][person:edgar m 11-11]
karan| That might work What does Jim think| [person:jim m 5-5]
edgar| I don t know I haven t heard from him yet Maybe we should find another place instead| [person:edgar m 0-0][person:edgar m 4-4][person:jim m 9-9][person:we g(karan:edgar) 12-12][location:place s 16-16]
karan| How about Buffalo Wild Wings| [location:buffalo_wild_wings s 2-2]
edgar| Oh wings sound fantastic Let s go there| [location:buffalo_wild_wings s 7-7]
karan| Good it s close to all of us It s practically in the middle| [location:buffalo_wild_wings s 1-1][person:us g(karan:edgar:darren:jim) 7-7][location:buffalo_wild_wings s 8-8]
edgar| True see you there| [person:karan m 2-2][location:buffalo_wild_wings s 3-3]

conv:people_2019082201_26:aug_0:chat_0:chataug_0| austin howard| [person:austin m 0-0][person:howard m 1-1]
austin| Hi Howard| [person:howard m 1-1]
howard| Hi Austin| [person:austin m 1-1]
austin| Do you think about the concert| [person:howard m 1-1][location:concert s 5-5]
howard| I am always thinking about the concert| [person:howard m 0-0][location:concert s 6-6]
austin| Nice When you are planning to go| [person:howard m 2-2]
howard| I have work for this weekend| [person:howard m 0-0]
austin| Then when you are free| [person:howard m 2-2]
howard| I am free at wednesday| [person:howard m 0-0]
austin| Did you invite others to the concert| [person:howard m 1-1][person:others g() 3-3][location:concert s 6-6]
howard| Yes Dylan and Aaron both are interested in the concert| [person:dylan m 1-1][person:aaron m 3-3][location:concert s 9-9]
austin| That s nice It will be fun if they are with us| [location:concert s 3-3][person:others g(dylan:aaron) 8-8][person:us g(austin:howard) 11-11]
howard| Yes|
austin| Did you asked them when they are free| [person:howard m 1-1][person:others g(dylan:aaron) 3-3][person:others g(dylan:aaron) 5-5]
howard| Yes They both are also free in wednesday| [person:others g(dylan:aaron) 1-1]
austin| That s nice So we can go for wednesday| [person:we g(austin:howard:dylan:aaron) 4-4]
howard| Ok Fine Then we will meet on wednesday| [person:we g(austin:howard:dylan:aaron) 3-3]

conv:people_2019082201_27:aug_0:chat_0:chataug_0| george kenneth| [person:george m 0-0][person:kenneth m 1-1]
george| I was thinking about having a brunch and wanted to invite you Kim and Juan| [person:george m 0-0][person:kenneth m 11-11][person:kim f 12-12][person:juan m 14-14]
kenneth| That sounds great I m sure Kim and Juan would enjoy that| [person:kenneth m 3-3][person:kim f 6-6][person:juan m 8-8]
george| I m trying to decide what day would be best I was thinking next Saturday What do you think| [person:george m 0-0][person:george m 10-10][person:kenneth m 17-17]
kenneth| Kim is going on a business retreat next weekend Maybe the weekend after| [person:kim f 0-0]
george| Really want Kim to be able to make it Next weekend sounds good Do you which day would be best for both of them Saturday or Sunday| [person:kim f 2-2][person:kenneth m 14-14][person:them g(kim:juan) 23-23]
kenneth| I think Juan works some Saturdays but usually just in the morning until noon or so so either could work| [person:kenneth m 0-0][person:juan m 2-2]
george| Do you think he d enjoy it as much coming straight from work Should I make it Sunday| [person:kenneth m 1-1][person:juan m 3-3][person:george m 14-14]
kenneth| I think it would be fine either way| [person:kenneth m 0-0]
george| What about you do you have a preference| [person:kenneth m 2-2][person:kenneth m 4-4]
kenneth| Either works for me but if it s Saturday it would have to be after 1 p m since I go to services at my Synagogue Saturday mornings| [person:kenneth m 3-3][person:kenneth m 19-19][person:kenneth m 24-24]
george| Do you think you d want to go to a brunch after services Would you prefer Sunday| [person:kenneth m 1-1][person:kenneth m 3-3][person:kenneth m 14-14]
kenneth| I m fine with Saturday afternoon but if Sunday is better for you I can do that too| [person:kenneth m 0-0][person:george m 12-12][person:kenneth m 13-13]
george| Okay how about Saturday at 130|
kenneth| Sounds good to me that will also give Juan time to get back from work and be ready for it too| [person:kenneth m 3-3][person:juan m 8-8]
george| Wonderful I ll give Kim and Juan a call now| [person:george m 1-1][person:kim f 4-4][person:juan m 6-6]

conv:people_2019082201_28:aug_0:chat_0:chataug_0| ben derrick| [person:ben m 0-0][person:derrick m 1-1]
derrick| We should do poker night soon| [person:we g(derrick:ben) 0-0]
ben| I agree Who all should we invite| [person:ben m 0-0][person:we g(derrick:ben) 5-5]
derrick| We ve mentioned it to Brian Wayne Gregory and Michael| [person:we g(derrick:ben) 0-0][person:brian m 5-5][person:wayne m 6-6][person:gregory m 7-7][person:michael m 9-9]
ben| Michael cheats maybe we won t invite him this time| [person:michael m 0-0][person:we g(derrick:ben) 3-3][person:michael m 7-7]
derrick| Really Ok we won t invite him then| [person:we g(derrick:ben) 2-2][person:michael m 6-6]
ben| Where should we go| [person:we g(derrick:ben) 2-2]
derrick| Oh I was just thinking we d do it at your house| [person:derrick m 1-1][person:we g(derrick:ben) 5-5][person:ben m 10-10]
ben| It s a little small here But the condo does have a clubhouse we could use| [person:we g(derrick:ben) 13-13]
derrick| Oh perfect Let s use that if it s ok|
ben| I ll reserve it shouldn t be a problem| [person:ben m 0-0]

conv:people_2019082201_30:aug_0:chat_0:chataug_0| derrick josh| [person:derrick m 0-0][person:josh m 1-1]
derrick| Hey Josh I wanted to ask if you wanted to go on a road trip with us| [person:josh m 1-1][person:derrick m 2-2][person:josh m 7-7][location:road s 13-13][person:edgar_jim_derrick g(derrick) 16-16]
josh| Hey man that sounds cool but who is us| [person:edgar_jim_derrick g(derrick) 8-8]
derrick| I m planning to go with my roommates Edgar and Jim and you hopefully| [person:derrick m 0-0][person:derrick m 6-6][person:edgar m 8-8][person:jim m 10-10][person:josh m 12-12]
josh| I see well I m not so sure cause I don t know those guys really Wouldn t it be awkward| [person:josh m 0-0][person:josh m 3-3][person:josh m 9-9]
derrick| Nah I don t think so Edgar is super into baseball like you so you ll get along and Jim is a pretty friendly guy too| [person:derrick m 1-1][person:edgar m 6-6][person:josh m 12-12][person:josh m 14-14][person:jim m 19-19]
josh| I see how long would the road trip be if ever| [person:josh m 0-0][location:road s 6-6]
derrick| It ll be around five to six days plenty of time to get to know each other And worst case scenario at least you know me| [person:josh m 23-23][person:derrick m 25-25]
josh| Alright I guess I could use some socializing and some adventure you can count me in| [person:josh m 1-1][person:josh m 3-3][person:derrick m 11-11][person:josh m 14-14]
derrick| Cool let s all meet up at my place next Friday and we ll just plan things along the way| [person:derrick m 7-7][location:place s 8-8][person:edgar__derrick__josh__jim g(derrick:josh:edgar:jim) 12-12]
josh| Alright got it thank you for inviting me looking forward to it| [person:derrick m 4-4][person:josh m 7-7]

conv:people_2019082201_32:aug_0:chat_0:chataug_0| maria shawn| [person:maria f 0-0][person:shawn m 1-1]
maria| Hi guess what I m having dinner with Juan next week before he goes back to Seattle| [person:maria f 3-3][person:juan m 8-8][person:juan m 12-12][location:seattle s 16-16]
shawn| That s great I haven t seen him since last year when he was in town| [person:shawn m 3-3][person:juan m 7-7][person:juan m 12-12][location:town s 15-15]
maria| Why don t you join us We re going for seafood on Wednesday night after work down by the pier| [person:shawn m 3-3][person:us g(maria:juan) 5-5][person:us g(maria:juan) 6-6][location:the_pier_ s 18-19]
shawn| Man that would be great You sure Juan won t mind extra company| [person:maria f 5-5][person:juan m 7-7]
maria| He d like to see you He was talking about you the other day and said he d like to see you before he goes home| [person:juan m 0-0][person:shawn m 5-5][person:juan m 6-6][person:shawn m 10-10][person:juan m 16-16][person:shawn m 21-21][person:juan m 23-23][location:home s 25-25]
shawn| Hey my friend Phil gets home on Tuesday You haven t met him yet he s new here Any chance I could invite him along| [person:shawn m 1-1][person:phil m 2-2][person:phil m 3-3][person:maria f 8-8][person:phil m 12-12][person:phil m 14-14][person:shawn m 20-20][person:phil m 23-23]
maria| I don t see why not as long as he likes seafood and is ok with our usual arrangement of everyone getting their own check| [person:maria f 0-0][person:phil m 9-9][person:our g(maria:shawn:juan) 16-16][person:everyone g(maria:shawn:juan:phil) 20-20][person:everyone g(maria:shawn:juan:phil) 22-22]
shawn| That s a given You think Juan ll be ok with it Phil needs to meet new people and get around a bit in the city| [person:maria f 4-4][person:juan m 6-6][person:phil m 12-12][location:city s 25-25]
maria| It would be a good chance for him to see that part of town and the crab legs are the best| [person:phil m 7-7][location:town s 13-13]
shawn| Excellent I ll tell him and get with you about the exact times Need me to drive| [person:shawn m 1-1][person:phil m 4-4][person:maria f 8-8][person:shawn m 14-14]
maria| We ll see If you bring Phil and I bring Juan we can meet at the restaurant I ll let you know| [person:we g(maria:shawn) 0-0][person:shawn m 4-4][person:phil m 6-6][person:maria f 8-8][person:juan m 10-10][location:restaurant s 16-16][person:maria f 17-17][person:shawn m 20-20]
shawn| Cool Talk to you later| [person:maria f 3-3]

conv:people_2019082201_33:aug_0:chat_0:chataug_0| joshua william| [person:joshua m 0-0][person:william m 1-1]
joshua| Hey william do you have any idea what we should bring tomorrow| [person:william m 1-1][person:william m 3-3][person:we g(joshua:william) 8-8]
william| I have no clue brother i was thinking to bring a costco roast chicken| [person:william m 0-0][person:joshua m 4-4][person:william m 5-5]
joshua| Hmm that sounds delicious but i am unsure if they will like that| [person:joshua m 5-5][person:they g() 9-9]
william| What about i order some 12 in pizza from costco| [person:william m 2-2]
joshua| no i dont think pizza from costco is a good idea| [person:joshua m 1-1]
william| Maybe we should just ask Jim what Smith likes| [person:we g(joshua:william) 1-1][person:jim m 5-5][person:smith u 7-7]
joshua| yeah i think that would be a good idea| [person:joshua m 1-1]
william| Yea since Jim knows Smith better it will be a good idea to ask Jim| [person:william m 2-2][person:smith u 4-4][person:jim m 14-14]
joshua| ok that sounds like a plan Should i ask Jim or you are ok with askimg him| [person:joshua m 7-7][person:jim m 9-9][person:william m 11-11][person:william m 16-16]
william| Oh i can ask Jim no problem| [person:william m 1-1][person:jim m 4-4]
joshua| Ok cool go ask him and let me know how it goes| [person:william m 4-4][person:joshua m 7-7]
william| No problem i will let you nkow| [person:william m 2-2][person:joshua m 5-5]

conv:people_2019082201_34:aug_0:chat_0:chataug_0| carlos lara| [person:carlos m 0-0][person:lara f 1-1]
lara| Are you ready for Katherine and Natalie to come visit| [person:carlos m 1-1][person:katherine f 4-4][person:natalie f 6-6]
carlos| Yes it has been a while since we have seen them| [person:we g(lara:carlos) 7-7][person:them g(katherine:natalie) 10-10]
lara| I was thinking we could cooke dinner and enjoy some wine on the back porch afterwards| [person:lara f 0-0][person:we g(lara:carlos) 3-3]
carlos| That sounds great How about I grill some steaks and baked potatoes and you make a salad and desert| [person:carlos m 5-5][person:lara f 13-13]
lara| That sounds good And I know Katherine and Natalie both love to play cards so we could do that after dinner and drinks| [person:lara f 4-4][person:katherine f 6-6][person:natalie f 8-8][person:we g(lara:carlos) 15-15]
carlos| Wonderful I will go to the store after work tomorrow to get what we need| [person:carlos m 1-1][location:store s 6-6][person:we g(lara:carlos) 13-13]
lara| Ok I will go in and get the list ready for you| [person:lara f 1-1][person:carlos m 11-11]
carlos| Yes that would be great|
lara| This is going to be lots of fun|
carlos| Yes lots of catching up to do|

conv:people_2019082201_39:aug_0:chat_0:chataug_0| kate laura| [person:kate f 0-0][person:laura f 1-1]
laura| Hey how are you| [person:kate f 3-3]
kate| I m doing great how are you doing| [person:kate f 0-0][person:laura f 6-6]
laura| I m doing well Hey are you still coming around for drinks tonight| [person:laura f 0-0][person:kate f 6-6]
kate| Yes Are Brittany and Marilyn still coming too| [person:brittany f 2-2][person:marilyn f 4-4]
laura| Yes I think so but we haven t decided on a place to go yet| [person:laura f 1-1][person:we g(laura:kate:brittany:marilyn) 5-5][location:place s 11-11]
kate| Oh no Well what type of drinks do you like| [person:laura f 8-8]
laura| I like margaritas What do you like| [person:laura f 0-0][person:kate f 5-5]
kate| I love margaritas I know Brittany does too I m not sure about Marilyn| [person:kate f 0-0][person:kate f 3-3][person:brittany f 5-5][person:kate f 8-8][person:marilyn f 13-13]
laura| Marilyn likes beers There s a bar by my house that serves margaritas and beer| [person:marilyn f 0-0][location:bar s 6-6][person:laura f 8-8]
kate| Let s go there| [location:bar s 3-3]
laura| Sounds good to me| [person:laura f 3-3]
kate| I ll see you there| [person:kate f 0-0][person:laura f 3-3][location:bar s 4-4]

conv:people_2019082201_42:aug_0:chat_0:chataug_0| doug keith| [person:doug m 0-0][person:keith m 1-1]
doug| Hey we still on for movie night| [person:we g(doug:keith) 1-1]
keith| Absolutely I just talk to the Smiths they re looking forward to it| [person:keith m 1-1][person:smiths g() 6-6][person:smiths g() 7-7]
doug| What about Pete is he coming| [person:pete m 2-2][person:pete m 4-4]
keith| Yeah he ll be there What should we bring| [person:pete m 1-1][location:there u 4-4][person:we g(doug:keith:pete) 7-7]
doug| Popcorn of course but I don t know what we should have for dinner| [person:doug m 4-4][person:we g(doug:keith:pete) 9-9]
keith| I m not sure what do you feel like| [person:keith m 0-0][person:doug m 6-6]
doug| Pizza would probably be the best option but I don t know if the Smiths will like that| [person:doug m 8-8][person:smiths g() 14-14]
keith| I m sure they will We can also do burgers| [person:keith m 0-0][person:smiths g() 3-3][person:we g(doug:keith:pete) 5-5]
doug| Get Pete to ask the Smiths what they would like He knows them best| [person:pete m 1-1][person:smiths g() 5-5][person:smiths g() 7-7][person:pete m 10-10][person:smiths g() 12-12]
keith| Yes good idea I ll do that and get back to you| [person:keith m 3-3][person:doug m 11-11]

conv:people_2019082201_43:aug_0:chat_0:chataug_0| andrew bruce| [person:andrew m 0-0][person:bruce m 1-1]
bruce| Hey we are going to watch the NBA finals right| [person:everyone g(bruce:andrew) 1-1]
andrew| Yeah of course|
bruce| Alright are Tony and Dan coming too| [person:tony m 2-2][person:dan m 4-4]
andrew| Yeah we are all going| [person:everyone g(bruce:andrew:tony:dan) 1-1]
bruce| Okay but where shall we see it| [person:everyone g(bruce:andrew:tony:dan) 4-4]
andrew| Well we need somewhere close| [person:everyone g(bruce:andrew:tony:dan) 1-1]
bruce| And Tony and Dan will want somewhere with good food| [person:tony m 1-1][person:dan m 3-3]
andrew| Yeah Tony loves chicken wings| [person:tony m 1-1]
bruce| But I love mexican| [person:bruce m 1-1]
andrew| Yeah tacos sounds like the best idea|
bruce| True taco is something everyone loves| [person:everyone g(bruce:andrew:tony:dan) 4-4]
andrew| Alright then let s go for that|

conv:people_2019082201_44:aug_0:chat_0:chataug_0| malcolm pedro| [person:malcolm m 0-0][person:pedro m 1-1]
malcolm| Pedro how s it going my friend| [person:pedro m 0-0][person:malcolm m 5-5][person:pedro m 6-6]
pedro| Doing great Malcolm long time no talk What s up| [person:malcolm m 2-2]
malcolm| I know you work in the Irvine area and I m actually heading there with my roomates James and Phil to catch a flick| [person:malcolm m 0-0][person:pedro m 2-2][person:malcolm m 9-9][person:malcolm m 15-15][person:james m 17-17][person:phil m 19-19]
pedro| That sounds like fun where are you watching| [person:malcolm m 6-6]
malcolm| That s what I wanted to ask you actually Since you re more familiar with the Irvine area where do you suggest we go| [person:malcolm m 3-3][person:pedro m 7-7][person:pedro m 10-10][person:pedro m 20-20][person:we g(malcolm:james:phil) 22-22]
pedro| There are a couple of local small chain theaters around Also there s a few AMCs as well But I think your best bet is the Spectrum theater| [person:pedro m 19-19][person:malcolm m 21-21]
malcolm| I ve heard of that but have never been I think my roomies would like it there too| [person:malcolm m 0-0][person:malcolm m 9-9][person:malcolm m 11-11]
pedro| Yeah you won t be disappointed it s really good quality| [person:malcolm m 1-1]
malcolm| Well why don t you join us then I think it d be fun if you tagged along| [person:pedro m 4-4][person:we g(malcolm:james:phil) 6-6][person:malcolm m 8-8][person:pedro m 15-15]
pedro| I would love to I could use a good movie to cheer me up| [person:pedro m 0-0][person:pedro m 4-4][person:pedro m 12-12]
malcolm| Alright I ll hit you up with more details later thanks Pedro| [person:malcolm m 1-1][person:pedro m 4-4][person:pedro m 11-11]

conv:people_2019082201_47:aug_0:chat_0:chataug_0| deborah karen| [person:deborah f 0-0][person:karen f 1-1]
karen| Hey there do you have a minute to chat about our trip| [person:karen f 3-3][person:our g(karen:deborah) 10-10]
deborah| Sure do I m very excited about it| [person:deborah f 2-2]
karen| Me too and I know Frank Margaret and Pam are too| [person:karen f 0-0][person:karen f 3-3][person:frank m 5-5][person:margaret f 6-6][person:pam f 8-8]
deborah| Yeah we were just talking about how we need to do some planning| [person:our g(karen:deborah) 1-1][person:our g(karen:deborah) 7-7]
karen| Yeah I was thinking we are going to need a cooler ice stuff for sandwiches and a camera| [person:karen f 1-1][person:our g(karen:deborah) 4-4]
deborah| We should divide it out so everyone brings something| [person:our g(karen:deborah) 0-0][person:everyone g(karen:deborah:frank:margaret:pam) 6-6]
karen| I already have a camera so I ll take care of that| [person:karen f 0-0][person:karen f 6-6]
deborah| And I ll ask Frank to bring his cooler and Margaret to get ice| [person:deborah f 1-1][person:frank m 4-4][person:frank m 7-7][person:margaret f 10-10]
karen| Pam lives near a grocery store so I ll ask her to bring sandwich stuff| [person:pam f 0-0][person:karen f 7-7][person:karen f 10-10]
deborah| And since I m driving I ll bring the car| [person:deborah f 2-2][person:deborah f 5-5]
karen| Sounds good can t wait|

conv:people_2019082201_48:aug_0:chat_0:chataug_0| gary joe| [person:gary m 0-0][person:joe m 1-1]
joe| Gary I have arranged a Welcome part for my friends the Carloss I need your help| [person:gary m 0-0][person:joe m 1-1][person:joe m 8-8][person:friends g() 9-9][person:joe m 12-12][person:gary m 14-14]
gary| That s great Joe What type of help you want from me I am always ready to help you| [person:joe m 3-3][person:joe m 8-8][person:gary m 11-11][person:gary m 12-12][person:joe m 18-18]
joe| We have to decide about the place where we have to organize the party| [person:our g(joe:gary) 0-0][location:place s 6-6][person:our g(joe:gary) 8-8]
gary| Yes Do you know which type of place will be liked by them| [person:joe m 2-2][location:place s 7-7][person:friends g() 12-12]
joe| No I am thinking a lot but can t come to an idea about the location| [person:joe m 1-1]
gary| What about a place which is nearer to the Carloss| [location:place s 3-3]
joe| had checked that too but there is no nice place near to them| [location:place s 9-9][person:friends g() 12-12]
gary| What about the arrangements for the party Do you list out the things liked by them| [person:joe m 8-8][person:friends g() 15-15]
joe| I am so confused and I can t get an idea about the interests of both Dwayne and Margaret| [person:joe m 0-0][person:joe m 5-5][person:dwayne m 16-16][person:margaret f 18-18]
gary| Okay lets do one thing I think our friend Timothy is close to Dwayne So we can ask him for the idea He is well know about Dwayne| [person:gary m 5-5][person:our g(joe:gary) 7-7][person:timothy m 8-8][person:timothy m 9-9][person:dwayne m 13-13][person:timothy m 18-18][person:timothy m 22-22][person:dwayne m 27-27]
joe| That s great Will do the same thankyou|

conv:people_2019082201_49:aug_0:chat_0:chataug_0| edward tommy| [person:edward m 0-0][person:tommy m 1-1]
edward| Hi Tommy| [person:tommy m 1-1]
tommy| Hi Edward| [person:edward m 1-1]
edward| Are you free this weekend| [person:tommy m 1-1]
tommy| I am not sure May be I have a work Why| [person:tommy m 0-0][person:tommy m 6-6]
edward| I have an ticket for basket ball game| [person:edward m 0-0]
tommy| Nice I want to see the game I will do my work early Then we will go| [person:tommy m 1-1][person:tommy m 7-7][person:tommy m 10-10][person:we g(edward:tommy) 14-14]
edward| That s nice Jason and Eugene also wants to go the game| [person:jason m 3-3][person:eugene m 5-5]
tommy| In which game do you interested| [person:edward m 4-4]
edward| I like LA clippers| [person:edward m 0-0][location:la s 2-2]
tommy| They wants to see New York Nicks| [person:they g(jason:eugene) 0-0][location:new_york s 4-5]
edward| That s no problem We can see any game together| [person:we g(edward:tommy) 4-4]
