conv:people_2019081201_158:aug_0:chat_0:chataug_0| jerry timothy| [person:jerry m 0-0][person:timothy m 1-1]
evelyn| yes ofcourse kathryn she will not avoid workout she like it most| [person:kathryn f 2-2][person:katherine f 3-3][person:katherine f 8-8]

conv:people_2019081802_2:aug_0:chat_0:chataug_0| lauren michael| [person:lauren f 0-0][person:michael m 1-1]
michael| I m so excited to see Samuel and Eva| [person:michael m 0-0][person:samuel m 6-6][person:eva f 8-8]
lauren| Me too I feel like it s been forever and I m so happy they re officially engaged| [person:lauren f 0-0][person:lauren f 2-2][person:lauren f 10-10][person:they g(samuel:eva) 14-14]
michael| Haha we all knew that was coming it was just a matter of time| [person:we g(michael:lauren) 1-1]
lauren| Where do you think we should take them to celebrate| [person:michael m 2-2][person:we g(michael:lauren) 4-4][person:they g(samuel:eva) 7-7]
michael| Honestly I was thinking we should hit up all the old places from when we were back in school| [person:michael m 1-1][person:we g(michael:lauren) 4-4][location:places g() 11-11][person:we g(michael:lauren) 14-14][location:school s 18-18]
lauren| You mean like the hangout spots The bars clubs and sporting events| [person:michael m 0-0][location:bars g() 7-7][location:clubs g() 8-8]
michael| Exactly first we ll pregame and tailgate then we ll go to the game then bar hop It will be exactly like old times| [person:we g(michael:lauren) 2-2][person:we g(michael:lauren) 8-8][location:bar s 15-15]
michael| And since they re getting married it will be the last time they can probably have fun like this without a huge amount of responsibility| [person:they g(samuel:eva) 2-2][person:they g(samuel:eva) 12-12]
lauren| Hahah ok That s the plan Looking forward to seeing them I wonder if they still have it when it comes to tailgating| [person:they g(samuel:eva) 10-10][person:lauren f 11-11][person:they g(samuel:eva) 14-14]
michael| Oh trust me Samuel and Eva still have it| [person:michael m 2-2][person:samuel m 3-3][person:eva f 5-5]
lauren| Haha ok we ll see| [person:we g(michael:lauren) 2-2]

conv:people_2019081802_3:aug_0:chat_0:chataug_0| elizabeth julia| [person:elizabeth f 0-0][person:julia f 1-1]
elizabeth| Hi it s great to see you again| [person:julia f 6-6]
julia| Wow it s great seeing you How long has it been It most be more than 6 months I m doing good How about you| [person:elizabeth f 5-5][person:julia f 18-18][person:elizabeth f 24-24]
elizabeth| Not too bad|
julia| What movie are you and the family going to see| [person:elizabeth f 3-3][person:elizabeth_s_family g() 6-6]
elizabeth| came here to see the Simpsons movie How about you| [location:here u 1-1][person:julia f 9-9]
julia| I m going to watch Avenger eng game| [person:julia f 0-0]
elizabeth| What do you do for a living| [person:julia f 2-2]
julia| I work at the local school teaching English what do you for a living| [person:julia f 0-0][location:school s 5-5][person:elizabeth f 10-10]
elizabeth| I m also an English teacher but am currently out of work| [person:elizabeth f 0-0]
julia| Sorry to hear that It has been really nice talking to you| [person:elizabeth f 11-11]
elizabeth| Yes It was a great pleasure meeting you| [person:julia f 7-7]
julia| k bye|
elizabeth| bye bye see u later| [person:julia f 3-3]

conv:people_2019081802_4:aug_0:chat_0:chataug_0| kayla stanley| [person:kayla f 0-0][person:stanley m 1-1]
stanley| Hi So I m having a little get together with Susan Janice and Mike this weekend Do you want to join us| [person:stanley m 2-2][person:susan f 10-10][person:janice f 11-11][person:mike m 13-13][person:kayla f 17-17][person:us g(stanley:susan:janice:mike) 21-21]
kayla| Oh i don t know I ve never met any of those people| [person:kayla f 1-1][person:kayla f 5-5]
stanley| Oh you d get along great Susan is an engineer just like you| [person:kayla f 1-1][person:susan f 6-6][person:kayla f 12-12]
kayla| I don t know| [person:kayla f 0-0]
stanley| Janice and Mike are really nice They just returned from Europe and will have some great stories to share| [person:janice f 0-0][person:mike m 2-2][person:they g(susan:janice:mike) 6-6][location:europe s 10-10]
kayla| Oh really I m traveling to Spain soon maybe they would have some advice for me| [person:kayla f 2-2][location:spain s 6-6][person:they g(susan:janice:mike) 9-9][person:kayla f 15-15]
stanley| So you ll come| [person:kayla f 1-1]
kayla| I suppose Maybe just for a little bit What time is it| [person:kayla f 0-0]
stanley| Saturday at 7 I m so glad you re coming| [person:stanley m 3-3][person:kayla f 7-7]
kayla| See you there| [person:stanley m 1-1][location:spain s 2-2]
stanley| You bet| [person:kayla f 0-0]
kayla| Oh I ll bring wine too Something French| [person:kayla f 1-1]
stanley| Thanks|

conv:people_2019081802_5:aug_0:chat_0:chataug_0| dorothy george| [person:dorothy f 0-0][person:george m 1-1]
dorothy| I have class Friday night so that s not a good time| [person:dorothy f 0-0]
george| Saturday morning I m coaching a game How about Sunday morning for brunch| [person:george m 2-2]
dorothy| Sounds wonderful I have some new recipes that I have been waiting to try| [person:dorothy f 2-2][person:dorothy f 8-8]
dorothy| Wait We have that church meeting on Sunday remember| [person:we g(dorothy:george) 1-1][location:church s 4-4]
george| Oh yeah I forgot about that| [person:george m 2-2]
dorothy| We should just wait until next Saturday and have the Smiths and Robinsons over for brunch| [person:we g(dorothy:george) 0-0][person:smiths g() 10-10][person:robinsons g() 12-12]
george| Yeah sounds good I m free next weekend| [person:george m 3-3]
dorothy| So brunch next Saturday morning it is|
george| Yes I ll tell the Smiths and you tell the Robinsons since you work with them| [person:george m 1-1][person:smiths g() 5-5][person:dorothy f 7-7][person:robinsons g() 10-10][person:dorothy f 12-12][person:robinsons g() 15-15]
dorothy| Okay great I ll tell them tomorrow| [person:dorothy f 2-2][person:robinsons g() 5-5]
george| I ll call the Smiths up and invite them now| [person:george m 0-0][person:smiths g() 4-4][person:smiths g() 8-8]

conv:people_2019081802_7:aug_0:chat_0:chataug_0| gregory malcolm| [person:gregory m 0-0][person:malcolm m 1-1]
malcolm| Hey Gregory Me and my neighbors Eduardo and Johnny will be going to watch a movie in your area so which theater do you suggest| [person:gregory m 1-1][person:malcolm m 2-2][person:malcolm m 4-4][person:neighbors g() 5-5][person:eduardo m 6-6][person:johnny m 8-8][person:gregory m 17-17]
gregory| Hey Malcolm Nice plans you got there There are some which I can suggest| [person:malcolm m 1-1][person:malcolm m 4-4][person:gregory m 11-11]
malcolm| Why don t you also join us so we will know for sure you will be suggesting the best theaters| [person:gregory m 3-3][person:us g(malcolm:gregory) 6-6][person:us g(malcolm:gregory) 8-8][person:gregory m 13-13][location:theaters g() 19-19]
gregory| Yes I would be glad to join you guys| [person:gregory m 1-1][person:malcolm m 7-7]
malcolm| Then which theaters do you suggest| [location:theaters g() 2-2][person:gregory m 4-4]
gregory| Well it can be the theater on 5th street the IMAX on Cross boulevard or the Cineplex at the mall| [location:theater s 5-5][location:street s 8-8][location:imax s 10-10][location:cross_boulevard s 12-13][location:cineplex s 16-16][location:mall s 19-19]
malcolm| I think IMAX would be the best choice| [person:malcolm m 0-0][location:imax s 2-2]
gregory| It sure is the best choice even though the tickets cost more|
malcolm| Well it doesn t matter since we want to enjoy our time| [person:us g(malcolm:gregory) 6-6][person:us g(malcolm:gregory) 10-10]
gregory| You are right| [person:malcolm m 0-0]
malcolm| See you at the theater then| [person:gregory m 1-1][location:theater s 4-4]
gregory| Yes we will be meeting soon it will be fun| [person:us g(malcolm:gregory) 1-1]

conv:people_2019081802_8:aug_0:chat_0:chataug_0| shirley victoria| [person:shirley f 0-0][person:victoria f 1-1]
shirley| Vicotria Can you render me a help| [person:victoria f 2-2][person:shirley f 4-4]
victoria| With pleasure How can I help you| [person:victoria f 4-4][person:shirley f 6-6]
shirley| See Jerry and Dwayne are visiting my home They are my childhood friends and meeting me after a long time| [person:jerry m 1-1][person:dwayne m 3-3][person:shirley f 6-6][person:they g(jerry:dwayne) 8-8][person:shirley f 10-10][person:they g(jerry:dwayne) 12-12][person:shirley f 15-15]
victoria| Great then what is the problem|
shirley| I am very busy with my work I have to finish my work within two days urgently But I wish to get them to some interesting places here Can you spend some time for that| [person:shirley f 0-0][person:shirley f 5-5][person:shirley f 7-7][person:shirley f 11-11][person:shirley f 18-18][person:they g(jerry:dwayne) 22-22][location:places g() 26-26][person:victoria f 29-29]
victoria| Dont worry they are my friends too I shall take care of them Which places do they like| [person:they g(jerry:dwayne) 2-2][person:victoria f 4-4][person:they g(jerry:dwayne) 5-5][person:victoria f 7-7][person:they g(jerry:dwayne) 12-12][person:they g(jerry:dwayne) 16-16]
shirley| Zoo and Beach will make them happy Visit to the museum also will be interesting for them| [location:zoo s 0-0][location:beach s 2-2][person:they g(jerry:dwayne) 5-5][location:museum s 10-10][person:they g(jerry:dwayne) 16-16]
victoria| Fine but I think museum will be closed tomorrow| [person:victoria f 2-2][location:museum s 4-4]
shirley| Ok then you take them to the palace| [person:victoria f 2-2][person:they g(jerry:dwayne) 4-4]
victoria| Thats a great idea I am also going to offer them a treat at City Hotel| [person:victoria f 4-4][person:they g(jerry:dwayne) 10-10][location:hotel s 14-14][location:hotel s 15-15]
shirley| Great thank you very much Victoria| [person:victoria f 2-2][person:victoria f 5-5]

conv:people_2019081802_9:aug_0:chat_0:chataug_0| andrea martin| [person:andrea f 0-0][person:martin m 1-1]
andrea| hai martin today susan and joan are visiting our home what a pleasant surprise| [person:martin m 1-1][person:susan f 3-3][person:joan f 5-5][person:our g(andrea:martin) 8-8][location:home s 9-9]
martin| yes andrea its a surprise for us what are the plans do you have| [person:andrea f 1-1][person:our g(andrea:martin) 6-6][person:martin m 12-12]
andrea| i am going to change the curtains cleaning the hall and cook some good food for them| [person:andrea f 0-0][person:them g(susan:joan) 16-16]
martin| wow such a great idea I will help you in cooking foods and cleaning the hall| [person:martin m 5-5][person:andrea f 8-8]
andrea| oh thanks martin you re such a wonderful person Please get me some vegetables| [person:martin m 2-2][person:martin m 3-3][person:andrea f 11-11]
martin| ok give me the list of items need to purchase apart from vegetables| [person:martin m 2-2]
andrea| some snacks and sweets like pizza chips and coke|
martin| whether any gifts you wish to give to them| [person:martin m 3-3][person:them g(susan:joan) 8-8]
andrea| oh yes will you buy some fantastic gifts like watch for both of them| [person:martin m 3-3][person:them g(susan:joan) 13-13]
martin| ok thats great idea both of them will become happy to see the gifts| [person:them g(susan:joan) 6-6]

conv:people_2019081802_11:aug_0:chat_0:chataug_0| steven susie| [person:steven m 0-0][person:susie f 1-1]
susie| Hey Kate and Cheryl from work are coming over| [person:kate f 1-1][person:cheryl f 3-3]
steven| Yeah I know I am preparing food for them What have you got planned| [person:steven m 1-1][person:steven m 3-3][person:them g(kate:cheryl) 8-8][person:susie f 11-11]
susie| I thought we could enjoy playing some games what do you think| [person:susie f 0-0][person:we g(susie:steven:kate:cheryl) 2-2][person:steven m 10-10]
steven| Charades would be nice with some wine We could go to the pool later| [person:we g(susie:steven:kate:cheryl) 7-7]
susie| After all that we could eat the food i prepared Do you think that s enough| [person:we g(susie:steven:kate:cheryl) 3-3][person:susie f 8-8][person:steven m 11-11]
steven| Do you really have to cook Can t we just go out to a restaurant| [person:susie f 1-1][person:we g(susie:steven:kate:cheryl) 8-8][location:restaurant s 14-14]
susie| Nope They re coming home for the first time I d like to serve them as they are very friendly coworkers| [person:them g(kate:cheryl) 1-1][location:home s 4-4][person:susie f 9-9][person:them g(kate:cheryl) 14-14][person:them g(kate:cheryl) 16-16][person:them g(kate:cheryl) 20-20]
steven| As you wish Don t strain yourself too much I will get the wine Which ones should i get red or white| [person:susie f 1-1][person:susie f 6-6][person:steven m 9-9][person:steven m 17-17]
susie| Bring both red wine will go well with the meat i ll serve for lunch| [person:susie f 10-10]
steven| Great I will go buy the wine and be right over| [person:steven m 1-1]
susie| Could we play some monopoly in the afternoon after lunch I ve heard they both enjoy the game| [person:we g(susie:steven:kate:cheryl) 1-1][person:susie f 10-10][person:them g(kate:cheryl) 13-13]
steven| We also used to play it often remember till the board collapsed I will head to the store and get one right away It s gonna be a great day Cya soon| [person:we g(susie:steven) 0-0][person:steven m 12-12]

conv:people_2019081802_12:aug_0:chat_0:chataug_0| jack lara| [person:jack m 0-0][person:lara f 1-1]
jack| Hey Lara I was just talking to Steven over the phone| [person:lara f 1-1][person:jack m 2-2][person:steven m 7-7]
lara| That s funny I was just texting with Jane| [person:lara f 3-3][person:jane f 8-8]
jack| We haven t seen them since they moved out west| [person:we g(jack:lara) 0-0][person:them g(steven:jane) 4-4][person:them g(steven:jane) 6-6][location:west s 9-9]
lara| We should really go visit them I was thinking about the fall| [person:we g(jack:lara) 0-0][person:them g(steven:jane) 5-5][person:lara f 6-6]
jack| Maybe we should go in the winter It ll be cold here but definitely warmer there| [person:we g(jack:lara) 1-1][location:here u 11-11][location:west s 15-15]
lara| That sounds like a good idea A warmer winter would be fun|
jack| Yeah we can also bring them holiday gifts from here They probably miss some things| [person:we g(jack:lara) 1-1][person:them g(steven:jane) 5-5][location:here u 9-9][person:them g(steven:jane) 10-10]
lara| Yeah Jane was telling me how much she misses those candies from her favorite shop| [person:jane f 1-1][person:lara f 4-4][person:jane f 7-7][person:jane f 12-12]
jack| And Steven says he d love some things from around town| [person:steven m 1-1][person:steven m 3-3][location:town s 10-10]
lara| Let s finalize plans to visit them later tonight I m really excited| [person:them g(steven:jane) 6-6][person:lara f 9-9]
jack| Me too See you later| [person:jack m 0-0][person:lara f 3-3]

conv:people_2019081802_15:aug_0:chat_0:chataug_0| nicholas walt| [person:nicholas m 0-0][person:walt m 1-1]
nicholas| I m really looking forward to the game today| [person:nicholas m 0-0]
walt| Me too Benjamin and Wayne are going to hook up with us too don t forget| [person:walt m 0-0][person:benjamin m 2-2][person:wayne m 4-4][person:us g(nicholas:walt) 11-11]
nicholas| Right I know Did they have any thoughts on where we should go to watch it| [person:nicholas m 1-1][person:they g(benjamin:wayne) 4-4][person:us g(nicholas:walt) 10-10]
walt| They suggested a couple of places but I didn t think their ideas were great| [person:they g(benjamin:wayne) 0-0][location:places g() 5-5][person:walt m 7-7][person:they g(benjamin:wayne) 11-11]
nicholas| Well I don t really care where we go as long as they have good things to eat| [person:nicholas m 1-1][person:us g(nicholas:walt) 7-7][person:they g(benjamin:wayne) 12-12]
walt| Agreed I don t really care either I just don t want to go any place too far away| [person:walt m 1-1][person:walt m 7-7][location:place s 15-15]
nicholas| There s a sports bar about halfway between our place and their place if I could just remember the name of it| [location:sports_bar s 3-4][person:us g(nicholas:walt) 8-8][location:place s 9-9][person:they g(benjamin:wayne) 11-11][location:place s 12-12][person:nicholas m 14-14]
walt| Are you talking about that one on Blatchford Avenue The place with the pool tables| [person:nicholas m 1-1][location:blatchford_avenue s 7-8][location:blatchford_avenue s 10-10]
nicholas| That s the one They ve got those great wings and burgers and really good drinks|
walt| Yeah I like that place I m pretty sure those guys will like it too| [person:walt m 1-1][location:blatchford_avenue s 4-4][person:walt m 5-5]

conv:people_2019081802_17:aug_0:chat_0:chataug_0| shawn walter| [person:shawn m 0-0][person:walter m 1-1]
walter| Hi Shawn how are you What are you doing| [person:shawn m 1-1][person:shawn m 4-4][person:shawn m 7-7]
shawn| Hi Walter I am fine thanks And you I m reading a book| [person:walter m 1-1][person:shawn m 2-2][person:walter m 7-7][person:shawn m 8-8]
walter| All right I thought I was going to watch a movie Do you want to come with me| [person:walter m 2-2][person:walter m 4-4][person:shawn m 12-12][person:walter m 17-17]
walter| We could also invite Christopher and Virginia| [person:we g(walter:shawn) 0-0][person:christopher m 4-4][person:virginia f 6-6]
shawn| Good idea It s OK for me When| [person:shawn m 6-6]
walter| I am free in the next few days you are on vacation Are your friends free| [person:walter m 0-0][person:shawn m 8-8][person:shawn m 13-13][person:friends g(christopher:virginia) 14-14]
shawn| Virgina will work until Wednesday Christopher will go on vacation from Tuesday| [person:christopher m 5-5]
walter| Good so Thursday night could be good What do you think about it| [person:shawn m 9-9]
shawn| Yes I guess that s fine Book the 7pm show| [person:shawn m 1-1]
walter| Okay I book the seats You invite your friends See you soon| [person:walter m 1-1][person:shawn m 5-5][person:shawn m 7-7][person:friends g(christopher:virginia) 8-8][person:shawn m 10-10]
shawn| Perfect I ll let you know Thank you see you soon| [person:shawn m 1-1][person:walter m 4-4][person:walter m 7-7][person:walter m 9-9]

conv:people_2019081802_18:aug_0:chat_0:chataug_0| sandra wilson| [person:sandra f 0-0][person:wilson m 1-1]
wilson| I want to visit to a Sports bar Have you any suggestions| [person:wilson m 0-0][location:sports_bar s 6-7][person:sandra f 9-9]
sandra| Nice to hear Yes I have Recently I have visited some nice Sports bars| [person:sandra f 4-4][person:sandra f 7-7][location:bars g() 13-13]
wilson| Is it Have you visited it alone or with your friends| [person:sandra f 3-3][person:sandra f 9-9][person:friends g() 10-10]
sandra| Me and my friends Walter and Martha What about you now| [person:sandra f 0-0][person:sandra f 2-2][person:friends g() 3-3][person:walter m 4-4][person:martha f 6-6][person:wilson m 9-9]
wilson| Still not decided First I have to choose the best Sports bar so that I am asking you| [person:wilson m 4-4][location:sports_bar s 10-11][person:wilson m 14-14][person:sandra f 17-17]
sandra| Yes we have to decide it first as I have faced some problems with particular bars like serving and timing| [person:we g(wilson:sandra) 1-1][person:sandra f 8-8][location:bars g() 15-15]
wilson| Yes I also want to watch latest sports| [person:wilson m 1-1]
sandra| Yes some bars will show bore events and food also not tasty one| [location:bars g() 2-2]
wilson| Tell me your suggestion about the good one| [person:wilson m 1-1][person:sandra f 2-2]
sandra| The one I visited last week which is the best I think They have tasty food drinks as well as we can enjoy latest sports| [person:sandra f 2-2][person:sandra f 10-10][person:we g(wilson:sandra) 20-20]
wilson| Thanks I fix this| [person:wilson m 1-1]

conv:people_2019081802_19:aug_0:chat_0:chataug_0| christopher howard| [person:christopher m 0-0][person:howard m 1-1]
christopher| Hey man are you ready for brunch at the Wilboroughs today| [person:christopher m 3-3]
howard| Yeah I was just wondering what to bring them any suggestions| [person:howard m 1-1][person:them g() 8-8]
christopher| You know I suck at such decisions Please decide something or i may just end up bringing a biscuit or something| [person:howard m 0-0][person:christopher m 2-2][person:christopher m 11-11]
howard| I don t know the Wilboroghs well enough to come to a conclusion Do you know someone who knows them well| [person:howard m 0-0][person:wilboroghs g() 5-5][person:christopher m 14-14][person:someone u 16-16][person:wilboroghs g() 19-19]
christopher| Robert used to hang out with them he may know what they like| [person:robert m 0-0][person:them g() 6-6][person:christopher m 7-7][person:them g() 11-11]
howard| Oh yeah I totally forgot about him I will ask him right now| [person:howard m 2-2][person:robert m 6-6][person:howard m 7-7][person:robert m 10-10]
christopher| Cool tell me when you have spoken to him| [person:christopher m 2-2][person:howard m 4-4][person:robert m 8-8]
howard| He says they like good wine It maybe expensive| [person:howard m 0-0][person:them g() 2-2]
christopher| Oh don t worry about that At least now we know what we should bring I will get it just be there alright| [person:we g(christopher:howard) 9-9][person:we g(christopher:howard) 12-12][person:christopher m 15-15]
howard| Great man you are a lifesaver I m really excited about the brunch See you soon| [person:christopher m 2-2][person:howard m 6-6][person:christopher m 14-14]

conv:people_2019081802_21:aug_0:chat_0:chataug_0| noah tim| [person:noah m 0-0][person:tim m 1-1]
tim| Hi Noah Would you like to go to a basketball match| [person:noah m 1-1][person:noah m 3-3]
noah| Hi Tim I was also thinking the same| [person:tim m 1-1][person:noah m 2-2]
tim| Can you ask Stephan and Dwight If they would like to join us too| [person:noah m 1-1][person:stephan m 3-3][person:dwight m 5-5][person:they g(stephan:dwight) 7-7][person:us g(tim:noah) 12-12]
noah| Actually I already did And they are also coming| [person:noah m 1-1][person:they g(stephan:dwight) 5-5]
tim| That is great Which day do you think will be best for all of us| [person:noah m 6-6][person:us g(tim:noah:stephan:dwight) 14-14]
noah| How about saturday It will be a holiday Everybody will have enough time to enjoy the game without any interuption| [person:us g(tim:noah:stephan:dwight) 8-8]
tim| That sounds good to me And I was thinking of going to LA Clippers What do you think| [person:tim m 4-4][person:tim m 6-6][location:la s 12-12][person:noah m 16-16]
noah| But Stephan and Dwight like New York Knicks And they will not change their choice You know how they are| [person:stephan m 1-1][person:dwight m 3-3][location:new_york s 5-6][person:they g(stephan:dwight) 9-9][person:they g(stephan:dwight) 13-13][person:tim m 15-15][person:they g(stephan:dwight) 18-18]
tim| Ok Let s go for New York Knicks then| [location:new_york s 5-6]
noah| I will book the tickets tonight| [person:noah m 0-0]
tim| Great See you Bye| [person:noah m 2-2]
noah| Bye|

conv:people_2019081802_23:aug_0:chat_0:chataug_0| roger william| [person:roger m 0-0][person:william m 1-1]
william| So are you ready for the big game| [person:roger m 2-2]
roger| Yessss Getting ready to get off work here in a bit|
roger| Remember to bring your own beer| [person:william m 3-3]
william| Right on I ll stop by the pizza place and get us a couple of supremes| [person:william m 2-2][location:place s 8-8][person:us g(william:roger) 11-11]
roger| Sounds great I really need to start watching my weight I might just make a salad but you do you| [person:roger m 2-2][person:roger m 8-8][person:roger m 10-10][person:william m 17-17][person:william m 19-19]
william| Knowing Doug you ll be in good company That guy can lift a cow And he eats like one too| [person:doug m 1-1][person:roger m 2-2][person:doug m 15-15]
william| Doug eats a lot| [person:doug m 0-0]
roger| Oh I got it| [person:roger m 1-1]
roger| I m glad you decided to invite Billy too He s going through some hard times| [person:roger m 0-0][person:william m 3-3][person:billy m 7-7][person:billy m 9-9]
william| Yeah he is We ve gotta make sure and cheer him up| [person:billy m 1-1][person:us g(william:roger) 3-3][person:billy m 10-10]
roger| Women just are not his specialty| [person:billy m 4-4]
william| I get that| [person:william m 0-0]
william| So my house or yours| [person:william m 1-1][location:house s 2-2][person:roger m 4-4]
roger| I think I d rather go to yours this time My wife s not in a great mood| [person:roger m 0-0][person:roger m 2-2][person:william m 7-7][person:roger m 10-10][person:wife f 11-11]
william| Gotcha No problem bro|
roger| Do we want pizza from Pizza Hut or Dominoes| [person:us g(william:roger) 1-1][location:pizza_hut s 5-6][location:dominoes s 8-8]
william| I think the Hut is closer to work for me| [person:william m 0-0][location:pizza_hut s 3-3][person:william m 9-9]
roger| Okay sounds great See you there| [person:william m 4-4][location:pizza_hut s 5-5]
william| Over and out|

conv:people_2019081802_24:aug_0:chat_0:chataug_0| michael samuel| [person:michael m 0-0][person:samuel m 1-1]
samuel| Hey Michael I need a favor| [person:michael m 1-1][person:samuel m 2-2]
michael| Hi Samuel Anything for you bro| [person:samuel m 1-1][person:samuel m 4-4]
samuel| Actually my friends Albert and Wayne are visiting New Orleans next week As you live there Can you show them around| [person:samuel m 1-1][person:friends g() 2-2][person:albert m 3-3][person:wayne m 5-5][person:michael m 13-13][person:samuel m 17-17][person:friends g(albert:wayne) 19-19]
michael| Sure What would they like to visit| [person:friends g(albert:wayne) 3-3]
samuel| How about French Quarter| [location:french_quarter s 2-3]
michael| That sounds good It is very nice place to visit if you are coming here for the first time| [location:french_quarter s 7-7][person:samuel m 11-11][location:french_quarter s 14-14]
samuel| Is there any other place that you think would be best| [location:place s 4-4][person:michael m 6-6]
michael| There is Mardi Gras National WWII Museum and St Louis Cathedral| [location:mardi_gras s 2-3][location:national_wwii_museum s 4-6][location:museum s 6-6][location:st_louis_cathedral s 8-10]
samuel| Ok Those sounds good to me| [person:samuel m 5-5]
michael| Don t worry Leave everything to me I will take take care of everything| [person:michael m 6-6][person:michael m 7-7]
samuel| That is why you are my best friend See you later Bye| [person:michael m 3-3][person:samuel m 5-5][person:michael m 7-7][person:michael m 9-9]
michael| Hehehe Bye|

conv:people_2019081802_25:aug_0:chat_0:chataug_0| kenneth marie| [person:kenneth m 0-0][person:marie f 1-1]
marie| Hellow Kenneth where are you now| [person:kenneth m 1-1][person:kenneth m 4-4]
kenneth| I am now at market to buy something What Marrie| [person:kenneth m 0-0]
marie| See Kenneth I am in a mess can you help me| [person:kenneth m 1-1][person:marie f 2-2][person:kenneth m 8-8][person:marie f 10-10]
kenneth| Oh Marrie why do you so formal Tell what should I do for you| [person:marie f 4-4][person:kenneth m 10-10][person:marie f 13-13]
marie| I went yesterday to Lauren s home and forgot my shoes there If you are through that way can you pick it up| [person:marie f 0-0][person:lauren f 4-4][location:home s 6-6][person:marie f 9-9][location:home s 11-11][person:kenneth m 13-13][person:kenneth m 19-19]
kenneth| It is not a problem I can do it But I have some other places to go to and it will take some time| [person:kenneth m 5-5][person:kenneth m 10-10][location:places g() 14-14]
marie| Its alright You get it when you are free I may need it in the evening| [person:kenneth m 2-2][person:kenneth m 6-6][person:marie f 9-9]
kenneth| Then it is not a problem I shall drive through Lauren s house and get it| [person:kenneth m 6-6][person:lauren f 10-10][location:home s 12-12]
marie| Oh thank you Kenneth Sweet you are| [person:kenneth m 2-2][person:kenneth m 3-3][person:kenneth m 5-5]
kenneth| Welcome But I need a treat| [person:kenneth m 2-2]
marie| Why not with pleasure We shall meet at restaurant| [person:we g(marie:kenneth) 4-4][location:restaurant s 8-8]
kenneth| Ok See you dear| [person:marie f 2-2]

conv:people_2019081802_26:aug_0:chat_0:chataug_0| michael tyler| [person:michael m 0-0][person:tyler m 1-1]
michael| Do you know we were planning to watch the SuperBowl for long time but still we did not do that| [person:tyler m 1-1][person:we g(michael:tyler) 3-3][person:we g(michael:tyler) 15-15]
tyler| Yes I know it What do you want to me to do now| [person:tyler m 1-1][person:michael m 6-6][person:tyler m 9-9]
michael| Shall we go to watch it now and also what about your opinion to ask our friends to join with us| [person:we g(michael:tyler) 1-1][person:tyler m 11-11][person:we g(michael:tyler) 15-15][person:them g() 16-16][person:we g(michael:tyler) 20-20]
tyler| Whom do you want to invite May I know them| [person:michael m 2-2][person:tyler m 7-7][person:them g() 9-9]
michael| Steven and Arthur| [person:steven m 0-0][person:arthur m 2-2]
tyler| Hey I am also having the same thought to invite them what a coincidence| [person:tyler m 1-1][person:them g(steven:arthur) 10-10]
michael| That s great So Where do we go to watch it| [person:we g(michael:tyler) 6-6]
michael| Is there any place which is near and convenient to all of us| [location:place s 3-3][person:us g(michael:tyler:steven:arthur) 12-12]
tyler| I also don t know We all have to decide it We can ask our friends also| [person:tyler m 0-0][person:us g(michael:tyler:steven:arthur) 5-5][person:we g(michael:tyler) 11-11][person:we g(michael:tyler) 14-14][person:them g(steven:arthur) 15-15]
tyler| Do one thing You call our friends and tell about our plan and ask them about the nearest place| [person:tyler m 3-3][person:we g(michael:tyler) 5-5][person:them g(steven:arthur) 6-6][person:we g(michael:tyler) 10-10][person:them g(steven:arthur) 14-14][location:place s 18-18]
michael| Okay I will do it so You get ready| [person:tyler m 1-1][person:michael m 6-6]

conv:people_2019081802_27:aug_0:chat_0:chataug_0| carl harry| [person:carl m 0-0][person:harry m 1-1]
carl| There s an upcoming Yankee game that I think you me Eduardo and Josh should go to| [person:carl m 7-7][person:harry m 9-9][person:carl m 10-10][person:eduardo m 11-11][person:josh m 13-13]
harry| Bro there s no way You know they both like the LA Dodgers| [person:carl m 5-5][person:they g(eduardo:josh) 7-7]
carl| The LA Dodgers suck why would they want to see them They aren t even from LA| [person:they g(eduardo:josh) 6-6][person:la_dodgers u 10-10][person:they g(eduardo:josh) 11-11][location:la s 16-16]
harry| And you re not originally from New York lol You can t ask that question| [person:carl m 1-1][location:new_york s 6-7][person:carl m 9-9]
carl| When you think of baseball you think Yankee s regardless of where you re from They are America s favorite team| [person:harry m 1-1][person:harry m 5-5][person:harry m 12-12][person:yankees u 15-15][location:america s 17-17]
harry| Ok but good luck trying to convince them| [person:they g(eduardo:josh) 7-7]
carl| Ok how about this I ll check the schedule to see when the LA Dodgers are playing at Yankee Stadium| [person:carl m 4-4][location:stadium s 19-19]
harry| Now that sounds like a plan|
carl| In 1 month on a Thursday night the LA Dodgers are coming to Yankee Stadium Do you think you Eduardo and Josh will go| [location:stadium s 14-14][person:harry m 16-16][person:harry m 18-18][person:eduardo m 19-19][person:josh m 21-21]
harry| Well definitely count me in| [person:harry m 3-3]
harry| I m sure they d like to go as well the LOVE the LA Dodger| [person:harry m 0-0][person:they g(eduardo:josh) 3-3]
carl| Sweet thanks It will be a lot of fun|

conv:people_2019081802_28:aug_0:chat_0:chataug_0| dwight ryan| [person:dwight m 0-0][person:ryan m 1-1]
ryan| Hi where can we watch superbowl| [person:we g(ryan:dwight) 3-3]
dwight| We can go for a place which is closer to both of us| [person:we g(ryan:dwight) 0-0][location:place s 5-5][person:we g(ryan:dwight) 12-12]
