conv:people_chats_0628_15:aug_0:chat_0:chataug_0| charlie emmett| [person:charlie f 0-0][person:emmett m 1-1]
matzia| They said they had the flu| [person:teresa__don g(teresa) 0-0][person:teresa__don g(teresa) 2-2]
matzia| hopefully I do not catch it well if that is really what is wrong with them| [person:matzia f 1-1][person:teresa__don g(teresa) 15-15]
hosner| sounds like you will need a happy hour after work| [person:matzia f 2-2]
hosner| Want to meet up after work|
hosner| It will be fun|

conv:people_chats_0629_62:aug_0:chat_0:chataug_0| devin edgar| [person:devin m 0-0][person:edgar m 1-1]
devin| Hey Tina is down to go bowling How about Michelle| [person:tina f 1-1][person:michelle f 9-9]
edgar| Michelle is into it to She wants to know what time| [person:michelle f 0-0][person:michelle f 5-5]
devin| I m thinking around 7 I can still pick everyone up| [person:devin m 0-0][person:devin m 5-5][person:everyone g() 9-9]
edgar| Ok I will be over at Michelle s house around 5p so well be ready whenever you come| [person:edgar m 1-1][person:michelle f 6-6][location:house s 8-8][person:devin m 16-16]
devin| Ok glad we could all get together| [person:everyone g(devin:edgar:tina:michelle) 2-2]
edgar| Me too Just dont judge me if I m not that good at bowling I told you it has been awhile| [person:edgar m 0-0][person:edgar m 5-5][person:edgar m 7-7][person:edgar m 14-14][person:devin m 16-16]
devin| LOL naw we just having fun You can pick the activity next time| [person:everyone g(devin:edgar:tina:michelle) 2-2][person:edgar m 6-6]
edgar| Ok it will have to be in a couple weeks I have to go out of town for work| [person:edgar m 10-10][location:town s 16-16]
devin| That s cool You must have gotten the promotion if you get to travel now| [person:edgar m 3-3][person:edgar m 10-10]
edgar| Yea man I found out earlier this week I ll tell you about it tonight| [person:edgar m 2-2][person:edgar m 8-8][person:devin m 11-11]
devin| Sounds good see you later| [person:edgar m 3-3]
edgar| See ya|

conv:people_chats_0629_64:aug_0:chat_0:chataug_0| arlinda stan| [person:arlinda f 0-0][person:stan m 1-1]
stan| Hey Arlinda I was thinking about stopping for breakfast on my way to work and was curious if you had a chance to try Wendy s breakfast yet| [person:arlinda f 1-1][person:stan m 2-2][person:stan m 10-10][person:arlinda f 18-18][person:wendy f 24-24][location:breakfast s 26-26]
arlinda| Good Morning Stan You know no I actually haven t had a chance to try it yet I ve heard good things about it though| [person:stan m 2-2][person:stan m 3-3][person:arlinda f 6-6][location:breakfast s 15-15][person:arlinda f 17-17][location:breakfast s 23-23]
stan| My sister Tiffany tried then a couple times and she liked it She said she didn t care for thier iced coffee but everything else was ok| [person:stan m 0-0][person:sister f 1-1][person:tiffany f 2-2][person:tiffany f 9-9][location:breakfast s 11-11][person:tiffany f 12-12][person:tiffany f 14-14]
arlinda| I ve heard pretty good things about them too Brett relly likes their potato wedges| [person:arlinda f 0-0][person:them g(wendy) 7-7][person:brett m 9-9][person:their g(wendy) 12-12]
stan| I think I will stop can I get you anuthing| [person:stan m 0-0][person:stan m 2-2][person:stan m 6-6][person:arlinda f 8-8]
arlinda| I d like to try the coffee I need the caffiene today| [person:arlinda f 0-0][person:arlinda f 7-7]
stan| Sure thin anything to eat|
arlinda| Umm well Brett said the chuickem on a biscuit with honey butter was pretty good| [person:brett m 2-2]
stan| Ok one coffee one chicken biscuit|
arlinda| Honey butter too I want to see what it s all about| [person:arlinda f 3-3][location:breakfast s 8-8]
stan| Ok got it See you soon| [person:arlinda f 4-4]
arlinda| Thanks for stoppimng for breakfast Stan Drive safe| [location:breakfast s 4-4][person:stan m 5-5]

conv:people_chats_0629_65:aug_0:chat_0:chataug_0| jose tania| [person:jose m 0-0][person:tania f 1-1]
tania| Jose I have found the color for the nursery| [person:jose m 0-0][person:tania f 1-1]
jose| Ah did you Send me picture| [person:tania f 2-2][person:jose m 4-4]
tania| Sends photo|
jose| It s nice When do you want to paint This weekend| [person:tania f 5-5]
tania| Yea this weekend works|
tania| Should I ask my parents for help| [person:tania f 1-1][person:tania f 3-3][person:tania_s_parents g() 4-4]
jose| Do you think Lauren and Jesus would like to| [person:tania f 1-1][person:lauren f 3-3][person:jesus m 5-5]
tania| I think they would be really excited| [person:tania f 0-0][person:tania_s_parents g(lauren:jesus) 2-2]
tania| They would love to do it I m sure| [person:tania_s_parents g(lauren:jesus) 0-0][person:tania f 6-6]
jose| Alright then sounds good Go ahead and ask them and we can go buy the supplies| [person:tania_s_parents g(lauren:jesus) 8-8][person:we g(tania:jose) 10-10]
jose| Yay|
tania| So excited|
tania| It is going to be beautiful|

conv:people_chats_0629_66:aug_0:chat_0:chataug_0| alfred clair| [person:alfred m 0-0][person:clair f 1-1]
clair| Hey Alfred What s up| [person:alfred m 1-1]
alfred| Hi Clair I just looking for your text| [person:clair f 1-1][person:alfred m 2-2][person:clair f 6-6]
clair| Shall we go out for to celebrate our wedding anniversary| [person:we g(clair:alfred) 1-1][person:our g(clair:alfred) 7-7]
alfred| Sounds great i m excited to go But we have some problem on that| [person:alfred m 2-2][person:we g(clair:alfred) 8-8]
clair| What Alfred What is that problem| [person:alfred m 1-1]
alfred| We need someone to watch our kids Adam and Becky| [person:we g(clair:alfred) 0-0][person:someone u 2-2][person:our g(clair:alfred) 5-5][person:kids g() 6-6][person:adam m 7-7][person:becky f 9-9]
clair| Shall we go to Los vegas| [person:we g(clair:alfred) 1-1][location:los_vegas s 4-5]
alfred| Oh very exciting to hear|
alfred| Shall we need to find sitter for our kids| [person:we g(clair:alfred) 1-1][person:our g(clair:alfred) 7-7][person:kids g(adam:becky) 8-8]
clair| Sure i ll ask my mom to help| [person:clair f 1-1][person:clair f 4-4][person:mom f 5-5]
alfred| Ok ask her let s we see| [person:mom f 2-2][person:we g(clair:alfred) 5-5]

conv:people_chats_0629_67:aug_0:chat_0:chataug_0| brandie regala| [person:brandie f 0-0][person:regala f 1-1]
brandie| how are you regala| [person:regala f 2-2][person:regala f 3-3]
regala| i am fine and you| [person:regala f 0-0][person:brandie f 4-4]
brandie| i am also fine i wanna ask you that do you have any plan coming friday afternoon| [person:brandie f 0-0][person:brandie f 4-4][person:regala f 7-7][person:regala f 10-10]
regala| ummm till now i don t have and which coffee shop are you meeting at| [person:regala f 3-3][location:coffee_shop s 9-10][person:regala f 12-12]
brandie| Cafe Java right next to the grocery store| [location:coffee_shop s 0-0][location:grocery_store s 6-7]
regala| Ed and Nicholas plan on coming too| [person:ed m 0-0][person:nicholas m 2-2]
regala| They have missed the last two gettogethers| [person:they g(ed:nicholas) 0-0]
brandie| they told that tey will come this time| [person:they g(ed:nicholas) 0-0]
regala| ok i will try my best to be there| [person:regala f 1-1][person:regala f 4-4][location:coffee_shop s 8-8]
brandie| ok see you then| [person:regala f 2-2]

conv:people_chats_0629_71:aug_0:chat_0:chataug_0| illaria steve| [person:illaria f 0-0][person:steve m 1-1]
steve| hai|
illaria| Hello Steve| [person:steve m 1-1]
steve| How are you| [person:illaria f 2-2]
illaria| ya am good|
illaria| And what about you| [person:steve m 3-3]
steve| fine|
steve| R u knew my family had a well on their property| [person:illaria f 1-1][person:steve m 3-3][person:family g() 4-4][person:family g() 9-9]
illaria| acutely aware of such in fact|
steve| why she has such a strong reaction to it| [person:illaria f 1-1]
illaria| younger brother Hector had fallen down the well several years ago| [person:hector m 1-1][person:hector m 2-2]
steve| he didn t know she had a brother and asks why he never heard of him| [person:steve m 0-0][person:illaria f 4-4][person:hector m 7-7][person:steve m 11-11][person:hector m 15-15]
steve| He had a sister named Anaise that fell to a similar incident| [person:steve m 0-0][person:anaise f 3-3][person:anaise f 5-5]
illaria| how similar it could be|
illaria| See you bye| [person:steve m 1-1]

conv:people_chats_0629_72:aug_0:chat_0:chataug_0| julie vincent| [person:julie f 0-0][person:vincent m 1-1]
julie| No I guess not But I felt kind of creepy when you said it I thought Gwen just bailed on you| [person:julie f 1-1][person:julie f 5-5][person:vincent m 11-11][person:julie f 14-14][person:gwen f 16-16][person:vincent m 20-20]
vincent| No her grandfather Lance really did pass away He was a really cool guy He s the one that got Gwen interested in riding horses in the first place| [person:gwen f 1-1][person:lance m 3-3][person:lance m 8-8][person:lance m 14-14][person:gwen f 20-20]
julie| Well that s cool Did you know him very well| [person:vincent m 5-5][person:lance m 7-7]
vincent| Pretty well but I haven t seen him in several years He s the person who taught me to ride which is kind of funny now that I m teaching his granddaughter to ride| [person:vincent m 3-3][person:lance m 7-7][person:lance m 11-11][person:vincent m 17-17][person:vincent m 27-27][person:lance m 30-30]
julie| Oh really So he must have trusted you a lot of let you teach Gwen| [person:lance m 3-3][person:vincent m 7-7][person:vincent m 12-12][person:gwen f 14-14]
vincent| Yes he recommended me That s why she goes past two other stables that have lessons just to come to this stable| [person:lance m 1-1][person:vincent m 3-3][person:gwen f 7-7][location:stables g() 12-12]
julie| That s a big compliment Why haven t you seen him in so long| [person:vincent m 8-8][person:lance m 10-10]
vincent| Lance moved out of the state several years ago He was traveling a lot and working with different stables I guess the last time I saw him was a bout five years ago| [person:lance m 0-0][location:state s 5-5][person:lance m 9-9][location:stables g() 18-18][person:vincent m 19-19][person:vincent m 24-24][person:lance m 26-26]
julie| How did you get to see him then Was he in town| [person:vincent m 2-2][person:lance m 6-6][person:lance m 9-9][location:town s 11-11]
vincent| No we were both at a race in Kentucky I just caught a glimpse of him and went over| [person:vincent__lance g(vincent:lance) 1-1][location:kentucky s 8-8][person:vincent m 9-9][person:lance m 15-15]
julie| Did he remember you| [person:lance m 1-1][person:vincent m 3-3]
vincent| Oh yeah He gave me a big hug and then took me out to dinner He had some pretty wild stories He led quite a life| [person:lance m 2-2][person:vincent m 4-4][person:vincent m 11-11][person:lance m 15-15][person:lance m 21-21]
julie| That s really said that he passed away I wonder what happened| [person:lance m 5-5][person:julie f 8-8]
vincent| Gwen said he had been doing great and just had a heart attack No warning at all| [person:gwen f 0-0][person:lance m 2-2]
julie| None at all|
vincent| No in fact he had gone riding for several hours that morning He was feeling great then I guess that s the way to go if you have to| [person:lance m 3-3][person:lance m 12-12][person:vincent m 17-17][person:julie f 26-26]
julie| Well I m kind of in the mood to go riding now Why waste time doing nothing I ll meet you at the stables| [person:julie f 1-1][person:julie f 17-17][person:vincent m 20-20][location:stables g() 23-23]
vincent| Sounds great See you in a bit| [person:julie f 3-3]
julie| Take care See you| [person:vincent m 3-3]

conv:people_chats_0629_73:aug_0:chat_0:chataug_0| jameson melody| [person:jameson m 0-0][person:melody f 1-1]
melody| Hey Jameson| [person:jameson m 1-1]
melody| Your favorite Candy shop is moving| [person:jameson m 0-0]
jameson| Are you kidding me| [person:melody f 1-1][person:jameson m 3-3]
jameson| That is so not cool|
jameson| I feel betrayed| [person:jameson m 0-0]
jameson| It was in the perfect location close to the house|
jameson| I can t even tell Mary and Conrad| [person:jameson m 0-0][person:mary f 5-5][person:conrad m 7-7]
jameson| They will be more upset| [person:they g(mary:conrad) 0-0]
melody| It s super annoying you know I like their candies too| [person:jameson m 4-4][person:melody f 6-6]
melody| Although not as much as you Mary and Conrad| [person:jameson m 5-5][person:mary f 6-6][person:conrad m 8-8]
jameson| Do you happen to know where they are moving to| [person:melody f 1-1]
melody| Not yet|
melody| But I will find out pretty soon| [person:melody f 1-1]
melody| Hopefully they might not be moving far away|

conv:people_chats_0629_75:aug_0:chat_0:chataug_0| bobert kalie| [person:bobert m 0-0][person:kalie f 1-1]
kalie| Hey|
kalie| Hey Bobert did I miss anything in in class| [person:bobert m 1-1][person:kalie f 3-3]
bobert| Nothing lol unless you re into super BORING videos about hot liquids being poured| [person:kalie f 3-3]
kalie| Haha those are my favorite| [person:kalie f 3-3]
kalie| Was there any homework|
bobert| No|
kalie| Did anything interesting happen at all|
bobert| Sue acted up as always| [person:sue f 0-0]
bobert| Sue was providing a commentary on the video that was pretty funny| [person:sue f 0-0]
kalie| What did the teacher do|
kalie| Was Hogarth mad| [person:hogarth m 1-1]
bobert| Hogarth poured molten lead into Sue s bag while she wasn t looking| [person:hogarth m 0-0][person:sue f 5-5][person:sue f 9-9]
kalie| Classic Hogarth Did Sue fall over trying to pick up her bag at the end of class| [person:hogarth m 1-1][person:sue f 3-3][person:sue f 10-10]

conv:people_chats_0629_76:aug_0:chat_0:chataug_0| kimberly moiz| [person:kimberly f 0-0][person:moiz m 1-1]
moiz| Hey Kimberly Not to gossip or anything but what do you think about our new boss| [person:kimberly f 1-1][person:kimberly f 10-10][person:our g(moiz:kimberly) 13-13]
kimberly| You mean Angela| [person:moiz m 0-0][person:angela f 2-2]
moiz| Yeah She just joined us for a couple of weeks but all I ve seen her do is drink coffee| [person:angela f 1-1][person:our g(moiz:kimberly) 4-4][person:moiz m 12-12][person:angela f 15-15]
kimberly| She does drink a lot of coffee That s pretty much all I ve seen her do too| [person:angela f 0-0][person:kimberly f 12-12][person:angela f 15-15]
moiz| I haven t seen much of her out on the sales floor| [person:moiz m 0-0][person:angela f 6-6][location:floor s 11-11]
kimberly| Yeah I am not what else she s doing besides sit in her office all day and drink coffee| [person:kimberly f 1-1][person:angela f 6-6][person:angela f 12-12][location:office s 13-13]
moiz| I just don t know how she ll help us with inventory when she doesn t isn t more engaged with the sales floor| [person:moiz m 0-0][person:angela f 6-6][person:our g(moiz:kimberly) 9-9][person:angela f 13-13][location:floor s 23-23]
kimberly| Well I liked Andy our old boss He did his job and was on top of things| [person:kimberly f 1-1][person:andy m 3-3][person:our g(moiz:kimberly) 4-4][person:andy m 7-7][person:andy m 9-9]
moiz| He definitely helped the store a lot more I just don t know about Angela| [person:andy m 0-0][location:store s 4-4][person:moiz m 8-8][person:angela f 14-14]
kimberly| Me neither Andy was so helpful He was always helping and working with us to help customers He seemed to genuinely care| [person:kimberly f 0-0][person:andy m 2-2][person:andy m 6-6][person:our g(moiz:kimberly) 13-13][person:andy m 17-17]
moiz| I just don t know what Angela s deal is She seems so disconnected from us and the customers| [person:moiz m 0-0][person:angela f 6-6][person:angela f 10-10][person:our g(moiz:kimberly) 15-15]
kimberly| Yeah I don t think we ll succeed with her leading I can see the company failing with her as the manager| [person:kimberly f 1-1][person:our g(moiz:kimberly) 5-5][person:angela f 9-9][person:kimberly f 11-11][person:angela f 18-18][person:angela f 21-21]
moiz| Let s do our jobs and hope for the best| [person:our g(moiz:kimberly) 3-3]

conv:people_chats_0629_79:aug_0:chat_0:chataug_0| bonny delilah| [person:bonny m 0-0][person:delilah f 1-1]
delilah| Hey|
bonny| What s up|
delilah| So I m trying to get everyone together for the family union this year Galveston Texas| [person:delilah f 1-1][person:everyone g(delilah:bonny) 6-6][person:everyone g(delilah:bonny) 10-10][location:galveston s 14-14][location:texas s 15-15]
delilah| Do you know if your sister Miranda is able to make it| [person:bonny m 1-1][person:bonny m 4-4][person:miranda f 5-5][person:miranda f 6-6]
bonny| I m not sure She travels a lot for work and might already have plans| [person:bonny m 0-0][person:miranda f 4-4]
bonny| I ll call her to find out| [person:bonny m 0-0][person:miranda f 3-3]
delilah| Great I spoke to my brother Jason and he said he can make it| [person:delilah f 1-1][person:delilah f 4-4][person:jason m 5-5][person:jason m 6-6][person:jason m 8-8][person:jason m 10-10]
delilah| I can t wait He s bringing his family and I can t wait to get the kids together and teach them to boogie board| [person:delilah f 0-0][person:jason m 4-4][person:jason m 7-7][person:jason_s_family g() 8-8][person:delilah f 10-10][person:jason_s_family g() 17-17][person:jason_s_kids g() 21-21]
bonny| Sounds awesome|
bonny| Should I book one large beach house for everyone or let each family get their own| [person:bonny m 1-1][location:beach s 5-5][person:everyone g(delilah:bonny:miranda:jason) 8-8][person:everyone g(delilah:bonny:miranda:jason) 12-12][person:everyone g(delilah:bonny:miranda:jason) 14-14]
delilah| Probably let each family get their own| [person:everyone g(delilah:bonny:miranda:jason) 3-3][person:everyone g(delilah:bonny:miranda:jason) 5-5]
delilah| This way they can decide if they want to share| [person:everyone g(delilah:bonny:miranda:jason) 2-2][person:everyone g(delilah:bonny:miranda:jason) 6-6]
bonny| Ok great|

conv:people_chats_0629_81:aug_0:chat_0:chataug_0| alexzandra lawrence| [person:alexzandra f 0-0][person:lawrence m 1-1]
lawrence| Hey just touching bases on your work schedule do you think you can make it in today| [person:alexzandra f 5-5][person:alexzandra f 9-9][person:alexzandra f 11-11]
alexzandra| Hi Lawrence yes I can come in today| [person:lawrence m 1-1][person:alexzandra f 3-3]
lawrence| Are you sure I know your son is sick so I understand if you re taking another day off| [person:alexzandra f 1-1][person:lawrence m 3-3][person:alexzandra f 5-5][person:son m 6-6][person:lawrence m 10-10][person:alexzandra f 13-13]
lawrence| I just want to know so I can change the schedule today| [person:lawrence m 0-0][person:lawrence m 6-6]
alexzandra| No it s fine Jake s had bronchitis these past two days but he s all better now| [person:jake m 4-4][person:jake m 13-13]
alexzandra| We re still keeping him home for one more day to be sure but my sister Melissa can watch him since she has today off| [person:we g(lawrence:alexzandra:jake) 0-0][person:jake m 4-4][person:alexzandra f 14-14][person:melissa f 15-15][person:melissa f 16-16][person:jake m 19-19][person:melissa f 21-21]
lawrence| Ok great if you re sure| [person:alexzandra f 3-3]
lawrence| I ll have you take the opening shift then so you can make it home early| [person:lawrence m 0-0][person:alexzandra f 3-3][person:alexzandra f 10-10][location:home s 14-14]
alexzandra| That would be awesome Thank you for understanding| [person:lawrence m 5-5]
lawrence| No problem I ll see you today then| [person:lawrence m 2-2][person:alexzandra f 5-5]
alexzandra| Let me go tell Melissa when I need her but I ll be in shortly| [person:alexzandra f 1-1][person:melissa f 4-4][person:alexzandra f 6-6][person:melissa f 8-8][person:alexzandra f 10-10]
alexzandra| See you soon| [person:lawrence m 1-1]

conv:people_chats_0629_83:aug_0:chat_0:chataug_0| jacob penelope| [person:jacob m 0-0][person:penelope f 1-1]
jacob| I m confused Are you talking about in real life or a game| [person:jacob m 0-0][person:penelope f 4-4]
penelope| Thomas is a friend of mine with a bad grand daughter Well maybe not bad just different| [person:thomas m 0-0][person:friend u 3-3][person:penelope f 5-5][person: f 10-10]
jacob| He abuses her| [person:thomas m 0-0][person:jane f 2-2]
penelope| He pushes the envelope but hey i used to kick the snot out of your father when he got out of line and he turned out fine| [person:thomas m 0-0][person:penelope f 6-6][person:jacob m 14-14][person:thomas m 17-17][person:thomas m 23-23]
jacob| Thats crazy So you two abusers are going to abuse some kids in video games now huh I guess i prefer that than actual abuse| [person:penelope f 3-3][person:kids g() 11-11][person:jacob m 17-17][person:jacob m 19-19]
penelope| Yeah we re going to show them alright And stop being such a wuss Jacob for Gods sake Spare the rod spoil the child| [person:we g(jacob:penelope) 1-1][person:them g(penelope:thomas) 6-6][person:jacob m 14-14][person:rod m 20-20]
penelope| snitch ha ha|
jacob| You old timers are crazy| [person:penelope f 0-0]
penelope| And you young timers are weak How do i change weapons on this game| [person:jacob m 1-1][person:penelope f 8-8]
penelope| I need something bigger than this pistol| [person:penelope f 0-0]
jacob| google it oldie ha ha|
penelope| Keep it up smart ass Both Thomas and I will be over there with some switches and sticks ha ha| [person:thomas m 6-6][person:penelope f 8-8]
jacob| yeah yeah yeah then Jane and I will have to definitely report you to the cops reverse elder abuse ha ha| [person:jane f 4-4][person:jacob m 6-6][person:penelope f 12-12]
penelope| Bye you little| [person:jacob m 1-1]
jacob| Love you too Granny| [person:penelope f 1-1]

conv:people_chats_0629_86:aug_0:chat_0:chataug_0| franklin ronda| [person:franklin m 0-0][person:ronda f 1-1]
ronda| Hey Have you watched the latest episode of Real Housewives of Wherever| [person:franklin m 2-2]
franklin| Hi Ronda I have not watched it yet| [person:ronda f 1-1][person:franklin m 2-2]
ronda| What happened Are you not interested| [person:ronda f 3-3]
franklin| I am very In fact my coworkers Cleo and Warren were talking about it today| [person:franklin m 0-0][person:franklin m 5-5][person:coworkers g() 6-6][person:cleo m 7-7][person:warren m 9-9]
ronda| What did they say| [person:they g(cleo:warren) 2-2]
franklin| They said it was a juicy episode I did not want to know more| [person:they g(cleo:warren) 0-0][person:franklin m 7-7]
ronda| Do you want to come over tonight and we can see the re run| [person:franklin m 1-1][person:we g(ronda:franklin) 8-8]
franklin| That sounds like a plan I will bring some snacks| [person:franklin m 5-5]
ronda| Looking forward to it|
franklin| See you tonight bye| [person:ronda f 1-1]
ronda| bye|

conv:people_chats_0629_87:aug_0:chat_0:chataug_0| bridget randy| [person:bridget f 0-0][person:randy m 1-1]
bridget| Have you ever wondered what you would do if you had to fight a xenomorph| [person:randy m 1-1][person:randy m 5-5][person:randy m 9-9]
randy| Yes that is a classic I have thought about it quite a bit in fact| [person:randy m 5-5]
bridget| Well what would you do| [person:randy m 3-3]
randy| First I would gather up my friends Melissa and Douglas| [person:randy m 1-1][person:randy m 5-5][person:friends g() 6-6][person:melissa f 7-7][person:douglas m 9-9]
bridget| Why them specifically| [person:friends g(melissa:douglas) 1-1]
randy| Melissa worked as a pyrotechnical technician for years She was on hand for some rock band that played Queen cover songs| [person:melissa f 0-0][person:melissa f 8-8]
bridget| She could totally exploit the xenomorph s fear of fire| [person:melissa f 0-0]
randy| Yes and we could roast marshmallows| [person:we g(randy:melissa:douglas) 2-2]
bridget| What about Douglas| [person:douglas m 2-2]
randy| He is the most important because he runs slower than both Melissa and me| [person:douglas m 0-0][person:douglas m 6-6][person:melissa f 11-11][person:randy m 13-13]
bridget| Is that not a bit mean from you| [person:randy m 7-7]
randy| Yes it is|

conv:people_chats_0629_90:aug_0:chat_0:chataug_0| rich val| [person:rich m 0-0][person:val f 1-1]
val| Hey Rich I just wanted to let you know that I was going out with my friends tonight| [person:rich m 1-1][person:val f 2-2][person:rich m 7-7][person:val f 10-10][person:val f 15-15][person:yasmine___karim g() 16-16]
rich| Oh alright who are you going out with| [person:val f 4-4]
val| Just Yasmine and Karim| [person:yasmine f 1-1][person:karim m 3-3]
rich| Oh well what are you all going to be doing| [person:val f 4-4]
val| They are taking me out for a belated birthday dinner| [person:yasmine___karim g(yasmine:karim) 0-0][person:val f 3-3]
rich| Oh well that sounds nice of them| [person:yasmine___karim g(yasmine:karim) 6-6]
val| It really is I am super excited about it| [person:val f 3-3]
rich| Well I hope you enjoy yourself what time can I expect you home| [person:rich m 1-1][person:val f 3-3][person:val f 5-5][person:rich m 9-9][person:val f 11-11][location:home s 12-12]
val| Oh about 11 I would say| [person:val f 3-3]
rich| Alright make sure you be safe| [person:val f 3-3]
val| I will see you later| [person:val f 0-0][person:rich m 3-3]
rich| Later|

conv:people_chats_0629_93:aug_0:chat_0:chataug_0| austin tedd| [person:austin m 0-0][person:tedd m 1-1]
tedd| Hey Austin would you like to go fishing tonight| [person:austin m 1-1][person:austin m 3-3]
austin| Hi Tedd I m not sure I wasn t planning on it but it does sound like a good idea| [person:tedd m 1-1][person:austin m 2-2][person:austin m 6-6]
austin| As long as my wife Sara can look after our kids Sandra Trisha then I will go with you| [person:austin m 3-3][person:sara f 4-4][person:sara f 5-5][person:our g(austin:sara) 9-9][person:kids g() 10-10][person:sandra f 11-11][person:trish f 12-12]
tedd| Why don t you bring the kids with you It will be a fun experience for them| [person:austin m 3-3][person:kids g(sandra:trish) 6-6][person:austin m 8-8][person:kids g(sandra:trish) 16-16]
austin| I see your point but none of them care for fishing| [person:austin m 0-0][person:tedd m 2-2][person:kids g(sandra:trish) 7-7]
austin| I have taken them out on the boat before but they only like to swim| [person:austin m 0-0][person:kids g(sandra:trish) 3-3][person:kids g(sandra:trish) 10-10]
tedd| I see what if they were bribed into coming with you| [person:tedd m 0-0][person:kids g(sandra:trish) 4-4][person:austin m 10-10]
tedd| You know they could be given ice cream if they go with us as a reward| [person:austin m 0-0][person:kids g(sandra:trish) 2-2][person:kids g(sandra:trish) 9-9][person:us g(tedd:austin) 12-12]
austin| I could try and see if they will agree to that but I have a feeling they won t budge| [person:austin m 0-0][person:kids g(sandra:trish) 6-6][person:austin m 12-12][person:kids g(sandra:trish) 16-16]
austin| I gave it the old college try but they are adamant about swimming and not going out to fish on the boat| [person:austin m 0-0][person:kids g(sandra:trish) 8-8]
tedd| Gee that s too bad Austin Maybe next time we can get a big haul| [person:austin m 5-5][person:we g(tedd:austin) 9-9]
tedd| Have a great night and I ll see you next time Say hello to your wife for me| [person:tedd m 5-5][person:austin m 8-8][person:austin m 14-14][person:sara f 15-15][person:tedd m 17-17]

conv:people_chats_0629_94:aug_0:chat_0:chataug_0| doug kelly| [person:doug m 0-0][person:kelly f 1-1]
kelly| Hi Doug how was the meeting with the marketing team this morning| [person:doug m 1-1][person:team g(doug) 9-9]
doug| good Sonia feels good about the launch campaign| [person:sonia f 1-1]
kelly| great are they ready| [person:team g(doug) 2-2]
doug| yes Sonia says the social media channels are ready| [person:sonia f 1-1]
kelly| do we have enough staff for this| [person:we g(kelly:doug) 1-1]
doug| I think so Steve is hiring three more customer service representatives to help with the increased call volume when the new product launches| [person:doug m 0-0][person:steve m 3-3]
kelly| that s a really good idea that s a lot of new people|
doug| I agree He thinks it may be too many but he wants a smooth launch| [person:doug m 0-0][person:steve m 2-2][person:steve m 10-10]
kelly| sounds like they have it under control this sounds good to me| [person:team g(doug:sonia:steve) 2-2][person:kelly f 11-11]
doug| I agree I think they have a great plan| [person:doug m 0-0][person:doug m 2-2][person:team g(doug:sonia:steve) 4-4]
kelly| do you think we need one more meeting before the official launch| [person:doug m 1-1][person:we g(kelly:doug) 3-3]
doug| yes that s probably a good idea let s meet next week|

conv:people_chats_0629_95:aug_0:chat_0:chataug_0| brian naomi| [person:brian m 0-0][person:naomi f 1-1]
naomi| Did you have a good time last night Brian| [person:brian m 1-1][person:brian m 8-8]
brian| I sure did Been forever since I have been out| [person:brian m 0-0][person:brian m 6-6]
naomi| How long|
brian| Since my divorce I was married for 7 years| [person:brian m 1-1][person:brian m 3-3]
naomi| Oh sorry to hear that Had you been dating much| [person:brian m 6-6]
brian| Not much like I said I rarely go out| [person:brian m 3-3][person:brian m 5-5]
naomi| Well you remember my friend Sharon from last night| [person:brian m 1-1][person:naomi f 3-3][person:sharon f 4-4][person:sharon f 5-5]
brian| Yeah she was nice| [person:sharon f 1-1]
naomi| She mentioned you were handsome maybe you could ask her out| [person:sharon f 0-0][person:brian m 2-2][person:brian m 6-6][person:sharon f 9-9]
brian| Could I have her number That may be a great idea| [person:brian m 1-1][person:sharon f 3-3]
naomi| Sure 2452344567 Let me know how it goes| [person:naomi f 3-3]
brian| I will give her a call thanks Naomi| [person:brian m 0-0][person:sharon f 3-3][person:naomi f 7-7]

conv:people_chats_0629_97:aug_0:chat_0:chataug_0| roy tran| [person:roy m 0-0][person:tran m 1-1]
roy| hi Tran sorry I m running late| [person:tran m 1-1][person:roy m 3-3]
tran| how late when will you get here| [person:roy m 4-4]
roy| I ll be there around 630 I got sidetracked at Ross and Isabel s house| [person:roy m 0-0][person:roy m 6-6][person:ross m 10-10][person:isabel f 12-12]
tran| what were you doing there| [person:roy m 2-2][location:house s 4-4]
roy| They were showing me the new pool and hot tub they got installed| [person:they g(ross:isabel) 0-0][person:roy m 3-3][person:they g(ross:isabel) 10-10]
tran| that sounds fun|
roy| Yeah they invited me over next weekend to try it out| [person:they g(ross:isabel) 1-1][person:roy m 3-3]
tran| that sounds good I hope I get invited too| [person:tran m 3-3][person:tran m 5-5]
roy| Yeah I m sure you are I ll ask them| [person:roy m 1-1][person:tran m 4-4][person:roy m 6-6][person:they g(ross:isabel) 9-9]
tran| ok that sounds like a lot of fun|
roy| it does I ll see you around 630| [person:roy m 2-2][person:tran m 5-5]
tran| great see you then| [person:roy m 2-2]

conv:people_chats_0629_98:aug_0:chat_0:chataug_0| billiam karina| [person:billiam m 0-0][person:karina f 1-1]
billiam| Hey are you still a master of the axe| [person:billiam m 2-2]
karina| Why are you axeing yes that s a pun and I m still capable combatant with the weapon| [person:billiam m 2-2][person:karina f 10-10]
