conv:task_oriented_1231_amt_22:aug_0:chat_0:chataug_0| margaret nicole| [person:margaret f 0-0][person:nicole f 1-1]
jody| Yes or else we re going to ruin this pleasant plan| [person:we g(darlene:jody) 3-3]
darlene| John Grant are our good friends We can ask them to help us out| [person:john m 0-0][person:john m 1-1][person:we g(darlene:jody) 3-3][person:friend g() 5-5][person:we g(darlene:jody) 6-6][person:friend g() 9-9]
jody| I ve already asked them to help me out and they are very happy to do so I can also ask them to help you as well| [person:jody f 0-0][person:them g() 4-4][person:jody f 7-7][person:them g() 10-10][person:jody f 17-17][person:them g() 21-21][person:darlene f 24-24]

conv:task_oriented_1231_amt_118:aug_0:chat_0:chataug_0| clyde martin| [person:clyde m 0-0][person:martin m 1-1]
martin| Hi Clyde You do remember that mom s birthday that is coming up is her 50th birthday right| [person:clyde m 1-1][person:clyde m 2-2][person:mom f 6-6][person:mom f 14-14]
clyde| Yes of course We should plan something special for her birthday| [person:we g(martin:clyde) 3-3][person:mom f 9-9]
martin| Yeah Let s all plan and go for a dinner together on that day to celebrate| [location:dinner s 9-9]
clyde| Dinner sounds great Martin Why don t you call mom and arrange a date to celebrate her birthday| [location:dinner s 0-0][person:martin m 3-3][person:martin m 7-7][person:mom f 9-9][person:mom f 16-16]
martin| Sure thing Which place do you think would be a good spot for dinner| [location:place s 3-3][person:clyde m 5-5][location:dinner s 13-13]
clyde| I heard the new restaurant in my neighborhood is very good Did you call mom| [person:clyde m 0-0][location:restaurant s 4-4][person:clyde m 6-6][person:martin m 12-12][person:mom f 14-14]
martin| Sounds good to me I ve been trying to call mom s phone multiple times now but couldn t get in touch with her Do you want to check with dad once about her| [person:martin m 3-3][person:martin m 4-4][person:mom f 10-10][person:mom f 23-23][person:clyde m 25-25][person:dad m 30-30][person:mom f 33-33]
clyde| I just found out from dad that mom is in Mexico and will be unreachable until next week| [person:clyde m 0-0][person:dad m 5-5][person:mom f 7-7][location:mexico s 10-10]
martin| That s unfortunate No worries though we will stick with the dinner plan and organize it when mom is back from Mexico| [person:we g(martin:clyde) 6-6][location:dinner s 11-11][person:mom f 17-17][location:mexico s 21-21]
clyde| That sounds great confirm the date and tell me I will make the reservation at the restaurant| [person:clyde m 8-8][person:clyde m 9-9][location:restaurant s 16-16]

conv:task_oriented_1231_amt_119:aug_0:chat_0:chataug_0| jennifer lucas| [person:jennifer f 0-0][person:lucas m 1-1]
lucas| Hey Jennifer Which places do you think we should visit on our upcoming trip to Europe| [person:jennifer f 1-1][location:places g() 3-3][person:jennifer f 5-5][person:we g(lucas:jennifer) 7-7][person:we g(lucas:jennifer) 11-11][location:europe s 15-15]
jennifer| I really don t have any idea about Europe| [person:jennifer f 0-0][location:europe s 8-8]
lucas| Nor do I Whom do you think we could ask| [person:lucas m 2-2][person:jennifer f 5-5][person:we g(lucas:jennifer) 7-7]
jennifer| I got to know that Julia and Ted returned from their Europe trip a few days ago| [person:jennifer f 0-0][person:julia f 5-5][person:ted m 7-7][person:their g(julia:ted) 10-10][location:europe s 11-11]
lucas| Oh yes I was planning to invite them for dinner next week| [person:lucas m 2-2][person:their g(julia:ted) 7-7]
jennifer| It s a good idea since they can help out with planning the itinerary for our trip| [person:their g(julia:ted) 6-6][person:we g(lucas:jennifer) 15-15]
lucas| Yes I think they would give us some good advice| [person:lucas m 1-1][person:their g(julia:ted) 3-3][person:we g(lucas:jennifer) 6-6]
jennifer| They have been to Paris and London They could suggest some nice places to visit| [person:their g(julia:ted) 0-0][location:paris s 4-4][location:london s 6-6][person:their g(julia:ted) 7-7][location:places g() 12-12]
lucas| Awesome when do you plan on inviting them| [person:jennifer f 3-3][person:their g(julia:ted) 7-7]
jennifer| I will invite them for dinner this weekend| [person:jennifer f 0-0][person:their g(julia:ted) 3-3]

conv:task_oriented_1231_amt_120:aug_0:chat_0:chataug_0| claire jacqueline| [person:claire f 0-0][person:jacqueline f 1-1]
jacqueline| Claire did you find any good place for the body building| [person:claire f 0-0][person:claire f 2-2][location:place s 6-6][location:building s 10-10]
claire| Yeah I have found one But as we don t have much idea about the body building we need to check with trainers| [person:claire f 1-1][person:we g(jacqueline:claire) 7-7][location:building s 16-16][person:we g(jacqueline:claire) 17-17]
jacqueline| Yeah who are the trainers at gym and what are you planning to ask them| [location:gym s 6-6][person:claire f 10-10][person:them g() 14-14]
claire| Mindy and Jean are the gym trainers and I would ask them whether their gym is perfect for us or not| [person:mindy f 0-0][person:jean f 2-2][location:gym s 5-5][person:claire f 8-8][person:them g(mindy:jean) 11-11][person:them g(mindy:jean) 13-13][person:we g(jacqueline:claire) 18-18]
jacqueline| But I think they ll convince us by telling good things about their gym as most of the trainers work on commission| [person:jacqueline f 1-1][person:them g(mindy:jean) 3-3][person:we g(jacqueline:claire) 6-6][person:them g(mindy:jean) 12-12][location:gym s 13-13]
claire| What shall we do about it then| [person:we g(jacqueline:claire) 2-2][location:building s 5-5]
jacqueline| We should plan on how to talk with them about the gym| [person:we g(jacqueline:claire) 0-0][person:them g(mindy:jean) 8-8][location:gym s 11-11]
claire| Yeah that s a great idea Do you have any plan in your mind| [person:jacqueline f 7-7][person:jacqueline f 12-12]
jacqueline| No I ll think of it Then we ll talk to them and get a good picture of their gym| [person:jacqueline f 1-1][person:we g(jacqueline:claire) 7-7][person:them g(mindy:jean) 11-11][person:them g(mindy:jean) 18-18][location:gym s 19-19]
claire| Yeah sure let s think about it and decide whether their classes will be useful for us or not| [person:them g(mindy:jean) 10-10][person:we g(jacqueline:claire) 16-16]

conv:task_oriented_1231_amt_121:aug_0:chat_0:chataug_0| betty sofia| [person:betty f 0-0][person:sofia f 1-1]
betty| Sofia I am excited about our road trip What about you| [person:sofia f 0-0][person:betty f 1-1][person:our g(betty:sofia) 5-5][person:sofia f 10-10]
sofia| Even I am also excited| [person:sofia f 1-1]
betty| We should take your car as it gives the best gas mileage| [person:our g(betty:sofia) 0-0][person:sofia f 3-3]
sofia| But I think yours one would have enough space for Jane and Scarlett as well| [person:sofia f 1-1][person:betty f 3-3][person:jane f 10-10]
betty| Okay let s not argue We will travel in my car only| [person:our g(betty:sofia) 5-5][person:betty f 9-9]
sofia| But now we need to convince them regarding driving the car| [person:our g(betty:sofia) 2-2][person:them g(jane) 6-6]
betty| Yeah you are right Jane can drive quite well Isn t it| [person:sofia f 1-1][person:jane f 4-4]
sofia| But she won t agree to it as a few days back she got hurt in her leg| [person:jane f 1-1][person:jane f 12-12][person:jane f 16-16]
betty| Then we don t have any choice other than Scarlett| [person:our g(betty:sofia) 1-1]
sofia| Okay I will try to convince her about it| [person:sofia f 1-1][person:her f 6-6]

conv:task_oriented_1231_amt_122:aug_0:chat_0:chataug_0| barbara harrison| [person:barbara f 0-0][person:harrison m 1-1]
harrison| Hey Barbara Whose turn is it to drive Erica and Kyle to their basketball game| [person:barbara f 1-1][person:erica f 8-8][person:kyle m 10-10][person:they g(erica:kyle) 12-12]
barbara| Last week I drove them to the game so it is your turn now| [person:barbara f 2-2][person:they g(erica:kyle) 4-4][person:harrison m 11-11]
harrison| But I remember it differently| [person:harrison m 1-1]
barbara| What do you mean by that| [person:harrison m 2-2]
harrison| I drove them to practice on Wednesday so it is your turn now| [person:harrison m 0-0][person:they g(erica:kyle) 2-2][person:barbara f 10-10]
barbara| I don t remember you taking them anywhere on Wednesday| [person:barbara f 0-0][person:harrison m 4-4][person:they g(erica:kyle) 6-6]
harrison| But I did I m not driving them again| [person:harrison m 1-1][person:harrison m 3-3][person:they g(erica:kyle) 7-7]
barbara| Now what shall we do This quarrel will not lead us to any solution| [person:we g(harrison:barbara) 3-3][person:we g(harrison:barbara) 10-10]
harrison| Alright I have an idea Let s take a walk this time instead of driving them| [person:harrison m 1-1][person:they g(erica:kyle) 15-15]
barbara| Okay that s a good idea let s do that|

conv:task_oriented_1231_amt_123:aug_0:chat_0:chataug_0| spencer woody| [person:spencer m 0-0][person:woody m 1-1]
spencer| I have bought tickets for the tournament I am super excited| [person:spencer m 0-0][person:spencer m 7-7]
woody| Oh what a coincidence I also bought the same| [person:woody m 4-4]
spencer| Wow that s great We need to travel out of the city so let s plan for a long drive| [person:we g(spencer:woody) 4-4]
woody| Hey I ve just noticed that our tickets allowed a plus one| [person:woody m 1-1][person:we g(spencer:woody) 6-6]
spencer| Let s invited Karina and Mindy| [person:karina f 3-3][person:mindy f 5-5]
woody| That will be great Karina recently bought a new car We ll have a great trip together| [person:karina f 4-4][person:we g(spencer:woody:karina:mindy) 10-10]
spencer| But they won t agree to go to the tournament What about that| [person:they g(karina:mindy) 1-1]
woody| We ll not tell them that we re going to the tournament| [person:we g(spencer:woody) 0-0][person:they g(karina:mindy) 4-4][person:we g(spencer:woody:karina:mindy) 6-6]
spencer| You have a wise head on your shoulder But what we are going to tell them| [person:woody m 0-0][person:woody m 6-6][person:we g(spencer:woody) 10-10][person:they g(karina:mindy) 15-15]
woody| I ll tell them that we re going on a long drive Later we shall disclose them the venue| [person:woody m 0-0][person:they g(karina:mindy) 3-3][person:we g(spencer:woody:karina:mindy) 5-5][person:we g(spencer:woody) 13-13][person:they g(karina:mindy) 16-16]

conv:task_oriented_1231_amt_124:aug_0:chat_0:chataug_0| debbie samantha| [person:debbie f 0-0][person:samantha f 1-1]
debbie| Hey Samantha I am so excited for our upcoming ski trip| [person:samantha f 1-1][person:debbie f 2-2][person:our g(debbie:samantha) 7-7][location:ski_trip s 10-10]
samantha| Me too Debbie But I m also worried because I don t know how to ski well| [person:samantha f 0-0][person:debbie f 2-2][person:samantha f 4-4][person:samantha f 9-9]
debbie| Don t worry Samantha Just remember the instructions Robert and Harrison gave us during our ski lessons| [person:samantha f 3-3][person:robert m 8-8][person:harrison m 10-10][person:our g(debbie:samantha) 12-12][person:our g(debbie:samantha) 14-14]
samantha| Yeah they were wonderful instructors But I ve never skied before apart from our lessons| [person:they g(robert:harrison) 1-1][person:samantha f 6-6][person:our g(debbie:samantha) 13-13]
debbie| Don t you remember them appreciating you I think you are well trained| [person:samantha f 2-2][person:they g(robert:harrison) 4-4][person:samantha f 6-6][person:debbie f 7-7][person:samantha f 9-9]
samantha| I agree Robert and Harrison did a great job| [person:samantha f 0-0][person:robert m 2-2][person:harrison m 4-4]
debbie| Exactly there is nothing to worry about You will do great on this trip| [person:samantha f 7-7][location:ski_trip s 13-13]
samantha| I hope to have another lesson with them on this trip| [person:samantha f 0-0][person:they g(robert:harrison) 7-7][location:ski_trip s 10-10]
debbie| Yeah we will have a lot of fun| [person:our g(debbie:samantha) 1-1]
samantha| Yes I m really looking forward to this trip| [person:samantha f 1-1][location:ski_trip s 8-8]

conv:task_oriented_1231_amt_125:aug_0:chat_0:chataug_0| brad brian| [person:brad m 0-0][person:brian m 1-1]
brad| Hey Brian where do you think we should go to play golf next week| [person:brian m 1-1][person:brian m 4-4][person:we g(brad:brian) 6-6]
brian| Hi Brad I know of a gold course in a neighboring town which should be fun What do you say| [person:brad m 1-1][person:brian m 2-2][location:gold_course s 6-7][location:town s 11-11][person:brad m 18-18]
brad| That sounds great but it s too far I have plans for that evening| [location:gold_course s 4-4][person:brad m 8-8]
brian| Oh okay Then we should just go to where we went last time which is closer to us| [person:we g(brad:brian) 3-3][person:we g(brad:brian) 9-9][person:we g(brad:brian) 17-17]
brad| Yeah that would be perfect We could be back by evening| [person:we g(brad:brian) 5-5]
brian| Sounds great then By the way what plans do you have in the evening| [person:brad m 9-9]
brad| I have a date planned with my girlfriend Emma| [person:brad m 0-0][person:brad m 6-6][person:emma f 7-7][person:emma f 8-8]
brian| Nice That sounds like fun I m jealous| [person:brian m 5-5]
brad| You know what I could call Emma s friend Keira if you want to join us| [person:brian m 0-0][person:brad m 3-3][person:emma f 6-6][person:keira f 8-8][person:keira f 9-9][person:brian m 11-11][person:us g(brad:emma) 15-15]
brian| Sounds like a plan Yes I would love to join you guys| [person:brian m 5-5][person:us g(brad:emma) 10-10]

conv:task_oriented_1231_amt_126:aug_0:chat_0:chataug_0| athena gregory| [person:athena f 0-0][person:gregory m 1-1]
gregory| Hi Athena are you free to talk with me| [person:athena f 1-1][person:athena f 3-3][person:gregory m 8-8]
athena| Hello Gregory Yes I will be free within 5 minutes Why| [person:gregory m 1-1][person:athena f 3-3]
gregory| Yes tell me what is the matter| [person:gregory m 2-2]
athena| I got the news that our nephews Dave and Mark are not planning to come to visit over Christmas| [person:athena f 0-0][person:our g(gregory:athena) 5-5][person:dave m 7-7][person:mark m 9-9]
gregory| Is it so Why What is the reason|
athena| Yes I asked them they said they are very busy with work as they both work retail during the holidays| [person:athena f 1-1][person:they g(dave:mark) 3-3][person:they g(dave:mark) 4-4][person:they g(dave:mark) 6-6][person:they g(dave:mark) 13-13]
gregory| Okay then let us go to their place for Christmas this time| [person:our g(gregory:athena) 3-3][person:they g(dave:mark) 6-6][location:place s 7-7]
athena| Wow That is a nice idea we will make it as a surprise visit to them| [person:our g(gregory:athena) 6-6][person:they g(dave:mark) 15-15]
gregory| Yeah They will be shocked if they see us suddenly| [person:they g(dave:mark) 1-1][person:they g(dave:mark) 6-6][person:our g(gregory:athena) 8-8]
athena| Okay by this weekend we will plan for the trip| [person:our g(gregory:athena) 4-4]

conv:task_oriented_1231_amt_128:aug_0:chat_0:chataug_0| abraham patricia| [person:abraham m 0-0][person:patricia f 1-1]
abraham| Hey Patricia How are you doing| [person:patricia f 1-1][person:patricia f 4-4]
patricia| Hi Abraham I m fine and how about you| [person:abraham m 1-1][person:patricia f 2-2][person:abraham m 8-8]
abraham| I am also doing well How did your holiday go| [person:abraham m 0-0][person:patricia f 7-7]
patricia| It was fine but my dad has been acting erratically| [person:patricia f 4-4][person:dad m 5-5]
abraham| Why What happened to him| [person:dad m 4-4]
patricia| I am afraid that my parents are going to get a divorce| [person:patricia f 0-0][person:patricia f 4-4][person:parents g() 5-5]
abraham| That is very sad How s your mom holding up| [person:patricia f 6-6][person:mom f 7-7]
patricia| My mom is very low She hasn t been handling it well| [person:patricia f 0-0][person:mom f 1-1][person:mom f 5-5]
patricia| And my aunt Christina offered to let me and my mom stay at her place until things calm down I think this will work out| [person:patricia f 1-1][person:christina f 2-2][person:christina f 3-3][person:patricia f 7-7][person:patricia f 9-9][person:mom f 10-10][person:christina f 13-13][person:patricia f 19-19]
abraham| That was sweet of her I really hope it works out| [person:christina f 4-4][person:abraham m 5-5]

conv:task_oriented_1231_amt_129:aug_0:chat_0:chataug_0| athena clyde| [person:athena f 0-0][person:clyde m 1-1]
clyde| Athena at what time will you pick up kids Dwayne and Nancy| [person:athena f 0-0][person:athena f 5-5][person:kids g() 8-8][person:dwayne m 9-9][person:nancy f 11-11]
athena| We will be done with the church by noon| [person:we g(clyde:athena) 0-0]
athena| But we are planning to go for lunch with my parents| [person:we g(clyde:athena) 1-1][person:athena f 9-9][person:parents g() 10-10]
clyde| But you were supposed to pick them| [person:athena f 1-1][person:parents g() 6-6]
athena| I am really sorry We suddenly planed about the lunch| [person:athena f 0-0][person:we g(clyde:athena) 4-4]
clyde| They can t stay for such a long time with our neighbors| [person:kids g(dwayne:nancy) 0-0][person:we g(clyde:athena) 10-10][person:neighbors g() 11-11]
athena| Can you pick them while returning from the office| [person:clyde m 1-1][person:kids g(dwayne:nancy) 3-3]
clyde| I already fixed my meeting timings Now I need to reschedule it| [person:clyde m 0-0][person:clyde m 3-3][person:clyde m 7-7]
clyde| Not to worry I will pick them as soon as possible| [person:clyde m 3-3][person:kids g(dwayne:nancy) 6-6]
athena| Thank you so much for your cooperation| [person:clyde m 1-1][person:clyde m 5-5]

conv:task_oriented_1231_amt_131:aug_0:chat_0:chataug_0| karina owen| [person:karina f 0-0][person:owen m 1-1]
owen| Karina let s go and have our dinner outside tonight What do you say| [person:karina f 0-0][person:our g(owen:karina) 6-6][person:karina f 12-12]
karina| I think it is good if we order the food from some restaurant| [person:karina f 0-0][person:we g(owen:karina) 6-6]
owen| But Karina our roommates Christopher and Christian will be back any moment now so it will be good idea if we enjoy our evening by having our dinner in some nice restaurant| [person:karina f 1-1][person:our g(owen:karina) 2-2][person:christopher m 4-4][person:christian m 6-6][person:we g(owen:karina) 20-20][person:our g(owen:karina) 22-22]
karina| Okay let s go out and have dinner but I will come for dinner only on one condition| [person:karina f 9-9]
owen| What is it What is your condition| [person:karina f 5-5]
karina| I need someone who can record my favourite TV show while we are out| [person:karina f 0-0][person:someone u 2-2][person:karina f 6-6][person:we g(owen:karina) 11-11]
owen| Oh that s easy I ll keep the TV recorder on and it will record your TV show Is that okay| [person:owen m 4-4][person:karina f 15-15]
karina| Yeah that is okay when are we planning to go for dinner| [person:we g(owen:karina) 6-6]
owen| As soon as they come back we ll proceed till then get ready| [person:they g(christopher:christian) 3-3][person:we g(owen:karina) 6-6]
karina| Okay fine I will get ready within 15 minutes| [person:karina f 2-2]

conv:task_oriented_1231_amt_134:aug_0:chat_0:chataug_0| randy vivian| [person:randy m 0-0][person:vivian f 1-1]
randy| Hey Vivian what are you doing| [person:vivian f 1-1][person:vivian f 4-4]
vivian| I was just going through my high school pictures I feel so nostalgic| [person:vivian f 0-0][person:vivian f 5-5][location:high_school s 6-7][person:vivian f 9-9]
randy| Those were good times weren t they|
vivian| Yes I miss having fun with my best friends| [person:vivian f 1-1][person:vivian f 6-6][person:friends g() 8-8]
randy| Of course By the way who are your best friends| [person:vivian f 7-7][person:friends g() 9-9]
vivian| Their names are Juliet Sue and Judi I miss them a lot| [person:friends g() 0-0][person:juliet f 3-3][person:sue f 4-4][person:vivian f 7-7][person:friends g(juliet:sue) 9-9]
randy| Why don t you keep in touch with them through facetime| [person:vivian f 3-3][person:friends g(juliet:sue) 8-8]
vivian| That s a great idea Randy Thank you| [person:randy m 5-5][person:randy m 7-7]
randy| I m happy that you re happy Vivian| [person:randy m 0-0][person:vivian f 4-4][person:vivian f 7-7]
vivian| I ll facetime them right now| [person:vivian f 0-0][person:friends g(juliet:sue) 3-3]

conv:task_oriented_1231_amt_135:aug_0:chat_0:chataug_0| eric pete| [person:eric m 0-0][person:pete m 1-1]
pete| Hi Eric What are you doing| [person:eric m 1-1][person:eric m 4-4]
eric| I am admiring the new garden Derrick and Brtiney have planted around their home| [person:eric m 0-0][person:derrick m 6-6][person:brtiney f 8-8][person:their g(derrick:brtiney) 12-12][location:home s 13-13]
pete| Yes I ve seen that It looks beautiful| [person:pete m 1-1][location:home s 5-5]
eric| How do you think they did it| [person:pete m 2-2][person:their g(derrick:brtiney) 4-4][location:home s 6-6]
pete| I have no idea But they must have put a lot of effort into it| [person:pete m 0-0][person:their g(derrick:brtiney) 5-5][location:home s 14-14]
eric| That s right we would never be able to do something like that| [person:we g(pete:eric) 3-3]
pete| Exactly Shall we ask them how they planted it| [person:we g(pete:eric) 2-2][person:their g(derrick:brtiney) 4-4][person:their g(derrick:brtiney) 6-6][location:home s 8-8]
eric| We could but I really don t think they would reveal their secrets| [person:we g(pete:eric) 0-0][person:eric m 3-3][person:their g(derrick:brtiney) 8-8][person:their g(derrick:brtiney) 11-11]
pete| You re right but I think it is worth a try| [person:eric m 0-0][person:pete m 4-4]
eric| Okay let s ask them tomorrow morning| [person:their g(derrick:brtiney) 4-4]

conv:task_oriented_1231_amt_136:aug_0:chat_0:chataug_0| lorenzo roy| [person:lorenzo m 0-0][person:roy m 1-1]
roy| Hello Lorenzo where are you are you free| [person:lorenzo m 1-1][location:where s 2-2][person:lorenzo m 4-4][person:lorenzo m 6-6]
lorenzo| Hey bro I m there at home and I m free| [person:lorenzo m 2-2][location:where s 4-4][location:home s 6-6][person:lorenzo m 8-8]
roy| Okay bro I m planning to throw a surprise party for my friend Kelly You have to come to the party without fail| [person:roy m 2-2][location:where s 8-8][person:roy m 11-11][person:friend u 12-12][person:kelly f 13-13][person:roy m 14-14][location:party s 20-20]
lorenzo| Sure bro I will be there in the party| [person:lorenzo m 2-2][location:party s 5-5][location:party s 8-8]
roy| Bro I m not so creative you are supposed to help me out with the party arrangements| [person:roy m 1-1][person:lorenzo m 6-6][person:roy m 11-11]
lorenzo| Sure bro and still whom did you invite| [person:roy m 6-6]
roy| My sister is even coming bro and what colors do girls prefer| [person:roy m 0-0][person:sister f 1-1][person:girls g() 10-10]
lorenzo| Bro it depends on each individual and you have to know becuase she is your friend| [person:roy m 7-7][person:friend u 12-12][person:roy m 14-14][person:friend u 15-15]
roy| Okay bro you try to come a little early to the party so that we can make the arrangements together| [person:lorenzo m 2-2][location:party s 11-11][person:we g(roy:lorenzo:kelly) 14-14]
lorenzo| Sure bro I will be there little early bye| [person:lorenzo m 2-2][location:party s 5-5]

conv:task_oriented_1231_amt_138:aug_0:chat_0:chataug_0| clyde gregory| [person:clyde m 0-0][person:gregory m 1-1]
clyde| Hi Gregory are you free to talk now| [person:gregory m 1-1][person:gregory m 3-3]
gregory| Hello Clyde Yes I free tell What is the matter| [person:clyde m 1-1][person:gregory m 3-3]
clyde| Would you like to come to swing dancing with me and my girlfriend Cheryl| [person:gregory m 1-1][person:clyde m 9-9][person:clyde m 11-11][person:cheryl f 12-12][person:cheryl f 13-13]
gregory| Of course yes but I don t have a partner to come| [person:gregory m 4-4]
clyde| You will meet someone there but Cheryl is also bringing her friend Carol| [person:gregory m 0-0][person:carol f 3-3][person:cheryl f 6-6][person:cheryl f 10-10][person:carol f 11-11][person:carol f 12-12]
gregory| I know Carol but I don t think she likes me| [person:gregory m 0-0][person:carol f 2-2][person:gregory m 4-4][person:carol f 8-8][person:gregory m 10-10]
clyde| You are behaving very ridiculous today I don t know why| [person:gregory m 0-0][person:clyde m 6-6]
gregory| Okay I will join you people Don t worry| [person:gregory m 1-1][person:clyde m 4-4]
clyde| That s the spirit I will let you know about the timings by evening| [person:clyde m 4-4][person:gregory m 7-7]
gregory| Okay I am waiting for your reply| [person:gregory m 1-1][person:clyde m 5-5]

conv:task_oriented_1231_amt_140:aug_0:chat_0:chataug_0| joseph veronica| [person:joseph m 0-0][person:veronica f 1-1]
joseph| Hi Veronica As summer is around the corner shall we plan a trip| [person:veronica f 1-1][person:we g(joseph:veronica) 9-9]
veronica| Hey Joseph That sound s like a great idea I ve heard Europe is a beautiful place where we can go| [person:joseph m 1-1][person:veronica f 9-9][person:we g(joseph:veronica) 18-18]
joseph| Europe sounds good But which countries should we visit there| [person:we g(joseph:veronica) 7-7]
veronica| How about Italy and Belgium They are very famous| [person:italy___belgium g() 5-5]
joseph| Or we could ask my parents where to go because they ve been to Europe many times| [person:we g(joseph:veronica) 1-1][person:joseph m 4-4][person:joseph_s_parents g() 5-5][person:joseph_s_parents g() 10-10]
veronica| Your right Joseph your parents could give us great advice| [person:your_typo_of_you_re____not_a_pronoun u 0-0][person:joseph m 2-2][person:joseph m 3-3][person:joseph_s_parents g() 4-4][person:we g(joseph:veronica) 7-7]
joseph| I spoke with them They said England and France are good destinations| [person:joseph m 0-0][person:joseph_s_parents g() 3-3][person:joseph_s_parents g() 4-4]
veronica| Great I ve been waiting to visit the England Eye and Eiffel Tower for a long time| [person:veronica f 1-1]
joseph| Me too Also we can visit my parents friends who live in England| [person:joseph m 0-0][person:we g(joseph:veronica) 3-3][person:joseph m 6-6][person:joseph_s_parents g() 7-7][person:joseph_s_parents__friends g() 8-8]
veronica| Sure I m really looking forward for this trip| [person:veronica f 1-1]

conv:task_oriented_1231_amt_143:aug_0:chat_0:chataug_0| allen philip| [person:allen m 0-0][person:philip m 1-1]
allen| Hey Philip What do you think is the best time to go to the gym| [person:philip m 1-1][person:philip m 4-4]
philip| I think 600 am is the best time because early morning workout is really effective and our friends Rachel and Steven will also be there in the morning| [person:philip m 0-0][person:our g(allen:philip) 16-16][person:friends g() 17-17][person:rachel f 18-18][person:steve m 20-20]
allen| I really want to join them so that I can show some new exercises| [person:allen m 0-0][person:them g(steve:rachel) 5-5][person:allen m 8-8]
philip| What Why do you want to do that| [person:allen m 3-3]
allen| Because it will be helpful for them as well as for us| [person:them g(steve:rachel) 6-6][person:us g(allen:philip) 11-11]
philip| Yeah I understand that but I have a mixed feeling about this that they might join us or not| [person:philip m 1-1][person:philip m 5-5][person:they g(steve:rachel) 13-13][person:us g(allen:philip) 16-16]
allen| Why do you think that they won t join us| [person:philip m 2-2][person:they g(steve:rachel) 5-5][person:us g(allen:philip) 9-9]
philip| Because we never had a friendly talk with them and we never even got a chance to workout with them that s the reason| [person:we g(allen:philip) 1-1][person:them g(steve:rachel) 8-8][person:we g(allen:philip) 10-10][person:them g(steve:rachel) 19-19]
allen| Okay Let s give it a try and hope for the best|
philip| Yeah okay I ll meet you in the morning then| [person:philip m 2-2][person:allen m 5-5]

conv:task_oriented_1231_amt_145:aug_0:chat_0:chataug_0| kimberly rodger| [person:kimberly f 0-0][person:rodger m 1-1]
rodger| Hi Kimberly What did you think about today s calculus class| [person:kimberly f 1-1][person:kimberly f 4-4]
kimberly| Hi Rodger the class was good but I was unable to understand few topics| [person:rodger m 1-1][person:kimberly f 7-7]
rodger| Yeah me too I still have many doubts regarding some of the topics I was wondering if may be you could clear them for me| [person:rodger m 1-1][person:rodger m 3-3][person:rodger m 13-13][person:kimberly f 19-19][person:rodger m 24-24]
kimberly| I think it s better if we email our teachers Ms Sabrina and Mr Raymond regarding our doubts| [person:kimberly f 0-0][person:we g(rodger:kimberly) 6-6][person:we g(rodger:kimberly) 8-8][person:sabrina f 11-11][person:raymond m 14-14][person:we g(rodger:kimberly) 16-16]
rodger| Yeah let s go ahead and do that|
kimberly| Sure I m on it Let me know when you get a reply from them| [person:kimberly f 1-1][person:kimberly f 6-6][person:rodger m 9-9][person:them g(sabrina:raymond) 14-14]
rodger| Hey Kim I just got a reply from our teachers and they suggested me to do some research online for my doubts What about you| [person:kimberly f 1-1][person:rodger m 2-2][person:we g(rodger:kimberly) 8-8][person:them g(sabrina:raymond) 11-11][person:rodger m 13-13][person:rodger m 20-20][person:kimberly f 24-24]
kimberly| Yeah they suggested me the same I m currently doing my research online| [person:them g(sabrina:raymond) 1-1][person:kimberly f 3-3][person:kimberly f 6-6][person:kimberly f 10-10]
rodger| Actually I disagree with what the teachers said It was a very vague reply they should have at least pointed us in the right direction as to where to look for the answers| [person:rodger m 1-1][person:them g(sabrina:raymond) 14-14][person:we g(rodger:kimberly) 20-20]
kimberly| I have to disagree with you My research is helping me a lot Their suggestion was very useful| [person:kimberly f 0-0][person:rodger m 5-5][person:kimberly f 6-6][person:kimberly f 10-10][person:them g(sabrina:raymond) 13-13]

conv:task_oriented_1231_amt_146:aug_0:chat_0:chataug_0| christian elena| [person:christian m 0-0][person:elena f 1-1]
christian| Hello Elena how are you doing and what are you planning for the anniversary| [person:elena f 1-1][person:elena f 4-4][person:elena f 9-9]
elena| Hey Christian I am doing well Let s celebrate together because we have our anniversaries on the same day| [person:christian m 1-1][person:elena f 2-2][person:we g(christian:elena) 11-11][person:we g(christian:elena) 13-13]
christian| That s a cool idea and this would be a good surprise to our boyfriends Rodger and Paulo| [person:we g(christian:elena) 13-13][person:rodger m 15-15][person:paulo m 17-17]
elena| Okay let s go to the hot spa as Paulo will enjoy it| [person:paulo m 9-9][location:hot_spa s 12-12]
christian| Yeah let s go even Rodger also want to relax and a hot spa would be the better place to be relaxed| [person:rodger m 5-5][location:hot_spa s 18-18]
elena| We shall not say them this early let s make it as a surprise| [person:we g(christian:elena) 0-0][person:them g(rodger:paulo) 4-4][location:hot_spa s 10-10]
christian| Sure and do you want to add on anything to the plan| [person:elena f 3-3]
elena| No if you have any let me know| [person:christian m 2-2][person:elena f 6-6]
christian| Sure and pack your luggage Be ready| [person:elena f 3-3]
elena| Oh sure let s enjoy it together See you soon| [location:hot_spa s 5-5][person:christian m 8-8]

conv:task_oriented_1231_amt_147:aug_0:chat_0:chataug_0| brit paulo| [person:brit f 0-0][person:paulo m 1-1]
