conv:people_2019082201_69:aug_0:chat_0:chataug_0| ivan lawrence| [person:ivan m 0-0][person:lawrence m 1-1]
amy| Look at you with the fancy spelling But I agree it s good and they do have some wines| [person:margaret f 2-2][person:amy f 8-8][person:they g(emily:joan) 14-14]
margaret| That s perfect then Emily is outside Should we get going| [person:emily f 4-4][person:we g(amy:margaret) 8-8]

conv:people_2019082201_212:aug_0:chat_0:chataug_0| jonathan nicholas| [person:jonathan m 0-0][person:nicholas m 1-1]
jonathan| I am planning for a get together with you Ann and Louis| [person:jonathan m 0-0][person:nicholas m 8-8][person:ann f 9-9][person:louis m 11-11]
nicholas| Yes that is a nice idea and we can have a great time together| [person:we g(jonathan:nicholas:ann:louis) 7-7]
jonathan| But first we should see which day is convinient for us| [person:we2 g(jonathan:nicholas) 2-2][person:we g(jonathan:nicholas:ann:louis) 10-10]
nicholas| I am free this weekend and may be next weekend also| [person:nicholas m 0-0]
jonathan| I will check out whether Ann and Louis are free this weekend| [person:jonathan m 0-0][person:ann f 5-5][person:louis m 7-7]
nicholas| If they are not free this weekend let us keep it for next weekend| [person:they g(ann:louis) 1-1][person:we g(jonathan:nicholas:ann:louis) 8-8]
jonathan| We will go to a convinient restaurant for all| [person:we g(jonathan:nicholas:ann:louis) 0-0][location:restaurant s 6-6]
nicholas| If it is a near by restaurant it will be good and will be convinient for all| [location:restaurant s 1-1][location:restaurant s 6-6]
jonathan| Okay let us go to a nearby restaurant for lunch| [person:we g(jonathan:nicholas:ann:louis) 2-2][location:restaurant s 7-7]
nicholas| I am excited for this lunch party and everything is fixed now| [person:nicholas m 0-0]

conv:people_2019082201_213:aug_0:chat_0:chataug_0| carlos derrick| [person:carlos m 0-0][person:derrick m 1-1]
derrick| I am excited to go for an after work drink at the Smith s| [person:derrick m 0-0][person:smith g() 12-12]
carlos| So am I what do you think we should bring along| [person:carlos m 2-2][person:derrick m 5-5][person:we g(derrick:carlos) 7-7]
derrick| How about a bottle of wine|
carlos| sounds good but I think that we should just being some beer along for everyone| [person:carlos m 3-3][person:we g(derrick:carlos) 6-6][person:everyone g(derrick:carlos) 14-14]
derrick| seeing this is our first time I think wine would be a first and good choice anytime| [person:we g(derrick:carlos) 3-3][person:derrick m 6-6]
carlos| well you have a point but it is an informal get together and we are not sure what others are taking| [person:derrick m 1-1][person:we g(derrick:carlos) 13-13][person:others g() 18-18]
derrick| carlos just to simplify things why don t you just ask gary as he knows the smith e better| [person:carlos m 0-0][person:carlos m 8-8][person:gary m 11-11][person:gary m 13-13][person:smith g() 16-16]
carlos| good idea I will give him a call tomorrow and get back to you| [person:carlos m 2-2][person:gary m 5-5][person:derrick m 13-13]
derrick| ok in the event that gary is unsure let s go with a bottle of wine| [person:gary m 5-5]
carlos| ok I will let you know tomorrow| [person:carlos m 1-1][person:derrick m 4-4]
derrick| ok talk with you later| [person:carlos m 3-3]

conv:people_2019082201_214:aug_0:chat_0:chataug_0| bobby joseph| [person:bobby m 0-0][person:joseph m 1-1]
joseph| Are you interested in grabbing breakfast tomorrow| [person:bobby m 1-1]
bobby| Sure I always love a good meal| [person:bobby m 1-1]
bobby| Do you think we should invite Caroline and Craig as well| [person:joseph m 1-1][person:we g(joseph:bobby) 3-3][person:caroline f 6-6][person:craig m 8-8]
joseph| That sounds like a good idea It s been so long since I ve seen them| [person:joseph m 12-12][person:them g(caroline:craig) 15-15]
bobby| Great Do you think they d like Three Guys| [person:joseph m 2-2][person:them g(caroline:craig) 4-4]
joseph| No remember Craig is vegan and they don t have any vegan options| [person:craig m 2-2]
bobby| That s right|
bobby| What aobut the Standard Restaurant| [location:restaurant s 4-4]
joseph| That should work It s been such a long time since we ve been there| [person:we g(joseph:bobby) 11-11][location:restaurant s 14-14]
bobby| Great I think I d like it too| [person:bobby m 1-1][person:bobby m 3-3][location:restaurant s 6-6]
joseph| Can you make the reservations for us| [person:bobby m 1-1][person:us g(joseph:bobby:caroline:craig) 6-6]
bobby| Sure I ll get that taken care of| [person:bobby m 1-1]
joseph| Thanks again I look forward to seeing you all tomrorow| [person:joseph m 2-2][person:bobby m 7-7]
bobby| No problem|

conv:people_2019082201_215:aug_0:chat_0:chataug_0| andy tim| [person:andy m 0-0][person:tim m 1-1]
andy| You remember that boat trip we have scheduled for this weekend| [person:tim m 0-0][location:trip s 4-4][person:we g(andy:tim) 5-5]
tim| Sure|
andy| Did we ever figure out who was going to bring what| [person:we g(andy:tim) 1-1]
tim| I believe Rob was going to bring the drinks| [person:tim m 0-0]
tim| But I m not sure if anyone else was ever designated to bring anything| [person:tim m 1-1][person:anyone u 6-6]
andy| I was happy to bring the food But Don never likes my cooking| [person:andy m 0-0][person:andy m 11-11]
tim| Well your food is fine for me I think the rest of us love it| [person:andy m 1-1][person:tim m 6-6][person:tim m 7-7][person:us g(andy:tim) 12-12]
andy| So you want me to bring it then| [person:tim m 1-1][person:andy m 3-3]
tim| Sure Don will live|
andy| I think Don can bring the fishing poles He has those speciality ones that work so well| [person:andy m 0-0][person:andy m 8-8]
tim| That s true I m willing to bring so special desserts Those are always fun| [person:tim m 3-3]
andy| Great And let s remember to ask Brian if he could bring some of that amazing fishing bait of his For some reason it just works super well| [person:brian m 7-7][person:tim m 9-9][person:tim m 19-19]
tim| Sounds good to me I can t wait for this trip| [person:tim m 3-3][person:tim m 4-4][location:trip s 10-10]
andy| Neither can I| [person:andy m 2-2]

conv:people_2019082201_216:aug_0:chat_0:chataug_0| elizabeth jean| [person:elizabeth f 0-0][person:jean f 1-1]
jean| Hey how s it going|
elizabeth| Good how about you| [person:jean f 3-3]
jean| Doing okay I saw Juan today actually| [person:jean f 2-2][person:juan m 4-4]
elizabeth| Oh cool Is he still coming to dinner this week with Debra| [person:juan m 3-3][person:debra f 11-11]
jean| No actually He told me he couldn t make it anymore| [person:juan m 2-2][person:jean f 4-4][person:juan m 5-5]
elizabeth| That s too bad Are the rest of us still on| [person:us g(jean:elizabeth:debra) 8-8]
jean| Yeah What time works best for you| [person:elizabeth f 6-6]
elizabeth| I m free any time after 5PM| [person:elizabeth f 0-0]
jean| I get off at 6 on Wednesday How does 630 sound| [person:jean f 0-0]
elizabeth| Works for me| [person:elizabeth f 2-2]
jean| Awesome I ll run it by Debra to make sure| [person:jean f 1-1][person:debra f 6-6]
elizabeth| Sounds good See you there| [person:jean f 3-3][location:there u 4-4]

conv:people_2019082201_220:aug_0:chat_0:chataug_0| olivia susie| [person:olivia f 0-0][person:susie f 1-1]
susie| i m excited to see the Brians and the Parkers tomorrow| [person:susie f 0-0][person:brians g() 6-6][person:parkers g() 9-9]
olivia| Me too What should we make| [person:olivia f 0-0][person:we g(susie:olivia) 4-4]
susie| I was thinking Mexican I know the Parkers like that| [person:susie f 0-0][person:susie f 4-4][person:parkers g() 7-7]
olivia| Okay sounds good What about tacos I have heaps of lettuce i need to use| [person:olivia f 6-6][person:olivia f 11-11]
susie| Okay cool Remember the Brians are vegetarian so we need to make them some chilli black beans| [person:brians g() 4-4][person:we g(susie:olivia) 8-8][person:brians g() 12-12]
olivia| Are you able to get cheese and ground beef I amd heading to the market tomorrow and can get tomatos and other vegetables| [person:susie f 1-1][person:olivia f 9-9]
susie| What sort of cheese do you want me to get| [person:olivia f 5-5][person:susie f 7-7]
olivia| Can you get some cheddar and some queso fresco| [person:susie f 1-1]
susie| Sounds good Can you text the Brians and ask if black beans are okay with them| [person:olivia f 3-3][person:brians g() 6-6][person:brians g() 15-15]
olivia| Yes I can do that You should text the parkers and see if they can bring some salsa they make great salsa| [person:olivia f 1-1][person:susie f 5-5][person:parkers g() 9-9][person:parkers g() 13-13][person:parkers g() 18-18]

conv:people_2019082201_222:aug_0:chat_0:chataug_0| kelly lara| [person:kelly f 0-0][person:lara f 1-1]
lara| Hey Kelly how s it going| [person:kelly f 1-1]
kelly| Hey Laura I m great how are you| [person:lara f 1-1][person:kelly f 2-2][person:lara f 7-7]
lara| Great Are you still trying to plan a trip for Christmas| [person:kelly f 2-2][location:trip s 8-8]
kelly| Yes of course I think we should invite our friends Stella Sophia and Janice| [person:kelly f 3-3][person:we g(lara:kelly) 5-5][person:we g(lara:kelly) 8-8][person:stella f 10-10][person:sophia f 11-11][person:janice f 13-13]
kelly| What do you think| [person:lara f 2-2]
lara| I think that s a great idea I love them| [person:lara f 0-0][person:lara f 7-7][person:friends g(stella:sophia:janice) 9-9]
lara| Do you have any ideas where we should go| [person:kelly f 1-1][person:we g(lara:kelly:stella:sophia:janice) 6-6]
kelly| I was checking plane tickets and I think LA would be a great trip The flights are pretty cheap| [person:kelly f 0-0][person:kelly f 6-6][location:trip s 8-8][location:trip s 13-13]
lara| Yessss LA sounds awesome We all love the warm weather and beaches so I think everyone will like it| [location:trip s 1-1][person:we g(lara:kelly:stella:sophia:janice) 4-4][location:beaches g() 11-11][person:lara f 13-13][person:we g(lara:kelly:stella:sophia:janice) 15-15][location:trip s 18-18]
kelly| Great I ll go ahead and get our tickets then| [person:kelly f 1-1][person:we g(lara:kelly:stella:sophia:janice) 7-7]

conv:people_2019082201_224:aug_0:chat_0:chataug_0| madison nicole| [person:madison f 0-0][person:nicole f 1-1]
nicole| Madison I m really excited for the party at our place tomorrow night| [person:madison f 0-0][person:nicole f 1-1][person:our g(nicole:madison) 9-9][location:place s 10-10]
madison| Same here I can t stop thinking about it Speaking of I m still not sure if we have everything we need| [person:madison f 2-2][person:madison f 11-11][person:we g(nicole:madison) 17-17][person:we g(nicole:madison) 20-20]
nicole| You re right maybe we should discuss Tara Michelle and Donna are coming too so maybe we can also figure out what they should bring| [person:madison f 0-0][person:we g(nicole:madison) 4-4][person:tara f 7-7][person:michelle f 8-8][person:donna f 10-10][person:we g(nicole:madison) 16-16][person:they g(tara:michelle:donna) 22-22]
madison| Alright sounds like a plan I would like to volunteer to bring the wine| [person:madison f 5-5]
nicole| Alright that should be enough for us then Let s ask Tara to bring snacks and Michelle to bring the entertainment What should I and Donna bring| [person:us g(nicole:madison) 6-6][person:tara f 11-11][person:michelle f 16-16][person:nicole f 23-23][person:donna f 25-25]
madison| Can you bring your really delicious blueberry muffins And I guess Donna can bring cookies| [person:nicole f 1-1][person:nicole f 3-3][person:madison f 9-9][person:donna f 11-11]
nicole| Yeah I can do that and sure I ll make sure to let Donna and the other girls know what they need to bring| [person:nicole f 1-1][person:nicole f 7-7][person:donna f 13-13][person:girls g(tara:michelle) 17-17][person:they g(tara:michelle:donna) 20-20]
madison| Alright what time should we all meet up| [person:we g(nicole:madison:tara:michelle:donna) 4-4]
nicole| I think that 8PM should be a good start time for all of us| [person:nicole f 0-0][person:us g(nicole:madison:tara:michelle:donna) 13-13]
madison| Alright can t wait for the fun to begin tomorrow night|
nicole| Same I think this is going to be our best girls night out yet| [person:nicole f 1-1][person:our g(nicole:madison:tara:michelle:donna) 8-8][person:girls g(nicole:madison:tara:michelle:donna) 10-10]

conv:people_2019082201_225:aug_0:chat_0:chataug_0| douglas eddie| [person:douglas m 0-0][person:eddie m 1-1]
douglas| Hey Eddie you ready to grab that dinner| [person:eddie m 1-1][person:eddie m 2-2]
eddie| Yeah it s this Saturday I d almost forgotten Do you think we could invite Eric and Jack as well| [person:eddie m 5-5][person:douglas m 10-10][person:we g(douglas:eddie) 12-12][person:eric m 15-15][person:jack m 17-17]
douglas| Yeah sounds like fun If Jack comes there s strong chance that we end up eating Italian Food| [person:jack m 5-5][person:we g(douglas:eddie:eric:jack) 12-12]
eddie| Yeah you don t like Italian| [person:douglas m 1-1]
douglas| Could we just invite Eric we ll invite Jack some other day| [person:we g(douglas:eddie) 1-1][person:eric m 4-4][person:we g(douglas:eddie) 5-5][person:jack m 8-8]
eddie| Poor Jack i hope he understands Do you have any restaurant in mind| [person:jack m 1-1][person:eddie m 2-2][person:jack m 4-4][person:douglas m 7-7][location:restaurant s 10-10]
douglas| There s a new steak house that s opened on Baker s Street it s got good reviews| [location:steak_house s 4-5][location:street s 12-12][location:steak_house s 13-13]
eddie| Oh that one I ve crossed it while coming home It s always packed though| [person:eddie m 3-3][location:steak_house s 6-6][location:home s 9-9][location:steak_house s 10-10]
douglas| Don t worry about that i know the owner If I ask him i m sure he can spare a table| [person:douglas m 5-5][person:douglas m 10-10][person:him m 12-12][person:douglas m 13-13][person:him m 16-16]
eddie| Classic Douglas always knows the right people You should teach me how to do that Well I will let Eric know Cya soon| [person:douglas m 1-1][person:douglas m 7-7][person:eddie m 10-10][person:eddie m 16-16][person:eric m 19-19]
douglas| Don t flatter me like that Cya soon brother| [person:douglas m 3-3][person:eddie m 8-8]

conv:people_2019082201_226:aug_0:chat_0:chataug_0| johnny steven| [person:johnny m 0-0][person:steven m 1-1]
johnny| Which concert do you think the other prefer| [person:steven m 3-3]
steven| I know Jacob and Lawrence like blues music| [person:steven m 0-0][person:jacob m 2-2][person:lawrence m 4-4]
johnny| well shall we go to a blues concert then| [person:we g(johnny:steven:jacob:lawrence) 2-2]
steven| Nah I like pop I d rather see that| [person:steven m 1-1][person:steven m 4-4]
johnny| We need to pick something everyone will not mind attending| [person:we g(johnny:steven:jacob:lawrence) 0-0][person:we g(johnny:steven:jacob:lawrence) 5-5]
steven| What do you like Johnny| [person:johnny m 2-2][person:johnny m 4-4]
johnny| I like pop best also| [person:johnny m 0-0]
steven| Here s an idea How about w ego to pop this time and next month blues|
johnny| That sounds like a plan to me Will you ask th eothers opinion too I have to get to work now| [person:johnny m 6-6][person:steven m 8-8][person:johnny m 14-14]
steven| Sure thing Johnny I see them this evening| [person:johnny m 2-2][person:steven m 3-3][person:them g(jacob:lawrence) 5-5]

conv:people_2019082201_227:aug_0:chat_0:chataug_0| alice brittany| [person:alice f 0-0][person:brittany f 1-1]
brittany| Alice I can t wait to go to lunch with you| [person:alice f 0-0][person:brittany f 1-1][person:alice f 10-10]
alice| I m looking forward to meeting with Amelie Sherie and Elizabeth too| [person:alice f 0-0][person:amelie f 7-7][person:elizabeth f 10-10]
brittany| What do Amelie Elizabeth and Sherie like to eat| [person:amelie f 2-2][person:elizabeth f 3-3]
alice| I know that Amelie and Elizabeth like burgers| [person:alice f 0-0][person:amelie f 3-3][person:elizabeth f 5-5]
brittany| What does Sherie like to eat|
alice| Sherie really enjoys Mexican from what I remember| [person:alice f 6-6]
brittany| I think I can make both for when we get together| [person:brittany f 0-0][person:brittany f 2-2][person:we g(brittany:alice) 8-8]
alice| That sounds good How can I help with the dinner| [person:alice f 5-5]
brittany| I can t wait to get together We are going to have some fun| [person:brittany f 0-0][person:we g(brittany:alice) 7-7]
alice| Yes we sure are The last time we got together was such a blast| [person:we g(brittany:alice) 1-1][person:we g(brittany:alice) 7-7]

conv:people_2019082201_230:aug_0:chat_0:chataug_0| alexander charlotte| [person:alexander m 0-0][person:charlotte f 1-1]
charlotte| It s going to be great to see Phillip next week You should join us for poker on Thursday night| [person:phillip m 8-8][person:alexander m 11-11][person:cp g(charlotte:phillip) 14-14]
alexander| I would love to It sounds like fun and it ll be great for us all to catch up| [person:alexander m 0-0][person:cap g(charlotte:alexander:phillip) 14-14]
charlotte| Great I ll let Phillip know you ll be joining us| [person:charlotte f 1-1][person:phillip m 4-4][person:alexander m 6-6][person:cp g(charlotte:phillip) 10-10]
alexander| My friend Louis is visiting on that same day do you think it would be okay if he comes too| [person:alexander m 0-0][person:louis m 1-1][person:louis m 2-2][person:charlotte f 10-10][person:louis m 17-17]
charlotte| I can talk to Phillip about it It would be good to have a fourth person and I bet Phillip won t mind| [person:charlotte f 0-0][person:phillip m 4-4][person:charlotte f 17-17][person:phillip m 19-19]
alexander| My only concern is that Louis doesn t know you or Phillip so it might be awkward for him| [person:alexander m 0-0][person:louis m 5-5][person:charlotte f 9-9][person:phillip m 11-11][person:louis m 18-18]
charlotte| Well you know Phillip is very friendly and likes meeting new people I think Louis would be comfortable with him| [person:alexander m 1-1][person:phillip m 3-3][person:charlotte f 12-12][person:louis m 14-14][person:phillip m 19-19]
alexander| That is true about Phillip Louis is very nice too but it takes him a bit to warm up to new people However I think that having the poker game to focus on will relax him and take the pressure off| [person:phillip m 4-4][person:louis m 5-5][person:louis m 13-13][person:alexander m 23-23][person:louis m 35-35]
charlotte| I ll leave it up to you because you know them both well| [person:charlotte f 0-0][person:alexander m 6-6][person:alexander m 8-8][person:them g(phillip:louis) 10-10]
alexander| Okay let s do it I ll invite Louis and you can tell Phillip about him| [person:alexander m 5-5][person:louis m 8-8][person:charlotte f 10-10][person:phillip m 13-13][person:louis m 15-15]

conv:people_2019082201_231:aug_0:chat_0:chataug_0| ricky ryan| [person:ricky m 0-0][person:ryan m 1-1]
ricky| Hey Ryan Remember how we were always planning to travel to Europe| [person:ryan m 1-1][person:we g(ricky:ryan) 4-4][location:europe s 11-11]
ryan| Yeah I always have wanted to We should soon| [person:ryan m 1-1][person:we g(ricky:ryan) 6-6]
ricky| I think so too I really want to visit Paris and Athens among other places| [person:ricky m 0-0][person:ricky m 4-4][location:paris s 9-9][location:athens s 11-11][location:places g() 14-14]
ryan| Yeah I need to go to Amsterdam at least once Especially now is a good time to| [person:ryan m 1-1][location:amsterdam s 6-6]
ricky| I agree completely I was trying to coordinate and set up a trip with you me Thomas and Joe| [person:ricky m 0-0][person:ricky m 3-3][location:trip s 12-12][person:ryan m 14-14][person:ricky m 15-15][person:thomas m 16-16][person:joe m 18-18]
ryan| Oh with them too I think I have only met them once| [person:them g(thomas:joe) 2-2][person:ryan m 4-4][person:ryan m 6-6][person:them g(thomas:joe) 10-10]
ricky| Yeah they re really chill guys and love to travel and explore new places They haven t been there either| [person:them g(thomas:joe) 1-1][location:places g() 13-13][person:them g(thomas:joe) 14-14][location:amsterdam s 18-18]
ryan| Oh okay I would be down to go with us four Let s hang out together here before we go though so I can know them better| [person:ryan m 2-2][person:us g(ricky:ryan:thomas:joe) 9-9][location:amsterdam s 16-16][person:us g(ricky:ryan:thomas:joe) 18-18][person:ryan m 22-22][person:them g(thomas:joe) 25-25]
ricky| Yeah definitely have to go get buzzed at the bars downtown here with all of us I think you ll love hanging out with them| [location:bars g() 9-9][location:downtown s 10-10][location:amsterdam s 11-11][person:us g(ricky:ryan:thomas:joe) 15-15][person:ricky m 16-16][person:ryan m 18-18][person:them g(thomas:joe) 24-24]
ryan| Me too I really want to meet and get to know more people so I can expand my social circle| [person:ryan m 0-0][person:ryan m 2-2][person:ryan m 14-14][person:ryan m 17-17]
ryan| Let me know when you plan to arrange a night out with all of us| [person:ryan m 1-1][person:ricky m 4-4][person:us g(ricky:ryan:thomas:joe) 14-14]
ricky| Will do bud I ll text you sometime this weekend| [person:ricky m 3-3][person:ryan m 6-6]
ryan| That sounds good I ll see you guys then| [person:ryan m 3-3]

conv:people_2019082201_232:aug_0:chat_0:chataug_0| christopher louis| [person:christopher m 0-0][person:louis m 1-1]
christopher| Hey Louis Are you interesting in grabbing some breakfast this weekend| [person:louis m 1-1][person:louis m 3-3]
louis| Of course It s been a while since we met| [person:we g(christopher:louis) 8-8]
louis| I think I will be inviting my neighbors Abigail and Karan along too do you mind it| [person:louis m 0-0][person:louis m 2-2][person:louis m 6-6][person:neighbors g() 7-7][person:abigail f 8-8][person:karan m 10-10][person:christopher m 14-14]
christopher| Of course not The more the merrier right Plus I have not seen them since ages| [person:christopher m 9-9][person:neighbors g(abigail:karan) 13-13]
christopher| What types of food do you think they like to eat| [person:louis m 5-5][person:neighbors g(abigail:karan) 7-7]
louis| I think they prefer eating Italian food and so do I| [person:louis m 0-0][person:neighbors g(abigail:karan) 2-2][person:louis m 10-10]
christopher| Yes I have been craving Italian food for a while now| [person:christopher m 1-1]
louis| Would you like to try eating a Luigi s Italian I think they serve great pasta that all of you may love| [person:christopher m 1-1][person:louis m 10-10][person:christopher m 19-19]
christopher| Of course that sounds great Could you make the reservation for us please| [person:louis m 6-6][person:us g(christopher:louis:abigail:karan) 11-11]
louis| Sure thing I will make it right this instant See you| [person:louis m 2-2][person:christopher m 10-10]

conv:people_2019082201_233:aug_0:chat_0:chataug_0| craig ivan| [person:craig m 0-0][person:ivan m 1-1]
ivan| Hey Craig are we still on to play soccer next Wednesday| [person:craig m 1-1][person:we g(ivan:craig) 3-3]
craig| Hi Ivan I was just going to call you Doug called me yesterday and said he can only play after 6pm| [person:ivan m 1-1][person:craig m 2-2][person:ivan m 8-8][person:doug m 9-9][person:craig m 11-11][person:doug m 15-15]
ivan| That s not a problem fo rme however is the court available at that time|
craig| Actually I did check and it is not available Wednesday after 6pm| [person:craig m 1-1]
ivan| Should we pick another day and time| [person:we g(ivan:craig) 1-1]
craig| That would be one option the other option is to play at a different location| [location:location s 14-14]
ivan| There are those new courts downtown that we could play It is a little farther to drive but I know they have availability next Wednesday at 4pm| [location:downtown s 5-5][person:we g(ivan:craig) 7-7][location:downtown s 10-10][person:ivan m 18-18][person:they g(doug) 20-20]
craig| I don t mind driving downtown Let s plan on that as long as Doug and James agree| [person:craig m 0-0][location:downtown s 5-5][person:doug m 14-14][person:james m 16-16]
ivan| Why don t you give Doug a call and then let me know later| [person:craig m 3-3][person:doug m 5-5][person:ivan m 11-11]
craig| I will call Doug then get back to you Talk to you this afternoon| [person:craig m 0-0][person:doug m 3-3][person:ivan m 8-8][person:ivan m 11-11]

conv:people_2019082201_234:aug_0:chat_0:chataug_0| ben jacob| [person:ben m 0-0][person:jacob m 1-1]
ben| Hey so are you still down for dinner later| [person:jacob m 3-3]
jacob| Yes I am if you are| [person:jacob m 1-1][person:ben m 4-4]
ben| Great where do you think we should go| [person:jacob m 3-3][person:we g(ben:jacob) 5-5]
jacob| I don t know but do you think we should invite Douglas and Jeremy| [person:jacob m 0-0][person:ben m 6-6][person:we g(ben:jacob) 8-8][person:douglas m 11-11][person:jeremy m 13-13]
ben| I don t know if we should invite Jeremy He only wants to go to a diner and I m not in the mood for that| [person:ben m 0-0][person:we g(ben:jacob) 5-5][person:jeremy m 8-8][person:jeremy m 9-9][person:ben m 18-18]
jacob| Well we can pick a place first and then ask him if he wants to join| [person:we g(ben:jacob) 1-1][location:place s 5-5][person:douglas m 10-10][person:douglas m 12-12]
ben| Yeah that s a good idea Where should we go then| [person:we g(ben:jacob:douglas) 8-8]
jacob| That new restaurant down the street looks nice| [location:place s 2-2][location:street s 5-5]
ben| Yeah I d like to try that one out| [person:ben m 1-1]
jacob| Ok ask the others if they want to come and I ll book a reservation| [person:douglas m 3-3][person:douglas m 5-5][person:jacob m 10-10]
ben| Sounds good talk with you soon| [person:jacob m 4-4]

conv:people_2019082201_235:aug_0:chat_0:chataug_0| harry meredith| [person:harry m 0-0][person:meredith f 1-1]
harry| Hey Merredith when are you available for the visit| [person:meredith f 4-4]
meredith| You mean to see Darren and jessica| [person:harry m 0-0][person:darren m 4-4][person:jessica f 6-6]
harry| Yes we should go this summer| [person:we g(harry:meredith) 1-1]
meredith| I think you are right It is long overdue| [person:meredith f 0-0][person:harry m 2-2]
harry| How about Labor day weekend|
meredith| let me check my schedule I am free at that time period| [person:meredith f 1-1][person:meredith f 3-3][person:meredith f 5-5]
harry| Great Now we have to decide on what gifts to bring| [person:we g(harry:meredith) 2-2]
meredith| I think we should being a wine basket assortment for them| [person:meredith f 0-0][person:we g(harry:meredith) 2-2][person:them g(darren:jessica) 10-10]
harry| that sounds great I will get one at the wine shop on my way to meet you on that day| [person:harry m 3-3][person:harry m 12-12][person:meredith f 16-16]
meredith| fine I will reimburse you when you arrive| [person:meredith f 1-1][person:harry m 4-4][person:harry m 6-6]
harry| that s fine see you then| [person:meredith f 4-4]
meredith| take care|

conv:people_2019082201_237:aug_0:chat_0:chataug_0| eric scott| [person:eric m 0-0][person:scott m 1-1]
scott| hey long time no see|
eric| Hi Nice to see you around Where have you been| [person:scott m 4-4][person:scott m 8-8]
scott| Just planning for the summer Ryan and Steven are thinking of going to Ukraine for a few weeks| [person:ryan m 5-5][person:steven m 7-7][location:ukraine s 13-13]
eric| That sounds nice Are you going with them| [person:scott m 4-4][person:them g(ryan:steven) 7-7]
scott| Yeah most likely We re just finalizing the dates Didn t you want to visit Eastern Europe| [person:we g(scott:ryan:steven) 3-3][person:eric m 11-11][location:europe s 16-16]
eric| I still do I m just waiting for the opportunity| [person:eric m 0-0][person:eric m 3-3]
scott| Well here s your chance| [person:eric m 3-3]
eric| I don t really know Ryan and Steven that well otherwise I would| [person:eric m 0-0][person:ryan m 5-5][person:steven m 7-7][person:eric m 11-11]
scott| Ryan is the guy I told you about who got me into investing He knows all about Bitcoin Steven makes those turtle shirts everyone around town is wearing he has a couple other startups| [person:ryan m 0-0][person:scott m 4-4][person:eric m 6-6][person:scott m 10-10][person:ryan m 13-13][person:steven m 18-18][person:everyone g() 23-23][person:steven m 28-28]
eric| Oh that s cool I d love to meet them| [person:eric m 4-4][person:them g(ryan:steven) 9-9]
scott| Come by my place tomorrow we re hanging out and watching the game| [person:scott m 2-2][location:place s 3-3][person:we g(scott:ryan:steven) 5-5]
eric| Sure I ll see you tomorrow| [person:eric m 1-1][person:scott m 4-4]

conv:people_2019082201_238:aug_0:chat_0:chataug_0| deborah lara| [person:deborah f 0-0][person:lara f 1-1]
lara| Hey Deborah it s NBA playoffs time We should plan a get together with Hannah and Debra| [person:deborah f 1-1][person:we g(lara:deborah) 7-7][person:hannah f 14-14][person:debra f 16-16]
deborah| Yeah They are in town for only a couple of more weeks Where should we go| [person:they g(hannah:debra) 1-1][person:we g(lara:deborah:hannah:debra) 14-14]
lara| How about to Chuimly s on 8th Ave They will love it Its is a real NYC scene What do you think| [person:they g(hannah:debra) 8-8][person:deborah f 20-20]
deborah| I think that s a little too casual for them How about we meet in the meatpacking district instead There are a lot of fancy places there that they might like| [person:deborah f 0-0][person:they g(hannah:debra) 9-9][person:we g(lara:deborah:hannah:debra) 12-12][person:they g(hannah:debra) 28-28]
lara| But we need a TV Those trendy places aren t a great spot for sports you know| [person:we g(lara:deborah:hannah:debra) 1-1][person:deborah f 15-15]
deborah| I know what you mean I didn t think of that Let me ask Hannah and Debra if they are good with a casual spot| [person:deborah f 0-0][person:lara f 3-3][person:deborah f 5-5][person:deborah f 12-12][person:hannah f 14-14][person:debra f 16-16][person:they g(hannah:debra) 18-18]
lara| OK Let me know what they say If its a no I ll have to search for another spot on google| [person:lara f 2-2][person:they g(hannah:debra) 5-5][person:lara f 11-11]
deborah| Yeah You do that anyways You know this Chumleys might be packed and we need a backup| [person:lara f 1-1][person:lara f 5-5][person:we g(lara:deborah:hannah:debra) 13-13]
lara| Yeah That s right We can always come back to my pad as a black up you know| [person:we g(lara:deborah:hannah:debra) 4-4][person:lara f 10-10][person:deborah f 16-16]
deborah| No We need to show them around town Debra in particular She is such a Homebody| [person:we2 g(lara:deborah) 1-1][person:they g(hannah:debra) 5-5][person:debra f 8-8][person:debra f 11-11]
lara| Ok I ll get on it| [person:lara f 1-1]

conv:people_2019082201_239:aug_0:chat_0:chataug_0| james walt| [person:james m 0-0][person:walt m 1-1]
james| Hey what do you know about Matt and Julie I want to have a get together for them| [person:walt m 3-3][person:matt m 6-6][person:julie f 8-8][person:james m 9-9][person:matt___julie g(matt:julie) 17-17]
walt| They are really into movies we could have a movie night here| [person:matt___julie g(matt:julie) 0-0][person:everyone g(james:walt:matt:julie) 5-5][location:here u 11-11]
james| Do you think my apartment would be big enough for all of us| [person:walt m 1-1][person:james m 3-3][location:apartment s 4-4][person:everyone g(james:walt:matt:julie) 12-12]
walt| I don t think so we might have to go to the threatre| [person:walt m 0-0][person:everyone g(james:walt:matt:julie) 5-5][location:threatre s 12-12]
james| do you still own your projector| [person:walt m 1-1][person:walt m 4-4]
