conv:people_chats_0520_54:aug_0:chat_0:chataug_0| edgar juan| [person:edgar m 0-0][person:juan m 1-1]
jill| That s a little mean but also funny Just be prepared to hear their complaining when they get back from the concert They re not going to be too happy with you| [person:sb g(sasha:brooke) 13-13][person:sb g(sasha:brooke) 16-16][person:sb g(sasha:brooke) 22-22][person:charlotte f 31-31]
charlotte| Well like I said at least it won t be a waste of two perfectly good tickets and who knows they could decide they like the band after seeing them in concert| [person:charlotte f 2-2][person:sb g(sasha:brooke) 20-20][person:sb g(sasha:brooke) 23-23][person:post_malone m 29-29]
jill| That s a good point Well I guess I will see you in a little bit Thanks for understanding| [person:jill f 6-6][person:jill f 8-8][person:charlotte f 11-11]
charlotte| No problem that s what friends are for I ll be right over after I give them our tickets Bye| [person:friends g() 5-5][person:charlotte f 8-8][person:charlotte f 14-14][person:sb g(sasha:brooke) 16-16][person:cj g(charlotte:jill) 17-17]

conv:people_chats_0520_206:aug_0:chat_0:chataug_0| alan rodger| [person:alan m 0-0][person:rodger m 1-1]
rodger| Hey Alan have you seen my calculator| [person:alan m 1-1][person:alan m 3-3][person:rodger m 5-5]
alan| I was just at Ben s house I think you left it there during study group| [person:alan m 0-0][person:ben m 4-4][location:house s 6-6][person:alan m 7-7][person:rodger m 9-9][location:house s 12-12]
rodger| Do you know if it s still there| [person:alan m 1-1][location:house s 7-7]
alan| I don t think so We gave it to Carrie| [person:alan m 0-0][person:we g(rodger:alan) 5-5][person:carrie f 9-9]
rodger| Did she need to use it| [person:carrie f 1-1]
alan| No she s going to see you in homeroom tomorrow first thing| [person:carrie f 1-1][person:alan m 6-6][location:homeroom s 8-8]
rodger| That s right I hope she brings it| [person:rodger m 3-3][person:carrie f 5-5]
alan| I actually left before I saw Ben hand it off| [person:alan m 0-0][person:alan m 4-4][person:ben m 6-6]
rodger| So Ben might still have it| [person:ben m 1-1]
alan| Yeah but I m seeing him tonight we have soccer practice| [person:alan m 2-2][person:ben m 5-5][person:we g(rodger:alan) 7-7]
rodger| Okay tomorrow will come soon enough|
alan| Alright I ll check tonight and if not Carrie will get it to you tomorrow| [person:alan m 1-1][person:carrie f 8-8][person:rodger m 13-13]
rodger| Thanks for the help I ll see you tomorrow after school| [person:rodger m 4-4][person:alan m 7-7][location:school s 10-10]
alan| See you tomorrow| [person:rodger m 1-1]

conv:people_chats_0520_208:aug_0:chat_0:chataug_0| kathy lena| [person:kathy f 0-0][person:lena f 1-1]
lena| Hey Kathy excited for next month already| [person:kathy f 1-1]
kathy| You bet i am we re finally opening our nail saloon I m so happy| [person:lena f 0-0][person:kathy f 2-2][person:we_re g(lena:kathy) 4-4][person:our g(lena:kathy) 8-8][person:kathy f 11-11]
lena| I m happy too I hope we have everything in place already| [person:lena f 0-0][person:lena f 4-4][person:we g(lena:kathy) 6-6][location:place s 10-10]
kathy| I guess so just that we haven t hired nail professionals yet| [person:kathy f 0-0][person:we g(lena:kathy) 5-5]
lena| Oh that s right i almost forgot Do you have anyone on your mind| [person:lena f 4-4][person:kathy f 8-8][person:anyone g() 10-10][person:kathy f 12-12]
kathy| Yes i think we should hire Melanie and Ruth They are really good you know| [person:kathy f 1-1][person:we g(lena:kathy) 3-3][person:melanie f 6-6][person:ruth f 8-8][person:they g(melanie:ruth) 9-9][person:lena f 13-13]
lena| Oh yes i know that s an amazing idea but do you think they would want to work for us| [person:lena f 2-2][person:kathy f 11-11][person:they g(melanie:ruth) 13-13][person:us g(lena:kathy) 19-19]
kathy| I think they would if we give them a good offer| [person:kathy f 0-0][person:they g(melanie:ruth) 2-2][person:we g(lena:kathy) 5-5][person:them g(melanie:ruth) 7-7]
lena| Okay then i just want everything to go on well| [person:lena f 2-2]
kathy| It s gonna be okay when will you get in touch with them| [person:lena f 7-7][person:them g(melanie:ruth) 12-12]
lena| I ll contact them later in the day| [person:lena f 0-0][person:them g(melanie:ruth) 3-3]
kathy| Okay then talk to you later| [person:lena f 4-4]

conv:people_chats_0520_209:aug_0:chat_0:chataug_0| jake peter| [person:jake m 0-0][person:peter m 1-1]
jake| I m excited for our trip| [person:jake m 0-0][person:we g(jake:peter) 4-4]
peter| Me too You like the idea of bringing our camping stuff| [person:peter m 0-0][person:jake m 2-2][person:we g(jake:peter) 8-8]
jake| Yes definitely If we go as far as I d like it ll be a good idea to set ourselves up to rest somewhere| [person:we g(jake:peter) 3-3][person:jake m 8-8]
peter| Awesome We should probably let Kenny and Aaron know as well| [person:we g(jake:peter) 1-1][person:kenny m 5-5][person:aaron m 7-7]
jake| Definitely I m actually getting lunch with Kenny today so I can update him| [person:jake m 1-1][person:kenny m 7-7][person:jake m 10-10][person:kenny m 13-13]
jake| Do you want to give Aaron a call| [person:peter m 1-1][person:aaron m 5-5]
peter| Sure thing I ll tell him to bring a sleeping bag that they can carry on his back| [person:peter m 2-2][person:aaron m 5-5][person:they g(kenny:aaron) 12-12][person:aaron m 16-16]
jake| That sounds good What else were you thinking we d bring| [person:peter m 6-6][person:we g(jake:peter) 8-8]
peter| We ll definitely need a tent lots of water and snacks| [person:we g(jake:peter) 0-0]
jake| We should also bring parkas or raincoats just in case| [person:we g(jake:peter) 0-0]
peter| That s really smart We want to be prepared for anything| [person:we g(jake:peter) 4-4]
jake| Of course I m so excited I ve been telling everybody about this| [person:jake m 2-2][person:jake m 6-6]
peter| Me too I can t wait I ll talk to you later| [person:peter m 0-0][person:peter m 2-2][person:peter m 6-6][person:jake m 10-10]

conv:people_chats_0520_211:aug_0:chat_0:chataug_0| cole mary| [person:cole m 0-0][person:mary f 1-1]
cole| So where do you think we should hold Alex s party| [person:mary f 3-3][person:we g(cole:mary) 5-5][person:alex m 8-8]
mary| I m not sure Did you have any ideas| [person:mary f 0-0][person:cole m 5-5]
cole| I think we should have it at his favorite restaurant| [person:cole m 0-0][person:we g(cole:mary) 2-2][person:alex m 7-7][location:restaurant s 9-9]
mary| That s a really expensive place| [location:place s 5-5]
cole| Yeah but it s his favorite Why not| [person:alex m 4-4]
mary| Well if we go to a less expensive place we could get him a nicer present You know he s low on funds right now| [person:we g(cole:mary) 2-2][location:place s 8-8][person:we g(cole:mary) 9-9][person:alex m 12-12][person:cole m 16-16][person:alex m 18-18]
cole| Yeah That makes sense We could have a great party somewhere else and it wouldn t make him suspicious| [person:we g(cole:mary) 4-4][person:alex m 17-17]
mary| Do you have any idea what we could get him that would help him out| [person:cole m 1-1][person:we g(cole:mary) 6-6][person:alex m 9-9][person:alex m 13-13]
cole| I hate to give him just cash but he hasn t made as much this year| [person:cole m 0-0][person:alex m 4-4][person:alex m 8-8]
mary| Do you think Emily would have any ideas| [person:cole m 1-1][person:emily f 3-3]
cole| Possibly I know he has a car payment and rent to deal with| [person:cole m 1-1][person:alex m 3-3]
mary| Do you want to check with Emily and see what she thinks| [person:cole m 1-1][person:emily f 6-6][person:emily f 10-10]
cole| Yeah I ll give her a call and see what she thinks Can you check out some restaurants| [person:cole m 1-1][person:emily f 4-4][person:emily f 10-10][person:mary f 13-13][location:restaurants g() 17-17]
mary| Sure no problem Something nice but not crazy expensive|
cole| Perfect Let me know what Emily says| [person:cole m 2-2][person:emily f 5-5]
mary| Sure will Bye|

conv:people_chats_0520_212:aug_0:chat_0:chataug_0| ellie john| [person:ellie f 0-0][person:john m 1-1]
ellie| How are you coming along with picking your classes| [person:john m 2-2][person:john m 7-7]
john| Not well I am doubting the major I picked Now I am not sure that is what I want to do| [person:john m 2-2][person:john m 7-7][person:john m 10-10][person:john m 17-17]
ellie| I understand I felt that way at one time Then I started learning more and it makes me even more determined to stay the course with Geology| [person:ellie f 0-0][person:ellie f 2-2][person:ellie f 10-10][person:ellie f 17-17]
john| Yeah but your different and your smart| [person:ellie f 2-2][person:ellie f 5-5]
ellie| Okay that is enough of that Will you please meet with Luke and Lilly| [person:john m 7-7][person:luke m 11-11][person:lilly f 13-13]
john| Why|
ellie| In my first year I was very distracted Luke and Lilly are both guidance and career counselors here They were tremendous help keeping me on the right path| [person:ellie f 1-1][person:ellie f 4-4][person:luke m 8-8][person:lilly f 10-10][person:luke_and_lilly g(luke:lilly) 18-18][person:ellie f 23-23]
john| Do you really think they can help me| [person:ellie f 1-1][person:luke_and_lilly g(luke:lilly) 4-4][person:john m 7-7]
ellie| Yes I do They will be able to help you find the career path that fits you| [person:ellie f 1-1][person:luke_and_lilly g(luke:lilly) 3-3][person:john m 9-9][person:john m 16-16]
john| Okay but aren t we supposed to turn in our classes today| [person:john_and_ellie g(ellie:john) 4-4][person:john_and_ellie g(ellie:john) 9-9]
ellie| Yeah they like for us to But we have until the end of the week| [person:luke_and_lilly g(luke:lilly) 1-1][person:john_and_ellie g(ellie:john) 4-4][person:john_and_ellie g(ellie:john) 7-7]
john| Okay Are we still going to be able to take at least one class together| [person:john_and_ellie g(ellie:john) 2-2]
ellie| We will try to work that out| [person:john_and_ellie g(ellie:john) 0-0]
john| Okay I will go see Luke and Lilly tomorrow| [person:john m 1-1][person:luke m 5-5][person:lilly f 7-7]
ellie| Awesome|

conv:people_chats_0520_213:aug_0:chat_0:chataug_0| ellie john| [person:ellie f 0-0][person:john m 1-1]
john| Hey Ellie did you decide on what classes you re going to take next semester| [person:ellie f 1-1][person:ellie f 3-3][person:ellie f 8-8]
ellie| Hi John I m going to take a bunch of courses on geology I ve always wanted to be a geologist| [person:john m 1-1][person:ellie f 2-2][person:ellie f 13-13]
ellie| How about you Did you pick your classes yet| [person:john m 2-2][person:john m 4-4][person:john m 6-6]
john| No not yet why a geologist|
ellie| As I ve learned more and more about geology I ve become more interested and determined| [person:ellie f 1-1][person:ellie f 9-9]
ellie| How come you haven t picked your classes yet| [person:john m 2-2][person:john m 6-6]
john| I don t know I m having a tough time I don t know what to do| [person:john m 0-0][person:john m 4-4][person:john m 10-10]
john| I m a little indecisive on my major| [person:john m 0-0][person:john m 6-6]
ellie| You should contact Luke and Lilly they helped me last year when I didn t know what I wanted to do| [person:ellie f 0-0][person:luke m 3-3][person:lilly f 5-5][person:they g(luke:lilly) 6-6][person:ellie f 8-8][person:ellie f 12-12][person:ellie f 17-17]
ellie| They can show you some career possibilities| [person:they g(luke:lilly) 0-0][person:john m 3-3]
ellie| Why don t you meet them and i ll put off registering my classes for one day So we can take some classes together| [person:john m 3-3][person:they g(luke:lilly) 5-5][person:ellie f 7-7][person:ellie f 12-12][person:we g(john:ellie) 18-18]
john| Thanks Ellie I ll get to talking to them immediately| [person:ellie f 1-1][person:john m 2-2][person:they g(luke:lilly) 8-8]
ellie| Bye John I ll talk to you tomorrow| [person:john m 1-1][person:john m 2-2][person:john m 6-6]
john| Thanks again Ellie talk to you tomorrow| [person:ellie f 2-2][person:ellie f 5-5]

conv:people_chats_0520_214:aug_0:chat_0:chataug_0| gene martha| [person:gene f 0-0][person:martha f 1-1]
gene| Hawaii is really cliche according to Carolyn and Beverly| [location:hawaii s 0-0][person:carolyn f 6-6][person:beverly f 8-8]
martha| Of course they do It s because you think it s cliche| [person:they g(carolyn:beverly) 2-2][person:gene f 7-7]
gene| Okay let s not argue again What do you suggest| [person:martha f 8-8]
martha| How about New Smyrna Beach It s south of Daytona Beach in Florida| [location:new_smyrna s 2-3][location:new_smyrna s 5-5][location:daytona_beach s 9-10][location:florida s 12-12]
gene| This is why Carolyn and Beverly agree with me You re crazy| [person:carolyn f 3-3][person:beverly f 5-5][person:gene f 8-8][person:martha f 9-9]
gene| That is the shark attack capital of the world| [location:florida s 5-5]
martha| Don t call me crazy okay I just don t want to go to Hawaii There s sharks there too| [person:martha f 3-3][person:martha f 6-6][location:hawaii s 14-14][location:hawaii s 15-15][location:hawaii s 18-18]
gene| Alright what other places are you thinking| [location:places g() 3-3][person:martha f 5-5]
martha| Grand Bahama Island seems like a great option| [location:bahama s 1-1][location:island s 2-2]
gene| The Bahamas are cliche too| [location:bahama s 1-1]
martha| Celebrities all over the world call it paradise on Earth| [location:bahama s 6-6]

conv:people_chats_0520_215:aug_0:chat_0:chataug_0| hadi tina| [person:hadi f 0-0][person:tina f 1-1]
tina| I m going to make a cake for Vanish s suprise party What kind of cake should I make| [person:tina f 0-0][person:tina f 17-17]
hadi| Yum Vanilla is a good choice Everyone like vanilla| [person:everyone g() 6-6]
tina| Really vanilla That s so plain|
hadi| I have a better idea Get an ice cream cake Everyone loves them Do you know Vashish s favorite kind of ice cream| [person:hadi f 0-0][person:everyone g() 10-10][person:tina f 14-14][person:vashish m 16-16]
tina| Wow You have some crazy ideas First plain vanilla and now an ice cream cake| [person:hadi f 1-1]
hadi| No Listen My friend Roman makes amazing ice cream cakes I just texted him and he said if I tell him what kind he can have it ready by tonight| [person:hadi f 2-2][person:roman m 3-3][person:roman m 4-4][person:hadi f 10-10][person:roman m 13-13][person:roman m 15-15][person:hadi f 18-18][person:roman m 20-20]
tina| You re not thinking It s 34 degrees outside and the ice cream will melt on the way to the party| [person:hadi f 0-0]
hadi| So You can clean it up Besides how much would it melt anyway| [person:tina f 1-1]
tina| You re crazy My car s in the shop so I ll be in Ayonika s You know how OCD she is about things being clean| [person:hadi f 0-0][person:tina f 3-3][person:tina f 10-10][person:ayonika f 14-14][person:hadi f 16-16][person:ayonika f 20-20]
hadi| Oh yeah she s crackers I took my shoes off in her car once and she pulled over to the side of the road and made me get out| [person:ayonika f 2-2][person:hadi f 5-5][person:hadi f 7-7][person:ayonika f 11-11][person:ayonika f 15-15][person:hadi f 26-26]
tina| I m just going to make a cake Let s go look through my cookbooks| [person:tina f 0-0][person:tina f 13-13]
hadi| Okay but I still think vanilla is the way to go| [person:hadi f 2-2]

conv:people_chats_0520_216:aug_0:chat_0:chataug_0| darlene jacky| [person:darlene f 0-0][person:jacky f 1-1]
jacky| Hi Darlene How are you doing| [person:darlene f 1-1][person:darlene f 4-4]
darlene| I m good girl I m pumped for the upcoming basketball road trip| [person:darlene f 0-0][person:darlene f 4-4]
jacky| Me too That s actually why I m texting you| [person:jacky f 0-0][person:jacky f 6-6][person:darlene f 9-9]
jacky| Would you want to drive both of us| [person:darlene f 1-1][person:us g(jacky:darlene) 7-7]
jacky| Your car gets the best gas mileage so it would make the most sense economically| [person:darlene f 0-0]
darlene| I was actually thinking we should take your car| [person:darlene f 0-0][person:us g(jacky:darlene) 4-4][person:jacky f 7-7]
darlene| That way we could also fit Bailey and Scarlett| [person:us g(jacky:darlene) 2-2][person:bailey f 6-6][person:scarlett f 8-8]
darlene| My car won t fit both of us and them| [person:darlene f 0-0][person:us g(jacky:darlene) 7-7][person:them g(bailey:scarlett) 9-9]
jacky| Hmm I didn t think about that| [person:jacky f 1-1]
jacky| I don t really know if I want to drive it s a long way| [person:jacky f 0-0][person:jacky f 6-6]
darlene| I m in the same boat driving doesn t sound much fun to me What if we ask Bailey or Scarlett| [person:darlene f 0-0][person:darlene f 13-13][person:us g(jacky:darlene) 16-16][person:bailey f 18-18][person:scarlett f 20-20]
jacky| That s a good idea either of them would do whatever we ask Let s ask them| [person:them g(bailey:scarlett) 7-7][person:us g(jacky:darlene) 11-11][person:them g(bailey:scarlett) 16-16]

conv:people_chats_0520_220:aug_0:chat_0:chataug_0| briana simon| [person:briana f 0-0][person:simon m 1-1]
simon| are you going to the party| [person:briana f 1-1]
briana| what party is that one|
simon| The one Jordan is hosting| [person:jordan m 2-2]
briana| Yes I will under one condition| [person:briana f 1-1]
simon| what would that be|
briana| Only if you are going as well| [person:simon m 2-2]
simon| Yes I will be going| [person:simon m 1-1]
briana| and Jonathan as well| [person:jonathan m 1-1]
simon| I don t know why you like him| [person:simon m 0-0][person:briana f 5-5][person:jonathan m 7-7]
briana| I don t care what you think Are you bringing anything| [person:briana f 0-0][person:simon m 5-5][person:simon m 8-8]
simon| Yes a karaoke machine Do you think it will be safe| [person:briana f 5-5]
briana| Yes I should think so| [person:briana f 1-1]

conv:people_chats_0520_221:aug_0:chat_0:chataug_0| dave peggy| [person:dave m 0-0][person:peggy f 1-1]
dave| Are you excited about the carvial| [person:peggy f 1-1]
peggy| I m very excited I just wish it wasn t going to be so hot| [person:peggy f 0-0][person:peggy f 4-4]
dave| Yes the heat is difficult to deal with but I have some good news about that| [person:dave m 9-9]
peggy| Oh really What s that|
dave| My friend Cassie went before and purchased fast lane coupons for this event Are you familiar with these| [person:dave m 0-0][person:cassie f 1-1][person:cassie f 2-2][person:peggy f 14-14]
peggy| I think so That s the tickets you buy to skip lines right| [person:peggy f 0-0][person:dave m 7-7]
dave| Yes Those would be a life saver and make the experience much better Maybe we should look into it| [person:we g(dave:peggy) 14-14]
peggy| I m going to get on their website now and look into that| [person:peggy f 0-0][person:their g() 6-6]
dave| Okay Let me know how much they are and if it seems worth it| [person:dave m 2-2]
peggy| I want us to have a good time so I just went ahead and purchased the tickets so we don t have to stand in line in the heat| [person:peggy f 0-0][person:us g(dave:peggy) 2-2][person:peggy f 9-9][person:we g(dave:peggy) 18-18]
dave| Oh really You didn t have to do that It will be a much more enjoyable experience though Thank you| [person:peggy f 2-2][person:peggy f 19-19]
peggy| You re welcome I can t wait| [person:dave m 0-0][person:peggy f 3-3]

conv:people_chats_0520_223:aug_0:chat_0:chataug_0| jay virginia| [person:jay m 0-0][person:virginia f 1-1]
virginia| I just won 4 tickets to the UT football game Friday| [person:virginia f 0-0]
jay| That s awesome Virginia how did you win them| [person:virginia f 3-3][person:virginia f 6-6]
virginia| I won them over the radio in a contest| [person:virginia f 0-0]
jay| That s awesome who are you going to take with you| [person:virginia f 5-5][person:virginia f 10-10]
virginia| That s what I was thinking about Jay I think I ll invite Isabella and Hannah Friday| [person:virginia f 3-3][person:jay m 7-7][person:virginia f 8-8][person:virginia f 10-10][person:isabella f 13-13][person:hannah f 15-15]
jay| That s a great idea I know they really love UT football they ll be thrilled| [person:jay m 5-5][person:they g(isabella:hannah) 7-7][person:they g(isabella:hannah) 12-12]
virginia| I thought so too these tickets are hard to come by| [person:virginia f 0-0]
jay| They definitely are I ve been searching for tickets for weeks with no luck| [person:jay m 3-3]
virginia| Oh I wonder if Isabella and Hannah already have plans Friday now I really want them to go| [person:virginia f 1-1][person:isabella f 4-4][person:hannah f 6-6][person:virginia f 12-12][person:they g(isabella:hannah) 15-15]
jay| No worries I just spoke with Isabella last night and she said they were free on Friday Better call soon| [person:jay m 2-2][person:isabella f 6-6][person:isabella f 10-10][person:they g(isabella:hannah) 12-12]
virginia| Wonderful how exciting I ll call them tonight| [person:virginia f 3-3][person:they g(isabella:hannah) 6-6]
jay| Can t wait for the game on Friday|

conv:people_chats_0520_224:aug_0:chat_0:chataug_0| katherine madison| [person:katherine f 0-0][person:madison f 1-1]
katherine| hey so I figured the best way to go around this thing is to go head and speak with Troy and also Medina as they have done a good job doing these pageant| [person:katherine f 2-2][person:troy m 19-19][person:medina f 22-22][person:they g(troy:medina) 24-24]
madison| I really think that they are a very good choice to help with getting started there is just so much to do and we can t take too long to get this show going| [person:madison f 0-0][person:they g(troy:medina) 4-4][person:we g(katherine:madison) 23-23]
katherine| Absolutely they have had their ups and downs but I figure why not give them a holler I know troy since high school we are not the closest of friends but Troy has a good blueprint that way we can focus on making this event truly special| [person:they g(troy:medina) 1-1][person:they g(troy:medina) 4-4][person:katherine f 9-9][person:they g(troy:medina) 14-14][person:katherine f 17-17][person:troy m 19-19][person:troy m 31-31]
madison| I agree with you then lets set up a day where we can all get together I have more free time in the afternoon let s say after four| [person:madison f 0-0][person:katherine f 3-3][person:we g(katherine:madison) 11-11][person:madison f 16-16]
katherine| Okay then let me send a text to Troy then he will let Madison know and we can figure out more of the logistics| [person:katherine f 3-3][person:troy m 8-8][person:troy m 10-10][person:madison f 13-13][person:we g(katherine:madison) 16-16]
madison| Wonderful as a matter of fact I really like the decorations that Medina has put in the past she really has a touch for colors and blending them in with whatever the theme is so you know what I can t wait to hear about her ideas when I tell her about what I want to do this year| [person:madison f 6-6][person:medina f 12-12][person:medina f 18-18][person:katherine f 35-35][person:madison f 38-38][person:medina f 45-45][person:madison f 48-48][person:medina f 50-50]
katherine| Great that will be amazing I am sure and I think I am booked up until wednesday so what do you think about a casual meeting either Thursday| [person:katherine f 5-5][person:katherine f 9-9][person:katherine f 11-11][person:madison f 20-20]
madison| I think there is some stuff I have to do that day so how about Friday I mean if not I am sure I can push my appointment for the next week| [person:madison f 0-0][person:madison f 6-6][person:madison f 16-16][person:madison f 20-20][person:madison f 23-23][person:madison f 26-26]
katherine| Okay well I am waiting for Troy to text me back but I figure Friday can work I think its best to wind down the week and when Troy replies then I will tell him friday hopefully that will work| [person:katherine f 2-2][person:troy m 6-6][person:katherine f 9-9][person:katherine f 12-12][person:katherine f 17-17][person:troy m 28-28][person:katherine f 31-31][person:troy m 34-34]
madison| Wonderful thank you so much that is great that we get to work on the pageant it will be so much fun| [person:katherine f 2-2][person:we g(katherine:madison) 9-9]
katherine| Definetly and Troy has just replied said that Friday would work after seven I think we can all meet over some margaritas at my place| [person:troy m 2-2][person:katherine f 13-13][person:we g(katherine:madison:troy:medina) 15-15][person:katherine f 23-23][location:place s 24-24]
madison| That is great news and I am totally down for some margaritas so I will write seven your place on friday that s perfect| [person:madison f 5-5][person:madison f 13-13][person:katherine f 17-17][location:place s 18-18]

conv:people_chats_0520_226:aug_0:chat_0:chataug_0| cynthia lori| [person:cynthia f 0-0][person:lori f 1-1]
lori| Hey Cynthia I need to talk to you about the brunch party we re having later with Victoria and Alexander| [person:cynthia f 1-1][person:lori f 2-2][person:cynthia f 7-7][person:we g(lori:cynthia) 12-12][person:victoria f 17-17][person:alexander m 19-19]
cynthia| Sure what s the matter|
lori| I think that we should arrange a light breakfast with pastries parfaits and orange juice What do you think| [person:lori f 0-0][person:we g(lori:cynthia) 3-3][person:cynthia f 17-17]
cynthia| I disagree I think we should go the traditional route with hashbrowns bacon and eggs and coffee| [person:cynthia f 0-0][person:cynthia f 2-2][person:we g(lori:cynthia) 4-4]
lori| Well actually Alexander just told me that he s allergic to eggs so we should consider the light breakfast option| [person:alexander m 2-2][person:lori f 5-5][person:alexander m 7-7][person:we g(lori:cynthia) 13-13]
cynthia| Okay well maybe we can combine the two options because Victoria likes the traditional breakfast| [person:we g(lori:cynthia) 3-3][person:victoria f 10-10]
lori| Okay how about pastries and parfaits with a side of hashbrowns|
cynthia| Sure and then for drinks we can give options for either juice and coffee| [person:we g(lori:cynthia) 5-5]
lori| Sounds great|
cynthia| Awesome I ll give Victoria and Alexander a heads up about the menu| [person:cynthia f 1-1][person:victoria f 4-4][person:alexander m 6-6]
lori| Okay|
cynthia| See you later| [person:lori f 1-1]

conv:people_chats_0520_227:aug_0:chat_0:chataug_0| agnes jordan| [person:agnes f 0-0][person:jordan m 1-1]
agnes| you are taking bob and Raymond for soccer practice| [person:jordan m 0-0][person:bob m 3-3][person:raymond m 5-5]
agnes| you have more flexible work hours| [person:jordan m 0-0]
agnes| and you can leave early| [person:jordan m 1-1]
jordan| no|
jordan| you work closer to home| [person:agnes f 0-0]
jordan| you should be able to drive them to soccer practice| [person:agnes f 0-0][person:them g(bob:raymond) 6-6]
agnes| bob and Raymond told me they love your pep talks before they play sport| [person:bob m 0-0][person:raymond m 2-2][person:agnes f 4-4][person:they g(bob:raymond) 5-5][person:jordan m 7-7][person:they g(bob:raymond) 11-11]
agnes| as a result you are driving them| [person:jordan m 3-3][person:them g(bob:raymond) 6-6]
jordan| okay|
jordan| i am driving them| [person:jordan m 0-0][person:them g(bob:raymond) 3-3]
agnes| okay|
jordan| fine|
agnes| drive safe|
jordan| yes i will| [person:jordan m 1-1]

conv:people_chats_0520_228:aug_0:chat_0:chataug_0| dean jasmin| [person:dean m 0-0][person:jasmin f 1-1]
jasmin| Can we go shoe shopping this weekend| [person:we g(jasmin:dean) 1-1]
dean| Have you decided whether you want tennis shoes or boots yet| [person:jasmin f 1-1][person:jasmin f 4-4]
jasmin| Yes Since it s cold outside I know my feet will get cold easy So I am going to get boots this time| [person:jasmin f 6-6][person:jasmin f 8-8][person:jasmin f 15-15]
dean| I don t know how you get cold so easy I am always hot| [person:dean m 0-0][person:jasmin f 5-5][person:dean m 10-10]
dean| Do you know where you want to go yet| [person:jasmin f 1-1][person:jasmin f 4-4]
jasmin| Actually yes My friends Javier and Tara work at a big shoe store and I think we might be able to get a good deal| [person:jasmin f 2-2][person:friends g() 3-3][person:javier m 4-4][person:tara f 6-6][location:store s 12-12][person:jasmin f 14-14][person:we g(jasmin:dean) 16-16]
dean| Okay where is this store at| [location:store s 4-4]
jasmin| It is beside the mall down off of the freeway| [location:store s 0-0][location:mall s 4-4]
dean| I don t know if I want to drive that far| [person:dean m 0-0][person:dean m 5-5]
jasmin| C mon please I really want my boots before my feet freeze| [person:jasmin f 3-3][person:jasmin f 6-6][person:jasmin f 9-9]
dean| Really Jasmin| [person:jasmin f 1-1]
jasmin| Yes really|
dean| I don t really want to go this weekend| [person:dean m 0-0]
jasmin| Why|
dean| I don t know I just don t| [person:dean m 0-0][person:dean m 4-4]
dean| Honestly shoe shopping is really not my thing| [person:dean m 6-6]
jasmin| Please|
dean| Okay we will go Let s talk about this tomorrow| [person:we g(jasmin:dean) 1-1]

conv:people_chats_0520_230:aug_0:chat_0:chataug_0| allison sue| [person:allison f 0-0][person:sue f 1-1]
sue| Hey Alli I m running a little late sorry Be there around 11| [person:allison f 2-2]
allison| Hey I forgot you were coming Ooops Who else are we meeting today| [person:allison f 1-1][person:allison f 3-3][person:we g(sue:allison) 10-10]
sue| We re supposed to meet Julie and Frances at 12| [person:we g(sue:allison) 0-0][person:julie f 5-5][person:frances f 7-7]
allison| Oh right What did you get Julie for her birthday| [person:sue f 4-4][person:julie f 6-6][person:julie f 8-8]
sue| Nothing yet I was planning on stopping by the store to pick something up| [person:sue f 2-2][location:store s 9-9]
allison| LOL you are the queen of last minute I made her some earrings| [person:sue f 1-1][person:allison f 8-8][person:julie f 10-10]
allison| Is Julie picking up Frances for the party| [person:julie f 1-1][person:frances f 4-4]
sue| Yeah|
allison| Do you think she knows we re throwing her a surprise party| [person:sue f 1-1][person:julie f 3-3][person:we g(sue:allison) 5-5][person:julie f 8-8]
sue| Idk I haven t heard that anyone s spoiled it yet| [person:sue f 1-1][person:anyone u 6-6]
allison| That s good I hate when people ruin the surprise| [person:allison f 3-3]
sue| Oh I know it s such a buzzkill See ya in a bit| [person:sue f 1-1]
allison| See ya|

conv:people_chats_0520_232:aug_0:chat_0:chataug_0| clary diana| [person:clary f 0-0][person:diana f 1-1]
clary| Hey Diana are you coming to the party| [person:diana f 1-1][person:diana f 3-3]
diana| Yeah I ll be down there on Christmas Day for it| [person:diana f 1-1]
clary| Duncan and Pablo are gonna be there too| [person:duncan m 0-0][person:pablo m 2-2]
diana| When are they coming| [person:they g(duncan:pablo) 2-2]
clary| They are only there for Christmas Eve so you might miss them| [person:they g(duncan:pablo) 0-0][person:diana f 8-8][person:they g(duncan:pablo) 11-11]
diana| I didn t know that| [person:diana f 0-0]
clary| yeah they can t be there on Christmas day| [person:they g(duncan:pablo) 1-1]
diana| I could try to get there earlier to try to see them| [person:diana f 0-0][person:they g(duncan:pablo) 11-11]
clary| Yeah That would be awesome I m sure they would love that| [person:clary f 5-5][person:they g(duncan:pablo) 8-8]
diana| Alright I ll try to leave earlier and get there| [person:diana f 1-1]
clary| Alright I ll let them know that| [person:clary f 1-1][person:they g(duncan:pablo) 4-4]
diana| Awesome I ll see you then| [person:diana f 1-1][person:clary f 4-4]

conv:people_chats_0520_233:aug_0:chat_0:chataug_0| fred michelle| [person:fred m 0-0][person:michelle f 1-1]
fred| Hey Michelle where do you want to go for a date tonight| [person:michelle f 1-1][person:michelle f 4-4]
michelle| I think we should go to a fancy restaurant for dinner and a cocktail bar after| [person:michelle f 0-0][person:we g(fred:michelle) 2-2][location:restaurant s 8-8][location:bar s 14-14]
