conv:people_0909_1734_1:aug_0:chat_0:chataug_0| christine eva| [person:christine f 0-0][person:eva f 1-1]
becky| Sports are temporary heaven is forever I think it s important for him to come to church with us| [person:becky f 6-6][person:anthony m 12-12][location:church s 16-16][person:us g(jasmine:becky) 18-18]
jasmine| I think he can miss Church for one game God is supposed to forgive people right| [person:jasmine f 0-0][person:anthony m 2-2][location:church s 5-5]
becky| Okay you two can go to the game and I ll go to Church| [person:jasmine f 1-1][person:becky f 9-9][location:church s 13-13]
jasmine| And we can meet up after for dinner How does the diner sound| [person:we g(jasmine:becky:anthony) 1-1]
becky| The diner is good but what about the cafe| [location:cafe s 8-8]
jasmine| The cafe is good let s go there after| [location:cafe s 1-1][location:cafe s 7-7]
becky| Okay see you then| [person:jasmine f 2-2]

conv:people_1011_1528_3:aug_0:chat_0:chataug_0| heather raymond| [person:heather f 0-0][person:raymond m 1-1]
heather| Hey I was watching the neighbors They are putting together a lovely garden| [person:heather f 1-1][person:neighbors g() 5-5][person:neighbors g() 6-6][location:garden s 12-12]
heather| I would love to have one like that of our own It makes the whole house look so much better| [person:heather f 0-0][person:our g(heather:raymond) 9-9][location:garden s 11-11]
raymond| Well I m no expert on how to make a good garden But you know that I would be more than willing to try| [person:raymond m 1-1][person:heather f 13-13][person:raymond m 16-16]
heather| Really I m so happy to hear that They added some vegetables to theirs today I think some tomato plants There are some lovely flowers planted around the area as well| [person:heather f 1-1][person:neighbors g() 8-8][person:heather f 15-15][location:garden s 20-20]
raymond| Did they plant anything else I d love to grow our own vegetables It s a great way to eat organic without paying the high prices| [person:neighbors g() 1-1][person:raymond m 5-5][person:our g(heather:raymond) 10-10]
heather| True Eating more vegetables is always a good thing We can grow peppers tomatoes and okra| [person:we g(heather:raymond) 9-9]
heather| What do you think about that It would take a good bit of work| [person:raymond m 2-2]
raymond| Yeah but it would be worth it in the long run How about we go pick up some stuff tomorrow to get started| [person:we g(heather:raymond) 13-13]
heather| That would be just lovely Thank you for being openminded about it| [person:raymond m 6-6]
raymond| It s something for both of us No need to thank me| [person:us g(heather:raymond) 6-6][person:raymond m 11-11]
raymond| I have a gardening catalog I ll bring home with me We can look over it when we get home| [person:raymond m 0-0][person:raymond m 5-5][location:home s 8-8][person:raymond m 10-10][person:we g(heather:raymond) 11-11][person:we g(heather:raymond) 17-17][location:home s 19-19]
heather| That sounds great I ll see you tonight| [person:heather f 3-3][person:raymond m 6-6]
raymond| Yep See you when I m home Bye| [person:heather f 2-2][person:raymond m 4-4][location:home s 6-6]

conv:people_1011_1528_5:aug_0:chat_0:chataug_0| evelyn james| [person:evelyn f 0-0][person:james m 1-1]
evelyn| Hey James how are you doing| [person:james m 1-1][person:james m 4-4]
james| Pretty good Evelyn how are you| [person:evelyn f 2-2][person:evelyn f 5-5]
evelyn| Good i m just thinking about our brunch on Sunday| [person:evelyn f 1-1][person:our g(evelyn:james) 6-6]
james| What about it|
evelyn| I m just nervous because like okay i ve known you awhile but what about Tanya and Henry What if they don t like me| [person:evelyn f 0-0][person:evelyn f 7-7][person:james m 10-10][person:tanya f 15-15][person:henry m 17-17][person:they g(tanya:henry) 20-20][person:evelyn f 24-24]
james| Oh comeon E don t be silly they ll love you You re great| [person:they g(tanya:henry) 7-7][person:evelyn f 10-10][person:evelyn f 11-11]
evelyn| But like what are they like ya know| [person:they g(tanya:henry) 4-4]
james| Well they re good people Tanya is really into sports and stuff she s a good chic| [person:they g(tanya:henry) 1-1][person:tanya f 5-5][person:tanya f 12-12]
evelyn| What about Henry How is he| [person:henry m 2-2][person:henry m 5-5]
james| He s a pretty good guy a bit on the quiet side though so I don t know if he d talk to you much to be honest he s kind of shy| [person:henry m 0-0][person:james m 14-14][person:henry m 19-19][person:evelyn f 23-23][person:henry m 28-28]
evelyn| Well that doesn t sound so bad I guess they will probably be good pople if they re your friends| [person:evelyn f 7-7][person:they g(tanya:henry) 9-9][person:they g(tanya:henry) 16-16][person:james m 18-18][person:friends g(tanya:henry) 19-19]
james| So see ya then|
evelyn| See ya then|

conv:people_1011_1528_6:aug_0:chat_0:chataug_0| dave millie| [person:dave m 0-0][person:millie f 1-1]
millie| Hey Dave Do you remember our trip plan with Carol and Mike| [person:dave m 1-1][person:dave m 3-3][person:our g(millie:dave) 5-5][location:trip s 6-6][person:carol f 9-9][person:mike m 11-11]
dave| Yes I do What is the matter now Do you want any change in the trip plan| [person:dave m 1-1][person:millie f 9-9][location:trip s 15-15]
millie| That s not the thing I have tried lot of time to contact both of them but I can t| [person:millie f 5-5][person:them g(carol:mike) 15-15][person:millie f 17-17]
millie| Did you speak to them recently| [person:dave m 1-1][person:them g(carol:mike) 4-4]
dave| No I have spoke to them only on that day when we have planned for the trip| [person:dave m 1-1][person:them g(carol:mike) 5-5][person:we g(millie:dave) 11-11][location:trip s 16-16]
millie| Oh I want to discuss about the travel plan with them What can we do now| [person:millie f 1-1][person:them g(carol:mike) 10-10][person:we g(millie:dave) 13-13]
millie| How to reach them Do you have any other idea to contact them| [person:them g(carol:mike) 3-3][person:dave m 5-5][person:them g(carol:mike) 12-12]
dave| Wait I will try to contact them once again and come back to you| [person:dave m 1-1][person:them g(carol:mike) 6-6][person:millie f 13-13]
millie| Okay you can try and I also think about another idea| [person:dave m 1-1][person:millie f 5-5]
dave| Millie I tried but I can t reach them What to do now| [person:millie f 0-0][person:dave m 1-1][person:dave m 4-4][person:them g(carol:mike) 8-8]
millie| Do one thing You just reach their working place and stop them there at the same place I will come and join with you| [person:dave m 3-3][person:their g(carol:mike) 6-6][location:place s 8-8][person:them g(carol:mike) 11-11][location:trip s 12-12][person:millie f 17-17][person:dave m 23-23]
dave| That is nice idea I will go and stop them Please reach there as quick as possible| [person:dave m 4-4][person:them g(carol:mike) 9-9][location:place s 12-12]
millie| Okay done|

conv:people_1011_1528_7:aug_0:chat_0:chataug_0| carol christopher| [person:carol f 0-0][person:christopher m 1-1]
christopher| You know that new art exhibit has opened up and I am really excited to go see it| [person:carol f 0-0][location:exhibit s 5-5][person:christopher m 10-10][location:exhibit s 17-17]
carol| Oh yes I ve been waiting for that It s going to be so great I just know it| [person:carol f 2-2][location:exhibit s 8-8][person:carol f 15-15]
christopher| I was thinking we should go on Saturday With my work schedule that s gonna be the best day for me for awhile| [person:christopher m 0-0][person:we g(christopher:carol) 3-3][person:christopher m 9-9][person:christopher m 20-20]
carol| Shoot I would love to but I m supposed to do something with Tara on Saturday| [person:carol f 1-1][person:carol f 6-6][person:tara f 13-13]
christopher| That s too bad I definitely want to go with you If you re busy I don t know who I would ask| [person:christopher m 4-4][person:carol f 10-10][person:carol f 12-12][person:christopher m 15-15][person:christopher m 20-20]
carol| Remind me what the show is about I know we talked about it but give me the details| [person:carol f 1-1][person:carol f 7-7][person:we g(christopher:carol) 9-9][location:exhibit s 12-12][person:carol f 15-15]
christopher| You remember it s that super provocative artist from upstate New York who does the stuff with the Styrofoam nudes It s going to be amazing| [person:carol f 0-0][location:upstate_new_york s 2-2][location:upstate_new_york s 9-11][location:upstate_new_york s 20-20]
carol| Oh that s right Gosh I don t miss it This is kind of weird idea but you think it s something I could invite Tara along to It might be the kind of think she would like| [person:carol f 5-5][location:upstate_new_york s 9-9][person:christopher m 17-17][location:upstate_new_york s 19-19][person:carol f 22-22][person:tara f 25-25][location:upstate_new_york s 28-28][person:tara f 35-35]
christopher| Hm that s interesting I m not sure maybe She s pretty open minded and I know she appreciates creative pursuits| [person:christopher m 4-4][person:tara f 9-9][person:christopher m 15-15][person:tara f 17-17]
carol| She definitely does And that way you and I could see it together which I know is important to both of us| [person:tara f 0-0][person:christopher m 6-6][person:carol f 8-8][location:upstate_new_york s 11-11][person:carol f 14-14][person:us g(christopher:carol) 21-21]
christopher| Well I don t mind if she comes along The more the merrier why not| [person:christopher m 1-1][person:tara f 6-6]
carol| Great I m going to invite her| [person:carol f 1-1][person:tara f 6-6]

conv:people_1011_1528_9:aug_0:chat_0:chataug_0| frances katherine| [person:frances f 0-0][person:katherine f 1-1]
frances| Hey Katherine I m having a blast today with my party| [person:katherine f 1-1][person:frances f 2-2][person:frances f 9-9]
katherine| I m so glad to hear that What are you up to now| [person:katherine f 0-0][person:frances f 9-9]
frances| I m hanging with Billy He s been so sweet and made today so great| [person:frances f 0-0][person:billy m 4-4][person:billy m 5-5]
frances| I think that I m going to announce that he and I are dating during the party| [person:frances f 0-0][person:frances f 3-3][person:billy m 9-9][person:frances f 11-11]
katherine| Are you sure that s a good idea It may not be the right place or time to announce that| [person:frances f 1-1][location:place s 14-14]
frances| What s wrong with announcing it at the party|
katherine| For starters are you sure you want to share your business with everyone Everyone might not approve of him| [person:frances f 3-3][person:frances f 5-5][person:frances f 9-9][person:everyone g() 12-12][person:everyone g() 13-13][person:billy m 18-18]
katherine| Also it s your birthday party It should be about you and your celebration| [person:frances f 3-3][person:frances f 10-10][person:frances f 12-12]
frances| Well he is a bit shy But my family will like him I m sure They always have| [person:billy m 1-1][person:frances f 7-7][person:family g() 8-8][person:billy m 11-11][person:frances f 12-12][person:they g() 15-15]
katherine| As a friend yeah Not sure if they feel he is right for you Do you want that to become a topic of discussion for today| [person:billy m 2-2][person:they g() 7-7][person:billy m 9-9][person:frances f 13-13][person:frances f 15-15]
frances| I guess not It can t be that bad right Plus it would make me happy to announce it to them| [person:frances f 0-0][person:frances f 14-14][person:them g() 20-20]
katherine| It s up to you Frances I just think there is a better time and place than there| [person:frances f 4-4][person:frances f 5-5][person:katherine f 6-6][location:there u 9-9][location:place s 15-15][location:there u 17-17]
frances| I guess you re right I was just so excited that I didn t think it all through| [person:frances f 0-0][person:katherine f 2-2][person:frances f 5-5][person:frances f 11-11]
frances| Thanks for telling me| [person:frances f 3-3]
katherine| You are very welcome Try and have a great time okay I ll talk with you soon| [person:frances f 0-0][person:katherine f 11-11][person:frances f 15-15]
frances| Thank you and I will Bye for now| [person:katherine f 1-1][person:frances f 3-3]

conv:people_1011_1528_10:aug_0:chat_0:chataug_0| chloe wayne| [person:chloe f 0-0][person:wayne m 1-1]
chloe| Hi Wayne| [person:wayne m 1-1]
wayne| Hi Chloe| [person:chloe f 1-1]
chloe| I am really sad about the plan canceled| [person:chloe f 0-0]
wayne| I was too excited because of the bike travel| [person:wayne m 0-0]
chloe| I am also I wanted to go to the hill stations| [person:chloe f 0-0][person:chloe f 3-3]
wayne| What to do|
chloe| I don t know I am free for this weekend| [person:chloe f 0-0][person:chloe f 4-4]
wayne| I am also free Do you have any plan| [person:wayne m 0-0][person:chloe f 5-5]
chloe| Do you know Malcolm and Rachel| [person:wayne m 1-1][person:malcolm m 3-3][person:rachel f 5-5]
wayne| Yes They are your neighbors Am I right| [person:they g(malcolm:rachel) 1-1][person:chloe f 3-3][person:neighbors g(malcolm:rachel) 4-4][person:wayne m 6-6]
chloe| Yes They are celebrating 4th July very specially| [person:they g(malcolm:rachel) 1-1]
wayne| I am interested to attend these kind of functions| [person:wayne m 0-0]
chloe| Really|
wayne| Yes I am Can you ask them for me| [person:wayne m 1-1][person:chloe f 4-4][person:them g(malcolm:rachel) 6-6][person:wayne m 8-8]
chloe| Ok I will ask Malcolm You can ask Rachel about this| [person:chloe f 1-1][person:malcolm m 4-4][person:wayne m 5-5][person:rachel f 8-8]
wayne| Ok Sure|

conv:people_1011_1528_12:aug_0:chat_0:chataug_0| bobby cameron| [person:bobby m 0-0][person:cameron f 1-1]
cameron| Hey Bobby what s up| [person:bobby m 1-1]
bobby| Hey cameron I was just thinking about our neighbors| [person:cameron f 1-1][person:bobby m 2-2][person:our g(cameron:bobby) 7-7][person:neighbors g() 8-8]
cameron| Oh you mean Brian and Rose They have such a nice garden| [person:bobby m 1-1][person:brian m 3-3][person:rose f 5-5][person:they g(brian:rose) 6-6]
bobby| I know But their lawn geez it s like a disaster| [person:bobby m 0-0][person:their g(brian:rose) 3-3]
cameron| Too true|
bobby| So I was thinking we re pretty good at yardwork i d like to think| [person:bobby m 1-1][person:we g(cameron:bobby) 4-4][person:bobby m 10-10]
cameron| Agreed|
bobby| Well they seem to have some sort of secret methods for making those roses so gorgeous what if we were to offer to maintain their lawn a bit in exchange for their sacred wisdom| [person:they g(brian:rose) 1-1][person:we g(cameron:bobby) 18-18][person:their g(brian:rose) 24-24][person:their g(brian:rose) 31-31]
cameron| Why bobby that s a downright brilliant plan| [person:bobby m 1-1]
bobby| I think we should try buttering them up with praise before mentioning our end of the deal| [person:bobby m 0-0][person:we g(cameron:bobby) 2-2][person:them g(brian:rose) 6-6][person:our g(cameron:bobby) 12-12]
cameron| And maybe avoid mentioning their lawn status just sell it as we could do this favor for you because who likes lawn maintaence| [person:their g(brian:rose) 4-4][person:we g(cameron:bobby) 11-11][person:bobby m 17-17]
bobby| Exactly let s do it|
cameron| Sounds good|

conv:people_1011_1528_13:aug_0:chat_0:chataug_0| emily stephanie| [person:emily f 0-0][person:stephanie f 1-1]
emily| Who invented algebra deserves to be shot|
stephanie| Tell me about it I have been trying to solve these equations whole afternoon| [person:stephanie f 1-1][person:stephanie f 4-4]
emily| I know It is the worst| [person:emily f 0-0]
stephanie| And to think I just overheard Millie and Heather complaining as well| [person:stephanie f 3-3][person:millie f 6-6][person:heather f 8-8]
emily| Well if they are struggling then there is no point to us even trying| [person:they g(millie:heather) 2-2][person:us g(emily:stephanie) 11-11]
stephanie| I agree They are the best math students in class| [person:stephanie f 0-0][person:they g(millie:heather) 2-2]
emily| Well maybe we can help each other| [person:we g(emily:stephanie) 2-2]
stephanie| You actually think we could help Heather and Millie with math| [person:emily f 0-0][person:we g(emily:stephanie) 3-3][person:heather f 6-6][person:millie f 8-8]
emily| Of course not I was referring to us Let s go ahead and encourage them to finish If we make it seem as if we are assisting them then surely they would share their answers with us| [person:emily f 3-3][person:us g(emily:stephanie) 7-7][person:them g(millie:heather) 14-14][person:we g(emily:stephanie) 18-18][person:we g(emily:stephanie) 24-24][person:them g(millie:heather) 27-27]
stephanie| This idea is so crazy that it just might work|

conv:people_1011_1528_14:aug_0:chat_0:chataug_0| frank joyce| [person:frank m 0-0][person:joyce f 1-1]
joyce| Hey so what do you think we should do about the boat shopping| [person:frank m 4-4][person:we g(joyce:frank) 6-6]
frank| I have no clue about boats I should talk to Adam about it He is the one obsessed about boats| [person:frank m 0-0][person:frank m 6-6][person:adam m 10-10][person:adam m 13-13]
joyce| Oh I thought you were going to take Mason along| [person:joyce f 1-1][person:frank m 3-3][person:mason m 8-8]
frank| Mason has really great taste and everything he has suggested before was spot on| [person:mason m 0-0][person:mason m 7-7]
joyce| Sure so are we really going to take both of them together They hate each other| [person:we g(joyce:frank) 3-3][person:them g(adam:mason) 10-10][person:they g(adam:mason) 12-12]
frank| I know I have been thinking of how to handle that situation but I need them both with us| [person:frank m 0-0][person:frank m 2-2][person:frank m 13-13][person:them g(adam:mason) 15-15][person:us g(joyce:frank) 18-18]
joyce| Well I can talk to Mason and tell him to play nice for once| [person:joyce f 1-1][person:mason m 5-5][person:mason m 8-8]
frank| Yeah and I will keep Adam away from him I think it will be a great shopping experience haha| [person:frank m 2-2][person:adam m 5-5][person:mason m 8-8][person:frank m 9-9]
joyce| Well let us hope Also I don t think it will take a long time Call them right away| [person:us g(joyce:frank) 2-2][person:joyce f 5-5][person:them g(adam:mason) 16-16]
frank| Sure will do|
joyce| Also tell Adam to come directly to the store so we don t have to see them all fight in the car| [person:adam m 2-2][person:we g(joyce:frank) 10-10][person:them g(adam:mason) 16-16]
frank| Cool idea|

conv:people_1011_1528_15:aug_0:chat_0:chataug_0| amy shawn| [person:amy f 0-0][person:shawn m 1-1]
amy| You should see everything that Sydney and Gabriel have bought for their big remodel| [person:shawn m 0-0][person:sydney f 5-5][person:gabriel m 7-7][person:their g(sydney:gabriel) 11-11]
shawn| What have they gotten| [person:they g(sydney:gabriel) 2-2]
amy| Some really cool wallpaper a brand new coffee table some wooden siding a new lamp all kinds of stuff|
shawn| Wow I m really glad they are doing that They needed a house upgrade and they can afford it right now| [person:shawn m 1-1][person:they g(sydney:gabriel) 5-5][person:they g(sydney:gabriel) 9-9][person:they g(sydney:gabriel) 15-15]
amy| Yeah it s nice to see them treating themselves I think we should remodel too| [person:them g(sydney:gabriel) 6-6][person:themselves g(sydney:gabriel) 8-8][person:amy f 9-9][person:we g(amy:shawn) 11-11]
shawn| I ll think about it Our house looks pretty good already Do you really think we need to| [person:shawn m 0-0][person:our g(amy:shawn) 5-5][person:amy f 12-12][person:we g(amy:shawn) 15-15]
amy| I do Just think of the fun we d have buying stuff Sydney told me about this amazing wallpaper store There is some with kittens on it| [person:amy f 0-0][person:we g(amy:shawn) 7-7][person:sydney f 12-12][person:amy f 14-14]
shawn| I wouldn t mind having a new granite countertop| [person:shawn m 0-0]
amy| Now you re talking I will show you some of the samples Gabriel got| [person:shawn m 1-1][person:amy f 4-4][person:shawn m 7-7][person:gabriel m 12-12]
shawn| I guess it would be kind of fun to have an excuse to buy some house stuff| [person:shawn m 0-0]

conv:people_1011_1528_16:aug_0:chat_0:chataug_0| mindy victoria| [person:mindy f 0-0][person:victoria f 1-1]
victoria| Hey what did you think about Helen and Janet in the library| [person:mindy f 3-3][person:helen f 6-6][person:janet f 8-8]
mindy| I m thinking that maybe we did the homework wrong| [person:mindy f 0-0][person:we g(victoria:mindy) 5-5]
victoria| Yeah me too| [person:victoria f 1-1]
mindy| Like Helen and Janet are the best students in are class and even they seemed to be struggling| [person:helen f 1-1][person:janet f 3-3][person:they g(helen:janet) 13-13]
victoria| Maybe we re actually geniuses| [person:we g(victoria:mindy) 1-1]
mindy| Uh sure Maybe we should talk to the teacher| [person:we g(victoria:mindy) 3-3]
victoria| Uh he creeps me out He keeps staring at my boobs in class| [person:teacher m 1-1][person:victoria f 3-3][person:teacher m 5-5][person:victoria f 9-9]
mindy| Yikes Maybe we should talk to Helen and Janet then| [person:we g(victoria:mindy) 2-2][person:helen f 6-6][person:janet f 8-8]
victoria| Yeah let s do that|
mindy| Alright we ll talk to them tomorrow then| [person:we g(victoria:mindy) 1-1][person:them g(helen:janet) 5-5]
victoria| Alright I ll see you tomorrow| [person:victoria f 1-1][person:mindy f 4-4]

conv:people_1011_1528_17:aug_0:chat_0:chataug_0| charles samantha| [person:charles m 0-0][person:samantha f 1-1]
samantha| Hey do you think we should do something for our new neighbor| [person:charles m 2-2][person:we g(samantha:charles) 4-4][person:our g(samantha:charles) 9-9][person:rebecca f 11-11]
charles| You mean Rebecca| [person:samantha f 0-0][person:rebecca f 2-2]
samantha| I don t know her name She was the one unpacking boxes yesterday| [person:samantha f 0-0][person:rebecca f 4-4][person:rebecca f 6-6]
charles| Yeah that s Rebecca I said hello yesterday| [person:rebecca f 3-3][person:charles m 4-4]
samantha| Oh that s cool Did she seem nice| [person:rebecca f 5-5]
charles| Yeah she s really cool We should definitely do something| [person:rebecca f 1-1][person:we g(samantha:charles) 5-5]
samantha| How about we invite her to dinner| [person:we g(samantha:charles) 2-2][person:rebecca f 4-4]
charles| What time and day|
samantha| How about this Saturday at around 6|
charles| I think that works for me Should I invite her| [person:charles m 0-0][person:charles m 5-5][person:charles m 7-7][person:rebecca f 9-9]
samantha| Yeah if you could| [person:charles m 2-2]

conv:people_1011_1528_18:aug_0:chat_0:chataug_0| eddie tony| [person:eddie m 0-0][person:tony m 1-1]
eddie| Hey Tony You prepared for next week s basketball game| [person:tony m 1-1][person:tony m 2-2]
tony| Yeah I am totally pumped I can t wait to play again| [person:tony m 1-1][person:tony m 5-5]
eddie| I was just wondering that we don t have enough players We need two more| [person:eddie m 0-0][person:we g(eddie:tony) 5-5][person:we g(eddie:tony) 11-11]
tony| Drew and Vincent could join us They are always happy to play| [person:drew m 0-0][person:vincent m 2-2][person:us g(eddie:tony) 5-5][person:they g(drew:vincent) 6-6]
eddie| I don t know about those two Drew has poor shooting skills and Vincent is bad at defence| [person:eddie m 0-0][person:drew m 7-7][person:vincent m 13-13]
tony| It s alright nobody is perfect I am sure we could find suitable position in which we could use their strengths| [person:tony m 6-6][person:we g(eddie:tony) 9-9][person:we g(eddie:tony) 16-16][person:their g(drew:vincent) 19-19]
eddie| Like put Vincent is a team that already has a strong defence| [person:vincent m 2-2][person:team g() 5-5]
tony| That s more like it We could put Drew in a team that already has players that have good shooting skills| [person:we g(eddie:tony) 5-5][person:drew m 8-8][person:team g() 11-11]
eddie| I think this could work The game looks more balanced already| [person:eddie m 0-0]
tony| I am glad this worked out I will let them know that they are invited to join us in the game I think they would be happy See you soon| [person:tony m 0-0][person:tony m 6-6][person:them g(drew:vincent) 9-9][person:they g(drew:vincent) 12-12][person:us g(eddie:tony) 17-17][person:tony m 21-21][person:eddie m 28-28]

conv:people_1011_1528_19:aug_0:chat_0:chataug_0| alice valerie| [person:alice f 0-0][person:valerie f 1-1]
alice| Hey Valerie I m feeling super paranoid right now| [location:valerie s 1-1][person:alice f 2-2]
valerie| Same here I m afraid that what we did to that guy last night would count as fraud| [person:valerie f 2-2][person:we g(alice:valerie) 7-7]
alice| Do you kow anything about the legal system or fraud in general| [person:valerie f 1-1]
valerie| No I don t so I think it is best if we got a lawyer| [person:valerie f 1-1][person:valerie f 5-5][person:we g(alice:valerie) 11-11][person:lawyer u 14-14]
alice| Do you have anyone in mind at the moment| [person:valerie f 1-1][person:anyone u 3-3]
valerie| I have two friends from school who are now lawyers Angela and Janice| [person:valerie f 0-0][person:friends g() 3-3][location:school s 5-5][person:angela f 10-10][person:janice f 12-12]
alice| Who do you think would be more trustworthy and reliable to help us out| [person:valerie f 2-2][person:us g(alice:valerie) 12-12]
valerie| Well to be honest I think that Angela practices international law wherease Janice practices business law so Janice would be our best bet| [person:valerie f 4-4][person:angela f 7-7][person:janice f 12-12][person:janice f 17-17][person:our g(alice:valerie) 20-20]
alice| OK let s hire Janice immediately can you contact her| [person:janice f 4-4][person:valerie f 7-7][person:janice f 9-9]
valerie| Sure thing I ll update you with her response take care Alice| [person:valerie f 2-2][person:alice f 5-5][person:janice f 7-7][person:alice f 11-11]

conv:people_1011_1528_20:aug_0:chat_0:chataug_0| lauren nick| [person:lauren f 0-0][person:nick m 1-1]
lauren| So the last item on the list is who will DJ|
nick| I liked DJ Dwight he was cheap| [person:nick m 0-0][person:dwight m 3-3][person:dwight m 4-4]
lauren| I like DJ Christian He understands our preferences| [person:lauren f 0-0][person:christian m 3-3][person:christian m 4-4][person:our g(lauren:nick) 6-6]
nick| Yea but if we save money on the DJ we can get more liquor| [person:we g(lauren:nick) 3-3][person:we g(lauren:nick) 9-9]
lauren| I think it s important we have someone professional handle the music| [person:lauren f 0-0][person:we g(lauren:nick) 5-5][person:someone u 7-7]
nick| DJ Dwight looked professional he s just more laid back and fun| [person:dwight m 1-1][person:dwight m 4-4]
lauren| Well maybe we should just flip a coin to decide| [person:we g(lauren:nick) 2-2]
nick| Okay that sounds good to me| [person:nick m 5-5]
lauren| Heads or tails|
nick| Tails|
lauren| Heads DJ Christian it is X| [person:christian m 2-2]
nick| We should decide everything like that from now on| [person:we g(lauren:nick) 0-0]
lauren| Yes it was easy enough|

conv:people_1011_1528_23:aug_0:chat_0:chataug_0| amber edgar| [person:amber f 0-0][person:edgar m 1-1]
edgar| Hey Amber which restaurant do you want to hit up tonight| [person:amber f 1-1][location:restaurant s 3-3][person:amber f 5-5][location:tonight s 10-10]
amber| Well since we re going with my girls Kim and Lisa let s find a place that we can all enjoy| [person:we g(edgar:amber) 2-2][person:amber f 6-6][person:girls g() 7-7][person:kim f 8-8][person:lisa f 10-10][person:we g(edgar:amber:kim:lisa) 17-17]
edgar| What kind of food do Kim and Lisa like What do you like| [person:kim f 5-5][person:lisa f 7-7][person:amber f 11-11]
amber| We aren t super picky I know that we all really enjoy eating pizza and drinking beer though| [person:we g(amber:kim:lisa) 0-0][person:amber f 5-5][person:we g(amber:kim:lisa) 8-8]
edgar| I m a man of simple pleasures as well and beer and pizza sounds like something I d love| [person:edgar m 0-0][person:edgar m 16-16]
amber| OK so are we all riding together or are we taking separate cars| [person:we g(edgar:amber:kim:lisa) 3-3][person:we g(edgar:amber:kim:lisa) 9-9]
edgar| I don t mind carpooling but do you mind if you drop me off at home after dinner so I can get some work done| [person:edgar m 0-0][person:amber f 7-7][person:amber f 10-10][person:edgar m 12-12][location:home s 15-15][person:edgar m 19-19]
amber| Sure thing actually we plan on catching a late night movie so after I drop you we ll just go to the theater| [person:we g(amber:kim:lisa) 3-3][person:amber f 13-13][person:edgar m 15-15][person:we g(amber:kim:lisa) 16-16][location:theater s 22-22]
edgar| Great thank you so much for doing that for me and see you at dinner| [person:amber f 2-2][person:edgar m 9-9][person:amber f 12-12]
amber| Yes can t wait to catch up with you take care| [person:edgar m 8-8]

conv:people_1011_1528_24:aug_0:chat_0:chataug_0| anna peggy| [person:anna f 0-0][person:peggy f 1-1]
anna| Hi Peggy What are you doing this evening| [person:peggy f 1-1][person:peggy f 4-4]
peggy| Not much Just sitting here thinking about school tomorrow You know high school is tough and so is dating| [location:here s 4-4][location:school s 7-7][person:anna f 9-9][location:school s 11-12]
anna| Yea it is difficult It sounds like you have some things are your mind Do you want to talk about them| [location:school s 1-1][person:peggy f 7-7][person:peggy f 12-12][person:peggy f 15-15]
peggy| Well you know I have a crush on Timothy as you do too| [person:anna f 1-1][person:peggy f 3-3][person:timothy m 8-8][person:anna f 10-10]
anna| Yea I do What brings this up again| [person:anna f 1-1]
peggy| I heard something today from Kenneth He told me you wrote Timothy a letter Is that true| [person:peggy f 0-0][person:kenneth m 5-5][person:kenneth m 6-6][person:peggy f 8-8][person:anna f 9-9][person:timothy m 11-11]
anna| It is true How did Kenneth know I wrote Timothy a letter| [person:kenneth m 5-5][person:anna f 7-7][person:timothy m 9-9]
peggy| Kenneth told me that Timothy told him about the letter| [person:kenneth m 0-0][person:peggy f 2-2][person:timothy m 4-4][person:kenneth m 6-6]
anna| Wow Timothy should have kept that to himself I didn t think he was going to blab to his friends| [person:timothy m 1-1][person:timothy m 7-7][person:anna f 8-8][person:timothy m 12-12][person:timothy m 18-18][person:friends g(kenneth) 19-19]
peggy| I thought we had a girl code It really upsets me that knowing I had a crush on Timothy that you didn t tell me you were going to write him a letter| [person:peggy f 0-0][person:we g(anna:peggy) 2-2][person:peggy f 10-10][person:peggy f 13-13][person:timothy m 18-18][person:anna f 20-20][person:peggy f 24-24][person:anna f 25-25]
anna| I m sorry Peggy You are right I should have told you It won t happen again Will you forgive me| [person:anna f 0-0][person:peggy f 3-3][person:peggy f 4-4][person:anna f 7-7][person:peggy f 11-11][person:peggy f 18-18][person:anna f 20-20]
peggy| I suppose this time You are my best friend after all| [person:peggy f 0-0][person:anna f 4-4][person:peggy f 6-6][person:anna f 8-8]

conv:people_1011_1528_25:aug_0:chat_0:chataug_0| arthur diana| [person:arthur m 0-0][person:diana f 1-1]
diana| Aunt Tracy called to ask what you wanted for your birthday| [person:tracy f 0-0][person:tracy f 1-1][person:arthur m 6-6][person:arthur m 9-9]
arthur| That was nice of her| [person:tracy f 4-4]
diana| I told her I would check with you to see what you were interested in| [person:diana f 0-0][person:tracy f 2-2][person:diana f 3-3][person:arthur m 7-7][person:arthur m 11-11]
arthur| What do you think I should ask her for| [person:diana f 2-2][person:arthur m 4-4][person:tracy f 7-7]
diana| Well since it s going to be a unique gift from France we should think carefully about it| [location:france s 11-11][person:we g(diana:arthur) 12-12]
arthur| Perhaps a nice painting|
diana| That sounds nice|
arthur| What about a pretty vase|
diana| That would be lovely as well|
arthur| Maybe I can ask her for a family heirloom| [person:arthur m 1-1][person:tracy f 4-4][person:family g() 7-7]
diana| I thought you were already promised grandfather s watch| [person:diana f 0-0][person:arthur m 2-2]
diana| Yes but I wouldn t mind the piano in the lobby| [person:diana f 2-2]

