conv:people_chats_04182020_468:aug_0:chat_0:chataug_0| evelyn ronnie| [person:evelyn f 0-0][person:ronnie m 1-1]

conv:people_chats_0520_7:aug_0:chat_0:chataug_0| andrew ron| [person:andrew m 0-0][person:ron m 1-1]
andrew| Looking forward to the beach trip with the girls Did you find the soccer ball| [location:beach s 4-4][person:girls g() 8-8][person:ron m 10-10]
ron| I have no idea where it s at| [person:ron m 0-0]
andrew| No prod I ll just buy one at the store I m sure that would get me brownie points with Darlene| [person:andrew m 2-2][location:store s 9-9][person:andrew m 10-10][person:andrew m 16-16][person:darlene f 20-20]
ron| Awesome bro Julia and I are thinking about bringing a cooler to keep us hydrated at the beach| [person:julia f 2-2][person:ron m 4-4][person:us g(andrew:ron:darlene:julia) 13-13][location:beach s 17-17]
andrew| Ok great This Saturday we can all meet at my house| [person:us g(andrew:ron:darlene:julia) 4-4][person:andrew m 9-9][location:house s 10-10]
ron| perfect bro i ll txt Julia and Darlene 8am sound good| [person:ron m 2-2][person:julia f 5-5][person:darlene f 7-7]
andrew| yes my dude i ll have sandwiches pre made for the beach trip| [person:andrew m 1-1][person:andrew m 3-3][location:beach s 11-11]
ron| sweet i m sure all of us will work up an appetite| [person:ron m 1-1][person:us g(andrew:ron:darlene:julia) 6-6]
andrew| and don t forget the towels so we can lay out| [person:us g(andrew:ron:darlene:julia) 7-7]
ron| see you Saturday morning| [person:andrew m 1-1]

conv:people_chats_0520_8:aug_0:chat_0:chataug_0| sandra stacey| [person:sandra f 0-0][person:stacey f 1-1]
sandra| I m soo excited for the concert on Friday| [person:sandra f 0-0]
stacey| Me toooo| [person:stacey f 0-0]
stacey| Although what s our strategy for sneaking out of the house| [person:our g(sandra:stacey) 3-3]
sandra| Yeah we should start planning| [person:our g(sandra:stacey) 1-1]
stacey| Well Nina and Colby will be asleep by 10pm they usually get to bed early| [person:nina f 1-1][person:colby m 3-3][person:they g(nina:colby) 9-9]
sandra| Right true|
sandra| Should we leave through the window or the door or where| [person:our g(sandra:stacey) 1-1]
stacey| Well let s think about what would make the least noise|
stacey| Also the front door is pretty close to their room so that s not smart| [person:they g(nina:colby) 8-8]
sandra| Yeah true|
sandra| Maybe the window then In my room| [person:sandra f 5-5]
sandra| It s upstairs so they likely won t hear| [person:they g(nina:colby) 4-4]
stacey| Sounds good|
stacey| I ll be in your room around 10pm| [person:stacey f 0-0][person:sandra f 4-4]

conv:people_chats_0520_9:aug_0:chat_0:chataug_0| dira emma| [person:dira f 0-0][person:emma f 1-1]
dira| Can you believe these two Emma They are so lazy| [person:emma f 1-1][person:emma f 5-5][person:they g() 6-6]
emma| Wait a second we re talking about Josie and Gina right| [person:we g(dira:emma) 3-3][person:josie f 7-7][person:gina f 9-9]
dira| Yes they can t seem to get any work done at all How long have we been waiting| [person:they g(josie:gina) 1-1][person:we g(dira:emma) 15-15]
emma| I agree I know we are supposed to only use them according to the contract but this is getting ridiculous| [person:emma f 0-0][person:emma f 2-2][person:we g(dira:emma) 4-4][person:they g(josie:gina) 10-10]
dira| I tell you what I m going to message them right now and tell them I m through with it| [person:dira f 0-0][person:emma f 2-2][person:dira f 4-4][person:they g(josie:gina) 9-9][person:they g(josie:gina) 14-14][person:dira f 15-15]
dira| We can get real professional agents instead of these two| [person:we g(dira:emma) 0-0][person:professional_agents g() 4-5]
emma| That s a good idea tell me what they say| [person:emma f 6-6][person:they g(josie:gina) 8-8]
dira| OMG you re not going to believe this I told them I was tired of their BS and they threatened me on the basis of the contract| [person:emma f 1-1][person:dira f 8-8][person:they g(josie:gina) 10-10][person:dira f 11-11][person:they g(josie:gina) 15-15][person:they g(josie:gina) 18-18][person:dira f 20-20]
emma| Wow that s really unbelievable What are you going to do| [person:dira f 7-7]
dira| I ll tell you what I m going to do I know a lawyer and I m going to ask him for adivce| [person:dira f 0-0][person:emma f 3-3][person:dira f 5-5][person:dira f 10-10][person:lawyer m 13-13][person:dira f 15-15][person:lawyer m 20-20]
emma| Sounds good Include me in the message will you| [person:emma f 3-3][person:dira f 8-8]
emma| Thanks for taking care of this Dira I ll await your message in the other chat| [person:dira f 6-6][person:emma f 7-7][person:dira f 10-10]

conv:people_chats_0520_10:aug_0:chat_0:chataug_0| janna lucian| [person:janna f 0-0][person:lucian m 1-1]
janna| hi there|
lucian| hi|
lucian| Did you hear that the meeting was moved| [person:janna f 1-1]
janna| Which one|
lucian| with Fiora and James| [person:fiora f 1-1][person:james m 3-3]
lucian| where do you want to meet them| [person:janna f 2-2][person:them g(janna:lucian) 6-6]
janna| How about a coffee shop| [location:coffee_shop s 3-4]
janna| Or do you have any ideas| [person:fiora f 2-2]
lucian| How about either a fancy restaurant or an elegant bistro| [location:restaurant s 5-5][location:bistro s 9-9]
janna| That s a good idea Which do you think they d prefer| [person:fiora f 7-7][person:them g(janna:lucian) 9-9]
lucian| How about the bistro| [location:bistro s 3-3]
janna| That sounds good See you tomorrow| [person:lucian m 4-4]
lucian| Alright See you tomorrow Now get back to work| [person:janna f 2-2]

conv:people_chats_0520_12:aug_0:chat_0:chataug_0| britney tommy| [person:britney f 0-0][person:tommy m 1-1]
tommy| Hey Brittney I just found this Kodak video camera for 30 is that an okay price for you| [person:tommy m 2-2][person:britney f 17-17]
britney| That s an okay price but I think I d like to see if I can call Marcus and borrow their equipment first besides it would be better than buying equipment that I will only use for a little while| [person:britney f 6-6][person:britney f 8-8][person:britney f 14-14][person:marcus m 17-17][person:their g(marcus) 20-20][person:britney f 32-32]
britney| Hold on let me text Marcus| [person:britney f 3-3][person:marcus m 5-5]
britney| They said we can borrow it On the phone with Marcus Hey Marcus do you have a camcorder that we can use for our video| [person:their g(marcus) 0-0][person:we g(tommy:britney) 2-2][person:marcus m 10-10][person:marcus m 12-12][person:marcus m 14-14][person:we g(tommy:britney) 19-19]
tommy| Hey where did Marcus buy this thing it shoots really well| [person:marcus m 3-3]
britney| I ll ask Marcus You won t believe it Marcus said he Cara and Sabrian bought it on the same website that you were looking for them wasn t this camera that same brand too| [person:britney f 0-0][person:marcus m 3-3][person:tommy m 4-4][person:marcus m 9-9][person:marcus m 11-11][person:cara f 12-12][person:tommy m 22-22][person:them g(marcus:cara) 26-26]
tommy| OMG You re right this is the same camera I was going to buy online I guess it s true what they say| [person:britney f 1-1][person:tommy m 9-9][person:tommy m 15-15][person:them g(marcus:cara) 21-21]
britney| What do they say exactly| [person:them g(marcus:cara) 2-2]
tommy| Great minds think alike|
britney| Hahaha|
tommy| Now that we have our high quality equipment let s start making our movie| [person:we g(tommy:britney) 2-2][person:we g(tommy:britney) 4-4][person:we g(tommy:britney) 12-12]
britney| Alright then we can give back Marcus s equipment get some lunch| [person:we g(tommy:britney) 2-2][person:marcus m 6-6]

conv:people_chats_0520_14:aug_0:chat_0:chataug_0| jeremy judith| [person:jeremy m 0-0][person:judith f 1-1]
jeremy| Hey Judith How are you doing today| [person:judith f 1-1][person:judith f 4-4]
judith| Hey Jeremy Not too well actually| [person:jeremy m 1-1]
jeremy| Oh no What s wrong|
judith| I really miss my best girlfriends Jasmine Zoey and Judi| [person:judith f 0-0][person:judith f 3-3][person:jasmine f 6-6][person:zoey f 7-7]
jeremy| I m sorry Judith Have you thought of keeping in touch with them through FaceTime| [person:jeremy m 0-0][person:judith f 3-3][person:judith f 5-5][person:them g(jasmine:zoey) 12-12]
judith| You know I hadn t really thought of that before| [person:judith f 0-0][person:judith f 2-2]
jeremy| Yeah I think that would be really good to do especially since modern technology makes it so convenient| [person:jeremy m 1-1]
judith| That is very true I think I will try to get in touch with them now| [person:judith f 4-4][person:judith f 6-6][person:them g(jasmine:zoey) 14-14]
jeremy| Okay good Let me know how that goes| [person:jeremy m 3-3]
judith| Thank you for the suggestion Jeremy I know that this will make me so happy| [person:jeremy m 1-1][person:jeremy m 5-5][person:judith f 6-6][person:judith f 12-12]
jeremy| Well I m happy that you re happy| [person:jeremy m 1-1][person:judith f 5-5]

conv:people_chats_0520_15:aug_0:chat_0:chataug_0| dany ron| [person:dany f 0-0][person:ron m 1-1]
ron| Hey Dany are you getting ready for the party tonight| [person:dany f 1-1][person:dany f 3-3]
dany| Yes I m almost dressed but I can t decide on what jacket to wear Catherine and Anne throw the best parties| [person:dany f 1-1][person:dany f 6-6][person:catherine f 15-15][person:anne f 17-17]
dany| Oh and we need to stop and pick up drinks for the party| [person:we g(ron:dany) 2-2]
ron| Yes I agree Catherine and Anne love wine so I was thinking we could pick up a couple bottles for the hosts| [person:ron m 1-1][person:catherine f 3-3][person:anne f 5-5][person:ron m 9-9][person:we g(ron:dany) 12-12]
dany| That s nice but they are so picky about their wines it might be better to just grab some beer for the crowd| [person:they g(catherine:anne) 4-4][person:they g(catherine:anne) 9-9]
ron| I don t know we can grab a bottle of red and a bottle of white wine It seems simple enough| [person:ron m 0-0][person:we g(ron:dany) 4-4]
ron| It s polite to bring the host s favorite beverage when they throw a party| [person:they g(catherine:anne) 11-11]
dany| Hmmm you obviously haven t had a conversation with Anne about wine have you| [person:ron m 1-1][person:anne f 9-9][person:ron m 13-13]
dany| Red White Rose Sparkling Dry and event dessert wines According to our friends there is nothing simple about it We should just stick to Coors Light Beer| [person:we g(ron:dany) 11-11][person:they g(catherine:anne) 12-12][person:we g(ron:dany) 19-19]
ron| Do you know what their favorite year or orchard is for wine It s just classier to show up with a bottle of wine instead of a case of beer| [person:dany f 1-1][person:they g(catherine:anne) 4-4]
ron| I want to make a good impression in case there are attractive women there| [person:ron m 0-0]
dany| I don t know what they like but I bet those attractive women will enjoy a nice cold beer ha ha| [person:dany f 0-0][person:they g(catherine:anne) 5-5][person:dany f 8-8]

conv:people_chats_0520_16:aug_0:chat_0:chataug_0| dustin ramon| [person:dustin m 0-0][person:ramon m 1-1]
ramon| Hey dude Hows it going Hows Madeline| [person:madeline f 6-6]
dustin| Hey She s great were doing really well How is Catherine| [person:madeline f 1-1][person:catherin f 10-10]
ramon| She s doing great you notice they ve been hanging out together a lot more lately| [person:catherin f 0-0][person:dustin m 4-4][person:they g(madeline:catherin) 6-6]
ramon| Its so nice|
dustin| Yea pretty awesome I wonder what they do when they hang out| [person:dustin m 3-3][person:they g(madeline:catherin) 6-6][person:they g(madeline:catherin) 9-9]
dustin| You know girls they must talk about EVERYTHING| [person:ramon m 0-0][person:they g(madeline:catherin) 2-2][person:they g(madeline:catherin) 3-3]
ramon| for real probably girl stuff like shopping and drama Im sure we are the topic of conversation| [person:we g(ramon:dustin) 11-11]
dustin| yikes|
ramon| Im sure they dont tell anything personal like about our personal lives| [person:they g(madeline:catherin) 2-2][person:we g(ramon:dustin) 9-9]
ramon| From when i talk to madeline she says that they dont talk about us| [person:ramon m 2-2][person:madeline f 5-5][person:madeline f 6-6][person:they g(madeline:catherin) 9-9][person:we g(ramon:dustin) 13-13]
dustin| thats good maybe we can do a double date soon it seems fitting| [person:we g(ramon:dustin:madeline:catherin) 3-3]
ramon| yea dude totally catching up with you guys would be awesome since we talk all the time and are super close| [person:dustin m 6-6][person:we g(ramon:dustin) 12-12]
dustin| for sure hopefully we can get the girls to do it soon| [person:we g(ramon:dustin) 3-3][person:they g(madeline:catherin) 7-7]
dustin| ill try and get it in Catherines head you get it in Madelines| [person:ramon m 8-8]

conv:people_chats_0520_17:aug_0:chat_0:chataug_0| faith lance| [person:faith f 0-0][person:lance m 1-1]
faith| Hey how s it going|
lance| I ve had better days| [person:lance m 0-0]
faith| Oh no what s wrong|
lance| My daughter is seeing this new guy Roy I don t like him| [person:lance m 0-0][person:daughter f 1-1][person:roy m 7-7][person:lance m 8-8][person:roy m 12-12]
lance| I m worried he might end up hurting her| [person:lance m 0-0][person:roy m 3-3][person:daughter f 8-8]
faith| I m surprised to hear that you normally have faith in Diana s judgement| [person:faith f 0-0][person:lance m 6-6][person:diana f 11-11]
lance| Yeah well this guy just seems like trouble|
faith| Why do you think that| [person:lance m 2-2]
lance| He s got a bunch of tattoos and plays in a rock band| [person:roy m 0-0]
faith| I m sure she ll be fine Diana s old enough now to know if someone s good for her or not| [person:faith f 0-0][person:diana f 3-3][person:diana f 7-7][person:someone u 15-15][person:diana f 19-19]
lance| If you say so I don t know| [person:faith f 1-1][person:lance m 4-4]
faith| Just let them figure it out I m sure they ll be fine| [person:them g(daughter:roy) 2-2][person:faith f 6-6][person:them g(daughter:roy) 9-9]

conv:people_chats_0520_18:aug_0:chat_0:chataug_0| lee nirvi| [person:lee m 0-0][person:nirvi f 1-1]
nirvi| Hey Lee I am thinking I will say something one more time What do you think| [person:lee m 1-1][person:nirvi f 2-2][person:nirvi f 5-5][person:lee m 14-14]
lee| Yes Nirvi That is a good idea| [person:nirvi f 1-1]
nirvi| I just hope they listen| [person:nirvi f 0-0][person:they g() 3-3]
lee| You know what you need to do if they do not| [person:nirvi f 0-0][person:nirvi f 3-3][person:they g() 8-8]
nirvi| I know Lee I just don t want to have to take it to the board| [person:nirvi f 0-0][person:lee m 2-2][person:nirvi f 3-3]
lee| Well it is either that or smell the smoke|
nirvi| OK Here goes nothing|
nirvi| Hey Sam Matthew can we chat please| [person:sam m 1-1][person:matthew m 2-2][person:we g(nirvi:sam:matthew) 4-4]
lee| SO What did they say| [person:they g(sam:matthew) 3-3]
lee| Well I this is going good for you Since its taking so long| [person:lee m 1-1][person:nirvi f 7-7]
nirvi| Lee That did not go over well| [person:lee m 0-0]
nirvi| Looks like I will be going to the Tenate board| [person:nirvi f 2-2]
lee| Do you want me to go with you for support| [person:nirvi f 1-1][person:lee m 3-3][person:nirvi f 7-7]
nirvi| Yes Please|

conv:people_chats_0520_19:aug_0:chat_0:chataug_0| emily martha| [person:emily f 0-0][person:martha f 1-1]
emily| Hey Martha| [person:martha f 1-1]
martha| Hi Emily What s up| [person:emily f 1-1]
emily| We should have a dinner on Sunday with Andrew and Trisha| [person:we g(emily:martha) 0-0][person:andrew m 8-8][person:trisha f 10-10]
martha| Sounds like a great idea What were you thinking| [person:emily f 7-7]
emily| Not sure Do you have any suggestions| [person:martha f 3-3]
martha| I know Andrew and Trisha both like eating seafood maybe let s make seafood| [person:martha f 0-0][person:andrew m 2-2]
emily| Great idea I have some tasty seafood recipes we can try| [person:emily f 2-2][person:we g(emily:martha:trisha:andrew) 8-8]
martha| Awesome What time should we invite them over for dinner| [person:we g(emily:martha) 4-4][person:them g(trisha:andrew) 6-6][location:over s 7-7]
emily| We should have them over in the early evening so they do not leave too late| [person:we g(emily:martha) 0-0][person:them g(trisha:andrew) 3-3][location:over s 4-4][person:them g(trisha:andrew) 10-10]
martha| Good thinking|
emily| 500 work for you| [person:martha f 3-3]
martha| Perfect|
emily| I can text them and let them know to come over| [person:emily f 0-0][person:them g(trisha:andrew) 3-3][person:them g(trisha:andrew) 6-6][location:over s 10-10]

conv:people_chats_0520_20:aug_0:chat_0:chataug_0| jane rita| [person:jane f 0-0][person:rita f 1-1]
jane| Rita are you there| [person:rita f 0-0][person:rita f 2-2]
rita| Yes what s wrong Jane| [person:jane f 4-4]
jane| I need help Can you take John and me to the airport| [person:jane f 0-0][person:rita f 4-4][person:john m 6-6][person:jane f 8-8][location:airport s 11-11]
rita| Maybe when do you need to go| [person:jane f 3-3][location:go s 6-6]
jane| Right away My Dad was supposed to take us but he got an urgent call and had to head to the hospital| [person:jane f 2-2][person:dad m 3-3][person:jj g(jane:john) 8-8][person:dad m 10-10][location:hospital s 21-21]
rita| I can t right now I have to drop off my kid at school Can you wait until after I drop her off| [person:rita f 0-0][person:rita f 5-5][person:rita f 10-10][location:school s 13-13][person:jane f 15-15][person:rita f 19-19][person:rita_s_daughter f 21-21]
jane| Only if it doesn t take too long|
rita| It will probably take me half an hour until I get her to school Would that work| [person:rita f 4-4][person:rita f 9-9][person:rita_s_daughter f 11-11][location:school s 13-13]
jane| I don t know how long will it take you to get to our house from her school| [person:jane f 0-0][person:rita f 9-9][person:jj g(jane:john) 13-13][location:house s 14-14][person:rita_s_daughter f 16-16][location:school s 17-17]
rita| Wait I just remembered Adam is free Why don t you give him a call| [person:rita f 1-1][person:adam m 4-4][person:jane f 10-10][person:adam m 12-12]
jane| Thank you I will right now| [person:rita f 1-1][person:jane f 2-2]
rita| No problem but maybe next time think about just taking an Uber instead of using us as your personal taxi service| [person:ra g(rita:adam) 15-15][person:jane f 17-17]

conv:people_chats_0520_22:aug_0:chat_0:chataug_0| ruth sue| [person:ruth f 0-0][person:sue f 1-1]
ruth| What do you think we should get dad for his birthday| [person:ruth f 2-2][person:we g(ruth:sue) 4-4][person:dad m 7-7][person:dad m 9-9]
sue| I was just going to ask you the same thing| [person:sue f 0-0][person:ruth f 6-6]
ruth| I was thinking something to do with golf| [person:ruth f 0-0]
sue| Since when has dad liked golf| [person:dad m 3-3]
ruth| Since he retired and his buddy asked him to join him for a game| [person:dad m 1-1][person:dad m 4-4][person:buddy u 5-5][person:dad m 7-7][person:dad m 10-10]
sue| Oh Well I think we can do something better than that for him| [person:sue f 2-2][person:we g(ruth:sue) 4-4][person:dad m 12-12]
ruth| What are you thinking about| [person:sue f 2-2]
sue| He has been talking a lot about vacationing in down south| [person:dad m 0-0]
sue| What else is he going to do after retirement other than golf| [person:dad m 3-3]
sue| It could be a travel voucher|
ruth| That seems like an obvious gift|
sue| Fine Let s have Eva decide| [person:eva f 4-4]
ruth| Fine by me I m her favorite sister anyway| [person:ruth f 2-2][person:ruth f 3-3][person:eva f 5-5][person:ruth f 7-7]

conv:people_chats_0520_23:aug_0:chat_0:chataug_0| ana zoey| [person:ana f 0-0][person:zoey f 1-1]
zoey| Hey Ana I ve got an idea| [person:ana f 1-1][person:zoey f 2-2]
ana| Oh yeah What s up|
zoey| I think we should go camping this summer but I m not very good at outdoor stuff| [person:zoey f 0-0][person:we g(zoey:ana) 2-2][person:zoey f 9-9]
ana| That s sounds like a great idea I m not good at outdoor things either though Hmm| [person:ana f 7-7]
zoey| Oh I know We should invite Barry and Peter They love the outdoors| [person:zoey f 1-1][person:we g(zoey:ana) 3-3][person:barry m 6-6][person:peter m 8-8][person:they g(barry:peter) 9-9]
ana| There you go again with another great idea| [person:zoey f 1-1]
zoey| Yea but I only have Peter s number Do you have Barry s| [person:zoey f 2-2][person:peter m 5-5][person:ana f 9-9][person:barry m 11-11]
ana| Yeah I ll take care of Barry and you see if you can get a hold of peter| [person:ana f 1-1][person:barry m 6-6][person:zoey f 8-8][person:zoey f 11-11][person:peter m 17-17]
zoey| Okay I ll go ahead and text him now| [person:zoey f 1-1][person:peter m 7-7]
ana| Same here I will let you know what Barry says| [person:ana f 2-2][person:zoey f 5-5][person:barry m 8-8]
zoey| Wow That was quick He texted back already| [person:peter m 4-4]
ana| What did he say Tell me tell me| [person:peter m 2-2][person:ana f 5-5][person:ana f 7-7]
zoey| Peter says he d be more than happy to join us and that he loves our company| [person:peter m 0-0][person:peter m 2-2][person:we g(zoey:ana) 10-10][person:peter m 13-13][person:we g(zoey:ana) 15-15]
ana| Yes And would ya look at that Barry s quick to respond as well| [person:barry m 7-7]
zoey| And Is he coming or no| [person:barry m 2-2]
ana| Of course he s coming He said the same thing that he really enjoys spending time with us He says it ll be fun| [person:barry m 2-2][person:barry m 5-5][person:barry m 11-11][person:we g(zoey:ana) 17-17][person:barry m 18-18]
zoey| Looks we can look forward to the summer then| [person:we g(zoey:ana) 1-1]

conv:people_chats_0520_25:aug_0:chat_0:chataug_0| alice claude| [person:alice f 0-0][person:claude m 1-1]
claude| Listen after what Neil and Kenny told us I m not so sure about the house| [person:neil m 3-3][person:kenny m 5-5][person:us g(claude:alice) 7-7][person:claude m 8-8][location:house_ s 15-15]
alice| But I absolutely adored that house It had everything we ve ever wanted| [person:alice f 1-1][location:house s 5-5][location:house_ s 6-6][person:us g(claude:alice) 9-9]
alice| A huge porch a big backyard a beautiful kitchen| [location:house_ s 1-2][location:porch s 2-2][location:house_ s 4-5][location:house_ s 5-5][location:kitchen s 8-8]
claude| Yes but we can find those things in another house a much safer house| [person:us g(claude:alice) 2-2][location:house_ s 5-5][location:another_house s 8-9][location:house s 9-9][location:house s 13-13]
alice| I know but we ve been looking for a while and their house has everything we need| [person:alice f 0-0][person:us g(claude:alice) 3-3][person:their g(neil:kenny) 11-11][location:another_house s 12-12][person:us g(claude:alice) 15-15]
claude| Yeah everything but safety|
alice| I suppose you re right But if it s really as unsafe as they say it is then won t another buyer get hurt| [person:alice f 0-0][person:claude m 2-2][location:house s 7-7][person:their g(neil:kenny) 13-13][location:house s 15-15]
claude| Yeah but I m sure other potential buyers know the risk as well| [person:claude m 2-2]
alice| Yeah but if they did it would never sell| [person:their g(neil:kenny) 3-3][location:house_ s 5-5]
claude| I m sure it will sell with the low asking price they have| [person:claude m 0-0][location:house_ s 3-3][person:their g(neil:kenny) 11-11]
alice| I guess you re right Ugh I m still so disappointed we can t buy it| [person:alice f 0-0][person:claude m 2-2][person:alice f 6-6][person:us g(claude:alice) 11-11][location:house_ s 15-15]
claude| It s our first home and we want it to be perfect We will find something better out there for us| [location:house_ s 0-0][person:us g(claude:alice) 2-2][location:house_ s 4-4][person:us g(claude:alice) 6-6][person:us g(claude:alice) 12-12][person:us g(claude:alice) 20-20]

conv:people_chats_0520_27:aug_0:chat_0:chataug_0| brendan greg| [person:brendan m 0-0][person:greg m 1-1]
greg| Hey I asked Daniel what type of cake he wants for the party and he said ice cream| [person:greg m 1-1][person:daniel m 3-3][person:daniel m 8-8][person:daniel m 14-14]
brendan| Ooh that s gonna be a problem We need to check with Sue because she doesn t like ice cream| [person:we g(greg:brendan:daniel) 7-7][person:sue f 12-12][person:sue f 14-14]
greg| Really Oh man That is going to be a problem|
brendan| I don t think so We can get a regular cake for Sue and all the other coworkers who don t like ice cream| [person:brendan m 0-0][person:we g(greg:brendan:daniel) 5-5][person:sue f 12-12][person:co_worker g(sue) 17-17]
greg| Yeah I think that s what we re gonna have to do| [person:greg m 1-1][person:we g(greg:brendan:daniel) 6-6]
brendan| It s going to cost us a little more but these guys are worth it| [person:we g(greg:brendan:daniel) 5-5]
greg| You re right| [person:brendan m 0-0]
brendan| I mean the whole staff has been working really hard| [person:brendan m 0-0]
greg| Agreed I don t think it ll be a big deal| [person:greg m 1-1]
brendan| Did you make sure the conference room is available for the party| [person:greg m 1-1]
greg| Yep all of that has been taken care of|
brendan| Thanks|
greg| No problem I ll get to work on ordering a regular cake and an ice cream cake| [person:greg m 2-2]
brendan| Cool We ll catch up later and finalize everything Later| [person:we g(greg:brendan:daniel) 1-1]

conv:people_chats_0520_30:aug_0:chat_0:chataug_0| kate nate| [person:kate f 0-0][person:nate m 1-1]
kate| Hi Nate how s it going| [person:nate m 1-1]
nate| I m good Kate Did your parent s come by today| [person:nate m 0-0][person:kate f 3-3][person:kate f 5-5][person:parent g() 6-6]
kate| Yes both parents Dave and Mary came by and dropped off some freshly caught salmon| [person:parent g() 2-2][person:dave m 3-3][person:mary f 5-5]
kate| My Dad caught lots of salmon yesterday so he s going to go fishing again next weekend| [person:kate f 0-0][person:dave m 1-1][person:dave m 8-8][location:fishing s 13-13]
nate| That s great Is your Mom going to go| [person:kate f 4-4][person:mary f 5-5]
kate| NO she s tired from the trip yesterday so she is going to stay home| [person:mary f 1-1][location:trip s 6-6][person:mary f 9-9][location:home_ s 14-14]
nate| We should grill some salmon for dinner It will be so fresh| [person:we g(kate:nate) 0-0]
kate| That s exactly what I was thinking too It will be delicious| [person:kate f 4-4]
kate| There s a lot of salmon here What should we do with the extra fish| [location:home s 6-6][person:we g(kate:nate) 9-9]
nate| I think we should freeze the salmon That way we can eat it whenever we want| [person:nate m 0-0][person:we g(kate:nate) 2-2][person:we g(kate:nate) 9-9][person:we g(kate:nate) 14-14]
kate| I was considering smoking some salmon too| [person:kate f 0-0]
nate| Smoked salmon is delicious|
nate| If we freeze the fish we can smoke it grill it or do whatever we feel like with it| [person:we g(kate:nate) 1-1][person:we g(kate:nate) 5-5][person:we g(kate:nate) 14-14]
nate| I guess we can decide later| [person:kate f 0-0][person:we g(kate:nate) 2-2]
kate| Ok let s decide while we eat the salmon| [person:we g(kate:nate) 5-5]

conv:people_chats_0520_31:aug_0:chat_0:chataug_0| adam rita| [person:adam m 0-0][person:rita f 1-1]
rita| Hey Adam While you re out can you please pick up some chicken for tomorrow s dinner with Jane and John| [person:adam m 1-1][person:adam m 3-3][person:adam m 7-7][person:jane f 18-18][person:john m 20-20]
adam| Sure Rita not a problem Since I m already at the store is there anything else you want me to get| [person:rita f 1-1][person:adam m 6-6][location:store s 11-11][person:rita f 16-16][person:adam m 18-18]
rita| Well now that you mention it We could use some more eggs paprika brown sugar milk bananas apples grapes a bottle of red wine and some deli pickles| [person:adam m 3-3][person:we g(rita:adam) 6-6]
adam| Woah I was just asking to be polite Don t you think that s a little overboard We re just bringing chicken to grill with Jane and John we don t need to bring anything else| [person:adam m 1-1][person:rita f 10-10][person:we g(rita:adam) 17-17][person:jane f 25-25][person:john m 27-27][person:we g(rita:adam) 28-28]
rita| Hey now you remember last time we got together with them You and John nearly ate me out of the house and I don t want that to happen again It s just a couple more things that we already need| [person:adam m 2-2][person:we g(rita:adam) 6-6][person:we g(rita:adam) 10-10][person:adam m 11-11][person:john m 13-13][person:rita f 16-16][person:rita f 22-22]
adam| Oh right I had almost forgotten about that I guess I can get everything you ve asked for| [person:adam m 2-2][person:adam m 8-8][person:adam m 10-10][person:we g(rita:adam) 14-14]
adam| Should we also bring over some dessert| [person:we g(rita:adam) 1-1]
rita| No Jane said her mom dropped off some tiramisu the other day and they wanted to share it with us But I want to put together a small cheese plate to bring over and share with them| [person:jane f 1-1][person:jane f 3-3][person:mom f 4-4][person:we g(rita:adam) 13-13][person:we g(rita:adam) 19-19][person:rita f 21-21][person:we g(rita:adam) 36-36]
adam| Okay hopefully that s not too much for you to do Do you want me to come home early and help with the chicken marinade| [person:rita f 8-8][person:rita f 12-12][person:we g(rita:adam) 14-14][location:home s 17-17]
rita| I think I have it under control here but you re welcome to come back early and help anyway| [person:rita f 0-0][person:rita f 2-2][location:home s 7-7][person:adam m 9-9]
adam| Sounds good I ll see you at 430| [person:adam m 2-2][person:rita f 5-5]
rita| Don t be late we promised them we d be ready by 545 at the latest| [person:we g(rita:adam) 4-4][person:we g(rita:adam) 6-6][person:we g(rita:adam) 7-7]

conv:people_chats_0520_32:aug_0:chat_0:chataug_0| art spencer| [person:art m 0-0][person:spencer m 1-1]
spencer| How should we go about inviting people for the surprise party| [person:we g(spencer:art) 2-2][location:party s 10-10]
art| We should make a list let s invite everyone that Andrea and Ruth know| [person:we g(spencer:art) 0-0][person:andrea f 10-10][person:ruth f 12-12]
spencer| That sounds good let s start with their families| [person:their g(andrea:ruth) 7-7]
spencer| Ok we need to invite their parents and siblings| [person:we g(spencer:art) 1-1][person:their g(andrea:ruth) 5-5][person:parents g() 6-6]
art| How about their grandparents and cousins| [person:their g(andrea:ruth) 2-2][person:cousins g() 5-5]
spencer| Definitely they are close with them too| [person:their g(andrea:ruth) 1-1][person:them g() 5-5]
art| What about their friendds| [person:their g(andrea:ruth) 2-2]
spencer| For sure We should invite their roommates and coworkers| [person:we g(spencer:art) 2-2][person:their g(andrea:ruth) 5-5][person:coworkers g() 8-8]
art| Should we invite both guy and girl friends| [person:we g(spencer:art) 1-1][person:friends g() 7-7]
spencer| I think so the more the merrier| [person:spencer m 0-0]
spencer| Let s plan to send the invites out by next weekend|
art| Ok I can go to the local pharmacy and get the invites printed| [person:art m 1-1][location:pharmacy s 7-7]
art| You should work on calling the caterer about food for the party| [person:spencer m 0-0][location:party s 11-11]

conv:people_chats_0520_33:aug_0:chat_0:chataug_0| ira sima| [person:ira f 0-0][person:sima f 1-1]
ira| i really like this dress from nouman s workplace| [person:ira f 0-0][person:nouman m 6-6]
