conv:people_2019082201_262:aug_0:chat_0:chataug_0| abigail lara| [person:abigail f 0-0][person:lara f 1-1]
ellen| Thank you Rebecca See you later| [person:rebecca f 1-1][person:rebecca f 2-2][person:rebecca f 4-4]
rebecca| Bye Ellen See you| [person:ellen f 1-1][person:ellen f 3-3]

conv:people_2019090101_43:aug_0:chat_0:chataug_0| bradley zachary| [person:bradley m 0-0][person:zachary m 1-1]
bradley| Hey Zachary Are we still going to the game this week| [person:zachary m 1-1][person:we g(bradley:zachary) 3-3]
zachary| Yeah I was going to look for tickets today Unfortunately Gabriel and Jordan want to come but they are Clippers fans| [person:zachary m 1-1][person:gabriel m 10-10][person:jordan m 12-12][person:they g(gabriel:jordan) 17-17]
bradley| Clippers What morons|
zachary| Well you re a Knicks fan so you really can t talk| [person:bradley m 1-1][person:bradley m 7-7]
bradley| Shut up Okay well let me pull up the Clippers schedule really quick| [person:bradley m 5-5]
zachary| They should be good this year so it won t be a total waste I d rather see the Lakers though| [person:they g() 0-0][person:zachary m 14-14]
bradley| Wow this is lucky The Knicks are coming to town on Wednesday We could go to that game| [location:town s 9-9][person:we g(bradley:zachary:gabriel:jordan) 12-12]
zachary| That s perfect It should be pretty cheap too since the Knicks are terrible|
bradley| You re a jerk Okay I will call Gabriel and Jordan and make sure that Wednesday works for them| [person:zachary m 0-0][person:bradley m 5-5][person:gabriel m 8-8][person:jordan m 10-10][person:they g(gabriel:jordan) 18-18]
zachary| Okay call me back when you know for sure and I ll get the tickets| [person:zachary m 2-2][person:bradley m 5-5][person:zachary m 10-10]
bradley| Okay talk to you soon| [person:zachary m 3-3]

conv:people_2019090101_45:aug_0:chat_0:chataug_0| amber patricia| [person:amber f 0-0][person:patricia f 1-1]
patricia| Hey I was thinking about joining you in pool this weekend| [person:patricia f 1-1][person:amber f 6-6]
amber| OMG yes I would love that You ll have so much fun I can introduce you to all the regulars at the pool hall| [person:amber f 2-2][person:patricia f 6-6][person:amber f 12-12][person:patricia f 15-15]
patricia| Haha don t get too excited I m just an amateur| [person:patricia f 6-6]
amber| I promise it s a ton of fun| [person:amber f 0-0]
patricia| Hey would it be ok if Betty joined us| [person:betty f 6-6][person:us g(patricia:amber) 8-8]
amber| Sure no problem There s room for everybody| [person:everybody g(patricia:amber:betty) 7-7]
patricia| Well she s a little nervous because she s doesn t play often and is still kind of learning| [person:betty f 1-1][person:betty f 7-7]
amber| No worries my friend Lara and Monica are taking lessons from me as well I guide them when they play and they feel very comfortable| [person:amber f 2-2][person:friend g() 3-3][person:lara f 4-4][person:monica f 6-6][person:amber f 11-11][person:amber f 14-14]
amber| I wouldn t mind helping Betty as well As long as she has a good spirit| [person:amber f 0-0][person:betty f 5-5][person:betty f 11-11]
patricia| Awesome thanks I ll let her know and see you Friday| [person:patricia f 2-2][person:betty f 5-5][person:amber f 9-9]
amber| See you Friday| [location:see_you_friday_ s 0-2]

conv:people_2019090101_46:aug_0:chat_0:chataug_0| kathryn kim| [person:kathryn f 0-0][person:kim f 1-1]
kathryn| Hey Kim hows it going Could I ask for your help| [person:kim f 1-1][person:kathryn f 6-6][person:kim f 9-9]
kim| Sure Kathryn what s going on How can I help| [person:kathryn f 1-1][person:kim f 8-8]
kathryn| Well I m going to San Francisco with my girls Theresa and Jen and I know you re from LA but have you been to SF| [person:kathryn f 1-1][person:kathryn f 8-8][person:girls g() 9-9][person:theresa f 10-10][person:jen f 12-12][person:kathryn f 14-14][person:kim f 16-16][person:kim f 22-22]
kim| I have it s great there do you need recommendations| [person:kim f 0-0][location:sf s 2-2][location:sf s 5-5][person:kathryn f 7-7]
kathryn| Yes please that would be great so we don t waste time| [person:we g(kathryn:theresa:jen) 7-7]
kim| Makes sense Well what kind of things do you ladies like| [person:kathryn f 8-8]
kathryn| Well since I m kind of the leader I ll probably be calling the shots And I love to drink| [person:kathryn f 2-2][person:kathryn f 8-8][person:kathryn f 16-16]
kim| Cool there are great bars that I could send to you in the downtown fashion district| [person:kim f 6-6][person:kathryn f 10-10][location:san_francisco s 13-13][location:downtown_fashion_district s 13-15]
kathryn| Oh great looking forward to it thank you for being so helpful| [person:kim f 7-7]
kim| Sure thing anything for one of my good friends| [person:kim f 6-6][person:kathryn f 8-8]

conv:people_2019090101_47:aug_0:chat_0:chataug_0| dwayne shirley| [person:dwayne m 0-0][person:shirley f 1-1]
shirley| Hey Dwayne what s up| [person:dwayne m 1-1]
dwayne| Hey Shirley I was wondering if you could help me out| [person:shirley f 1-1][person:dwayne m 2-2][person:shirley f 6-6][person:dwayne m 9-9]
shirley| Yeah what do you need| [person:dwayne m 3-3]
dwayne| Well I was wondering if you could give me some info on amusement parks| [person:dwayne m 1-1][person:shirley f 5-5][person:dwayne m 8-8]
shirley| Oh you mean from when I went with Chris and Kathleen| [person:dwayne m 1-1][person:shirley f 5-5][person:chris m 8-8][person:kathleen f 10-10]
dwayne| Yeah exactly|
shirley| Well I really enjoyed the one in town the roller coaster was great| [person:shirley f 1-1][location:town s 7-7]
dwayne| What did Chris and Kathleen think| [person:chris m 2-2][person:kathleen f 4-4]
shirley| Well they were a fan of the water rides they re both really into that| [person:they g(chris:kathleen) 1-1][person:they g(chris:kathleen) 9-9]
dwayne| Hmm okay what about the food there| [location:amusement_park s 6-6]
shirley| I was a fan of the meat vendor| [person:shirley f 0-0]
dwayne| What about them| [person:them g(chris:kathleen) 2-2]
shirley| They didn t really like how anything looked| [person:they g(chris:kathleen) 0-0]
dwayne| Hmm okay THank you| [person:shirley f 3-3]

conv:people_2019090101_48:aug_0:chat_0:chataug_0| carolyn jill| [person:carolyn f 0-0][person:jill f 1-1]
jill| Hey Carolyn are you all ready for our girls night with Sarah Leslie and Helen tonight| [person:carolyn f 1-1][person:carolyn f 3-3][person:our g(jill:carolyn) 7-7][person:girls g(jill:carolyn) 8-8][person:sarah f 11-11][person:leslie f 12-12][person:helen f 14-14]
carolyn| For the most part yes but I still feel like we should talk about who s bringing what| [person:carolyn f 6-6][person:our g(jill:carolyn) 10-10]
jill| Yeah you re right Let s plan it out then What should we bring| [person:carolyn f 1-1][location:it s 7-7][person:our g(jill:carolyn) 12-12]
carolyn| Well Sarah and Leslie are gonna bring snacks and Helen says she ll be bringing the male stripper| [person:sarah f 1-1][person:leslie f 3-3][person:helen f 9-9][person:helen f 11-11]
jill| Alright then I volunteer to bring the drinks and the music| [person:jill f 2-2]
carolyn| I guess I ll bring the massage oils and lotion for the stripper| [person:carolyn f 0-0][person:carolyn f 2-2]
jill| I see awesome OK so let s all meet around 9pm tonight| [person:jill f 0-0]
carolyn| That sounds like a good time I ll let the girls know| [person:carolyn f 6-6][person:girls2 g(sarah:leslie:helen) 10-10]
jill| OK can t wait it s gonna be one hell of a night| [location:it s 4-4]
carolyn| Yes it is I m sure we are all going to have a good time| [location:it s 1-1][person:carolyn f 3-3][person:girls g(jill:carolyn:sarah:leslie:helen) 6-6]

conv:people_2019090101_50:aug_0:chat_0:chataug_0| rose susie| [person:rose f 0-0][person:susie f 1-1]
rose| Hi Susie Are you looking forward to dinner| [person:susie f 1-1][person:susie f 3-3]
susie| Hi Rose I sure am Did you decide what we are having| [person:rose f 1-1][person:susie f 2-2][person:rose f 6-6][person:we g(rose:susie) 9-9]
rose| Well I know about your favorites but I don t know about everyone else What does Karen like| [person:rose f 1-1][person:susie f 4-4][person:rose f 7-7][person:everyone g() 12-12][person:karen f 16-16]
susie| Karen really likes burgers| [person:karen f 0-0]
rose| OK that s a start what do Charlotte and Melinda like| [person:melinda f 9-9]
susie| They really like Italian food best| [person:they g(melinda) 0-0]
rose| That s such a big difference I don t really have time to cook two separate meals I wonder what to do| [person:rose f 6-6][person:rose f 17-17]
susie| What if you made a sauce with the burger| [person:rose f 2-2]
rose| That s a good idea Or I know what if I make Italian burgers They could have Italian seasoning and sauce and cheese| [person:rose f 6-6][person:rose f 10-10][person:they g(karen:melinda) 14-14]
susie| That would make everybody happy especially me| [person:everybody g(rose:susie:karen:melinda) 3-3][person:susie f 6-6]

conv:people_2019090101_53:aug_0:chat_0:chataug_0| jeremy terry| [person:jeremy m 0-0][person:terry m 1-1]
jeremy| Terry what about our games| [person:terry m 0-0][person:jeremy_and_terry g(jeremy:terry) 3-3]
terry| We have to invite some of friends too| [person:jeremy_and_terry g(jeremy:terry) 0-0][location:invite s 3-3][person:friends g() 6-6]
jeremy| Pete Darren Vincent and Thomas are there Whom do you prefer| [person:pete m 0-0][person:darren m 1-1][person:vincent m 2-2][person:thomas m 4-4][location:invite s 6-6][person:terry m 9-9]
terry| I think Darren and Thoms will do what do you think| [person:terry m 0-0][person:darren m 2-2][person:jeremy m 9-9]
jeremy| In my opinion Pete will be better than Thomas| [person:jeremy m 1-1][person:pete m 3-3][person:thomas m 8-8]
terry| Ok thats decided|
jeremy| Now what about the venue| [location:venue g() 4-4]
terry| I prefer central stadium for that| [person:terry m 0-0][location:venue g() 2-3][location:stadium s 3-3]
jeremy| But there will be big rush| [location:stadium s 1-1][location:stadium s 4-5]
terry| Pete is very fond of County stadium| [person:pete m 0-0][location:county s 5-5][location:county s 6-6]
jeremy| Then we can go to that place| [person:everyone g(jeremy:terry:pete:darren:vincent:thomas) 1-1][location:county s 6-6]

conv:people_2019090101_54:aug_0:chat_0:chataug_0| edward henry| [person:edward m 0-0][person:henry m 1-1]
edward| Hey I was hoping that maybe we could get dinner and catch up either next week or the week after| [person:edward m 1-1][person:we g(edward:henry) 6-6]
henry| That sounds great It s been a while since we ve been able to just sit and visit| [person:we g(edward:henry) 9-9]
henry| What do you think about inviting Marie and Jason as well| [person:edward m 2-2][person:marie f 6-6][person:jason m 8-8]
edward| That sounds like a lot of fun Which week works best with your schedule| [person:henry m 12-12]
henry| Next week would probably be best I have a couple days off and so do they| [person:henry m 6-6][person:they g(marie:jason) 15-15]
edward| Is there any place in particular that you want to go eat Any day and place is fine with me next week| [person:henry m 7-7][person:edward m 19-19]
henry| I ve heard about this new Mongolian place where they make the food right at your table| [person:henry m 0-0][location:mongolian s 7-7][person:they g(marie:jason) 9-9][person:edward m 15-15]
edward| That sounds good Why don t you call the others and see what day works best for them then set up the reservations at the restaurant| [person:henry m 6-6][person:they g(marie:jason) 9-9][person:they g(marie:jason) 17-17][location:mongolian s 25-25]
henry| Perfect I ll do that when I get off work and text you the reservation details| [person:henry m 1-1][person:henry m 6-6][person:edward m 12-12]
edward| Great I m looking forward to it and can t wait to catch up See you then| [person:edward m 1-1][person:henry m 15-15]
henry| Don t forget to check your texts tonight for the reservation details See you then| [person:edward m 5-5][person:edward m 13-13]

conv:people_2019090101_55:aug_0:chat_0:chataug_0| charles marcus| [person:charles m 0-0][person:marcus m 1-1]
marcus| Hi Charles Are you free this Saturday| [person:charles m 1-1][person:marcus m 3-3]
charles| Yes I am What do you have in mind| [person:charles m 1-1][person:charles m 5-5]
marcus| I d like to invite you for a quick meal and catch up| [person:marcus m 0-0][person:charles m 5-5]
charles| That sounds good It would be nice to spend time together|
marcus| Bring along your friends Mary and Josh The more the merrier| [person:charles m 2-2][person:friends g() 3-3][person:mary f 4-4][person:josh m 6-6]
charles| I ll ask them What time do you want to meet up| [person:charles m 0-0][person:them g(marcus:charles) 3-3][person:charles m 7-7]
marcus| I m okay with either lunch or dinner time What do you think is more convenient for you and your friends| [person:marcus m 0-0][location:lunch s 5-5][location:dinner s 7-7][person:charles m 11-11][person:charles m 17-17][person:your g(marcus:charles) 19-19][person:friends g() 20-20]
charles| I m pretty sure they would rather have a night out this Saturday| [person:charles m 0-0][person:they g() 4-4]
marcus| Great Around 7 PM okay with you guys| [person:marcus m 6-6]
charles| Yup I ll be there and I ll let everyone know| [person:charles m 1-1][location:dinner s 4-4][person:charles m 6-6][person:everyone g(marcus:charles:mary:josh) 9-9]

conv:people_2019090101_56:aug_0:chat_0:chataug_0| aaron george| [person:aaron m 0-0][person:george m 1-1]
aaron| Hello George we still up for lunch| [person:george m 1-1][person:we g(aaron:george) 2-2][location:lunch s 6-6]
george| Yes Off course I was wondering if we could invite Doug and Douglas as well| [person:george m 3-3][person:we g(aaron:george) 7-7][person:doug m 10-10][person:douglas m 12-12]
aaron| I am ok with Doug but not sure about Douglas| [person:aaron m 0-0][person:doug m 4-4][person:douglas m 9-9]
george| What seems to be the matter|
aaron| Nothing it s just Douglas always wants to eat Mexican Food| [location:lunch s 1-1][person:douglas m 4-4]
george| Yes that is true I guess we shall not invite him then| [person:george m 4-4][person:we g(aaron:george) 6-6][person:douglas m 10-10]
aaron| Is the Blue Crab Restaurant good enough for us| [location:restaurant s 4-4][person:us g(aaron:george:doug) 8-8]
george| Yes Most definitely I will see you at 1 Don t be late| [person:george m 3-3][person:aaron m 6-6]
aaron| You know I m never late for these sort of things| [person:george m 0-0][person:aaron m 2-2]
george| I know I m just teasing Do me a favour and pick up Doug too| [person:george m 0-0][person:george m 2-2][person:george m 7-7][person:doug m 13-13]

conv:people_2019090101_57:aug_0:chat_0:chataug_0| carl thomas| [person:carl m 0-0][person:thomas m 1-1]
carl| Are you available for lunch sometime this week| [person:thomas m 1-1][location:lunch s 4-4]
thomas| Yeah definitely do you have a specific date you want to meet up for lunch| [person:carl m 3-3][person:carl m 8-8][location:lunch s 14-14]
carl| How about tomorrow Tuesday before 1200 pm|
thomas| Sounds good would you mind if I bring two people along for lunch as well| [person:carl m 3-3][person:thomas m 6-6][location:lunch s 12-12]
carl| Sure no objections from me Whoe were you planning on bring along| [person:carl m 4-4][person:thomas m 7-7]
thomas| Its just April and Vincent our close friends They d would love to go out to lunch with us| [person:april f 2-2][person:vincent m 4-4][person:our g(carl:thomas) 5-5][person:friends g(april:vincent) 7-7][person:friends g(april:vincent) 8-8][person:our g(carl:thomas) 18-18]
carl| Definitely if that is the case then we should decide on a restaurant to go to tomorrow for lunch| [person:our g(carl:thomas) 7-7][location:lunch s 12-12][location:lunch s 18-18]
thomas| I know they like go to delis and bistros would one of those restaurants be fine by you| [person:thomas m 0-0][person:friends g(april:vincent) 2-2][location:delis g() 6-6][location:bistros s 8-8][location:restaurants g(delis:bistros) 13-13][person:carl m 17-17]
carl| I do know a deli nearby that we can try out I heard its really good| [person:carl m 0-0][location:delis s 4-4][person:our g(carl:thomas) 7-7][person:carl m 11-11]
thomas| A delii would be fine by me for lunch I ll tell April and Vincent about the place| [location:delis s 1-1][person:thomas m 6-6][location:lunch s 8-8][person:thomas m 9-9][person:april f 12-12][person:vincent m 14-14][location:delis s 17-17]
carl| Also can you make a reservation to the deli for tomorrow I heard it can get pretty crowded for lunch| [person:thomas m 2-2][location:delis s 5-5][location:delis s 8-8][person:carl m 11-11][location:delis s 13-13][location:lunch s 19-19]
thomas| Of course we wouldn t want to wait too long to be seated I ll call today to make the reservation| [person:we g(carl:thomas:april:vincent) 2-2][person:thomas m 13-13][location:delis s 20-20]

conv:people_2019090101_58:aug_0:chat_0:chataug_0| andrew tim| [person:andrew m 0-0][person:tim m 1-1]
tim| Hi Andrew we have the work event at Gregs coming up on Thursday| [person:andrew m 1-1][person:tim___andrew g(tim:andrew) 2-2][person:gregs g() 8-8]
andrew| That s right Should we get something for the event| [person:tim___andrew g(tim:andrew) 4-4]
tim| I think we should What do you think we should get| [person:tim m 0-0][person:tim___andrew g(tim:andrew) 2-2][person:andrew m 6-6][person:tim___andrew g(tim:andrew) 8-8]
andrew| I am not sure what they would be expecting Since it is a formal event would a bouquet work| [person:andrew m 0-0][person:gregs g() 5-5]
tim| I m not sure Should we get something that s actually useful for the event| [person:tim m 0-0][person:tim___andrew g(tim:andrew) 5-5]
andrew| That s a good idea but we don t have much details about the event| [person:tim___andrew g(tim:andrew) 6-6]
tim| I was thinking maybe we should check with Robert He knows the Gregs really well Would you be able to check with him| [person:tim m 0-0][person:tim___andrew g(tim:andrew) 4-4][person:robert m 8-8][person:robert m 9-9][person:gregs g() 12-12][person:andrew m 16-16][person:robert m 22-22]
andrew| That could help I ll check with Robert and let you know| [person:andrew m 3-3][person:robert m 7-7][person:tim m 10-10]
tim| Thank you See you later then| [person:andrew m 1-1][person:andrew m 3-3]
andrew| See you Tim Take care Bye| [person:tim m 1-1][person:tim m 2-2]
tim| Goodbye Andrew| [person:andrew m 1-1]

conv:people_2019090101_59:aug_0:chat_0:chataug_0| barry nicole| [person:barry m 0-0][person:nicole f 1-1]
barry| Have you been to National Parks| [person:nicole f 1-1][location:national_parks g() 4-5]
nicole| Yes i have been to few National Parks with Jon and Kathleen| [person:nicole f 1-1][person:jon m 9-9][person:kathleen f 11-11]
barry| Need to know about some of them as i am interested| [person:jon___kathleen g(jon:kathleen) 6-6][person:barry m 8-8]
nicole| I had been to a National Park 20 kms away from here with Jon and Kathleen recently| [person:nicole f 0-0][location:national_park s 5-6][location:there s 11-11][person:jon m 13-13][person:kathleen f 15-15]
barry| How was your experience there| [person:nicole f 2-2][location:there s 4-4]
nicole| Our experience was really good as there were much to see and enjoy| [person:nicole__jon____kathleen g(nicole:jon:kathleen) 0-0][location:there s 6-6]
barry| What all you got to do there| [person:nicole__jon____kathleen g(nicole:jon:kathleen) 2-2][location:there s 6-6]
nicole| We watched some animals and alsos aw some great plants but we are not suposed disturb animals or plants there| [person:nicole__jon____kathleen g(nicole:jon:kathleen) 0-0][person:nicole__jon____kathleen g(nicole:jon:kathleen) 11-11][location:there s 19-19]
barry| What else did you engage in there| [person:nicole__jon____kathleen g(nicole:jon:kathleen) 3-3][location:there s 6-6]
nicole| We all enjoyed the nature very much and we cannot take anything found in the park| [person:nicole__jon____kathleen g(nicole:jon:kathleen) 0-0][person:nicole__jon____kathleen g(nicole:jon:kathleen) 8-8][location:national_park s 14-15]

conv:people_2019090101_60:aug_0:chat_0:chataug_0| amy matt| [person:amy f 0-0][person:matt m 1-1]
matt| Hello Amy| [person:amy f 1-1]
amy| Hey Matt| [person:matt m 1-1]
matt| I was wondering if you can give me any recommendations for a museum| [person:matt m 0-0][location:wondering s 2-2][person:amy f 4-4][person:matt m 7-7][location:recommendations s 9-9][location:museum s 12-12]
amy| Sure I can I actually went to a few museums with Eddie and Jennifer| [person:amy f 1-1][person:amy f 3-3][location:actually s 4-4][location:museums g() 9-9][person:eddie m 11-11][location:jennifer s 13-13]
matt| That is great Tell me more then| [location:great s 2-2][person:matt m 4-4]
amy| A very calming and relaxing museum was that of classical artworks they had Van Gogh there Monet etc| [location:calming s 2-2][location:museum s 5-5][location:classical_artworks s 9-10][location:van_gogh s 13-14][location:museum s 15-15]
matt| That seems interesting| [location:interesting s 2-2]
amy| Yeah it was but Jennifer said it was too cold inside so we didn t stay much That is why then we visited the Statues museum| [person:jennifer f 4-4][location:museum s 6-6][person:we g(amy:eddie:jennifer) 12-12][person:we g(amy:eddie:jennifer) 21-21][location:statues_museum s 24-25]
matt| She is too sensitive anyway How was the statues museum| [person:jennifer f 0-0][location:sensitive s 3-3]
amy| Well me personally I liked it and so did Jennifer since there were statues of nude guys we laughed so much but Eddie thought it was boring since there were no colors| [person:amy f 1-1][person:amy f 3-3][person:jennifer f 9-9][location:nude s 15-15][person:we g(amy:jennifer) 17-17][location:laughed s 18-18][person:eddie m 22-22]
matt| That must have been fun Any other museum| [location:fun s 4-4][location:museum s 7-7]
amy| Also the historical museum which I think was quite great and so did Eddie and Jennifer because of all those amazing artifacts weapons and historical texts though we all agreed that some of the things were not accurate| [location:historical s 2-2][person:amy f 5-5][person:eddie m 13-13][person:jennifer f 15-15][location:amazing_artifacts s 20-21][person:we g(amy:eddie:jennifer) 27-27][location:things s 34-34]
matt| Oh Amy thank you You have helped me a lot| [person:amy f 1-1][location:thank_you s 2-3][person:amy f 3-3][person:amy f 4-4][person:matt m 7-7]
amy| I am glad I did so| [person:amy f 0-0][location:glad s 2-2][person:amy f 3-3][location:did s 4-4]

conv:people_2019090101_61:aug_0:chat_0:chataug_0| matt sean| [person:matt m 0-0][person:sean m 1-1]
matt| Hey I just remembered that we offered to bring something to the barbecue at the Rangers this weekend| [person:matt m 1-1][person:we g(matt:sean) 5-5][person:rangers g() 15-15]
sean| I forgot too What do you think we should bring| [person:sean m 0-0][person:matt m 5-5][person:we g(matt:sean) 7-7]
matt| I don t feel like cooking Should we just do a nice bottle of wine| [person:matt m 0-0][person:we g(matt:sean) 7-7]
sean| I don t think wine really goes with barbecue that well Matt| [person:sean m 0-0][person:matt m 11-11]
matt| Good point I really don t know what they like Can you ask Timothy He is a lot closer with them and might have an idea| [person:matt m 2-2][person:rangers g() 8-8][person:sean m 11-11][person:timothy m 13-13][person:timothy m 14-14][person:rangers g() 20-20]
sean| What about watermelon and corn on the cob That is perfect for barbecue|
matt| That seems a bit basic Just call Timothy and see what he thinks| [person:timothy m 7-7][person:timothy m 11-11]
sean| Okay fine I ll give him a call But then we will probably need to run to the grocery store| [person:sean m 2-2][person:timothy m 5-5][person:we g(matt:sean) 10-10][location:grocery_store s 18-19]
matt| Definitely We are out of pretty much everything But I need to shower first| [person:we g(matt:sean) 1-1][person:matt m 9-9]
sean| I ll call Timothy and look for some recipes while you shower and then we ll head out| [person:sean m 0-0][person:timothy m 3-3][person:matt m 10-10][person:we g(matt:sean) 14-14][location:out s 17-17]
matt| Good plan|

conv:people_2019090101_62:aug_0:chat_0:chataug_0| gregory kevin| [person:gregory m 0-0][person:kevin m 1-1]
kevin| Hi Gregory| [person:gregory m 1-1]
gregory| Hi Kevin| [person:kevin m 1-1]
kevin| Do you think about the concert| [person:gregory m 1-1][location:concert s 5-5]
gregory| Yes I always thinking about the concert| [person:gregory m 1-1][location:concert s 6-6]
kevin| Our friends Peter and Ben are also wants to join with us| [person:our g(kevin:gregory) 0-0][person:friends g() 1-1][person:peter m 2-2][person:ben m 4-4][person:our g(kevin:gregory) 11-11]
gregory| That s nice|
kevin| Yes It will be more fun if they are with us| [location:it s 1-1][person:friends g(peter:ben) 7-7][person:our g(kevin:gregory) 10-10]
gregory| So When we are going to the concert| [person:our g(kevin:gregory) 2-2][location:concert s 7-7]
kevin| We are planned to go to the Jazz music I like it| [person:our g(kevin:gregory) 0-0][person:kevin m 9-9][location:it s 11-11]
gregory| Yes but Peter and Ben always like Pop music Aren t they| [person:peter m 2-2][person:ben m 4-4][person:friends g(peter:ben) 11-11]
kevin| There is no problem I can come to the pop music concert| [location:concert s 0-0][person:kevin m 4-4]
gregory| Really|
kevin| WE can go for the pop music concert| [person:our g(kevin:gregory) 0-0]
gregory| That s nice I will inform them| [person:gregory m 3-3][person:friends g(peter:ben) 6-6]
kevin| Ok|

conv:people_2019090101_65:aug_0:chat_0:chataug_0| ellen janet| [person:ellen f 0-0][person:janet f 1-1]
ellen| I m in Seattle woohoo can t wait to see you| [person:ellen f 0-0][location:seattle s 3-3][person:janet f 10-10]
janet| Oh hi you are here That s great How was your flight| [person:ellen f 2-2][location:seattle s 4-4][person:ellen f 10-10]
ellen| Long but I got some sleep I d love to organise a catch up with you Barbara Ricky and William| [person:ellen f 2-2][person:ellen f 6-6][person:janet f 15-15][person:barbara f 16-16][person:ricky m 17-17][person:william m 19-19]
janet| We are all keen to see you How is Tonight| [person:we g(janet:barbara:ricky:william) 0-0][person:ellen f 6-6]
ellen| Yes tonight is good We could all go to dinner What s a good place| [person:we g(ellen:janet:barbara:ricky:william) 4-4][location:dinner s 9-9][location:place s 14-14]
janet| We sould stick to the north side of town because Ricky doesn t like to drive| [person:we g(ellen:janet:barbara:ricky:william) 0-0][location:north_side s 5-6][location:town s 8-8][person:ricky m 10-10]
ellen| Oh he is still cautious huh Okay what do you recommend| [person:ricky m 1-1][person:ellen f 9-9]
janet| There s a new Etheopian place that William has been to He says its cheap and tasty| [location:there s 0-0][location:place s 5-5][person:william m 7-7][person:william m 11-11]
ellen| That sounds good Can you text them to see if they can all meet at 6pm| [person:janet f 4-4][person:them g(barbara:ricky:william) 6-6][person:them g(barbara:ricky:william) 10-10]
janet| Yes I can Will you meet us there| [person:janet f 1-1][person:ellen f 4-4][person:we g(janet:barbara:ricky:william) 6-6][location:place s 7-7]

conv:people_2019090101_66:aug_0:chat_0:chataug_0| ashley rose| [person:ashley f 0-0][person:rose f 1-1]
rose| Hey Ashley I have a huge favor to ask you| [person:ashley f 1-1][person:rose f 2-2][person:ashley f 9-9]
ashley| Sure Ashley what s up How can I help| [person:ashley f 1-1][person:ashley f 7-7]
rose| Well my Uncle Christian and Aunt Maria are heading to St Louis and I know you re from there| [person:rose f 1-1][person:christian m 3-3][person:aunt f 5-5][person:maria f 6-6][location:st__louis s 10-11][person:louis m 11-11][person:rose f 13-13][person:ashley f 15-15]
ashley| OK so what do you need from me Recommendations Or do you want me to take them around| [person:rose f 4-4][person:ashley f 7-7][person:rose f 11-11][person:ashley f 13-13][person:them g(christian:aunt:maria:louis) 16-16]
rose| Well I d hate to bother you but I would love if you could help me with suggestions| [person:rose f 1-1][person:ashley f 6-6][person:rose f 8-8][person:ashley f 12-12][person:rose f 15-15]
ashley| Sure I can do that tell me more about them| [person:ashley f 1-1][person:ashley f 6-6][person:them g(christian:aunt:maria:louis) 9-9]
rose| Well Uncle Christian loves to eat and Aunt Maria just loves to shop| [person:christian m 2-2][person:aunt f 7-7][person:maria f 8-8]
ashley| How about this what if I meet them somewhere and take them shopping and then take them out to my favorite dinner spot| [person:ashley f 5-5][person:them g(christian:aunt:maria:louis) 7-7][person:them g(christian:aunt:maria:louis) 11-11][person:them g(christian:aunt:maria:louis) 16-16][person:ashley f 19-19][location:st__louis s 21-21]
rose| Oh my gosh that would be great is it cool if I put them in touch with you| [person:rose f 1-1][location:st__louis s 8-8][person:rose f 11-11][person:them g(christian:aunt:maria:louis) 13-13][person:ashley f 17-17]
ashley| Yes no problem looking forward to it| [location:st__louis s 6-6]

conv:people_2019090101_67:aug_0:chat_0:chataug_0| jonathan kevin| [person:jonathan m 0-0][person:kevin m 1-1]
jonathan| Do you want to watch a movie Thursday night| [person:kevin m 1-1][location:movie s 6-6]
kevin| That s a good idea Let s get together and maybe we can invite some other people too| [person:we g(jonathan:kevin) 11-11][location:invite s 13-13]
jonathan| Hm I ve been hanging out with Chris Walter and Joshua lately Maybe invite some of them| [person:jonathan m 1-1][person:chris m 7-7][person:walter m 8-8][person:joshua m 10-10][person:them g(chris:walter:joshua) 16-16]
kevin| Chris and Joshua would be cool Maybe not Walter though I don t think he really likes movies that much| [person:chris m 0-0][person:joshua m 2-2][person:walter m 8-8][person:kevin m 10-10][person:walter m 14-14]
jonathan| That sounds good I think Walter has been really busy lately I m sure Chris and Joshua are available that night| [person:jonathan m 3-3][person:walter m 5-5][person:jonathan m 11-11][person:chris m 14-14][person:joshua m 16-16]
kevin| That sounds good I ll see Chris tomorrow so I ll invite him and let you know| [person:kevin m 3-3][person:chris m 6-6][person:kevin m 9-9][person:chris m 12-12][person:jonathan m 15-15]
jonathan| Cool I can call Joshua sometime in the next couple of days| [person:jonathan m 1-1][person:jonathan m 4-4]
kevin| Okay we can talk in a couple of days once we ve set everything up| [person:we g(jonathan:kevin) 1-1][person:we g(jonathan:kevin) 10-10]
jonathan| Sounds good should be fun and not too difficult to set up|
kevin| All right and then we can decide what to watch| [person:we g(jonathan:kevin) 4-4]

conv:people_2019090101_69:aug_0:chat_0:chataug_0| cameron shirley| [person:cameron f 0-0][person:shirley f 1-1]
shirley| What about the friends meeting today Are you ready for that| [person:friends g() 3-3][person:cameron f 7-7]
cameron| Sorry Shirley I wants to get more practice today and I can t attend the friend s meeting now| [person:shirley f 1-1][person:cameron f 2-2][person:cameron f 10-10][person:friends g() 15-15]
shirley| What is this I told you this before you know But now you are telling like this| [person:shirley f 3-3][person:cameron f 5-5][person:cameron f 8-8][person:cameron f 12-12]
