conv:people_chats_0629_123:aug_0:chat_0:chataug_0| dominic sylvia| [person:dominic m 0-0][person:sylvia f 1-1]
jake| i m good didn t hear from you last night| [person:jake m 0-0][person:hope f 7-7]
hope| yeah i got carried away at the party with Ashley and Sharon| [person:hope f 1-1][person:ashley___sharon g() 9-9][person:sharon f 11-11]
jake| oh okay i was just worried gthought something bad might have happened| [person:jake m 2-2]
hope| come off it i m an adult remember| [person:hope f 3-3]
jake| i don t dispute that i m just looking out for someone i care about by the way hope ashley and sharon weren t too drunk yesterday| [person:jake m 0-0][person:jake m 5-5][person:jake m 12-12][person:hope f 18-18][person:ashley f 19-19][person:sharon f 21-21]
hope| thanks for looking out for me you are a good friend and no they eren t i made sure of it| [person:hope f 5-5][person:jake m 6-6][person:jake m 10-10][person:ashley___sharon g() 13-13][person:hope f 16-16]
jake| sometimes i wonder if I could be more than a friend| [person:jake m 1-1][person:jake m 4-4][person:jake m 10-10]
hope| I don t understand you what do you mean| [person:hope f 0-0][person:jake m 4-4][person:jake m 7-7]
jake| I mean i m in love with you and would love to be your man| [person:jake m 0-0][person:jake m 2-2][person:hope f 7-7][person:hope f 13-13]
hope| hmmm we will talk about this when we see at the beach party later in the day| [person:jake___hope g(hope:jake) 1-1][person:jake___hope g(hope:jake) 7-7]
jake| alright dear looking forward to it|

conv:people_chats_0629_303:aug_0:chat_0:chataug_0| claude lindsey| [person:claude m 0-0][person:lindsey f 1-1]
claude| That s good to hear I m glad Jake is doing better| [person:claude m 5-5][person:jake m 8-8]
lindsey| Thanks we were worried since none of us have ever had bronchitis| [person:we g(lindsey:jake) 1-1][person:we g(lindsey:jake) 7-7]
claude| I have it s pretty rough but he s a trooper for getting over it in just a couple of days| [person:claude m 0-0][person:jake m 7-7]
lindsey| Yeah he is a really strong kid I m proud of him| [person:jake m 1-1][person:lindsey f 7-7][person:jake m 11-11]
claude| That s also nice of Melissa to watch him on her day off| [person:melissa f 5-5][person:jake m 8-8][person:melissa f 10-10]
claude| She sounds like a great sister| [person:melissa f 0-0][person:melissa f 5-5]
lindsey| She really is I am pretty excited to get to work| [person:melissa f 0-0][person:lindsey f 3-3]
claude| I d hope so because we missed you a whole lot| [person:claude m 0-0][person:we_2 g(claude) 5-5][person:lindsey f 7-7]
claude| Hasn t been the same without you around| [person:lindsey f 6-6]
lindsey| I ve been missing y all too| [person:lindsey f 0-0]
lindsey| I can t wait to come back and get back to being better than you at everything we do| [person:lindsey f 0-0][person:claude m 14-14][person:we_3 g(claude:lindsey) 17-17]
claude| Hmm actually maybe you should stay out a bit longer lol| [person:lindsey f 3-3]
lindsey| Hey you know I was joking| [person:claude m 1-1][person:lindsey f 3-3]
claude| Yeah yeah I know haha just let Jake know he better be healthy for his birthday or else| [person:claude m 2-2][person:jake m 7-7][person:jake m 9-9][person:jake m 14-14]
lindsey| I ll be sure to let him know LOL| [person:lindsey f 0-0][person:jake m 6-6]
lindsey| See you tomorrow| [person:claude m 1-1]
claude| See you| [person:lindsey f 1-1]

conv:people_chats_0629_304:aug_0:chat_0:chataug_0| bill erin| [person:bill m 0-0][person:erin f 1-1]
bill| hi erin how are you| [person:erin f 1-1][person:erin f 4-4]
erin| hi I am fine what about you| [person:erin f 1-1][person:bill m 6-6]
bill| yes fine I will plan to party this week end I hope you also join with the party| [person:bill m 2-2][person:bill m 10-10][person:erin f 12-12]
erin| okay when it is Saturday or Sunday|
bill| Its Saturday|
erin| oh no sam also invite the dinner party the same day what to do| [person:sam m 2-2][location:party s 7-7]
erin| I think both are same dinner party and same day shall we go to sam party| [person:erin f 0-0][location:party s 6-6][person:erin___bill g(bill:erin) 11-11][person:sam m 14-14][location:party s 15-15]
bill| but y|
erin| sam invite so many people and different of dishes also so we plan to atten the sam party| [person:sam m 0-0][person:erin___bill g(bill:erin) 11-11][person:sam m 16-16][location:party s 17-17]
bill| okay I agree| [person:bill m 1-1]
erin| Thats great|
bill| Yes sam and carol s party is different their we will meet so many people and will chat to them| [person:sam m 1-1][person:carol f 3-3][location:party s 5-5][person:carol___sam g(sam:carol) 8-8][person:erin___bill g(bill:erin) 9-9][person:carol___sam g(sam:carol) 19-19]
erin| Yes let make a fun|
bill| ok bye|
erin| bye|

conv:people_chats_0629_305:aug_0:chat_0:chataug_0| karl nabela| [person:karl m 0-0][person:nabela f 1-1]
nabela| Hi Karl Just wanted to let you know I will be a bit late tonite| [person:karl m 1-1][person:karl m 6-6][person:nabela f 8-8]
karl| No problem what s up|
nabela| I m going out with friends| [person:nabela f 0-0][person:friends g() 5-5]
karl| Do I know them| [person:karl m 1-1][person:friends g() 3-3]
karl| Yasmine and Karim you remember them from the office don t you| [person:yasmine f 0-0][person:karim m 2-2][person:karl m 3-3][person:friends g(yasmine:karim) 5-5][location:office s 8-8][person:karl m 11-11]
karl| Oh I met them at the Christmas party okay| [person:karl m 1-1][person:friends g(yasmine:karim) 3-3]
nabela| They are going to take me out for a belated birthday dinner| [person:friends g(yasmine:karim) 0-0][person:nabela f 5-5]
nabela| Why is that|
karl| Why is that|
karl| Because of the lockdown remember we couldn t get together with anyone to celebrate it| [person:we g(nabela:karl:yasmine:karim) 5-5][person:we g(nabela:karl:yasmine:karim) 11-11]
nabela| Because of the lockdown remember|
karl| Oh yeah your parents on Zoom| [person:nabela f 2-2][person:parents g() 3-3]
karl| We are going to Firenze downtown| [person:we g(nabela:karl) 0-0][location:firenze s 4-4][location:firenze s 5-5]
nabela| We are going to go to an Italian place Firenze| [person:we g(nabela:karl:yasmine:karim) 0-0][location:place s 8-8][location:firenze s 9-9]
karl| What time will you be home| [person:nabela f 3-3][location:home s 5-5]
nabela| Probably around midnight|
karl| Okay I ll walk the dog and wait up for you| [person:karl m 1-1][person:nabela f 10-10]

conv:people_chats_0629_307:aug_0:chat_0:chataug_0| kia walker| [person:kia f 0-0][person:walker m 1-1]
kia| hey Walker| [person:walker m 1-1]
kia| check out my new puppy| [person:kia f 2-2]
walker| so cute|
walker| how are Mariam and Russell doing with him| [person:mariam f 2-2][person:russell m 4-4][person:puppy m 7-7]
kia| They are doing amazing for a 1 year old and a 3 year old| [person:kids g(mariam:russell) 0-0]
walker| Great to hear|
kia| Mariam is just a bit too rough when petting the puppy| [person:mariam f 0-0]
kia| she kinda hurts him| [person:mariam f 0-0][person:puppy m 3-3]
kia| How did you get your son to be so gentle with your dog| [person:walker m 2-2][person:walker m 4-4][person:walker_son m 5-5][person:walker m 11-11]
walker| all about discipline|
walker| gotta teach them how to be calm| [person:kids g(mariam:russell) 2-2]
walker| and relaxed when petting the dog|

conv:people_chats_0629_308:aug_0:chat_0:chataug_0| hugo richie| [person:hugo m 0-0][person:richie f 1-1]
richie| Hey so how did that meeting with the marketing team go this morning| [person:team g() 9-9]
hugo| It was fine I think we got all of the bugs worked out of it| [person:hugo m 3-3][person:team g(hugo) 5-5]
richie| That s great to hear What about Sonia does she feel the campaign is appropriate| [person:sonia f 7-7][person:sonia f 9-9]
hugo| Yes Sonia feels that our launch campaign is great and is excitied to run with it| [person:sonia f 1-1][person:team g(hugo:sonia) 4-4]
richie| Well that s great to hear|
richie| What about customer service|
hugo| Well Steven is in the process of hiring three new customer service reps to make sure we have a smooth roll out even though he seems to think that might be a bit excessive| [person:steven m 1-1][person:team g(hugo:sonia) 16-16][person:steven m 24-24]
richie| Well you can never be too safe| [person:hugo m 1-1]
richie| It sounds like everything is well thought out and planned I think we shouldn t have any problems| [person:richie f 10-10][person:team g(hugo:sonia:steven:richie) 12-12]
richie| Do you think it s necessary to schedule one more meeting before the launch date| [person:hugo m 1-1]
hugo| I don t think it s really needed We seem to have gotten everything ironed out today| [person:hugo m 0-0][person:team g(hugo:sonia:steven:richie) 8-8]
richie| That s true It does all seem to have been done very well|
hugo| Thank you It was a very productive meeting| [person:richie f 1-1]
hugo| I ll let you know if I think another meeting becomes necessary| [person:hugo m 0-0][person:richie f 3-3][person:hugo m 6-6]
richie| OK Sounds good Thanks for the update|

conv:people_chats_0629_309:aug_0:chat_0:chataug_0| buffy matty| [person:buffy m 0-0][person:matty f 1-1]
matty| hi buffy| [person:buffy m 1-1]
buffy| Hiii|
matty| I want to start a juice cleanse| [person:matty f 0-0]
buffy| When did you| [person:matty f 2-2]
matty| I did with my friend Morgan and her boyfriend Shane| [person:matty f 0-0][person:matty f 3-3][person:morgan f 4-4][person:morgan f 5-5][person:morgan f 7-7][person:shane m 9-9]
matty| a few months ago|
buffy| Woww what was their reaction| [person:their g(morgan:shane) 3-3]
matty| They said they felt great afterwards and still keep green juices in their daily diet| [person:they g(morgan:shane) 0-0][person:they g(morgan:shane) 2-2][person:their g(morgan:shane) 12-12]
buffy| I has to eat kale if i does| [person:buffy m 0-0][person:buffy m 6-6]
matty| i will prefer for you| [person:matty f 0-0][person:buffy m 4-4]
matty| That was awesome|
buffy| okay mattyyy|
matty| thank you| [person:buffy m 1-1]
matty| I will come tomorrow| [person:matty f 0-0]
matty| we did it| [person:we g(matty:buffy) 0-0]
matty| In your s house| [person:buffy m 1-1]
buffy| You are too good| [person:matty f 0-0]
buffy| thank you so much| [person:matty f 1-1]

conv:people_chats_0629_310:aug_0:chat_0:chataug_0| nelly wilson| [person:nelly f 0-0][person:wilson m 1-1]
nelly| hello|
wilson| hi nelly wassup| [person:nelly f 1-1]
nelly| what you would do when you are in a fight with xenomorph| [person:wilson m 1-1][person:wilson m 5-5]
wilson| hah first i would call melissa and douglas| [person:wilson m 2-2][person:melissa f 5-5][person:douglas m 7-7]
wilson| as melissa is pyrotechnician she knows how to handle them| [person:melissa f 1-1][person:melissa f 4-4]
nelly| why specifically them|
wilson| they will be helpful as purotechnician|
nelly| why douglas then| [person:douglas m 1-1]
wilson| ah it s because he runs slower than us| [person:douglas m 4-4][person:us g(nelly:wilson) 8-8]
nelly| slower|
nelly| i dont know why you are saying this| [person:nelly f 0-0][person:wilson m 4-4]
nelly| i m confused right now| [person:nelly f 0-0]

conv:people_chats_0629_311:aug_0:chat_0:chataug_0| maisie terry| [person:maisie f 0-0][person:terry m 1-1]
terry| Hai maisie| [person:maisie f 1-1]
maisie| Hello Terry| [person:terry m 1-1]
terry| Can you give a ride to home today| [person:maisie f 1-1][location:home s 6-6]
maisie| yes i can Where is your car| [person:maisie f 1-1][person:terry m 5-5]
terry| My car is still in the shop| [person:terry m 0-0][location:shop s 6-6]
maisie| can you wait 10 minutes Because I have to help Trina cleanup breakroom| [person:terry m 1-1][person:maisie f 6-6][person:trina f 10-10][location:breakroom s 12-12]
terry| Is today their cleaning day| [person:their g(trina) 2-2]
maisie| Yes their day to do the cleaning| [person:their g(trina) 1-1]
terry| That is fine and that i will just call my son Mack and chat with him while i wait| [person:terry m 5-5][person:terry m 9-9][person:mack m 10-10][person:mack m 11-11][person:mack m 15-15][person:terry m 17-17]
terry| I have not talked to my son in a while| [person:terry m 0-0][person:terry m 5-5][person:mack m 6-6]
maisie| Okay Fine I will catch you soon| [person:maisie f 2-2][person:terry m 5-5]
terry| I have been in the process of moving| [person:terry m 0-0]

conv:people_chats_0629_313:aug_0:chat_0:chataug_0| scott tori| [person:scott m 0-0][person:tori f 1-1]
tori| hey Scott did you got the picture i sent to you| [person:scott m 1-1][person:scott m 3-3][person:tori f 7-7][person:scott m 10-10]
scott| ye i did| [person:scott m 1-1]
scott| it looks great|
scott| and you are very fortunate to have a room with a door| [person:tori f 1-1]
tori| oh yes i agree with you| [person:tori f 2-2][person:scott m 5-5]
tori| our co workers Katrina and Reid are working in their living room| [person:tori_and_scott g(tori:scott) 0-0][person:katrina f 3-3][person:reid m 5-5][person:katrina_and_reid g(katrina:reid) 9-9][location:living_room s 10-11]
tori| it has been hard for them| [person:katrina_and_reid g(katrina:reid) 5-5]
tori| Because their kids are home too| [person:katrina_and_reid g(katrina:reid) 1-1][person:kids g() 2-2][location:home s 4-4]
tori| Reid asks how her kids are adjusting to staying home| [person:reid m 0-0][person:katrina f 3-3][person:kids g() 4-4][location:home s 9-9]
scott| oh that is not easy|
scott| but they have to adjust| [person:katrina__reid__and_kids g(katrina:reid) 1-1]
scott| not much choice they have| [person:katrina__reid__and_kids g(katrina:reid) 3-3]

conv:people_chats_0629_315:aug_0:chat_0:chataug_0| janet maisie| [person:janet f 0-0][person:maisie f 1-1]
maisie| Hey|
janet| Hey|
maisie| Want to go east dress shopping for the girls| [location:east s 3-3][person:girls g() 8-8]
janet| When do you want to go| [person:maisie f 2-2]
janet| I m pretty busy this afternoon I have Logan s baseball game today and then me and Keith are going to dinner later| [person:janet f 0-0][person:janet f 6-6][person:logan m 8-8][person:janet f 15-15][person:keith m 17-17]
janet| We re going for Chinese| [person:we g(janet:keith) 0-0]
janet| I m trying to get Logan to come to and try it but you know he s picky| [person:janet f 0-0][person:logan m 5-5][person:maisie f 13-13][person:logan m 15-15]
maisie| I was thinking about going tomorrow morning| [person:maisie f 0-0]
maisie| You think you ll be free then| [person:maisie f 0-0][person:maisie f 2-2]
janet| What time|
maisie| Like around 9 or 10am|
janet| Sounds great then|
maisie| Ok perfect|
maisie| See you tomorrow| [person:janet f 1-1]

conv:people_chats_0629_316:aug_0:chat_0:chataug_0| lisa phil| [person:lisa f 0-0][person:phil m 1-1]
phil| Hello Lisa I was just texting to ask what is going on with you at work lately| [person:lisa f 1-1][person:phil m 2-2][person:lisa f 13-13]
lisa| Sorry Phil I m struggling with my brother| [person:phil m 1-1][person:lisa f 2-2][person:lisa f 6-6][person:edward m 7-7]
phil| What s going on if you don t mind me asking| [person:lisa f 5-5][person:phil m 9-9]
lisa| Unfortunately my brother Edward thinks he is a werewolf| [person:lisa f 1-1][person:edward m 2-2][person:edward m 3-3][person:edward m 5-5]
phil| Lisa I think you sent this message to the wrong person Did you mean to message me this| [person:lisa f 0-0][person:phil m 1-1][person:lisa f 3-3][person:lisa f 12-12][person:phil m 16-16]
lisa| Yes I am telling you this to explain why my productivity has been lacking at work| [person:lisa f 1-1][person:phil m 4-4][person:lisa f 9-9]
phil| Ok|
lisa| Because of my brother s belief in werewolves I have been busy collecting items that he needs for the next full moon| [person:lisa f 2-2][person:edward m 3-3][person:lisa f 8-8][person:edward m 15-15]
phil| So these items have kept you from working appropriately| [person:lisa f 5-5]
lisa| Well yes I ve had to find a silversmith buy a good camera invest in a large number of locks and manacles and go about several other preparations for the next full moon| [person:lisa f 2-2]
phil| So you completely believe your brother| [person:lisa f 1-1][person:lisa f 4-4][person:edward m 5-5]
lisa| I wouldn t have any reason not to believe my brother| [person:lisa f 0-0][person:lisa f 9-9]
phil| So even though this sounds crazy you don t find that reason enough to disbelieve your brother| [person:lisa f 6-6][person:lisa f 15-15][person:edward m 16-16]
lisa| I believe him and I m going to give it a try at least for a month| [person:lisa f 0-0][person:edward m 2-2][person:lisa f 4-4]
phil| Ok if you believe this that is fine but your partner Hera has had to do the work that you haven t| [person:lisa f 2-2][person:lisa f 9-9][person:hera f 11-11][person:lisa f 19-19]
lisa| I am so sorry I will talk with Hera and try to come up with a plan| [person:lisa f 0-0][person:lisa f 4-4][person:hera f 8-8]
phil| I would rather that you just take a few vacation days to take care of your concern with your brother| [person:phil m 0-0][person:lisa f 4-4][person:lisa f 15-15][person:lisa f 18-18][person:edward m 19-19]

conv:people_chats_0629_320:aug_0:chat_0:chataug_0| carey greg| [person:carey m 0-0][person:greg m 1-1]
greg| hi how are you| [person:carey m 3-3]
carey| yeah i am fine here and what about you| [person:carey m 1-1][person:greg m 8-8]
greg| i m good what about Ellen she recovered from pneumonia or not| [person:greg m 0-0][person:ellen f 5-5][person:ellen f 6-6]
carey| yeah she recovered better yesterday and she doing good| [person:ellen f 1-1][person:ellen f 6-6]
greg| sounds good and who takes care of her| [person:ellen f 7-7]
carey| her husband Josh takes much care for her| [person:ellen f 0-0][person:josh m 1-1][person:josh m 2-2][person:ellen f 7-7]
greg| i am really happy to hear this| [person:greg m 0-0]
carey| yeah her husband knows she would have to take some rest right now| [person:ellen f 1-1][person:josh m 2-2][person:ellen f 4-4]
greg| such a nice person i think so and how long she was in the hospital| [person:greg m 4-4][person:ellen f 10-10][location:hospital s 14-14]
carey| it s almost one week it s so hard|
greg| yeah it s not feels good one week in the hospitals take care of her| [location:hospitals g() 10-10][person:ellen f 14-14]
carey| yeah of course you too take care| [person:greg m 3-3]

conv:people_chats_0629_323:aug_0:chat_0:chataug_0| kelsey lars| [person:kelsey f 0-0][person:lars m 1-1]
lars| Kelsey can teach him how to box| [person:kelsey f 0-0][person:him m 3-3]
kelsey| I can You should bring his own tape and wrapping paper if he wants a lesson| [person:kelsey f 0-0][person:lars m 2-2][person:him m 5-5][person:him m 12-12]
lars| Ha Ha not that I meant the other type of boxing| [person:lars m 4-4]
kelsey| I see You know you will need significantly more expensive equipment and more time if you want to learn that| [person:kelsey f 0-0][person:lars m 2-2][person:lars m 4-4][person:lars m 15-15]
lars| Understood I am prepared for both| [person:lars m 1-1]
kelsey| I have to ask you this why are you seeking to engage in the ways of the square ring| [person:kelsey f 0-0][person:lars m 4-4][person:lars m 8-8]
lars| My brother Johnny was knocked out by his archrival Merida one too many times and quit so he plans to avenge his honor and inspire him in one glorious display of willpower| [person:lars m 0-0][person:johnny m 1-1][person:johnny m 2-2][person:johnny m 7-7][person:merida f 9-9][person:johnny m 17-17][person:johnny m 21-21][person:johnny m 25-25]
kelsey| I didn t know your brother was a boxer nor has I ever heard of any local fighters with a name like his rival Merida| [person:kelsey f 0-0][person:lars m 4-4][person:johnny m 5-5][person:kelsey f 11-11][person:johnny m 22-22][person:merida f 24-24]
lars| Well odd to say this My brother and his rival may have been more of a backalley boxing sort of deal| [person:lars m 5-5][person:johnny m 6-6][person:johnny m 8-8]
kelsey| In this type of boxing there are generally fewer rules and very little actual technique employed Do you really want to do all the training just so you can be bludgeoned with a rake| [person:lars m 17-17][person:lars m 27-27]
lars| Any training helps I am ready| [person:lars m 3-3]

conv:people_chats_0629_325:aug_0:chat_0:chataug_0| karl pam| [person:karl m 0-0][person:pam f 1-1]
pam| Hi Karl Are you free today| [person:karl m 1-1][person:karl m 3-3]
pam| Can you help me in painting the bathroom| [person:karl m 1-1][person:pam f 3-3][location:bathroom s 7-7]
pam| I never painted a room so am starting small| [person:pam f 0-0]
karl| yes I may help you for painting the room| [person:karl m 1-1][person:pam f 4-4][location:room s 8-8]
pam| At which time you will be coming to join me for painting| [person:karl m 3-3][person:pam f 9-9]
karl| I would be coming after 5 30pm to join you| [person:karl m 0-0][person:pam f 9-9]
pam| Did you have any important work to be done rather than joining me| [person:karl m 1-1][person:pam f 12-12]
karl| Yes I have to drop my kids in my mom s home| [person:karl m 1-1][person:karl m 5-5][person:kids g() 6-6][person:karl m 8-8][person:mom f 9-9][location:home s 11-11]
pam| Are they going for their vacation to be spent in their grandmother s house| [person:kids g() 1-1][person:kids g() 4-4][person:kids g() 10-10][person:mom f 11-11][location:house s 13-13]
karl| Yes its her turn to have Jake and Tara foe the weekend| [person:mom f 2-2][person:jake m 6-6][person:tara f 8-8]
pam| Oh that s great you drop them and join me after that| [person:karl m 4-4][person:kids g(jake:tara) 6-6][person:pam f 9-9]
karl| Yeah sure will meet you soon in the evening| [person:pam f 4-4]

conv:people_chats_0629_326:aug_0:chat_0:chataug_0| jessy todd| [person:jessy f 0-0][person:todd m 1-1]
jessy| Todd did you pick up the cake| [person:todd m 0-0][person:todd m 2-2]
todd| Yeah but there is a slight problem It has the wrong name on it|
todd| I think they gave me the wrong cake I will have to go back in and get the right cake| [person:todd m 0-0][person:they g() 2-2][person:todd m 4-4][person:todd m 8-8]
jessy| Do they have my cake| [person:they g() 1-1][person:jessy f 3-3]
jessy| I really want my Hello Kitty Cake with Miranda on it| [person:jessy f 0-0][person:jessy f 3-3][person:miranda f 8-8]
todd| Let me go back in and I will make this right I will keep you posted| [person:todd m 1-1][person:todd m 6-6][person:todd m 11-11][person:jessy f 14-14]
jessy| Thanks I know I asked for it I just hope they do it right| [person:jessy f 1-1][person:jessy f 3-3][person:jessy f 7-7][person:they g() 10-10]
todd| I talked to the manager Steve He said they have it but they need to decorate it| [person:todd m 0-0][person:steve m 4-4][person:steve m 5-5][person:steve m 6-6][person:they g(steve) 8-8][person:they g(steve) 12-12]
todd| Good News The manager Steve said he would give us a discount for the time wasted| [person:steve m 3-3][person:steve m 4-4][person:steve m 6-6][person:us g(jessy:todd) 9-9]
todd| We will have to wait 15 minutes but they will have it exactly what Miranda wanted| [person:us g(jessy:todd) 0-0][person:they g(steve) 8-8][person:miranda f 14-14]
jessy| Awesome See you soon with the right cake| [person:todd m 2-2]
todd| Be there soon|

conv:people_chats_0629_327:aug_0:chat_0:chataug_0| claire elvis| [person:claire f 0-0][person:elvis m 1-1]
elvis| So what beach did your mom pick up your dad| [person:claire f 4-4][person:mom f 5-5][person:claire f 8-8][person:dad m 9-9]
claire| It wasn t a beach It was at one of those surf shops at the beach the ones that sell all the cheap swimsuits and hermit crabs|
elvis| Oh I know the ones There a shop like that every half mile at the beach| [person:elvis m 1-1]
claire| Yep Those are the ones This particular one was selling crabs My dad called out to my mom to come rescue him| [person:claire f 11-11][person:dad m 12-12][person:claire f 16-16][person:mom f 17-17][person:dad m 21-21]
elvis| Yeah you re right It sounds like a romantic story The princess saves the prince who s trapped in a crab s body| [person:claire f 1-1]
claire| Exactly So my mom bought him and took him home She was living on the beach at the time so he was pretty happy| [person:claire f 2-2][person:mom f 3-3][person:dad m 5-5][person:dad m 8-8][person:mom f 10-10][person:dad m 20-20]
elvis| And they lived together happily| [person:they g(mom:dad) 1-1]
claire| Oh of course They took long walks on the beach Of course my dad can only walk sideways so it was kind of slow going| [person:they g(mom:dad) 3-3][person:claire f 12-12][person:dad m 13-13]
elvis| You re cracking me up I can picture that| [person:claire f 0-0][person:elvis m 3-3][person:elvis m 5-5]
claire| Yeah And my mom had to hide all of the lobster and crab claw cracking instruments and crab pots so she wouldn t scare him| [person:claire f 2-2][person:mom f 3-3][person:mom f 20-20][person:dad m 24-24]
elvis| Well yeah I m happy about that So when did you come into the picture| [person:elvis m 2-2][person:claire f 10-10]
claire| Well the gestation period for a crab is about 35 days So I came along just about a month later| [person:claire f 12-12]
elvis| You are certifiable I never know what you re going to say when I call I was hoping you would want some chocolate oranges| [person:claire f 0-0][person:elvis m 3-3][person:claire f 7-7][person:elvis m 13-13][person:elvis m 15-15][person:claire f 18-18]
claire| Well my mom Madeline would probably love some but Gene my dad is allergic to citrus| [person:claire f 1-1][person:mom f 2-2][person:mom f 3-3][person:dad m 9-9][person:claire f 10-10][person:dad m 11-11]
elvis| Are you serious I ve never heard of anyone allergic to citrus| [person:claire f 1-1][person:elvis m 3-3][person:anyone u 8-8]
claire| Yeah He s pretty weird So I guess it s a no for chocolate oranges| [person:dad m 1-1][person:claire f 6-6]
elvis| I m so glad I called I was having a boring day I ll talk to you later okay| [person:elvis m 0-0][person:elvis m 4-4][person:elvis m 6-6][person:elvis m 12-12][person:claire f 16-16]
claire| Thanks for checking I really appreciate it Talk to you soon Bye| [person:claire f 3-3][person:elvis m 9-9]

conv:people_chats_0629_330:aug_0:chat_0:chataug_0| cadence nick| [person:cadence f 0-0][person:nick m 1-1]
cadence| Hi Nick can you pick up furniture polish on your way home| [person:nick m 1-1][person:nick m 3-3][person:nick m 9-9][location:home s 11-11]
nick| Why|
cadence| I plan on getting the house ready for a family Thanksgiving| [person:cadence f 0-0][location:house s 5-5][person:family g(cadence:nick) 9-9]
nick| The house seems fine Can you just dust it up| [location:home s 1-1][person:cadence f 5-5]
cadence| I have to because if there is any dust on the furniture Nadia would throw a fit| [person:cadence f 0-0][person:nadia f 12-12]
nick| My mother is a neat freak that is true She holds me to the same standard| [person:nick m 0-0][person:nadia f 9-9][person:nick m 11-11]
cadence| That is why I need you to get the furniture polish It will make sure to meet a higher standard for Nadia| [person:cadence f 3-3][person:nick m 5-5][person:nadia f 21-21]
nick| I think I saw some furniture polish under the kitchen sink| [person:nick m 0-0][person:nick m 2-2][location:kitchen s 9-9]
cadence| I gave it to your brother when Nadia visited some time ago| [person:cadence f 0-0][person:nick m 4-4][person:nathan m 5-5][person:nadia f 7-7]
nick| Oh you gave it to Nathan| [person:cadence f 1-1][person:nathan m 5-5]
cadence| Yes he needed it to please your mother s need for cleanliness| [person:nathan m 1-1][person:nick m 6-6][person:nadia f 7-7]
nick| I understand What brand of furniture polish do you want Cadence| [person:nick m 0-0][person:cadence f 8-8][person:cadence f 10-10]

conv:people_chats_0629_335:aug_0:chat_0:chataug_0| sebastian shum| [person:sebastian m 0-0][person:shum f 1-1]
sebastian| Hi do you think you could get a pair of butterfly knives for me| [person:shum f 2-2][person:shum f 4-4][person:sebastian m 13-13]
shum| Why would you want such a thing They look so silly| [person:sebastian m 2-2]
sebastian| My cousin Belle wants to make a blood pact and she d like these fancy knives to commemorate the act| [person:sebastian m 0-0][person:belle f 1-1][person:belle f 2-2][person:belle f 10-10]
shum| What s so fancy about them They just look like Bowie knives|
sebastian| Oh no you re thinking of butterfly swords Shum| [person:shum f 2-2][person:shum f 8-8]
shum| Well what s the difference|
sebastian| The butterfly knives are just so much more portable and will work a lot better for us More discrete for Belle s dark rituals too| [person:us g(sebastian:belle) 16-16][person:belle f 20-20]
shum| Okay I understand Is there anything special you d like engraved on them| [person:shum f 1-1][person:sebastian m 7-7]
sebastian| I didn t even know you offered that| [person:sebastian m 0-0][person:shum f 5-5]
shum| I don t technically but my apprentice blackmarketeer Kevin has a cool engraving machine| [person:shum f 0-0][person:shum f 5-5][person:kevin m 8-8]
sebastian| Can you do it with a skull with legions of tiny snakes coming out of the eye sockets 1| [person:shum f 1-1]
shum| I ll ask but remember he s an apprentice so don t get your hopes up Sebastian| [person:shum f 0-0][person:kevin m 5-5][person:sebastian m 13-13][person:sebastian m 16-16]
sebastian| I understand How about that cool S from high school then| [person:sebastian m 0-0][location:high_school s 8-9]

conv:people_chats_0629_336:aug_0:chat_0:chataug_0| cameron hans| [person:cameron f 0-0][person:hans m 1-1]
cameron| I cannot wait for our first child| [person:cameron f 0-0][person:our g(cameron:hans) 4-4]
hans| I know me too| [person:hans m 0-0][person:hans m 2-2]
hans| There is so much preparation to do|
cameron| There really is|
cameron| I was looking today at paint colors| [person:cameron f 0-0]
cameron| I found the perfect one for the baby s room| [person:cameron f 0-0]
cameron| I will text it to you| [person:cameron f 0-0][person:hans m 5-5]
cameron| That is the color I want the nursery to be| [person:cameron f 4-4]
cameron| Here is the photo|
hans| I like it| [person:hans m 0-0]
hans| Would you like to paint the room this weekend| [person:cameron f 1-1]
cameron| I would| [person:cameron f 0-0]
cameron| Should I ask my mom and dad Lauren and Jesus to come| [person:cameron f 1-1][person:cameron f 3-3][person:mom f 4-4][person:dad m 6-6][person:lauren f 7-7][person:jesus m 9-9]
cameron| They would be so excited to help| [person:they g(mom:dad:lauren:jesus) 0-0]
hans| Yes they would enjoy participating| [person:they g(mom:dad:lauren:jesus) 1-1]

conv:people_chats_0629_338:aug_0:chat_0:chataug_0| caitlyn phillip| [person:caitlyn f 0-0][person:phillip m 1-1]
caitlyn| Hey Phillip You there I need your help to set up something| [person:phillip m 1-1][person:phillip m 2-2][person:caitlyn f 4-4][person:phillip m 6-6]
phillip| Yeah I m here What can I help you with| [person:phillip m 1-1][person:phillip m 6-6][person:caitlyn f 8-8]
caitlyn| Well I wanted to set up a virtual meeting You know like a conference for work| [person:caitlyn f 1-1][person:phillip m 9-9]
phillip| Oops I think you asked the wrong person I ve honestly never set up a kind of virtual meeting or virtual conference before| [person:phillip m 1-1][person:caitlyn f 3-3][person:phillip m 8-8]
caitlyn| Darn it Do you know anyone else who could lend a hand| [person:phillip m 3-3][person:anyone u 5-5]
