conv:people_long_0313_110:aug_0:chat_0:chataug_0| john rita| [person:john m 0-0][person:rita f 1-1]
donelle| The world needs to see it| [person:world g() 1-1]
josh| Thanks donelle| [person:donelle f 1-1]
donelle| No problem So yes you should do it| [person:josh m 4-4]
josh| Donelle you convinced me| [person:donelle f 0-0][person:donelle f 1-1][person:josh m 3-3]
donelle| Yay|
donelle| I knew you would do it| [person:donelle f 0-0][person:josh m 2-2]
josh| Well I wasn t until I spoked to you donelle| [person:josh m 1-1][person:josh m 5-5][person:donelle f 8-8][person:donelle f 9-9]
josh| Thanks for the inspiration|
donelle| No problem josh| [person:josh m 2-2]
josh| I m so excited I can t wait to get started| [person:josh m 0-0][person:josh m 4-4]
donelle| I m excited for you| [person:donelle f 0-0][person:josh m 4-4]

conv:people_long_0313_302:aug_0:chat_0:chataug_0| lilly sheila| [person:lilly f 0-0][person:sheila f 1-1]
lilly| Hey Sheila How are you doing| [person:sheila f 1-1][person:sheila f 4-4]
sheila| I am fine what about you| [person:sheila f 0-0][person:lilly f 5-5]
lilly| I am fine I am planning to visit our town next month| [person:lilly f 0-0][person:lilly f 3-3][person:our g(lilly:sheila) 8-8][location:town s 9-9]
lilly| Would you like to join me| [person:sheila f 1-1][person:lilly f 5-5]
sheila| I am so sorry I won t be able to join you| [person:sheila f 0-0][person:sheila f 4-4][person:lilly f 11-11]
sheila| Toby and I have already made travel plans| [person:toby m 0-0][person:sheila f 2-2]
lilly| I think you both should also plan to visit me and my husband Brandon| [person:lilly f 0-0][person:sheila f 2-2][person:lilly f 9-9][person:lilly f 11-11][person:brandon m 12-12][person:brandon m 13-13]
sheila| Well I need to talk to Toby if he is interested to visit your place| [person:sheila f 1-1][person:toby m 6-6][person:toby m 8-8][person:lilly f 13-13][location:place s 14-14]
lilly| Brandon likes to play golf If you come then he will take Toby to one of his favorite golf courses| [person:brandon m 0-0][person:lilly f 6-6][person:brandon m 9-9][person:toby m 12-12][person:brandon m 16-16]
sheila| I don t know whether Toby enjoys playing golf| [person:sheila f 0-0][person:toby m 5-5]
lilly| Okay then we can have dinner together at our house| [person:we g(lilly:sheila:toby:brandon) 2-2][person:our_2 g(lilly:brandon) 8-8]
sheila| Even that also sounds interesting Anyways I can understand that we all can have a great time together| [person:sheila f 6-6][person:we g(lilly:sheila:toby:brandon) 10-10]
sheila| I will let you know once after I discuss it with Toby| [person:sheila f 0-0][person:lilly f 3-3][person:sheila f 7-7][person:toby m 11-11]
lilly| Okay I am expecting a positive response from you| [person:lilly f 1-1][person:sheila f 8-8]

conv:people_long_0313_305:aug_0:chat_0:chataug_0| aspen drederick| [person:aspen f 0-0][person:drederick m 1-1]
drederick| Aspen finally we are at wonderland we were waiting for this day since so long| [person:aspen f 0-0][person:we g(drederick:aspen) 2-2][person:we g(drederick:aspen) 6-6]
aspen| Yes it was a long wait to get here Let s not waste time|
drederick| You know that wonderland is a very big in terms of area and we have to cover everything| [person:aspen f 0-0][person:we g(drederick:aspen) 13-13]
aspen| I m sure that we are definitely going to get tired by today evening| [person:aspen f 0-0][person:we g(drederick:aspen) 4-4]
drederick| I m very much excited for the ride s here but I m a bit confused about which ride to take first| [person:drederick m 0-0][person:drederick m 11-11]
aspen| Why don t we try the Drop Zone I have heard that s very exciting| [person:we g(drederick:aspen) 3-3][person:aspen f 8-8]
drederick| Yes Drop Zone is a great ride but I still remember that Katy puked her guts out at the Drop Zone| [person:drederick m 8-8][person:katy f 12-12][person:katy f 14-14]
aspen| Oh is that so I ve never heard this about her| [person:aspen f 4-4][person:katy f 10-10]
drederick| I definitely want to try it but I don t want to suffer the same as Katy faced| [person:drederick m 0-0][person:drederick m 7-7][person:katy f 16-16]
aspen| Don t worry much Dred It s not going to be the same every time|
drederick| Ok then let s first start our ride with a smaller coaster and then we will go to Drop Zone| [person:we g(drederick:aspen) 6-6][person:we g(drederick:aspen) 14-14]
aspen| Well that s a good start But I don t know any smaller roller coasters Do you know| [person:aspen f 7-7][person:drederick m 16-16]
drederick| Do you remember our friend Derick He works here but I don t know exactly where in wonderland| [person:aspen f 1-1][person:we g(drederick:aspen) 3-3][person:derick m 4-4][person:derick m 5-5][person:derick m 6-6][person:drederick m 10-10]
aspen| Yes I remember him saying that he works in a park here He must be in a position to help us out| [person:aspen f 1-1][person:derick m 3-3][person:derick m 6-6][person:derick m 12-12][person:we g(drederick:aspen) 20-20]
drederick| Ok let me check my contact list and call him| [person:drederick m 2-2][person:drederick m 4-4][person:derick m 9-9]
aspen| Alright Let s wait till he comes then explore the rest| [person:derick m 5-5]

conv:people_long_0313_306:aug_0:chat_0:chataug_0| adam john| [person:adam m 0-0][person:john m 1-1]
john| Hey man did you hear about Jane passing away recently| [person:adam m 3-3][person:jane f 6-6]
adam| What I just heard about her going out with my girlfriend Rita last week| [person:adam m 1-1][person:jane f 5-5][person:jane f 9-9][person:rita f 10-10][person:rita f 11-11]
john| Yeah I don t know how or why she passed away She was fine when I met her in the market two weeks ago| [person:john m 1-1][person:jane f 8-8][person:jane f 11-11][person:john m 15-15][person:jane f 17-17]
adam| I can t believe Jane is dead| [person:adam m 0-0][person:jane f 4-4]
john| I don t think anyone can believe it You d better check in on your girlfriend she seems very distraught about the whole thing| [person:john m 0-0][person:adam m 8-8][person:adam m 14-14][person:jane f 15-15][person:jane f 16-16]
adam| I m dealing with her right now She really isn t taking it all that well| [person:adam m 0-0][person:jane f 4-4][person:rita f 7-7]
john| You know as strange as it sounds I feel like Jane could ve faked her death There s no real details surrounding her death and it all sounds fishy to me| [person:john m 0-0][person:john m 7-7][person:jane f 10-10][person:jane f 14-14][person:jane f 22-22][person:john m 30-30]
adam| I don t know why you d think that way but if it helps us cope with her death then I guess I will join you| [person:adam m 0-0][person:john m 5-5][person:us g(jane:rita) 14-14][person:jane f 17-17][person:adam m 20-20][person:adam m 22-22][person:john m 25-25]
john| Alright Hopefully we can inform Rita and the others about this too| [person:us g(jane:rita) 2-2][person:rita f 5-5]
adam| Yeah I feel like the people deserve to know if and how Jane died| [person:adam m 1-1][person:jane f 12-12]
john| Let me know when you re ready to help me with this project| [person:john m 1-1][person:adam m 4-4][person:john m 9-9]
adam| Sure Thanks for talking about this with me| [person:adam m 7-7]
john| Yeah see you later| [person:adam m 2-2]
adam| See you too I ll let you know how Rita is doing| [person:adam m 1-1][person:adam m 3-3][person:john m 6-6][person:rita f 9-9]
john| Alright thanks for keeping me up to date with her| [person:john m 4-4][person:rita f 9-9]

conv:people_long_0313_308:aug_0:chat_0:chataug_0| monty tina| [person:monty m 0-0][person:tina f 1-1]
tina| Hey Monty I want to share something with you| [person:monty m 1-1][person:tina f 2-2][person:monty m 8-8]
monty| Yeah tell me What is it Tina| [person:monty m 2-2][person:tina f 6-6]
tina| My friend Josie passed away suddenly while she was travelling back home with her family| [person:tina f 0-0][person:friend u 1-1][person:josie f 2-2][person:josie f 7-7][location:home s 11-11][person:josie f 13-13][person:family g() 14-14]
monty| Oh my God I m sorry to hear about it my condolences to her family| [person:monty m 1-1][person:monty m 3-3][person:monty m 10-10][person:josie f 13-13][person:family g() 14-14]
monty| Are you in contact with her family members| [person:tina f 1-1][person:josie f 5-5][person:family g() 6-6]
tina| Her whole family is suffering from corona virus and her husband Celo is still hospitalized| [person:josie f 0-0][person:family g() 2-2][person:josie f 9-9][person:husband m 10-10][person:celo m 11-11]
monty| Is he still suffering with that virus in the hospital| [person:celo m 1-1][location:hospital s 9-9]
tina| He survived the deadly virus but Josie couldnot survive it| [person:celo m 0-0][person:josie f 6-6]
monty| The family is also suffering with the virus| [person:family g() 1-1]
tina| Yeah Monty I think we should help them| [person:monty m 1-1][person:tina f 2-2][person:we g(tina:monty) 4-4][person:them g(celo) 7-7]
monty| Yeah we should but How are we supposed to do that| [person:we g(tina:monty) 1-1][person:we g(tina:monty) 6-6]
tina| I think we should give financial support for their treatment| [person:tina f 0-0][person:we g(tina:monty) 2-2][person:their g(celo) 8-8]
monty| That s a good idea that is the least we can do for them| [person:we g(tina:monty) 9-9][person:them g(celo) 13-13]
tina| Yes let s go and console her family as well| [person:josie f 6-6][person:family g() 7-7]

conv:people_long_0313_316:aug_0:chat_0:chataug_0| annika leanne| [person:annika f 0-0][person:leanne f 1-1]
leanne| Hey Annika What are you doing| [person:annika f 1-1][person:annika f 4-4]
annika| I m looking for the location for the surprise vacation for Mike and Callum| [person:annika f 0-0][person:mike m 11-11][person:callum m 13-13]
leanne| Yeah we should take them somewhere warm and tropical| [person:we g(leanne:annika) 1-1][person:them g(mike:callum) 4-4]
annika| Why do you think that warm and tropical place will be good for the vacation| [person:leanne f 2-2][location:place s 8-8]
leanne| Because we went to ski resort for last vacation So I think we should look for a new location this time| [person:we g(leanne:annika) 1-1][location:resort s 5-5][person:leanne f 10-10][person:we g(leanne:annika) 12-12]
annika| They both really enjoyed a lot the last time so I think we shouldn t change the place| [person:they g(mike:callum) 0-0][person:annika f 10-10][person:we g(leanne:annika) 12-12][location:place s 17-17]
leanne| Okay do you think if it s a good idea to keep the vacation a surprise| [person:annika f 2-2]
annika| I think we should tell Mike about the vacation because he has a job that sometimes requires him to work extra hours on the weekend| [person:annika f 0-0][person:we g(leanne:annika) 2-2][person:mike m 5-5][person:callum m 10-10][person:callum m 17-17]
leanne| I have an idea of asking about his work schedule| [person:leanne f 0-0][person:callum m 7-7]
annika| What is your plan about it Leanne| [person:leanne f 2-2][person:leanne f 6-6]
leanne| I will ask him about his work schedule covertly without letting him know about the vacation| [person:leanne f 0-0][person:callum m 3-3][person:callum m 5-5][person:callum m 11-11]
annika| That s a great idea ask him and tell me and we ll plan accordingly| [person:callum m 6-6][person:annika f 9-9][person:we g(leanne:annika) 11-11]
annika| Till then I ll look for some good ski resorts for the vacation| [person:annika f 2-2][location:resorts g() 9-9]
leanne| Okay I will let you know about his schedule as soon as possible| [person:leanne f 1-1][person:annika f 4-4][person:callum m 7-7]

conv:people_long_0313_317:aug_0:chat_0:chataug_0| alison magan| [person:alison f 0-0][person:magan f 1-1]
alison| Are you free tomorrow I have a surprise for you| [person:magan f 1-1][person:alison f 4-4][person:magan f 9-9]
magan| Yeah Alison I am free Do you have any plans for me| [person:alison f 1-1][person:magan f 2-2][person:alison f 6-6][person:magan f 11-11]
alison| Have you forgotten that we along with Paul and Chris had planned for the rock concert| [person:magan f 1-1][person:we g(alison:magan) 4-4][person:paul m 7-7][person:chris m 9-9]
magan| I remembered but it is too late as we didn t buy passes till now| [person:magan f 0-0][person:we g(alison:magan) 8-8]
alison| Well that s the surprise I got the backstage passes for all of us| [person:alison f 5-5][person:we g(alison:magan) 13-13]
magan| That s really a surprise I am extremely excited for it| [person:magan f 5-5]
magan| I hope we can get an autograph from the entire group| [person:magan f 0-0][person:we g(alison:magan) 2-2]
alison| Of course we can get it I think we should reach there earlier| [person:we g(alison:magan) 2-2][person:alison f 6-6][person:we g(alison:magan) 8-8]
alison| What about wearing the rock band tshirt and get it signed by them| [person:we g(alison:magan) 12-12]
magan| Yes it would be a great idea We will definitely get them signed| [person:we g(alison:magan) 7-7][person:we g(alison:magan) 11-11]
magan| I am sure that Paul and Chris will like this idea as they are big fan of the band| [person:magan f 0-0][person:paul m 4-4][person:chris m 6-6][person:we g(alison:magan) 12-12]
alison| Of course Magan I will inform them about our plannings Even they wouldn t have any clue about this| [person:magan f 2-2][person:alison f 3-3][person:we g(alison:magan) 6-6][person:we g(alison:magan) 8-8][person:we g(alison:magan) 11-11]
alison| I am eagerly waiting for the show We will have a great time tomorrow| [person:alison f 0-0][person:we g(alison:magan) 7-7]
magan| Yeah I will see you tomorrow at the concert| [person:magan f 1-1][person:alison f 4-4]

conv:people_long_0313_318:aug_0:chat_0:chataug_0| elliott stuart| [person:elliott m 0-0][person:stuart m 1-1]
stuart| Hey Elliott Are you attending to the Halloween party this weekend| [person:elliott m 1-1][person:elliott m 3-3]
elliott| Yes Stuart I m attending the Halloween party this weekend| [person:stuart m 1-1][person:elliott m 2-2]
elliott| But I m confused about the Halloween costume Do you have any suggestions in your mind| [person:elliott m 1-1][person:stuart m 9-9][person:stuart m 14-14]
stuart| I want to attend the party in Spiderman costume| [person:stuart m 0-0]
elliott| Spiderman costume is good but I think it will be a great fun if we do a group costume| [person:elliott m 5-5][person:we g(stuart:elliott) 14-14]
elliott| We will have more options if we include Heather and Hannah in our plan| [person:we g(stuart:elliott) 0-0][person:we g(stuart:elliott) 6-6][person:heather f 8-8][person:hannah f 10-10][person:we g(stuart:elliott) 12-12]
stuart| I am afraid that won t be happening| [person:stuart m 0-0]
stuart| Because both the girls have already picked out their costumes and they will not change their costumes for any reason| [person:girls g(heather:hannah) 3-3][person:girls g(heather:hannah) 8-8][person:girls g(heather:hannah) 11-11][person:girls g(heather:hannah) 15-15]
elliott| What are they both planning to go as in the Halloween party| [person:girls g(heather:hannah) 2-2]
stuart| They both are planning to go as Disney princess| [person:girls g(heather:hannah) 0-0]
elliott| Okay then we don t have any other options left so let s wear a Spiderman costume| [person:we g(stuart:elliott) 2-2]
stuart| That s a good idea I will have a company too| [person:stuart m 5-5]
elliott| Okay let s go and pick the costumes from the store|
stuart| Yeah sure Let s go and buy the costumes for the party|

conv:people_long_0313_319:aug_0:chat_0:chataug_0| delilah norm| [person:delilah f 0-0][person:norm m 1-1]
delilah| Hey Norm What are your plans for your birthday| [person:norm m 1-1][person:norm m 4-4][person:norm m 7-7]
norm| I was planning to play archery tag on my birthday| [person:norm m 0-0][person:norm m 8-8]
norm| But there s one problem Delilah| [person:delilah f 5-5]
delilah| Oh That s a good idea But what s the problem with it|
norm| The problem is convincing my friends to join on my birthday for the archery tag| [person:norm m 4-4][person:friends g() 5-5][person:norm m 9-9]
delilah| I already asked Stash about it| [person:delilah f 0-0][person:stash m 3-3]
norm| What did he tell about it| [person:stash m 2-2]
delilah| He said that he s always up for archery Tag| [person:stash m 0-0][person:stash m 3-3]
norm| That s great but there still remains an issue|
delilah| Now what s the issue again|
norm| How should we convince Cooper He said that he s tired that past few days and doesn t want to go out| [person:we g(delilah:norm) 2-2][person:cooper m 4-4][person:cooper m 5-5][person:cooper m 8-8]
delilah| We ll try to convince him as this is for your birthday| [person:we g(delilah:norm) 0-0][person:cooper m 5-5][person:norm m 10-10]
norm| We should come up with a good argument to convince him to join us on my birthday| [person:we g(delilah:norm) 0-0][person:cooper m 10-10][person:we g(delilah:norm) 13-13][person:norm m 15-15]
delilah| Okay We ll think about some thing and try to convince her| [person:we g(delilah:norm) 1-1][person:cooper m 11-11]

conv:people_long_0313_320:aug_0:chat_0:chataug_0| hadi tina| [person:hadi f 0-0][person:tina f 1-1]
tina| hello so what ideas of cake have you come out with| [person:hadi f 7-7]
hadi| i am still searching| [person:hadi f 0-0]
tina| so you have not found anything interesting you might like| [person:hadi f 1-1][person:hadi f 7-7]
hadi| i saw some interesting ones but i do not know how convenient it would be| [person:hadi f 0-0][person:hadi f 6-6]
tina| i would jtus go with Icecream cake because everybody likes it you can never go wrong with ice cream cake| [person:tina f 0-0][person:everybody g() 8-8][person:hadi f 11-11]
hadi| yea it is a great idea but don t you think it might change texture because of the weather| [person:tina f 9-9]
tina| yea i just imagine the 34 degrees out there and i can not stand Ayonika s face if the cake makes a mess in her car| [person:tina f 1-1][person:tina f 10-10][person:ayonika f 14-14][person:ayonika f 24-24]
hadi| okay what i suggest is that we keep looking for more information on recipe book| [person:hadi f 2-2][person:we g(tina:hadi) 6-6]
tina| yea i guess so and you know Roman can make excellent icecream cake but we won t need it we just need to keep looking| [person:tina f 1-1][person:hadi f 5-5][person:roman m 7-7][person:we g(tina:hadi) 14-14][person:we g(tina:hadi) 19-19]
hadi| we have to ensure your friend Vashish has a blast on his birthday| [person:we g(tina:hadi) 0-0][person:tina f 4-4][person:vashish m 5-5][person:vashish m 6-6][person:vashish m 11-11]
tina| yea we have to so i urge you to come up with a suggestion by tomorrow| [person:we g(tina:hadi) 1-1][person:tina f 5-5][person:hadi f 7-7]
hadi| okay we have to keep looking and am sure we will find something soon| [person:we g(tina:hadi) 1-1][person:we g(tina:hadi) 9-9]
tina| alright take care i will chat you up in the evening| [person:tina f 3-3][person:hadi f 6-6]
hadi| alright bye to you| [person:tina f 3-3]

conv:people_long_0313_321:aug_0:chat_0:chataug_0| andrew rob| [person:andrew m 0-0][person:rob m 1-1]
andrew| Hey are you ready for our birthday party| [person:rob m 2-2][person:our g(andrew:rob) 5-5]
rob| Hey yes I am ready for it| [person:rob m 2-2]
andrew| What activity should we do at the party| [person:we g(andrew:rob) 3-3]
rob| I would like to play a game of airsoft| [person:rob m 0-0]
andrew| I do not think it would be good idea| [person:andrew m 0-0]
rob| Why What is problem with that|
andrew| I have invited Kate and Rachel| [person:andrew m 0-0][person:kate f 3-3][person:rachel f 5-5]
andrew| They are not interested in playing airsoft| [person:they g(kate:rachel) 0-0]
rob| Okay I understand So what other activity can you think about| [person:rob m 1-1][person:andrew m 8-8]
andrew| What do you think about going to a movie and grabbing some drinks| [person:rob m 2-2]
rob| Sounds good I think everyone will enjoy it| [person:rob m 2-2][person:everyone g() 4-4]
rob| But I think we should consult with everyone to get more ideas| [person:rob m 1-1][person:we g(andrew:rob) 3-3][person:everyone g() 7-7]
andrew| I think you are right Let s then first check with everyone| [person:andrew m 0-0][person:rob m 2-2][person:everyone g() 11-11]
rob| I will text everyone asking their ideas| [person:rob m 0-0][person:everyone g() 3-3][person:everyone g() 5-5]
andrew| Okay let me know once you have some ideas| [person:andrew m 2-2][person:rob m 5-5]

conv:people_long_0313_322:aug_0:chat_0:chataug_0| marvin trevor| [person:marvin m 0-0][person:trevor m 1-1]
marvin| hi|
trevor| Hello|
marvin| Any plans for super bowl|
trevor| yep planning a super bowl party with you Kenny and Brinda| [person:marvin m 7-7][person:kenny m 8-8][person:brinda f 10-10]
marvin| That is a fantastic plan I am in and believe Kenny and Brinda will also join What do you need from me for the party| [person:marvin m 5-5][person:kenny m 10-10][person:brinda f 12-12][person:trevor m 18-18][person:marvin m 21-21]
trevor| Will you bring some snacks and appetizers for the party| [person:marvin m 1-1]
marvin| Leave that to me Trevor I will bring so much variety and that you all will like a lot| [person:marvin m 3-3][person:trevor m 4-4][person:marvin m 5-5][person:trevor m 13-13]
trevor| Wonderful Marvin I knew all along you are the best| [person:marvin m 1-1][person:trevor m 2-2][person:marvin m 6-6]
marvin| Hey Hey What about the theme for the party|
trevor| I am thinking of using both team colors hosting the super ball with mascot for decorations| [person:trevor m 0-0]
marvin| That is indeed wonderful idea to make the party really super|
trevor| Thanks Marvin please inform Kenna and Brinda and take their nod for the party| [person:marvin m 1-1][person:brinda f 6-6][person:their g(kenny:brinda) 9-9]
marvin| Don t worry about them Trevor see you in the party| [person:their g(kenny:brinda) 4-4][person:trevor m 5-5][person:trevor m 7-7]
trevor| Okay then let me make arrangements for the party| [person:trevor m 3-3]
marvin| Yes Trevor I am also going for shopping in the evening Will you Join| [person:trevor m 1-1][person:marvin m 2-2][person:trevor m 12-12]
trevor| No No I am busy in the evening you go ahead| [person:trevor m 2-2][person:marvin m 8-8]
marvin| Great see you then| [person:trevor m 2-2]
trevor| See you| [person:marvin m 1-1]

conv:people_long_0313_324:aug_0:chat_0:chataug_0| alicia danny| [person:alicia f 0-0][person:danny m 1-1]
danny| It has been a long time we haven t gone for a night out| [person:we g(danny:alicia) 6-6]
alicia| Yeah you are right lets plan for a night out this weekend| [person:danny m 1-1]
danny| What about our daughters They are too small to stay alone We need to think about it| [person:our g(danny:alicia) 2-2][person:daughters g() 4-4][person:we g(danny:alicia) 11-11]
alicia| We can hire a babysitter for Ella and Emma This can also help me to manage them| [person:we g(danny:alicia) 0-0][person:ella f 6-6][person:emma f 8-8][person:alicia f 13-13][person:daughters g(ella:emma) 16-16]
danny| I think we can tell my parents to babysit them this weekend| [person:danny m 0-0][person:we g(danny:alicia) 2-2][person:danny m 5-5][person:parents g() 6-6][person:daughters g(ella:emma) 9-9]
alicia| Are you sure they are old enough will they be able to manage them| [person:danny m 1-1][person:daughters g(ella:emma) 3-3][person:parents g() 8-8][person:daughters g(ella:emma) 13-13]
danny| Well I won t be comfortable with any other person other than our parents Only they can manage our children properly| [person:danny m 1-1][person:our g(danny:alicia) 12-12][person:parents g() 13-13][person:parents g() 15-15][person:our g(danny:alicia) 18-18]
danny| I think they will be very happy to have time with them| [person:danny m 0-0][person:parents g() 2-2][person:daughters g(ella:emma) 11-11]
alicia| Well you are right we can also keep a babysitter which can help them to manage our children| [person:danny m 1-1][person:we g(danny:alicia) 4-4][person:parents g() 13-13][person:our g(danny:alicia) 16-16]
alicia| You should understand that they are too old to manage all their needs that a babysitter can do| [person:danny m 0-0][person:parents g() 4-4][person:daughters g(ella:emma) 11-11]
danny| Are you suggesting to keep a babysitter who would manage all the works and our parents will spend the play timings with them| [person:alicia f 1-1][person:our g(danny:alicia) 14-14][person:parents g() 15-15][person:daughters g(ella:emma) 22-22]
alicia| Yeah you are right I meant that Now we can plan something for this weekend| [person:danny m 1-1][person:alicia f 4-4][person:we g(danny:alicia) 8-8]
danny| I will plan accordingly Thanks for the planning dear at least now we can spend time for ourselves| [person:danny m 0-0][person:we g(danny:alicia) 12-12]
alicia| Let s plan for a long drive this weekend so that we can enjoy it| [person:we g(danny:alicia) 11-11]

conv:people_long_0313_328:aug_0:chat_0:chataug_0| adam john| [person:adam m 0-0][person:john m 1-1]
adam| Hey John How are you doing| [person:john m 1-1][person:john m 4-4]
john| Hey Adam Did you hear about Jane s death| [person:adam m 1-1][person:adam m 3-3][person:jane f 6-6]
adam| We met in the market a few weeks ago| [person:we g(adam:jane) 0-0]
adam| I was surprised to hear that she had passed away| [person:adam m 0-0][person:jane f 6-6]
john| I was even equally surprised to hear about her death| [person:john m 0-0][person:jane f 8-8]
adam| My girlfriend Rita was there with her last week They really had a good time| [person:adam m 0-0][person:rita f 1-1][person:rita f 2-2][person:jane f 6-6][person:they g(jane:rita) 9-9]
john| This is sad to listen How is she holding up now| [person:rita f 7-7]
adam| She is just in shock It takes her some time to recover| [person:rita f 0-0][person:rita f 7-7]
john| I hope she recovers soon and everything goes well with her| [person:john m 0-0][person:rita f 2-2][person:rita f 10-10]
john| I suspect that Jane had faked her death and I think we should investigate it| [person:john m 0-0][person:jane f 3-3][person:jane f 6-6][person:john m 9-9][person:we g(adam:john) 11-11]
adam| Thank you for your concern about Rita I don t think this investigation will work out| [person:john m 1-1][person:john m 3-3][person:rita f 6-6][person:adam m 7-7]
john| I feel like there is some reason behind her sudden death we should investigate it| [person:john m 0-0][person:jane f 8-8][person:we g(adam:john) 11-11]
adam| Okay if it is in this way I will help you| [person:adam m 7-7][person:john m 10-10]
john| Thank you for your support We shall do it together and find the reason very soon| [person:adam m 1-1][person:adam m 3-3][person:we g(adam:john) 5-5]

conv:people_long_0313_329:aug_0:chat_0:chataug_0| laura milos| [person:laura f 0-0][person:milos m 1-1]
laura| Hey Milos Hey I ve been thinking about getting a new dog to keep my dog that I already have company I m not sure where to look Do you have any suggsetions| [person:milos m 1-1][person:laura f 3-3][person:laura f 14-14][person:laura f 17-17][person:laura f 21-21][person:milos m 29-29]
milos| Hey Laura I suggest adopting one from the dog shelter There are a lot of dogs out there that need a good home| [person:laura f 1-1][person:milos m 2-2][location:home s 22-22]
laura| That sounds great Milos Dio you know of any good dog shelters around here| [person:milos m 3-3][person:milos m 5-5]
milos| As a matter of fact I do My friend Arnold runs a dog shelter All of the dogs are treated good in an ethical manner and I m sure there s a puppy there that needs a good home| [person:milos m 5-5][person:milos m 7-7][person:friend g() 8-8][person:arnold m 9-9][person:milos m 26-26][location:home s 38-38]
laura| That sounds great Milos But now that I think about it I don t think I want to get a puppy Do you know of any good dog breeders around| [person:milos m 3-3][person:laura f 7-7][person:laura f 11-11][person:laura f 15-15][person:milos m 22-22]
milos| As a matter of fact I do My friend Sasha is a dog breeder and she lives in the area| [person:milos m 5-5][person:milos m 7-7][person:friend g() 8-8][person:sasha f 9-9][person:sasha f 15-15]
laura| Wonderful Has she been breeding dogs for a while| [person:sasha f 2-2]
milos| Yes she has Laura has been breeding Golden Retrievers for years and she just had a new litter of puppies just recently| [person:sasha f 1-1][person:laura f 3-3][person:sasha f 12-12]
laura| That s awesome I was kinda interested in a brachiocephalic dog| [person:laura f 3-3]
milos| I m not really sure about that but you should check out the new golden retriever litter| [person:milos m 0-0][person:laura f 8-8]
laura| I love golden retrievers and I know that once I saw the puppies I wouldn t be able to resist getting one| [person:laura f 0-0][person:laura f 5-5][person:laura f 9-9][person:laura f 13-13]
milos| Well you have 2 options My friend Arnold runs a very nice dog shelter and my friend Sasha has been breeding golden retrievers for years and just got a new litter of pups Do you think you d like to check them out| [person:laura f 1-1][person:milos m 5-5][person:friend g() 6-6][person:arnold m 7-7][person:milos m 15-15][person:friend g() 16-16][person:sasha f 17-17][person:laura f 34-34]
laura| Hmmmm They both sound good I think after weighing the two options I d like to go with the dog shelter There is a chance that I might find a dog that s not a puppy there| [person:friend g(arnold:sasha) 1-1][person:laura f 5-5][person:laura f 12-12][person:laura f 26-26]
milos| That s great Lara Sounds like a good plan Good luck on your mission to fiind the perfect companion for your dog that you already have I m sure there s one at the dog shelter that will work out just fine| [person:laura f 3-3][person:laura f 12-12][person:laura f 20-20][person:laura f 23-23][person:milos m 26-26]
laura| Thank you Milos You ve been a big help See you later Goodbye| [person:milos m 1-1][person:milos m 2-2][person:milos m 3-3][person:milos m 10-10]
milos| Okay Laura Goodbye| [person:laura f 1-1]

conv:people_long_0313_330:aug_0:chat_0:chataug_0| laura milos| [person:laura f 0-0][person:milos m 1-1]
laura| Hey so I want to get a new dog to keep mine company can you suggest somewhere I can get one| [person:laura f 2-2][person:mine u 11-11][person:milos m 14-14][person:laura f 17-17]
milos| Hey Yeah i have a friend Arnold who runs an animal shelter and they have some great dogs that need homes| [person:milos m 2-2][person:friend u 5-5][person:arnold m 6-6][person:they g() 13-13][location:homes g() 20-20]
laura| Wow cool Do you know any breeders too I m really wanting a puppy to raise| [person:milos m 3-3][person:laura f 8-8]
milos| Yeah my friend Sasha has been breeding golden retrievers for years| [person:milos m 1-1][person:friend u 2-2][person:sasha f 3-3]
milos| And guess what one of her dogs just had puppies| [person:her f 5-5]
laura| Aww Golden retrievers are so cute I was really hoping for a Brachycephalic dog one with a short face you know Like a pug maybe| [person:laura f 6-6][person:milos m 19-19]
milos| Well that s a tough decision do you want a puppy or a pug I know Arnold has some great adult dogs at his shelter that are Brachycephalic kind of dogs| [person:laura f 7-7][person:milos m 14-14][person:arnold m 16-16][person:arnold m 23-23]
laura| Well my current dog is a smaller Brachycephalic dog so I feel like something closer to his size would be best But I know the family would love to have a puppy around| [person:laura f 1-1][person:laura f 10-10][person:his m 16-16][person:laura f 22-22][person:family g() 25-25]
milos| Arnold has some younger dogs not puppies but just a couple years old that may fit your wants better if you want specifically a Brachycephalic dog| [person:arnold m 0-0][person:your u 16-16][person:laura f 20-20]
milos| His shelter is very ethical and well run I know all the dogs there need a good home You know the puppies will easily find a good home so I would steer you towards the shelter| [person:his m 0-0][person:milos m 8-8][location:home s 17-17][person:laura f 18-18][location:home s 27-27][person:laura f 29-29][person:laura f 32-32]
laura| I feel like that would be the best thing to do adopt one from a shelter and help them out You re right about the puppies Hmm I m going to have to think about this| [person:laura f 0-0][person:them g() 18-18][person:milos m 20-20][person:laura f 27-27]
laura| Yeah you know what I ll visit his shelter and try to find a dog there If there is one with a good temperment and the right size to play with and be a great companion for my current dog it ll be great| [person:milos m 1-1][person:laura f 4-4][person:his m 7-7][person:laura f 37-37]
milos| I just visited there the other day and from what you told me i m positive there are a few dogs that will meet you needs Good luck| [person:milos m 0-0][person:laura f 10-10][person:milos m 12-12][person:milos m 13-13][person:laura f 24-24]
