conv:people_2019080802_57:aug_0:chat_0:chataug_0| douglas peter| [person:douglas m 0-0][person:peter m 1-1]
sharon| That sounds like a great idea When do you want to invite them over for| [person:ben m 8-8][person:them g(johnson:harper) 12-12]
ben| I was thinking maybe Saturday night at 7 p m| [person:ben m 0-0]
sharon| That works for me I can call the Harpers and you can call the Johnsons| [person:sharon f 3-3][person:sharon f 4-4][person:harpers g(harper) 8-8][person:ben m 10-10][person:johnsons g(johnson) 14-14]
ben| Lets switch that up I would rather call the Harpers The Johnsons love to stay on the phone forever| [person:ben m 4-4][person:harpers g(harper) 9-9][person:johnsons g(johnson) 11-11]
sharon| OK sounds good What are we cooking| [person:we g(ben:sharon) 5-5]
ben| I wanted to grill some steaks and sausages Maybe you could make salads and finger foods| [person:ben m 0-0][person:sharon f 9-9]
sharon| Good idea This will be fun Don t forget the alcohol|
ben| That was the first thing on my mind Haha| [person:ben m 6-6]
sharon| Why am I not surprised| [person:sharon f 2-2]

conv:people_2019081201_111:aug_0:chat_0:chataug_0| rebecca sherrie| [person:rebecca f 0-0][person:sherrie f 1-1]
sherrie| Hey Rebecca how are you| [person:rebecca f 1-1][person:rebecca f 4-4]
sherrie| I am with Jen Kelly and Ellen| [person:sherrie f 0-0][person:jen f 3-3][person:kelly f 4-4][person:ellen f 6-6]
sherrie| we are planning a party at our place| [person:we g(sherrie:jen:kelly:ellen) 0-0][person:our g(sherrie:jen:kelly:ellen) 6-6][location:place s 7-7]
rebecca| Hey Sherrie| [person:sherrie f 1-1]
rebecca| that is kind of Last second dont you think| [person:sherrie f 7-7]
rebecca| Sounds good though it has been a while for a party|
rebecca| can t wait for it to happen|
sherrie| Ok i am so glad you are ok with it| [person:sherrie f 1-1][person:rebecca f 5-5]
sherrie| I can make it happen| [person:sherrie f 0-0]
rebecca| that is fine with me as long as you buy| [person:rebecca f 4-4][person:sherrie f 8-8]
rebecca| sound good to you| [person:sherrie f 3-3]

conv:people_2019081201_112:aug_0:chat_0:chataug_0| michael patrick| [person:michael m 0-0][person:patrick m 1-1]
michael| Do you want to go| [person:patrick m 1-1]
patrick| But I don t know Eduardo and Doug| [person:patrick m 1-1][person:eduardo m 5-5][person:doug m 7-7]
michael| What do you want to know| [person:patrick m 2-2]
patrick| How old are they| [person:they g(eduardo:doug) 3-3]
michael| Same as us Doug is 34 and Eduardo is 35| [person:us g(michael:patrick) 2-2][person:doug m 3-3][person:eduardo m 7-7]
patrick| Are their families going| [person:their g(eduardo:doug) 1-1]
michael| Yes but it will be just their wives like our wives are going| [person:their g(eduardo:doug) 6-6][person:our g(michael:patrick:eduardo:doug) 9-9]
patrick| How long will we stay| [person:we g(michael:patrick) 3-3]
michael| We will stay two days| [person:we g(michael:patrick) 0-0]
patrick| I will let you know tomorrow| [person:patrick m 0-0][person:michael m 3-3]

conv:people_2019081201_113:aug_0:chat_0:chataug_0| gary monica| [person:gary m 0-0][person:monica f 1-1]
monica| It s interesting that Jill and Alexis are coming what should we plan on doing| [person:jill f 4-4][person:alexis f 6-6][person:we g(monica:gary:jill:alexis) 11-11]
monica| Do you have suggestions| [person:gary m 1-1]
monica| We could always go out to eatwhat kind of food do you think they would like| [person:we g(monica:gary:jill:alexis) 0-0][person:grau f 11-11][person:they g(jill:alexis:grau) 13-13]
gary| I think they would like cheeseburgers but I m not sure| [person:gary m 0-0][person:they g(jill:alexis:grau) 2-2][person:gray f 7-7]
gary| I also know that Jill loves French food| [person:gary m 0-0][person:jill f 4-4]
gary| Do you know of any good French restaurants around here| [person:monica f 1-1][location:restaurants g() 7-7][location:here u 9-9]
monica| I can think of one over on Fourth Street in Berkeley| [person:monica f 0-0][location:street s 8-8][location:berkeley s 10-10]
monica| We could take the train and do a little sightseeing on the way back| [person:we g(monica:gary:jill:alexis:grau:gray:jill) 0-0]
gary| I m up for that could we take a walk across the bridge after dinner| [person:gary m 0-0][person:we g(monica:gary:jill:alexis:grau:gray:jill) 6-6]
gary| I think that would be a great ide let s give them a call| [person:gary m 0-0][person:them g(jill:alexis:grau:gray:jill) 11-11]
monica| I think I will pay for dinner that would be my treat for everyone| [person:monica f 0-0][person:monica f 2-2][person:monica f 10-10][person:everyon g(monica:gary:jill:alexis:grau:gray:jill:monica) 13-13]

conv:people_2019081201_114:aug_0:chat_0:chataug_0| rose tara| [person:rose f 0-0][person:tara f 1-1]
rose| Tara I miss you so much how hve you been| [person:tara f 0-0][person:rose f 1-1][person:tara f 3-3][person:tara f 8-8]
tara| I have been so good wow| [person:tara f 0-0]
tara| I heard your aunt and uncle are in Dallas| [person:tara f 0-0][person:rose f 2-2][person:rose_s_aunt f 3-3][location:dallas s 8-8]
tara| My friend Tara lives tehre| [person:tara f 0-0][person:tara f 1-1][person:tara f 2-2][location:dallas s 4-4]
tara| you can ask her for so many things to do while down there| [person:rose f 0-0][person:tara f 3-3][location:dallas s 12-12]
tara| they would like it| [person:tara_s_friends g() 0-0]
rose| Sounds good to me| [person:rose f 3-3]
rose| they really want to know where to go to dinner at| [person:tara_s_friends g() 0-0]
rose| Can you ask your friend a good place| [person:tara f 1-1][person:tara f 3-3][person:tara_s_friends g() 4-4][location:place s 7-7]
tara| She sadi Texas Roadhouse is the place to be there| [person:tara_s_friends g() 0-0][location:texas s 2-2][location:roadhouse s 3-3][location:roadhouse s 6-6]
tara| It is unique there becasue you are in Texas| [person:rose f 5-5][location:texas s 8-8]
rose| sounds like a plan|
rose| I will let them know| [person:rose f 0-0][person:tara_s_friends g() 3-3]

conv:people_2019081201_116:aug_0:chat_0:chataug_0| kenneth samuel| [person:kenneth m 0-0][person:samuel m 1-1]
kenneth| I can t wait to go see this movie man| [person:kenneth m 0-0]
samuel| I know I ve been waiting forever to see it| [person:samuel m 0-0][person:samuel m 2-2]
samuel| It was super nice of the Parkers to invite us over They have the coolest theater room in their house| [person:parkers g() 6-6][person:us g(kenneth:samuel) 9-9][person:parkers g() 11-11][person:parkers g() 18-18]
kenneth| I feel like we should take some snacks with us any ideas| [person:kenneth m 0-0][person:us g(kenneth:samuel) 3-3][person:us g(kenneth:samuel) 9-9]
samuel| Ummmmm popcorn lol No I m pretty sure they have a popcorn popper there| [person:samuel m 4-4][person:parkers g() 8-8]
kenneth| Chips and dip|
samuel| Whatever it is it needs to be easy I m kind of limited in my cooking abilities lol We could always pick up subs or something| [person:samuel m 8-8][person:samuel m 14-14][person:us g(kenneth:samuel) 18-18]
kenneth| Right Definitely needs to be easy lol Hey I think Christopher is going to be there You should hit him up to see if he has any ideas| [person:kenneth m 8-8][person:christopher m 10-10][person:samuel m 16-16][person:samuel m 19-19][person:samuel m 24-24]
samuel| Good idea man he s a pro at this stuff| [person:samuel m 3-3]
kenneth| Let me know what he says and I ll run and get it| [person:kenneth m 1-1][person:christopher m 4-4][person:kenneth m 7-7]
samuel| OK will do I ll paypal you some money| [person:samuel m 3-3][person:kenneth m 6-6]

conv:people_2019081201_117:aug_0:chat_0:chataug_0| aaron noah| [person:aaron m 0-0][person:noah m 1-1]
aaron| Hello|
noah| Hey Aaron what s up| [person:aaron m 1-1]
aaron| I wanna go to a sports bar together with Sean Martin and Raymond| [person:aaron m 0-0][location:sports_bar s 5-6][person:sean m 9-9][person:martin m 10-10][person:raymond m 12-12]
noah| That sounds really fun how are we gonna get there Should I drive| [person:we g(aaron:noah:sean:martin:raymond) 6-6][location:sports_bar s 9-9][person:noah m 11-11]
aaron| Yeah that would be great also if you could bring some board games to play as well| [person:noah m 7-7]
noah| Sure I ll make sure to pick all three of them up before we head to the sports bar| [person:noah m 1-1][person:them g(sean:martin:raymond) 10-10][person:we g(aaron:noah:sean:martin:raymond) 13-13][location:sports_bar s 17-18]
aaron| Actually Martin lives pretty close to me so I can pick him up Do you know which sports bar to go to| [person:martin m 1-1][person:aaron m 6-6][person:aaron m 8-8][person:martin m 11-11][person:noah m 14-14][location:sports_bar s 17-18]
noah| Should we go to the same one that we always go to| [person:we g(aaron:noah:sean:martin:raymond) 1-1][person:we g(aaron:noah:sean:martin:raymond) 8-8]
aaron| Yeah Should I bring something too| [person:aaron m 2-2]
noah| No I think the board games will be enough See you there| [person:noah m 1-1][person:aaron m 10-10][location:sports_bar s 11-11]
aaron| Sure remember that I m picking up Martin and you re bringing Sean and Raymond| [person:aaron m 3-3][person:martin m 7-7][person:noah m 9-9][person:sean m 12-12][person:raymond m 14-14]

conv:people_2019081201_118:aug_0:chat_0:chataug_0| frank howard| [person:frank m 0-0][person:howard m 1-1]
frank| Good morning Howard I am thinking this week or next week will be a good time to get together with Janie and Phil| [person:howard m 2-2][person:frank m 3-3][person:phil m 22-22]
howard| Good morning Frank I would enjoy getting together with everyone Do you have a date in mind or a day o fthe week| [person:frank m 2-2][person:howard m 3-3][person:everyone g() 9-9][person:frank m 11-11]
frank| Well it s my understanding that the weekends are best for Janie and Phil would that work for you| [person:frank m 3-3][person:phil m 13-13][person:howard m 18-18]
howard| Yes this weekend or next weekend I am free| [person:howard m 6-6]
frank| Let s do this Saturday night if that is okay with you| [person:howard m 11-11]
howard| That sounds perfect Where would you like to dine| [person:frank m 5-5]
frank| There is a new sushi place in my neighborhood do you know if Janice and Phil like sushi| [location:place s 5-5][person:frank m 7-7][person:howard m 10-10][person:janice f 13-13][person:phil m 15-15]
howard| They do like sushi and I do as well I would like to try this new restaurant you suggested| [person:they g() 0-0][person:howard m 5-5][person:howard m 9-9][location:restaurant s 16-16][person:frank m 17-17]
frank| Great Would you make a reservation for 4 people Saturday evening at 7 pm And I will let Janice and Phil know the place and time| [person:howard m 2-2][person:frank m 15-15][person:janice f 18-18][person:phil m 20-20][location:restaurant s 23-23]
howard| Yes I will call the restaurant after we end our conversation Looking forward to Saturday| [person:howard m 1-1][location:restaurant s 5-5][person:we g(frank:howard) 7-7][person:our g(frank:howard) 9-9]
frank| See you Saturday| [person:howard m 1-1]

conv:people_2019081201_119:aug_0:chat_0:chataug_0| robert ruth| [person:robert m 0-0][person:ruth f 1-1]
ruth| Hey Robert Do you remember Dorothy and Lauren from the office| [person:robert m 1-1][person:robert m 3-3][person:dorothy f 5-5][person:lauren f 7-7][location:office s 10-10]
robert| Of course How are they| [person:they g(dorothy:lauren) 4-4]
ruth| They re good They are actually back in town for a few days| [person:they g(dorothy:lauren) 0-0][person:they g(dorothy:lauren) 3-3][location:town s 8-8]
robert| Oh we should all hang out| [person:we g(ruth:robert:dorothy:lauren) 1-1]
ruth| Well that s what I am talking to you about silly| [person:ruth f 4-4][person:robert m 8-8]
robert| How long are they here| [person:they g(dorothy:lauren) 3-3][location:town s 4-4]
ruth| Until Friday|
robert| How about we go to a Sox game| [person:we g(ruth:robert:dorothy:lauren) 2-2]
ruth| Oh that would be fun I m sure they d love that| [person:ruth f 5-5][person:they g(dorothy:lauren) 8-8]
robert| And then we can go to Gene and Georgetti s after for steaks and martinis| [person:we g(ruth:robert:dorothy:lauren) 2-2]
ruth| Wow that sounds like a perfect day Dorothy and Lauren will be so happy| [person:dorothy f 7-7][person:lauren f 9-9]
robert| Okay give them a call and see which day works best and I ll get the tickets and make the dinner reservation| [person:they g(dorothy:lauren) 2-2][person:robert m 12-12]
ruth| Alright perfect I ll let you know what they say Bye| [person:ruth f 2-2][person:robert m 5-5][person:they g(dorothy:lauren) 8-8]

conv:people_2019081201_120:aug_0:chat_0:chataug_0| samuel thomas| [person:samuel m 0-0][person:thomas m 1-1]
thomas| Hey we should barbeque this weekend Want to ask Stephen and the guys| [person:we g(thomas:samuel) 1-1][person:stephen m 9-9]
samuel| Barbeque sounds great Ribs brauts and beer But I think Stephen and Alexander have to work all weekend| [person:samuel m 8-8][person:stephen m 10-10][person:alexander m 12-12]
thomas| Let s find out Even if they have to work we could get Nick and Daniel right| [person:they g(stephen:alexander) 6-6][person:we g(thomas:samuel) 10-10][person:nick m 13-13][person:daniel m 15-15]
samuel| Yeah but let s get everyone if we can Where do you want to go| [person:everyone g(thomas:samuel:stephen:alexander:nick:daniel) 5-5][person:we g(thomas:samuel) 7-7][person:thomas m 11-11]
thomas| Let s do it at the State Park They have great picnic areas and if one of us gets there early we can get the good site with the barbeque pit and the tables| [location:state s 6-6][location:state s 7-7][person:everyone g(thomas:samuel:stephen:alexander:nick:daniel) 17-17][location:state s 19-19][person:everyone g(thomas:samuel:stephen:alexander:nick:daniel) 21-21]
thomas| I ll see which of the guys can go and then get back to you with the grocery list and stuff How s that| [person:thomas m 0-0][person:samuel m 14-14]
samuel| I agree about the park I can bring ribs and potato salad when you make the list| [person:samuel m 0-0][location:state s 4-4][person:samuel m 5-5][person:thomas m 13-13]
samuel| Oh and I can get to the park early if everyone agrees| [person:samuel m 2-2][location:state s 7-7][person:everyone g(thomas:samuel:stephen:alexander:nick:daniel) 10-10]
thomas| Ok I ll call Daniel first and see if he can drive| [person:thomas m 1-1][person:daniel m 4-4][person:daniel m 9-9]
samuel| And see whether Stephen and Alexander have to work It would be fun if they could come Maybe even come after work| [person:stephen m 3-3][person:alexander m 5-5][person:they g(stephen:alexander) 14-14]
thomas| Ok will do Talk to you later| [person:samuel m 5-5]

conv:people_2019081201_121:aug_0:chat_0:chataug_0| anthony jerry| [person:anthony m 0-0][person:jerry m 1-1]
anthony| Hi Jerry I m looking forward to the show Can Caroline and Stephan still go too| [person:jerry m 1-1][person:anthony m 2-2][person:caroline f 10-10][person:stephan m 12-12]
jerry| Yes they are excited to see the show We are glad you have access to tickets and thank you for inviting us| [person:they g(caroline:stephan) 1-1][person:we g(jerry:caroline:stephan) 8-8][person:anthony m 11-11][person:anthony m 18-18][person:we g(jerry:caroline:stephan) 21-21]
anthony| Of course Your friends seem really nice and I wanted to spend more time with them| [person:jerry m 2-2][person:they g(caroline:stephan) 3-3][person:anthony m 8-8][person:they g(caroline:stephan) 15-15]
jerry| Yeah they had a lot of fun that time we played games and they have been asking when we can all do something fun so this was perfect| [person:they g(caroline:stephan) 1-1][person:we2 g(anthony:jerry:caroline:stephan) 9-9][person:they g(caroline:stephan) 13-13][person:we2 g(anthony:jerry:caroline:stephan) 18-18]
anthony| I just bought the tickets and I remembered to request the hearing impaired support kit for Stephan| [person:anthony m 0-0][person:anthony m 6-6][person:stephan m 16-16]
jerry| Thank you for remembering that he needs one Sometimes it takes time to arrange for one on the day of arrival| [person:anthony m 1-1][person:stephan m 5-5]
jerry| What should we wear| [person:we2 g(anthony:jerry:caroline:stephan) 2-2]
anthony| Well the dress code isn t strict so we can wear something dressy if we want to we could even wear historical costumes What do you think| [person:we2 g(anthony:jerry:caroline:stephan) 8-8][person:we2 g(anthony:jerry:caroline:stephan) 14-14][person:we2 g(anthony:jerry:caroline:stephan) 17-17][person:jerry m 25-25]
jerry| They love historical costumes and so do I that sounds fun| [person:they g(caroline:stephan) 0-0][person:jerry m 7-7]
anthony| The tickets are flexible which showing works best for them Thursday at 7 or 9 or Saturday at 6| [person:they g(caroline:stephan) 9-9]
jerry| Thursday at 7 is best for them He will be tired by the end of the 9 PM one and she works Saturdays| [person:they g(caroline:stephan) 6-6][person:stephan m 7-7][person:caroline f 20-20]

conv:people_2019081201_123:aug_0:chat_0:chataug_0| howard ralph| [person:howard m 0-0][person:ralph m 1-1]
howard| Hi Ralph how s your day going| [person:ralph m 1-1][person:ralph m 4-4]
ralph| It s going well how about yours| [person:howard m 6-6]
howard| Pretty good I m excited for the baseball game later with Ethan and Greg| [person:howard m 2-2][person:ethan m 11-11][person:greg m 13-13]
ralph| Me too although I m not sure which day I ll be free| [person:ralph m 0-0][person:ralph m 3-3][person:ralph m 9-9]
howard| Yeah me neither Also I m dying to watch the LA Dodgers play| [person:howard m 1-1][person:howard m 4-4][location:la s 10-10]
howard| But Ethan and Greg are huge Boston Red Sox fans So can I ask you to help me out and vote that we go see the LA Dodger s instead| [person:ethan m 1-1][person:greg m 3-3][location:boston s 6-6][person:howard m 12-12][person:ralph m 14-14][person:howard m 17-17][person:we g(howard:ralph:ethan:greg) 22-22]
ralph| Oh wow hahah ok No problem Either way I m just happy to be going to the game| [person:ralph m 8-8]
howard| Sweet I owe you one man Also how about I pay for your ticket since you re doing this for me| [person:howard m 1-1][person:ralph m 3-3][person:howard m 9-9][person:ralph m 12-12][person:ralph m 15-15][person:howard m 20-20]
ralph| Dope thanks a lot Howard I really appreciate it| [person:howard m 4-4][person:ralph m 5-5]
howard| My pleasure| [person:howard m 0-0]
ralph| Can t wait Thanks again|
howard| Also lets go to Fridays game it looks to be the best day that works for my schedule| [person:howard m 16-16]
ralph| Sure See you then| [person:howard m 2-2]

conv:people_2019081201_124:aug_0:chat_0:chataug_0| howard laura| [person:howard m 0-0][person:laura f 1-1]
howard| Hey Laura So I know we need to get ready for the get together with our friends| [person:laura f 1-1][person:howard m 3-3][person:we g(howard:laura) 5-5][person:our g(howard:laura) 15-15][person:friends g() 16-16]
laura| We sure do I m super excited to hang out with all of them tomorrow| [person:we g(howard:laura) 0-0][person:laura f 3-3][person:them g() 13-13]
howard| I think the most important thing to check off the list is the food What are you thinking we should do| [person:howard m 0-0][person:laura f 16-16][person:we g(howard:laura) 18-18]
laura| I was thinking we could keep it really simple and do hot dogs and hamburgers Grab some chips and dip And a veggie platter cause you know how much Megan and Kate love their veggies| [person:laura f 0-0][person:we g(howard:laura) 3-3][person:howard m 25-25][person:megan f 29-29][person:kate f 31-31][person:their g(megan:kate) 33-33]
howard| For sure And for the drinks I was thinking we could pick up beer for the boys we both know how much Henry and George love their beer and wine for the girls| [person:howard m 6-6][person:we g(howard:laura) 9-9][person:we g(howard:laura) 17-17][person:henry m 22-22][person:george m 24-24][person:their g(henry:george) 26-26]
laura| That sounds perfect What kind of games should we have| [person:we g(howard:laura) 8-8]
howard| I was thinking we could stick with the classics corn hole and beer pong| [person:howard m 0-0][person:we g(howard:laura) 3-3]
laura| Sounds great I will also have the radio set up so we can have some good music playing and the pool ready for us to go swimming before we eat| [person:laura f 2-2][person:we g(howard:laura) 11-11][person:us g(howard:laura) 23-23][person:we g(howard:laura) 28-28]
howard| Alright I think we have it all planned out I m going to run to the store now to get the food and drink supplies See you tomorrow| [person:howard m 1-1][person:we g(howard:laura) 3-3][person:howard m 9-9][person:laura f 26-26]
laura| Okay Thank you so much for going to grab everything I can t wait to see you and everyone else tomorrow| [person:howard m 2-2][person:laura f 10-10][person:howard m 16-16][person:everyone g(megan:kate:henry:george) 18-18]

conv:people_2019081201_128:aug_0:chat_0:chataug_0| michelle phillip| [person:michelle f 0-0][person:phillip m 1-1]
phillip| Hi|
phillip| Are you ready to visit clyde and diane| [person:michelle f 1-1][person:clyde m 5-5][person:diane f 7-7]
phillip| hello|
michelle| Hi there phillip of course I am ready I am excited| [person:phillip m 2-2][person:michelle f 5-5][person:michelle f 8-8]
phillip| Awesome I can t wait either is been a long time since we saw them| [person:phillip m 1-1][person:we g(phillip:michelle) 12-12][person:them g(clyde:diane) 14-14]
michelle| I agree with you What would be the best time to go visit them| [person:michelle f 0-0][person:phillip m 3-3][person:them g(clyde:diane) 13-13]
phillip| I think during the summer What do you think about going on July 25th| [person:phillip m 0-0][person:michelle f 7-7]
michelle| I can arrange that Should we bring anything for them| [person:michelle f 0-0][person:we g(phillip:michelle) 5-5][person:them g(clyde:diane) 9-9]
phillip| Awww that s really thoughtful of you What do you think about chocolates| [person:michelle f 6-6][person:michelle f 9-9]
phillip| Like assortments from Godiva or See s Candy|
michelle| That sounds like a plan Wait don t you think is going to melt by the time we get there is summer after all| [person:phillip m 8-8][person:we g(phillip:michelle) 17-17]
phillip| You are right I forgot to think about that| [person:michelle f 0-0][person:phillip m 3-3]
michelle| I was thinking maybe we can gift them a Tshirt of a hat| [person:michelle f 0-0][person:we g(phillip:michelle) 4-4][person:them g(clyde:diane) 7-7]
phillip| That would work|
phillip| So is settled we are leaving on July 25th See you then| [person:we g(phillip:michelle) 3-3][person:michelle f 10-10]
michelle| Fantastic see you| [person:phillip m 2-2]

conv:people_2019081201_132:aug_0:chat_0:chataug_0| alan bradley| [person:alan m 0-0][person:bradley m 1-1]
alan| Have you any idea what to bring tonite| [person:bradley m 1-1]
bradley| I was trying to sort that out whilst at market and dont know what the WIlboroghs fancy| [person:bradley m 0-0][person:wilboroghs g() 15-15]
alan| Me know they just purchased a new wine chiller Maybe a nice bottle of wine| [person:alan m 0-0][person:wilboroghs g() 2-2]
bradley| What kind of wine Me not a drinker of the grape stuff HAHA D| [person:bradley m 4-4]
alan| Me either Maybe we should do a app or pudding| [person:alan m 0-0][person:we g(alan:bradley) 3-3]
alan| Give Donald a ring and sort this out and text me after so me can grab it on way over| [person:donald m 1-1][person:alan m 10-10][person:alan m 13-13]
bradley| Alrghty will do that and text ye back in a moment or two|
bradley| Sorted it out with Donald He said that if we could bring the greens it be aces He forgot an in the weeds with the Mrs| [person:donald m 4-4][person:donald m 5-5][person:we g(alan:bradley) 9-9][person:donald m 17-17]
alan| HAHAHHA sounds like we could save him a night in the dog house mate Bloke wil owe us one for this right I will grab up a garden an some sauces| [person:we g(alan:bradley) 3-3][person:donald m 6-6][person:we g(alan:bradley) 17-17][person:alan m 22-22]
bradley| Pints on him next out with the chaps You grab it up and I will see you there| [person:donald m 2-2][person:alan m 8-8][person:bradley m 13-13][person:alan m 16-16]

conv:people_2019081201_134:aug_0:chat_0:chataug_0| lori susie| [person:lori f 0-0][person:susie f 1-1]
lori| Hi Susie| [person:lori f 1-1]
lori| How are you doing I need a favor from you| [person:susie f 2-2][person:lori f 4-4][person:lori f 9-9]
susie| Hi Lori I am doing great Hbu sure what can I help you with| [person:lori f 1-1][person:susie f 2-2][person:susie f 10-10][person:lori f 12-12]
lori| My friend Cynthia is coming to town I was wondering if you are free to pick her up| [person:lori f 0-0][person:cynthia f 1-1][person:cynthia f 2-2][location:town s 6-6][person:lori f 7-7][person:susie f 11-11][person:cynthia f 16-16]
susie| When and Where should I pick her up| [person:susie f 4-4][person:cynthia f 6-6]
lori| Cynthia will be at the work event this Friday at 700PM| [person:cynthia f 0-0]
susie| Oh I am afraid I cannot go since I have to meet up with Carlos during that time| [person:susie f 1-1][person:susie f 4-4][person:susie f 8-8][person:carlos m 14-14]
lori| Oh I see I have asked pretty much everyone I know You are my last resort Would you reconsider it| [person:lori f 1-1][person:lori f 3-3][person:everyone g() 8-8][person:lori f 9-9][person:susie f 11-11][person:lori f 13-13][person:susie f 17-17]
lori| Maybe tell Carlos you are meeting him at a different time I am sure he will agree since he is very nice guy| [person:carlos m 2-2][person:susie f 3-3][person:carlos m 6-6][person:lori f 11-11][person:carlos m 14-14][person:carlos m 18-18]
susie| Ummm I guess since is urgent and you don t have anyone available| [person:susie f 1-1][person:lori f 7-7][person:anyone u 11-11]
susie| I ll go for this time but dinner is on you LOL| [person:susie f 0-0][person:lori f 10-10]
lori| haha of course I ll buy you dinner Thanks again| [person:lori f 3-3][person:susie f 6-6]
susie| No Problem|

conv:people_2019081201_136:aug_0:chat_0:chataug_0| clyde dan| [person:clyde m 0-0][person:dan m 1-1]
dan| Hey Clyde the Glide Some brewskies and chow later this week| [person:clyde m 1-1]
clyde| Sure Dan the Man But Nancy and Dennis are in town Should we invite them| [person:dan m 1-1][person:nancy f 5-5][person:dennis m 7-7][location:town s 10-10][person:dan___clyde g(dan:clyde) 12-12][person:nancy___dennis g(nancy:dennis) 14-14]
dan| Yeah They are a blast Nancy in particular| [person:nancy___dennis g(nancy:dennis) 1-1][person:nancy f 5-5]
clyde| Yeah she can drink Dennis under the table| [person:nancy f 1-1][person:dennis m 4-4]
dan| Well my momma can drink Dennis under the table but I get your drift| [person:dan m 1-1][person:dennis m 5-5][person:dan m 10-10][person:clyde m 12-12]
clyde| LOL So should we make it a 3 Martini lunch Do you think they ll be down with that| [person:dan___clyde g(dan:clyde) 3-3][person:dan m 11-11][person:nancy___dennis g(nancy:dennis) 13-13]
dan| Well one of the two will be down with that|
clyde| Clyde LOL So i ll invite them We can do a Jazz brunch| [person:clyde m 0-0][person:clyde m 3-3][person:nancy___dennis g(nancy:dennis) 6-6][person:dan___clyde g(dan:clyde) 7-7]
dan| Sounds like a blast I can t wait to see them again| [person:dan m 4-4][person:nancy___dennis g(nancy:dennis) 10-10]
clyde| Yeah its been a long time since we all hung| [person:dan___clyde g(dan:clyde) 7-7]
dan| Too long Let me know what time is good for them and I ll book a table| [person:dan m 3-3][person:nancy___dennis g(nancy:dennis) 10-10][person:dan m 12-12]
clyde| Great Will do Bro|

conv:people_2019081201_137:aug_0:chat_0:chataug_0| andrea walt| [person:andrea f 0-0][person:walt m 1-1]
andrea| Nancy and Teresa are coming to visit| [person:nancy f 0-0][person:teresa f 2-2]
walt| That s right they will be here soon| [person:they g(nancy:teresa) 3-3][location:here u 6-6]
walt| Do you have any ideas on what we can do| [person:andrea f 1-1][person:we g(andrea:walt:nancy:teresa) 7-7]
andrea| That s a good question do you have any idea s| [person:walt m 6-6]
walt| We could go to the zoo| [person:we g(andrea:walt:nancy:teresa) 0-0][location:zoo s 5-5]
andrea| That sounds fun what else|
walt| We could go to the movies or rent some| [person:we g(andrea:walt:nancy:teresa) 0-0]
andrea| That is also something we can do| [person:we g(andrea:walt:nancy:teresa) 4-4]
walt| We should all go out to eat somewhere too| [person:we g(andrea:walt:nancy:teresa) 0-0]
andrea| Sounds great I think Nancy and Teresa will like that| [person:andrea f 2-2][person:nancy f 4-4][person:nancy f 6-6]

conv:people_2019081201_139:aug_0:chat_0:chataug_0| jesse nick| [person:jesse m 0-0][person:nick m 1-1]
nick| hey jesse| [person:jesse m 1-1]
jesse| hey|
nick| me patrick and michael are going to europe wanna come| [person:nick m 0-0][person:patrick m 1-1][person:michael m 3-3][location:europe s 7-7]
jesse| ugh i dont know| [person:jesse m 1-1]
nick| whats there not to know|
jesse| i dont know patrick or michael| [person:jesse m 0-0][person:patrick m 3-3][person:michael m 5-5]
nick| so|
jesse| so im ok with you being gay and all but your neighborsboyfriends coming i dont know they might try to bang me in my sleep or something| [person:nick m 4-4][person:nick m 10-10][person:jesse m 13-13][person:they g(patrick:michael) 16-16][person:jesse m 21-21]
nick| u serious| [person:jesse m 0-0]
nick| your not their type| [person:jesse m 0-0][person:they g(patrick:michael) 2-2]
jesse| sure and then next thing i know i ll wake up and cant sit straight for months| [person:jesse m 5-5][person:jesse m 7-7]
nick| hilarious|
nick| no seriously they are good people michael is a programmer and works for google and patrick is a stripper so he can bring some stripper girls from work to keep you entertained| [person:they g(patrick:michael) 2-2][person:michael m 6-6][person:patrick m 15-15][person:patrick m 20-20][person:girls g() 25-25][person:jesse m 30-30]
jesse| sounds interesting but im not sure|
nick| they want to meet you since your my best friend| [person:they g(patrick:michael) 0-0][person:jesse m 4-4][person:jesse m 6-6][person:nick m 7-7]
nick| they are good people they like to donate their time to local soup kitchens and help the homeless they wont do anything bad to you i promise| [person:they g(patrick:michael) 0-0][person:they g(patrick:michael) 4-4][person:their g(patrick:michael) 8-8][person:they g(patrick:michael) 18-18][person:jesse m 24-24][person:nick m 25-25]
jesse| ok but i woke up pinned down under a sweaty behemoth i am blaming you| [person:jesse m 2-2][person:jesse m 11-11][person:nick m 14-14]
jesse| i ll come| [person:jesse m 0-0]
nick| awesome i ll call them to let them know your decision talk to you later bye| [person:nick m 1-1][person:they g(patrick:michael) 4-4][person:they g(patrick:michael) 7-7][person:jesse m 9-9][person:jesse m 13-13]
jesse| bye|

conv:people_2019081201_140:aug_0:chat_0:chataug_0| debra samantha| [person:debra f 0-0][person:samantha f 1-1]
samantha| Whattup betch Trynta go hiking next week|
debra| When|
samantha| Saturday|
debra| Ah shit I can t My boss is working me overtime if you know what I mean| [person:debra f 2-2][person:debra f 5-5][person:debra f 9-9][person:samantha f 12-12][person:debra f 15-15]
