conv:people_2019090101_86:aug_0:chat_0:chataug_0| kevin noah| [person:kevin m 0-0][person:noah m 1-1]
emma| Do you think she d be down to jog with me| [person:victoria f 1-1][person:victoria f 3-3][person:emma f 10-10]
victoria| I m not sure but you could try asking do you want her contact information| [person:victoria f 0-0][person:emma f 5-5][person:emma f 10-10][person:victoria f 12-12]
emma| Yes please give me her number Thanks so much| [person:emma f 3-3][person:victoria f 4-4]

conv:people_2019090101_226:aug_0:chat_0:chataug_0| catherine tara| [person:catherine f 0-0][person:tara f 1-1]
catherine| Hi How are you doing| [person:tara f 3-3]
tara| I am good Thanks How about you| [person:tara f 0-0][person:catherine f 6-6]
catherine| Im good too Thank you| [person:tara f 4-4]
catherine| What can we have for lunch| [person:catherine f 2-2]
tara| I am Ok with Pizza| [person:tara f 0-0]
catherine| I like to have mexican food just suggest| [person:catherine f 0-0]
tara| Even i like mexian food This is good idea| [person:tara f 1-1]
catherine| Thanks a lot shall we go now| [person:catherine f 4-4]
tara| Yes I am OK| [person:tara f 1-1]
catherine| will go and have mexican food now|
tara| Sure cheers|

conv:people_2019090101_227:aug_0:chat_0:chataug_0| clyde jerry| [person:clyde m 0-0][person:jerry m 1-1]
jerry| Hey Clyde how s it going man| [person:clyde m 1-1][location:it s 4-4]
clyde| Doing well Jerry long time no talk| [person:jerry m 2-2]
jerry| So true just checking in on you| [person:clyde m 6-6]
clyde| Well now that we re back in contact how do you feel about grabbing drinks| [person:we g(jerry:clyde) 3-3][person:jerry m 10-10]
jerry| That sounds great should it be just us| [location:it s 4-4][location:it s 7-7]
clyde| Well do you want to invite anyone| [person:jerry m 2-2][person:anyone u 6-6]
jerry| I d love to bring my friends Janet and Christian if that s cool| [person:jerry m 0-0][person:jerry m 5-5][person:friends g() 6-6][person:janet f 7-7][person:christian m 9-9]
clyde| The more the merrier I always say| [person:clyde m 4-4]
jerry| Great my schedule is the same as both Janet and Christian and we re all available Tuesday evenings| [person:jerry m 1-1][person:janet f 8-8][person:christian m 10-10][person:we g(jerry:clyde) 12-12]
clyde| Let s do Tuesday at 8pm is that good|
jerry| OK I ll chat you up later to get more details but that sounds like a plan for now| [person:jerry m 1-1][person:clyde m 4-4]

conv:people_2019090101_228:aug_0:chat_0:chataug_0| doug evan| [person:doug m 0-0][person:evan m 1-1]
evan| hi how are you doug| [person:doug m 3-3][person:doug m 4-4]
doug| fine you evan| [person:evan m 1-1][person:evan m 2-2]
doug| our friends Garry Frank Jordan and Dan are planning to night out are you comming| [person:our g(evan:doug) 0-0][person:friends g(evan:doug) 1-1][person:garry m 2-2][person:frank m 3-3][person:jordan m 4-4][person:dan m 6-6][person:evan m 13-13]
evan| sure ill join you send the spot to combine| [person:doug m 3-3][location:spot s 6-6]
doug| decide where to go based on everyone s preferences| [location:where s 1-1][person:everyone g(evan:doug:garry:frank:jordan:dan) 6-6]
doug| i am inviting all to party night our| [person:doug m 0-0][location:party s 5-5][person:our g(evan:doug:garry:frank:jordan:dan) 7-7]
evan| make it as possible as every one can join| [location:party s 1-1]
evan| Garry Frank are coming to gether| [person:garry m 0-0][person:frank m 1-1]
doug| Jordan and Dan are comming to gether| [person:jordan m 0-0][person:dan m 2-2]
evan| call every one|
doug| sure ill call every one|
evan| it must be remarkable night to every one|
doug| ill arrange the time schedule to move arround|
evan| ok you handle it and| [person:doug m 1-1]

conv:people_2019090101_229:aug_0:chat_0:chataug_0| benjamin brian| [person:benjamin m 0-0][person:brian m 1-1]
benjamin| Hey I was planning on going out for drinks with my friends after school next Friday in the area you work| [person:benjamin m 1-1][person:benjamin m 10-10][person:brian m 11-11][location:school s 13-13][person:brian m 19-19]
brian| Cool That sounds like fun|
benjamin| Do you happen to know nay fun pubs| [person:brian m 1-1]
brian| Well I ve always enjoyed Three Cat Tavern They have great food| [person:benjamin m 1-1][location:tavern s 7-7][person:benjamin m 8-8]
benjamin| I don t think we ll really be eating Besides that place is too dark for me| [person:benjamin m 0-0][person:benjamin m 4-4][person:benjamin m 16-16]
brian| What about The Large Eared Fox They always have great drink specials| [person:brian m 6-6]
benjamin| I think that could work My friends always love places with weird names| [person:benjamin m 0-0][person:brian m 5-5][person:benjamin m 6-6][location:places g() 9-9]
brian| Awesome Glad I could help| [person:benjamin m 2-2]
benjamin| Would you be interested in coming out with us| [person:benjamin m 1-1][location:tavern s 8-8]
brian| Sure I don t have anything else planned for Friday night| [person:brian m 1-1]
benjamin| Great we ll meet you there| [person:benjamin m 1-1][person:benjamin m 4-4][location:tavern s 5-5]

conv:people_2019090101_232:aug_0:chat_0:chataug_0| gary tim| [person:gary m 0-0][person:tim m 1-1]
gary| Hey Tim Let s go for a break| [person:tim m 1-1]
tim| Yeah Sure Let s go once I m done with this stuff| [person:tim m 6-6]
gary| That s great Do you know anyone who ll go for lunch too| [person:tim m 4-4][person:anyone u 6-6]
tim| I think Jeff and Jim will be on lunch as well| [person:tim m 0-0][person:jeff m 2-2][person:jim m 4-4]
gary| Great Let s ask them to come with us| [person:them g(jeff:jim) 4-4][person:us g(gary:tim) 8-8]
tim| But I think they would only enjoy Italian food| [person:tim m 1-1][person:them g(jeff:jim) 3-3]
gary| Do you happen to know any nearby Italian restaurants| [person:tim m 1-1][location:restaurants g() 8-8]
tim| I can try to Google if you d like| [person:tim m 0-0][person:gary m 6-6]
gary| Yes please so they can come over| [person:them g(jeff:jim) 3-3]
tim| I see one that s just 2 blocks away and they have gone there too| [person:tim m 0-0][person:them g(jeff:jim) 10-10][location:there s 13-13]
gary| That s good Let s call them and go for lunch| [person:them g(jeff:jim) 6-6]
tim| Good I m hungry| [person:tim m 1-1]
tim| Have you already reserved a seat for us at the restaurant| [person:gary m 1-1][person:us g(gary:tim:jeff:jim) 7-7][location:restaurant s 10-10]
gary| Not yet I m glad you reminded me of it Should I reserve a seat for 4| [person:gary m 2-2][person:tim m 5-5][person:gary m 7-7][person:gary m 11-11]
tim| Yes I have already asked Jim and Jeff and they agreed to come with us They told me the food was great at that restaurant| [person:tim m 1-1][person:jim m 5-5][person:jeff m 7-7][person:them g(jeff:jim) 9-9][person:us g(gary:tim) 14-14][person:them g(jeff:jim) 15-15][person:tim m 17-17]
gary| That s great Should I order food online as well| [person:gary m 4-4]
tim| I think it would be better if we get a peak at their menu first| [person:tim m 0-0][person:us g(gary:tim) 7-7][person:their g() 12-12]
gary| Then we can also ask them their best sellers| [person:us g(gary:tim) 1-1][person:their g() 5-5][person:their g() 6-6]
tim| That s a great idea Let s get going then|
tim| Jim and Jeff are ready as well They re excited to go the restaurant I think They haven t even finished their work| [person:jim m 0-0][person:jeff m 2-2][person:them g(jeff:jim) 7-7][person:tim m 14-14][person:them g(jeff:jim) 16-16][person:them g(jeff:jim) 21-21]
gary| I think they really love it there then Let s go Grab your suitcase and let s fill our tummies| [person:gary m 0-0][person:them g(jeff:jim) 2-2][location:restaurant s 5-5][location:restaurant s 6-6][person:tim m 12-12][person:us g(gary:tim) 18-18]

conv:people_2019090101_233:aug_0:chat_0:chataug_0| judy raymond| [person:judy f 0-0][person:raymond m 1-1]
raymond| Hey Judy I m stuck here at work for a bit longer| [person:judy f 1-1][person:raymond m 2-2][location:work s 5-5]
judy| Oh no what happened|
raymond| We had a long meeting and I got behind I ll be another hour| [person:raymond m 0-0][person:raymond m 6-6][person:raymond m 9-9]
judy| What time is Jacqueline out of school today| [person:jacqueline f 3-3][location:school s 6-6]
raymond| I will need you to pick her up She has cheer practice until 5| [person:raymond m 0-0][person:judy f 3-3][person:jacqueline f 6-6][person:jacqueline f 8-8]
judy| I was going to the store then to get food for tonight Remember Jose Donna and Maria are coming over| [person:judy f 0-0][person:jose m 13-13][person:donna f 14-14][person:maria f 16-16]
raymond| You can t do that on the way| [person:judy f 0-0]
judy| No I won t have time Why don t you go to the store when you re done and I ll pick up Jacqueline| [person:judy f 1-1][person:raymond m 9-9][person:raymond m 15-15][person:judy f 19-19][person:jacqueline f 23-23]
raymond| Okay what am I getting| [person:raymond m 3-3]
judy| I was going to make tacos I was thinking of having different meat options| [person:judy f 0-0][person:judy f 6-6]
raymond| Oh good idea like chicken and steak|
judy| Yes and maybe some fish too I think I saw Mahi Mahi was on sale| [person:judy f 6-6][person:judy f 8-8]
raymond| Why don t we do steak and Mahi Mahi then We can skip the chicken| [person:everyone g(raymond:judy:jacqueline:jose:donna:maria) 3-3][person:everyone g(raymond:judy:jacqueline:jose:donna:maria) 10-10]
judy| Okay sounds good And pick up some wine maybe a nice white a rose and a mild red|
raymond| Pinot Noir|
judy| Perfect Get one from Oregon| [location:oregon s 4-4]
raymond| Okay don t forget Jacqueline I ll see you in a couple of hours| [person:jacqueline f 4-4][person:raymond m 5-5][person:judy f 8-8]
judy| Okay bye|

conv:people_2019090101_234:aug_0:chat_0:chataug_0| cheryl helen| [person:cheryl f 0-0][person:helen f 1-1]
helen| what should we get for the trip| [person:we g(helen:cheryl) 2-2][location:trip s 6-6]
cheryl| everyone can just bring their own stuff| [person:everyone g() 0-0][person:their g() 4-4]
helen| good idea so what should everyone bring| [location:idea s 1-1][person:everyone g() 5-5]
cheryl| a lot of food and drinks sounds good| [location:sounds s 6-6]
helen| we shouldn t need too much food since we can just get something to eat on the way| [person:we g(helen:cheryl) 0-0][person:we g(helen:cheryl) 8-8]
cheryl| good point some snacks will be useful|
helen| we should bring pillows in case anyone wants to take a nap| [person:we g(helen:cheryl) 0-0][person:anyone u 6-6]
cheryl| good idea make sure everyone brings toothpaste and toothbrushes| [person:everyone g() 4-4]
helen| how much money should each person bring|
cheryl| i don t think we ll need that much credit cards should be fine| [person:cheryl f 0-0][person:we g(helen:cheryl) 4-4]
helen| alright i ll see you then| [person:helen f 1-1][person:cheryl f 4-4]

conv:people_2019090101_236:aug_0:chat_0:chataug_0| matt sandra| [person:matt m 0-0][person:sandra f 1-1]
sandra| Hey Matt where are you Are you free now| [person:matt m 1-1][person:matt m 4-4][person:matt m 6-6]
matt| Tell me Sandra im out| [person:matt m 1-1][person:sandra f 2-2]
sandra| I wanted to get my books from Cheryl but unfortunately im stuck in party| [person:sandra f 0-0][person:sandra f 4-4][person:cheryl f 7-7]
matt| Oops how long will it takes|
sandra| Not sure Matt I wanna take the books can you help me| [person:matt m 2-2][person:sandra f 3-3][person:matt m 9-9][person:sandra f 11-11]
matt| Okay Sandra I can help you out| [person:sandra f 1-1][person:matt m 2-2][person:sandra f 5-5]
sandra| Let me share you the location where she stays| [person:sandra f 1-1][person:matt m 3-3][person:cheryl f 7-7]
matt| Okay sure I will check and see| [person:matt m 2-2]
sandra| Thanks a lot Matt so kind of you for this| [person:matt m 3-3][person:matt m 7-7]
matt| No no problem dear|

conv:people_2019090101_237:aug_0:chat_0:chataug_0| peter rusell| [person:peter m 0-0][person:rusell m 1-1]
rusell| Remember that big favor that you owe me I am ready to collect on it now| [person:peter m 5-5][person:rusell m 7-7][person:rusell m 8-8]
peter| Sure What do you have in mind| [person:rusell m 3-3]
rusell| Well my friends Jack and Thomas would be on your side next month so I would really like it if you could show them around| [person:rusell m 1-1][person:peter m 2-2][person:peter m 3-3][person:peter m 5-5][person:peter m 9-9][person:rusell m 14-14][person:peter m 20-20][person:rusell m 23-23]
peter| There is a lot to do in New Orleans What do you friends like to do| [person:rusell m 11-11][person:peter m 12-12]
rusell| Well they love to eat and drink| [person:rusell m 1-1]
peter| Ok that one is easy I can think of many great restaurants to take them too| [person:peter m 5-5][person:peter m 14-14]
rusell| Thanks a lot But what about attractions|
peter| Maybe a museum or two How long would they be there for| [person:peter m 8-8]
rusell| Less than a week I guess| [person:rusell m 4-4]
peter| Are they into any kinds of sports| [person:rusell m 1-1]
rusell| They love baseball a lot| [person:rusell m 0-0]
peter| Ok I will try to get tickets| [person:peter m 1-1]
rusell| Thanks bro You have really come through for me| [person:peter m 2-2][person:rusell m 8-8]
peter| Well now we are square| [person:peter m 2-2]

conv:people_2019090101_238:aug_0:chat_0:chataug_0| catherine ethan| [person:catherine f 0-0][person:ethan m 1-1]
ethan| You excited about the playoff game| [person:catherine f 0-0][location:game s 5-5]
catherine| Yeah We should have a blast| [person:we g(ethan:catherine) 1-1]
ethan| So its me you Kayla Justin Nicole and Ryan Right| [person:ethan m 2-2][person:catherine f 3-3][person:kayla f 4-4][person:justin m 5-5][person:nicole f 6-6][person:ryan m 8-8]
catherine| That s right|
ethan| What should we get for snacks and drinks| [person:we g(ethan:catherine) 2-2]
catherine| Hmmm What will make everyone happy| [person:everyone g(ethan:catherine:kayla:justin:nicole:ryan) 4-4]
ethan| Pizza usually works well for everyone| [person:everyone g(ethan:catherine:kayla:justin:nicole:ryan) 5-5]
catherine| I ll check with Kayla Justin Nicole and Ryan But that should work except I ll need to check on topping preferences| [person:catherine f 0-0][person:kayla f 4-4][person:justin m 5-5][person:nicole f 6-6][person:ryan m 8-8][person:catherine f 14-14]
ethan| LOL definetely no anchovies|
catherine| How does soda sound|
ethan| Sounds good Check with the others please| [person:others g(kayla:justin:nicole:ryan) 5-5]
catherine| Alright I ll talk to you later| [person:catherine f 1-1][person:ethan m 5-5]

conv:people_2019090101_239:aug_0:chat_0:chataug_0| albert walt| [person:albert m 0-0][person:walt m 1-1]
albert| Would you like to go to a work event tomorrow| [person:walt m 1-1]
walt| Sure that sounds good to me| [person:walt m 5-5]
albert| Alright that is good to know|
walt| can I bring Linda and Dylan| [person:walt m 1-1][person:linda f 3-3][person:dylan m 5-5]
albert| Yeah I like them a lot| [person:albert m 1-1][person:them g(linda:dylan) 3-3]
walt| where should we go though| [person:we g(albert:walt) 2-2]
albert| I was thinking that nice Italian place on Central Avenue| [person:albert m 0-0][location:that_nice_italian_place_on_central_avenue s 6-6]
walt| Oh yea I love that place| [person:walt m 2-2][location:that_nice_italian_place_on_central_avenue s 4-5][location:that_nice_italian_place_on_central_avenue s 5-5]
albert| Can you reserve a table there for us| [person:walt m 1-1][location:that_nice_italian_place_on_central_avenue s 5-5][person:us g(albert:walt:linda:dylan) 7-7]
walt| Of course I can| [person:walt m 2-2]
albert| That is great I will tell Linda and Dylan| [person:albert m 3-3][person:linda f 6-6][person:dylan m 8-8]

conv:people_2019090101_240:aug_0:chat_0:chataug_0| amber jill| [person:amber f 0-0][person:jill f 1-1]
jill| Hey Amber I ran into Philip this morning and he told me that they could not make it to the breakfast| [person:amber f 1-1][person:jill f 2-2][person:philip m 5-5][person:philip m 9-9][person:jill f 11-11][person:they g(philip) 13-13][location:breakfast s 20-20]
amber| Ooooh That is really sad I had everything prepared What now| [person:amber f 5-5]
jill| I really thought that this meeting would benifit me financially as well as personally Afterall Philip is our boss and a nice friend too| [person:jill f 0-0][person:jill f 8-8][person:philip m 15-15][person:our g(jill:amber) 17-17]
amber| It s okay We will think of something else| [person:we g(jill:amber) 3-3]
jill| Can you tell me what time this weekend would be best for the Clarks| [person:amber f 1-1][person:jill f 3-3]
amber| I think they have a plan till 2 PM and after that they are free| [person:amber f 0-0][person:they g(philip) 2-2][person:they g(philip) 12-12]
jill| That sounds good And do you have anything else in mind to do over in the weekend| [person:amber f 5-5]
amber| How about dinner I think they will love the pasta you make| [location:dinner g() 2-2][person:amber f 3-3][person:they g(philip) 5-5][person:jill f 10-10]
jill| Okay That sounds like very good idea And I will send the invitation to Lisa| [person:jill f 8-8][person:lisa f 14-14]
amber| Okay Bye Have a nice day|
jill| Bye|

conv:people_2019090101_242:aug_0:chat_0:chataug_0| julia logan| [person:julia f 0-0][person:logan m 1-1]
julia| I m looking forward to Kelly and Sharon s visit| [person:julia f 0-0][person:kelly f 5-5][person:sharon f 7-7]
logan| Me too We should think of some fun things to do while they are here| [person:logan m 0-0][person:julia___logan g(julia:logan) 2-2][person:kelly___sharon g(kelly:sharon) 12-12][location:here s 14-14]
julia| Good idea Do you have any ideas| [person:logan m 3-3]
logan| We could go to the symphony they are both really into music| [person:entire_group g(julia:logan:kelly:sharon) 0-0][location:the_symphony s 4-5][person:kelly___sharon g(kelly:sharon) 6-6]
julia| That s a good idea We can also visit some art museums Doesn t Kelly like to sketch| [person:entire_group g(julia:logan:kelly:sharon) 5-5][location:art_museums s 10-11][person:kelly f 14-14]
logan| She does and paints as well The art museum would be a great idea| [person:kelly f 0-0][location:art_museums s 7-8]
julia| We should have a cookout too while they are here| [person:entire_group g(julia:logan:kelly:sharon) 0-0][person:kelly___sharon g(kelly:sharon) 7-7][location:here s 9-9]
logan| Sure we can invite some other people over to meet them| [person:julia___logan g(julia:logan) 1-1][person:kelly___sharon g(kelly:sharon) 10-10]
julia| We should also go out dancing They love to go dancing and so do I| [person:entire_group g(julia:logan:kelly:sharon) 0-0][person:kelly___sharon g(kelly:sharon) 6-6][person:julia f 14-14]
logan| That would be great too Do you think they d like to go country dancing Or would they prefer an 80 s club| [person:julia f 6-6][person:kelly___sharon g(kelly:sharon) 8-8][person:kelly___sharon g(kelly:sharon) 17-17][location:club s 22-22]
julia| Let s leave the choice up to them I m good for either| [person:kelly___sharon g(kelly:sharon) 7-7][person:julia f 8-8]
logan| Sounds like we have some good plans| [person:julia___logan g(julia:logan) 2-2]

conv:people_2019090101_244:aug_0:chat_0:chataug_0| gregory sean| [person:gregory m 0-0][person:sean m 1-1]
gregory| Hey me Jim and Aaron are going to the movies right around where you work| [person:gregory m 1-1][person:jim m 2-2][person:aaron m 4-4][person:sean m 13-13]
gregory| Which theater s are the best|
sean| Always go with AMC or Bowtie cinemas They offer the best deals|
gregory| Awesome thanks We re just debating which movie to see Any good recommendations| [person:we g(gregory:jim:aaron) 2-2]
sean| There are so many I really want to see Ready or Not or IT| [location:there s 0-0][person:sean m 4-4][location:it s 13-13]
sean| Since Halloween is right around the corner|
gregory| I agree all three of us love scary movies Hey you should definitely join us We re going this Friday night| [person:gregory m 0-0][location:us g() 5-5][person:sean m 10-10][person:we g(gregory:jim:aaron) 14-14][person:we g(gregory:jim:aaron) 15-15]
sean| Well that all depends There are about there theater s I ll only see movies from around here The Greenwood Bowtie cinemas The Redwood AMC theater or Hunterville s AMC theater| [location:there s 4-4][location:there s 7-7][person:sean m 10-10][location:here s 17-17]
gregory| Which every one you want we ll go see the movie at| [person:sean m 3-3][person:we g(gregory:jim:aaron) 5-5]
sean| Ok I m in and I highly suggest the Greenwood BowTie Cinemas It s the best one and the seats are the most comfortable| [person:sean m 1-1][person:sean m 5-5]
gregory| Sweet I ll let Jim and Aaron know| [person:gregory m 1-1][person:jim m 4-4][person:aaron m 6-6]
sean| See you Friday| [person:gregory m 1-1]

conv:people_2019090101_245:aug_0:chat_0:chataug_0| amber jill| [person:amber f 0-0][person:jill f 1-1]
jill| Hey Amber I ran into Philip this morning and he told me that they could not make it to the breakfast| [person:amber f 1-1][person:jill f 2-2][person:philip m 5-5][person:philip m 9-9][person:jill f 11-11][person:they g(philip) 13-13]
amber| Ooooh That is really sad I had everything prepared What now| [person:amber f 5-5]
jill| I really thought that this meeting would benifit me financially as well as personally Afterall Philip is our boss and a nice friend too| [person:jill f 0-0][person:jill f 8-8][person:philip m 15-15][person:our g(jill:amber) 17-17]
amber| It s okay We will think of something else| [person:we g(jill:amber) 3-3]
jill| Can you tell me what time this weekend would be best for the Clarks| [person:amber f 1-1][person:jill f 3-3]
amber| I think they have a plan till 2 PM and after that they are free| [person:amber f 0-0][person:they g(philip) 2-2][person:they g(philip) 12-12]
jill| That sounds good And do you have anything else in mind to do over in the weekend| [person:amber f 5-5]
amber| How about dinner I think they will love the pasta you make| [person:amber f 3-3][person:they g(philip) 5-5][person:jill f 10-10]
jill| Okay That sounds like very good idea And I will send the invitation to Lisa| [person:jill f 8-8][person:lisa f 14-14]
amber| Okay Bye Have a nice day|
jill| Bye|

conv:people_2019090101_246:aug_0:chat_0:chataug_0| emma steven| [person:emma f 0-0][person:steven m 1-1]
steven| It s movie night Yay|
steven| I love movie night Let s work out the details| [person:steven m 0-0]
emma| First we should try to choose a movie What does everyone like| [person:we g(steven:emma) 1-1][person:everyone g(steven:emma) 10-10]
steven| Kim and Ricky like science fiction and romance| [person:kim f 0-0][person:ricky m 2-2]
emma| Yeah and so do you Theresa and Marcus also like science fiction and they like religious movies| [person:steven m 4-4][person:theresa f 5-5][person:marcus m 7-7][person:they g(theresa:marcus) 13-13]
steven| You like science fiction right| [person:emma f 0-0]
emma| Yeah let s watch that one about the robot Should we get popcorn and sodas| [person:everyone g(steven:emma:kim:ricky:theresa:marcus) 10-10]
steven| Yes and we should also get some water because I think Marcus and Theresa prefer water| [person:everyone g(steven:emma:kim:ricky:theresa:marcus) 2-2][person:steven m 9-9][person:marcus m 11-11][person:theresa f 13-13]
emma| That s right What about candy|
steven| Kim and Marcus love chocolate and Ricky likes fruit candy| [person:kim f 0-0][person:marcus m 2-2][person:ricky m 6-6]
emma| I ll share the fruit candy with Ricky and you share all the candy with everyone| [person:emma f 0-0][person:ricky m 7-7][person:steven m 9-9][person:everyone g(steven:emma:kim:ricky:theresa:marcus) 15-15]
steven| Sounds like a plan to me| [person:steven m 5-5]

conv:people_2019090101_247:aug_0:chat_0:chataug_0| bruce shawn| [person:bruce m 0-0][person:shawn m 1-1]
shawn| Hey Bruce so I made a list of things that we need for the jog| [person:bruce m 1-1][person:shawn m 3-3][person:we g(shawn) 10-10]
shawn| I have a lot of the things already like extra at my house| [person:shawn m 0-0][person:shawn m 11-11]
bruce| That s convenient then I also thought about some good energy bars sports drinks sunscreen and any jogging shoes if anyone needs| [person:bruce m 4-4][location:bars g() 11-11][person:anyone u 20-20]
shawn| I forgot about the sunscreen but I think we should all hopefully have good running shoes| [person:shawn m 0-0][person:shawn m 6-6][person:we g(shawn) 8-8]
bruce| So out of the things I can definitely bring some energy bars sports drinks and sunscreen What else do you think we need| [person:bruce m 5-5][location:bars g() 11-11][person:shawn m 19-19][person:we g(shawn:bruce) 21-21]
shawn| I can also bring some energy bars Powerade and I also have some perfect sized backpacks to hold all of our stuff| [person:shawn m 0-0][location:bars g() 6-6][person:shawn m 9-9][person:we g(shawn:bruce) 20-20]
bruce| That s a good idea because it is a 6 mile hiking trail right|
shawn| Exactly haha We ll need a lot of water too I ll tell the others to focus on bringing some water and maybe some cheap chicken sandwiches too| [person:we g(shawn:bruce) 2-2][person:shawn m 10-10][person:others g() 14-14]
bruce| Yeah at that rate we need to focus on nutrition I m going to pick up a few Subway Footlongs that we can cut in half and have for each of us| [person:we g(shawn:bruce) 4-4][person:bruce m 10-10][person:we g(shawn:bruce) 21-21][person:we g(shawn:bruce) 31-31]
shawn| That s perfect I ll also tell the others what we re missing But we should be all good with this stuff in mind| [person:shawn m 3-3][person:others g() 8-8][person:we g(shawn:bruce) 10-10][person:we g(shawn:bruce) 14-14]
bruce| Alright that sounds good Let me know if there s anything else we re lacking Can t wait| [person:bruce m 5-5][person:we g(shawn:bruce) 12-12]

conv:people_2019090101_248:aug_0:chat_0:chataug_0| carolyn evan| [person:carolyn f 0-0][person:evan m 1-1]
evan| Hey Carolyn how do you feel about going on a weekend getaway| [person:carolyn f 1-1][person:carolyn f 4-4]
carolyn| Hey Evan that sounds fun Who is gonna go Is it just you and me| [person:evan m 1-1][location:it s 10-10][person:evan m 12-12][person:carolyn f 14-14]
evan| Actually I wanted to bring my friends Doris Gloria and Barry too| [person:evan m 1-1][person:evan m 5-5][person:friends g() 6-6][person:doris f 7-7][person:gloria f 8-8][person:barry m 10-10]
carolyn| I would like to go but don t you think they might not like me| [person:carolyn f 0-0][person:evan m 8-8][person:friends g(doris:gloria:barry) 10-10][person:carolyn f 14-14]
evan| Are you kidding you are the absolute coolest I ve already told them all about you| [person:carolyn f 1-1][person:carolyn f 3-3][person:evan m 8-8][person:friends g(doris:gloria:barry) 12-12][person:carolyn f 15-15]
carolyn| I hope you told them only good things| [person:carolyn f 0-0][person:evan m 2-2][person:friends g(doris:gloria:barry) 4-4]
evan| Yes of course Doris and Gloria want to talk about makeup with you and Barry thinks that your love for soccer is hot| [person:doris f 3-3][person:gloria f 5-5][person:carolyn f 12-12][person:barry m 14-14][person:carolyn f 17-17]
carolyn| OK then I guess it won t be so bad When do we leave| [person:carolyn f 2-2][location:it s 4-4][person:we g(evan:carolyn) 12-12]
evan| We ll leave Friday night So I can count on you to be there| [person:we g(evan:carolyn) 0-0][person:evan m 6-6][person:carolyn f 10-10][location:there s 13-13]
carolyn| Yes count on it see you then| [location:it s 3-3][person:evan m 5-5]

conv:people_2019090101_249:aug_0:chat_0:chataug_0| aaron richard| [person:aaron m 0-0][person:richard m 1-1]
aaron| Hey Richard are you doing anything tonight| [person:richard m 1-1][person:richard m 3-3]
richard| No why What s up|
aaron| Me and my coworkers Zachery and Bryan were going out for drinks I was wondering if you d want to meet up| [person:aaron m 0-0][person:aaron m 2-2][person:coworkers g() 3-3][person:bryan m 6-6][person:aaron m 12-12][person:richard m 16-16]
richard| That sounds great It would take me at least 30 minutes to get over that way though| [person:richard m 6-6]
aaron| Oh no we were going to head your way I ve heard there are some really nice bars over there| [person:we g(aaron:bryan) 2-2][person:richard m 7-7][person:aaron m 9-9][location:there s 12-12][location:there g() 19-19]
richard| Oh yeah there are several Ever since they opened the new stadium they ve opened all sorts of bars and restaurants It s a great walking area too| [location:there s 2-2][location:m g() 4-4][location:stadium s 11-11][location:bars g() 18-18][location:restaurants g() 20-20][location:stadium s 21-21]
aaron| We wanted to try one of the new bars Do you have any favorites| [person:we g(aaron:bryan) 0-0][location:m g() 7-7][location:bars g() 8-8][person:richard m 10-10]
richard| Oh sure There s Home Plate but that s more of a restaurant for families They just have awesome food along with the bar| [location:there s 2-2][location:home s 4-4][location:restaurants g() 12-12][location:bars g() 23-23]
aaron| We ll have to eat at some point What else| [person:we g(aaron:richard:bryan) 0-0]
richard| My favorite bar is Duckworths They have all sorts of beer on tap They ve got lots of craft beers too| [person:richard m 0-0][location:bars g() 2-2]
aaron| Yeah That sounds good Bryan is really into brewing He s even thought of quitting his job and opening his own brewery| [person:bryan m 4-4][person:bryan m 9-9][person:bryan m 15-15][person:bryan m 19-19]
richard| If that s the case he would like Trailhead They re probably the smallest but you can see all the copper vats or whatever you call them that they make the beer in| [person:bryan m 5-5][location:trailhead s 8-8][person:aaron m 15-15][person:aaron m 24-24]
aaron| Oh yeah He d like that a lot| [person:bryan m 2-2]
richard| They have growlers so he could take a couple of batches home to try too| [person:bryan m 4-4][location:home s 11-11]
aaron| I think we d all like to do that So should we meet at Home Plate| [person:aaron m 0-0][person:we g(aaron:richard:bryan) 2-2][person:we g(aaron:richard:bryan) 11-11][location:home g() 14-14]
richard| That s the best food by far Unless you don t want to eat| [person:aaron m 8-8]
aaron| Oh no I think it s a good idea to wait and eat over there We ll meet you there at 6| [person:aaron m 2-2][location:there g() 14-14][person:we g(aaron:bryan) 15-15][person:richard m 18-18][location:there g() 19-19]
richard| Sounds good Then we could head over to Trailhead Brewing They are like a 5 minute walk from the restaurant| [person:we g(aaron:richard:bryan) 3-3][location:trailhead s 8-8][location:brewery s 9-9][location:restaurants g() 19-19]
aaron| That sounds like a good plan You know we may be running a little late Let s make it 615| [person:richard m 6-6][person:we g(aaron:richard:bryan) 8-8]
richard| Okay I ll get there at 6 to make sure we get a table| [person:richard m 1-1][location:restaurants g() 4-4][person:we g(aaron:richard:bryan) 10-10]
aaron| Oh thanks man We ll see you in a bit| [person:we g(aaron:bryan) 3-3][person:richard m 6-6]
richard| Yep see you there| [person:aaron m 2-2][location:restaurants g() 3-3]

conv:people_2019090101_250:aug_0:chat_0:chataug_0| brandon logan| [person:brandon m 0-0][person:logan m 1-1]
brandon| Hey Logan| [person:logan m 1-1]
logan| Hello Brandon| [person:brandon m 1-1]
brandon| I wanted to ask a favor from you| [person:brandon m 0-0][person:logan m 7-7]
logan| Sure tell me and I will see what I can do| [person:logan m 2-2][person:logan m 4-4][person:logan m 8-8]
