conv:people_chats_0629_362:aug_0:chat_0:chataug_0| hollie joe| [person:hollie f 0-0][person:joe m 1-1]
marc| Honey please calm down There s no need to rush out a decision like this|
soni| No Marc I have to get back| [person:marc m 1-1][person:soni f 2-2]
marc| Soni you re exposing yourself to danger You don t know what you might encounter back there| [person:soni f 0-0][person:soni f 1-1][person:soni f 4-4][person:soni f 7-7][person:soni f 12-12][location:home s 16-16]
marc| If Tim and Riz are missing then there must be something dangerous going on| [person:tim m 1-1][person:riz m 3-3]
soni| I m native to that place I know better than to endanger myself| [person:soni f 0-0][location:place s 5-5][person:soni f 6-6][person:soni f 12-12]
marc| You re not listening to me Soni You re making a big decision based on emotion| [person:soni f 0-0][person:marc m 5-5][person:soni f 6-6][person:soni f 7-7]
soni| Marc I m not having this argument right now My best friends are missing and I must go find them| [person:marc m 0-0][person:soni f 1-1][person:soni f 9-9][person:friends g(tim:riz) 11-11][person:soni f 15-15][person:friends g(tim:riz) 19-19]
soni| I can t just stay here| [person:soni f 0-0]
marc| I ve really had it with your temper Soni God Will you just once listen to me and not your emotions| [person:marc m 0-0][person:soni f 6-6][person:soni f 8-8][person:soni f 11-11][person:marc m 16-16][person:soni f 19-19]
marc| All I m asking is that you wait a little until I come back from my business trip| [person:marc m 1-1][person:soni f 6-6][person:marc m 11-11][person:marc m 15-15]
soni| Fine|

conv:people_long_0313_51:aug_0:chat_0:chataug_0| heer nina| [person:heer f 0-0][person:nina f 1-1]
heer| Hey Nina| [person:nina f 1-1]
nina| Hey H|
heer| Tim and Nelson were saying about moving to live with us that way they can be close to their kids and grand kids| [person:tim m 0-0][person:nelson m 2-2][person:us g(heer:nina) 10-10][person:they g(tim:nelson) 13-13][person:they g(tim:nelson) 18-18][person:kids g() 19-19][person:kids g() 22-22]
nina| That sounds like a nice idea but not too sure how it would work|
heer| I m sure we can find a way| [person:heer f 0-0][person:us g(heer:nina) 3-3]
nina| After last time I m not too sure| [person:nina f 3-3]
heer| We can always give it a go for a month or so| [person:us g(heer:nina) 0-0]
nina| Remember what happened last time That s why we looked at putting them into an old care home| [person:us g(heer:nina) 8-8][person:they g(tim:nelson) 12-12][location:care_home s 16-17]
heer| I know but I just want them to be happy and they miss us| [person:heer f 0-0][person:heer f 3-3][person:they g(tim:nelson) 6-6][person:they g(tim:nelson) 11-11][person:us g(heer:nina) 13-13]
nina| I will have a think about it| [person:nina f 0-0]
heer| Perhaps if you can persuade your husband| [person:nina f 2-2][person:nina f 5-5][person:husband m 6-6]
nina| I m not too sure| [person:nina f 0-0]
heer| We can hire a professional caregiver to be at home with them| [person:us g(heer:nina) 0-0][location:home s 9-9][person:they g(tim:nelson) 11-11]
nina| I don t know after last time I don t think it s a good idea| [person:nina f 0-0][person:nina f 7-7]
heer| At least consider it|
nina| I will think about it but I think we need to look at more ideas for Tim Nelson| [person:nina f 0-0][person:nina f 6-6][person:us g(heer:nina) 8-8][person:tim m 16-16][person:nelson m 17-17]

conv:people_long_0313_52:aug_0:chat_0:chataug_0| asher bella| [person:asher m 0-0][person:bella f 1-1]
asher| Hey have you talked to Thomas and Claire about the trip yet I need to reserve the flight The weather looks bright and cold through next Thursday and then gets a bit blizzardy for Friday through Sunday| [person:bella f 2-2][person:thomas m 5-5][person:claire f 7-7][person:asher m 12-12]
bella| Not yet but I will right now if you can wait a moment OK Are you thinking Delta Or Southwest I d prefer| [person:bella f 3-3][person:asher m 8-8][person:asher m 15-15][person:bella f 20-20]
bella| Delta but let me talk to them first| [person:bella f 3-3][person:them g(thomas:claire) 6-6]
asher| OK I m not going anywhere in the next few minutes Give them a call and let me know Also ask which lodge they d prefer North Slope or Eastern Ridge| [person:asher m 1-1][person:them g(thomas:claire) 12-12][person:asher m 17-17][person:them g(thomas:claire) 23-23][location:north_slope s 26-27][location:eastern_ridge s 29-30]
asher| You know Claire s a lodge person| [person:bella f 0-0][person:claire f 2-2]
bella| I just bet she ll want the Easter Ridge Lodge but let me check first Anything you need Thomas to bring| [person:bella f 0-0][person:claire f 3-3][location:eastern_ridge s 7-8][person:bella f 12-12][person:asher m 16-16][person:thomas m 18-18]
asher| Just his kit and his laptop so we can check the scores We have an office pool on the game| [person:thomas m 1-1][person:thomas m 4-4][person:we g(asher:bella) 7-7][person:we g(asher:bella) 12-12][location:office s 15-15]
bella| OK will do Which game are you watching| [person:asher m 6-6]
asher| We re watching the Clippers and Lakers this Sunday both LA teams both very smart and active on the court should be a lot of fun to watch| [person:ash_and_thom g(asher:thomas) 0-0]
bella| OK let me check with Claire Back in a moment| [person:bella f 2-2][person:claire f 5-5]
asher| No rush Bella I m on a break and I ve finished the major project I was working on this morning| [person:bella f 2-2][person:asher m 3-3][person:asher m 9-9][person:asher m 15-15]
bella| OK Claire says they re on board for the trip Delta s fine with them but see if you can get the discounted fares| [person:claire f 1-1][person:them g(thomas:claire) 3-3][person:them g(thomas:claire) 14-14][person:asher m 18-18]
asher| Not a problem Did you ask Claire to remind Thomas of the game| [person:bella f 4-4][person:claire f 6-6][person:thomas m 9-9]
bella| Yep He s looking forward to it too Will give us a break from the slopes and give them some lodge time together| [person:thomas m 1-1][person:we g(asher:bella) 10-10][person:them g(thomas:claire) 18-18]

conv:people_long_0313_53:aug_0:chat_0:chataug_0| jane rita| [person:jane f 0-0][person:rita f 1-1]
jane| Hey Rita I am thinking about visiting my husband John in prison| [person:rita f 1-1][person:rita f 2-2][person:rita f 7-7][person:husband m 8-8][person:john m 9-9]
rita| Are you mad Why do you want to go to the prison to meet him| [person:jane f 1-1][person:jane f 5-5][person:him m 14-14]
jane| I just had a feeling to meet him in person| [person:jane f 0-0][person:him m 7-7]
rita| Okay and what made you feel like that| [person:jane f 4-4]
jane| It s because I feel that I should see him after the death of his parents| [person:jane f 3-3][person:jane f 6-6][person:him m 9-9][person:rita f 14-14][person:parents g() 15-15]
rita| Okay I understand but I wonder if he would want to see you| [person:rita f 1-1][person:rita f 4-4][person:john m 7-7][person:john m 12-12]
jane| My husband knows me and he will definitely appreciate it| [person:jane f 0-0][person:husband m 1-1][person:jane f 3-3][person:john m 5-5]
jane| Can I know that you and your husband Adam can give me a ride| [person:jane f 1-1][person:rita f 4-4][person:rita f 6-6][person:husband m 7-7][person:adam m 8-8][person:jane f 11-11]
rita| I am not sure about it Jane| [person:rita f 0-0][person:jane f 6-6]
rita| I don t think Adam will be willing to give you a ride to the prison| [person:rita f 0-0][person:adam m 4-4][person:jane f 10-10]
jane| Can you please ask him and intimate me about the ride earlier| [person:rita f 1-1][person:him m 4-4][person:jane f 7-7]
rita| Yeah I will get back to you about it soon| [person:rita f 1-1][person:jane f 6-6]
jane| Thanks for your help Rita I really appreciate you| [person:rita f 2-2][person:rita f 4-4][person:jane f 5-5][person:rita f 8-8]
rita| It s my pleasure to help you Jane| [person:rita f 2-2][person:jane f 6-6][person:jane f 7-7]

conv:people_long_0313_54:aug_0:chat_0:chataug_0| joe joy| [person:joe m 0-0][person:joy f 1-1]
joe| Hey Joy What are you doing| [person:joy f 1-1][person:joy f 4-4]
joy| Hi Joe I am thinking about the lines for a song| [person:joe m 1-1][person:joy f 2-2]
joy| Do you remember about our plan on writing a song| [person:joe m 1-1][person:our g(joe:joy) 4-4]
joe| Yes I do remember That s the reason I asked you about what you re doing| [person:joe m 1-1][person:joe m 8-8][person:joy f 10-10][person:joy f 13-13]
joy| Do you have any suggestion so that we ll compose an amazing song| [person:joe m 1-1][person:well g(joe:joy) 7-7]
joe| No I don t have any idea about composing as I don t know anything about songs| [person:joe m 1-1][person:joe m 10-10]
joy| Okay But I need some one s assistance while writing a song| [person:joy f 2-2]
joe| I know someone who can help us in writing the song| [person:joe m 0-0][person:someone u 2-2][person:us g(joe:joy) 6-6]
joy| Okay Can you tell their names so that I can decide whether to join them or not| [person:joy f 2-2][person:their g() 4-4][person:joy f 8-8][person:them g() 14-14]
joe| Linda and Carey they both are amazing song writers and I think they can help us in this| [person:linda f 0-0][person:carey m 2-2][person:they g(linda:carey) 3-3][person:joe m 10-10][person:they g(linda:carey) 12-12][person:us g(joe:joy) 15-15]
joy| I like their work They have an amazing composing skills| [person:joy f 0-0][person:their g(linda:carey) 2-2][person:they g(linda:carey) 4-4]
joy| But I do not prefer to include them in writing my song| [person:joy f 1-1][person:them g(linda:carey) 7-7][person:joy f 10-10]
joe| You re only telling that you like their work then why you don t want them to help us in writing the song| [person:joy f 0-0][person:joy f 5-5][person:their g(linda:carey) 7-7][person:joy f 11-11][person:us g(joe:joy) 18-18]
joe| Joy Are you there Why don t you want them to help us| [person:joy f 0-0][person:joy f 2-2][person:joy f 7-7][person:them g(linda:carey) 9-9][person:us g(joe:joy) 12-12]

conv:people_long_0313_55:aug_0:chat_0:chataug_0| jessica lana| [person:jessica f 0-0][person:lana f 1-1]
lana| Hey Jessica How is your experience building a tiny house| [person:jessica f 1-1][person:jessica f 4-4][location:house s 9-9]
jessica| I don t know much about it actually my brother did most of the building| [person:jessica f 0-0][person:jessica f 8-8][person:brother m 9-9]
jessica| Chester had some experiences with the building So he took most of the responsibilities| [person:chester m 0-0][person:chester m 8-8]
lana| Even Lester also has some experience on building houses| [person:lester m 1-1][location:houses s 8-8]
lana| During coursework at school he got experience in that| [location:school s 3-3][person:lester m 4-4]
jessica| That s really very good to have an experience in it but I think one must hire a professional contractor at first| [person:jessica f 12-12]
lana| I don t think he would like the idea of hiring a contractor| [person:lana f 0-0][person:lester m 4-4]
lana| He would be rather interested in building it on his own through his experience| [person:lester m 0-0][person:lester m 9-9][person:lester m 12-12]
jessica| We might instruct how we want to design but a professional person can guide you in all respect| [person:we g(chester:lester) 0-0][person:we g(chester:lester) 4-4][person:lana f 14-14]
jessica| Like what type of materials to use from where we can get it and also who might be the best labor to hire for the required work| [person:we g(chester:lester) 9-9]
lana| Your advise sounds technically well I will definitely discuss this with Lester| [person:jessica f 0-0][person:lana f 5-5][person:lester m 11-11]
jessica| Yeah sure if you need any help with the contacts just let me know I can help you| [person:lana f 3-3][person:jessica f 12-12][person:jessica f 14-14][person:lana f 17-17]
lana| Thank you very much for your suggestions I will reach you if I need any help| [person:jessica f 1-1][person:jessica f 5-5][person:lana f 7-7][person:jessica f 10-10][person:lana f 12-12]
jessica| Don t be formal I am there any time if you need| [person:jessica f 4-4][person:lana f 10-10]

conv:people_long_0313_56:aug_0:chat_0:chataug_0| janice richie| [person:janice f 0-0][person:richie f 1-1]
richie| Hey Janice Are you done with all the preparations for the Christmas dinner| [person:janice f 1-1][person:janice f 3-3]
janice| Yeah Richie I am done with the preparations| [person:richie f 1-1][person:janice f 2-2]
janice| Have you invited everyone for the Christmas dinner| [person:richie f 1-1][person:everyone g() 3-3]
richie| Almost everyone but I don t want to invite my creepy Uncle Richard| [person:everyone g() 1-1][person:richie f 3-3][person:richie f 9-9][person:uncle_richard m 11-12][person:uncle_richard m 12-12]
janice| Why What is the matter Do you have any issue with him| [person:richie f 6-6][person:uncle_richard m 11-11]
richie| He always gets too intoxicated and makes lewd remarks| [person:uncle_richard m 0-0]
richie| However he doesn t want to alienate Narma his new wife who he is quite fond of| [person:uncle_richard m 1-1][person:uncle_richard m 8-8][person:wife f 10-10][person:uncle_richard m 12-12]
janice| Okay no problem I think we can invite only Norma for the dinner| [person:janice f 3-3][person:we g(richie:janice) 5-5][person:wife f 9-9]
richie| Well your idea is very good but it might cause too much drama| [person:janice f 1-1]
janice| Yeah I agree with you that this is a tricky situation| [person:janice f 1-1][person:richie f 4-4]
richie| But I don t want him to go on another drunken tirades during the dinner| [person:richie f 1-1][person:uncle_richard m 5-5]
janice| I am really confused about this We need to take decision thinking about everyone invited that night| [person:janice f 0-0][person:we g(richie:janice) 6-6][person:everyone g(wife) 13-13]
richie| Yeah let s sit together and think whether to invite them or not| [person:them g(wife) 10-10]
janice| Cool we will discuss it after you reach home See you soon| [person:we g(richie:janice) 1-1][person:richie f 6-6][location:home s 8-8][person:richie f 10-10]

conv:people_long_0313_57:aug_0:chat_0:chataug_0| bina min| [person:bina f 0-0][person:min m 1-1]
bina| Hey Min Do you have any plans this weekend| [person:min m 1-1][person:min m 3-3]
min| No I am free this weekend Why d you ask| [person:min m 1-1][person:bina f 8-8]
bina| Shall we plan to watch Hockey| [person:we g(bina:min) 1-1]
min| Yeah I m ready to watch it and let s take our in laws also to the game It will be like a gift for them| [person:min m 1-1][person:our g(bina:min) 11-11][person:them g() 25-25]
bina| Yeah That s a good idea We ll buy them the club seats or regular| [person:we g(bina:min) 6-6][person:them g() 9-9][location:club s 11-11]
min| Let s take regular seats only why do you want to buy club seats| [person:bina f 8-8][location:club s 12-12]
bina| Our in laws would love to have the club seats as it is their first match to watch| [person:our g(bina:min) 0-0][location:club s 8-8][person:them g() 13-13]
min| Private club seats are very much expensive Bina we can t afford those seats| [location:club s 1-1][person:bina f 7-7][person:we g(bina:min) 8-8]
bina| We ll try to get the club seats as it makes them happy without thinking about the cost| [person:we g(bina:min) 0-0][location:club s 6-6][person:them g() 11-11]
min| I already started looking for the cheapest and best seats in front row| [person:min m 0-0]
bina| Why do you think that they would love sitting in the front rows| [person:min m 2-2][person:they g() 5-5]
min| Because it will be a good view from there and they would love sitting close to the players| [person:they g() 10-10]
bina| Okay Fine Then we ll get the front seats| [person:we g(bina:min) 3-3]
min| Yeah I ll go and buy the tickets for us now| [person:min m 1-1][person:us g(bina:min) 9-9]

conv:people_long_0313_60:aug_0:chat_0:chataug_0| lee nirvi| [person:lee m 0-0][person:nirvi f 1-1]
lee| Hey Nirvi What are you doing| [person:nirvi f 1-1][person:nirvi f 4-4]
nirvi| Nothing much I m just fed up of the other tenants Sam and Mathew| [person:nirvi f 2-2][person:sam m 11-11][person:mathew m 13-13]
lee| Why What happened with them| [person:them g(sam:mathew) 4-4]
nirvi| It is their smoking problem I also warned them about it being a fire hazard but they refused to listen to any of my words| [person:them g(sam:mathew) 2-2][person:nirvi f 5-5][person:them g(sam:mathew) 8-8][person:them g(sam:mathew) 16-16][person:nirvi f 23-23]
lee| Did you complained the landlord about the issue| [person:nirvi f 1-1]
nirvi| No I didn t do it as I don t want that to turn into a big issue| [person:nirvi f 1-1][person:nirvi f 7-7]
lee| If you don t complaint then it will definitely turn into big issue| [person:nirvi f 1-1]
nirvi| What do you suggest me to do then| [person:lee m 2-2][person:nirvi f 4-4]
lee| I suggest you to take the issue to Landlord and Tenant Board| [person:lee m 0-0][person:nirvi f 2-2]
nirvi| Will that be a right thing to do|
lee| Of course don t think to much about it Just do it|
nirvi| Okay but I think I should have a word with them before complaining| [person:nirvi f 2-2][person:nirvi f 4-4][person:them g(sam:mathew) 10-10]
lee| Okay talk to them If they still don t listen then raise a complaint| [person:them g(sam:mathew) 3-3][person:them g(sam:mathew) 5-5]
nirvi| Okay I will do that for sure| [person:nirvi f 1-1]

conv:people_long_0313_61:aug_0:chat_0:chataug_0| artem stacy| [person:artem m 0-0][person:stacy f 1-1]
artem| hello|
stacy| I think it would be good for you to get out of the house for a bit tonight| [person:stacy f 0-0][person:artem m 7-7]
artem| i dont know I m just not feeling up too it tonight| [person:artem m 0-0][person:artem m 3-3]
stacy| Artem you can t sit around and mope forever its time to move on| [person:artem m 0-0][person:artem m 1-1]
artem| but moping sounds more fun|
stacy| just come out with us tonight I have a new friend I want you to meet you two have a lot in common| [person:us g(artem:stacy) 4-4][person:stacy f 6-6][person:friend g() 10-10][person:stacy f 11-11][person:artem m 13-13][person:artem m 16-16]
artem| Who is your friend| [person:stacy f 2-2][person:friend g() 3-3]
stacy| Donvan and Chris will be there and my friend Elena She is very passionate about being in nature she loves to hike and moutain bike| [person:chris m 2-2][person:stacy f 7-7][person:friend g(chris) 8-8][person:elena f 9-9][person:elena f 10-10][person:elena f 18-18]
artem| hmm it would be nice to have a hiking buddy since nobody else wants to go with me| [person:buddy u 9-9][person:artem m 17-17]
stacy| see thats the spirit she is a really great you wont regret coming out| [person:elena f 4-4][person:artem m 9-9]
artem| ok then see you in a few hours| [person:stacy f 3-3]
stacy| cool meet us at the Tap House at 8pm| [person:us g(artem:stacy:chris:elena) 2-2][location:tap_house s 5-6]
artem| maybe we should do dinner beforehand can we meet earlier| [person:we g(artem:stacy:chris:elena) 1-1][person:we g(artem:stacy:chris:elena) 7-7]
stacy| sure lets meet at 6 then|
artem| 6 is pefect see you then| [person:stacy f 4-4]
stacy| great see you tonight| [person:artem m 2-2]
artem| bye|
stacy| bye|

conv:people_long_0313_62:aug_0:chat_0:chataug_0| jake peter| [person:jake m 0-0][person:peter m 1-1]
jake| Are you looking forward to the hiking trip| [person:peter m 1-1]
peter| Yes I have my camping gear all set| [person:peter m 1-1][person:peter m 3-3]
jake| Great but do you have your tent properly packed| [person:peter m 3-3][person:peter m 5-5]
peter| It should be fine I m really not sure though since it s my first time using it| [person:peter m 4-4][person:peter m 13-13]
jake| Well I better take a look before we go| [person:jake m 1-1][person:we g(jake:peter) 7-7]
peter| That would be great thank you| [person:jake m 5-5]
jake| Is there anything else we forgot| [person:we g(jake:peter) 4-4]
peter| Why don t we make a list so we know| [person:we g(jake:peter) 3-3][person:we g(jake:peter) 8-8]
jake| Good idea I ll put food water tents anything else| [person:jake m 2-2]
peter| Yes don t forget the climbing ropes and mosquito repellent|
jake| Great I added the climbing ropes and mosquito repellent| [person:jake m 1-1]
peter| I can t wait to go climbing it s going to be so fun| [person:peter m 0-0]
jake| I agree the mountain we chose is going to be challenging but fun| [person:jake m 0-0][location:mountain s 3-3][person:we g(jake:peter) 4-4]
peter| Alright let s get a move on it before the sun is up| [location:mountain s 7-7]

conv:people_long_0313_66:aug_0:chat_0:chataug_0| amanda ronny| [person:amanda f 0-0][person:ronny m 1-1]
amanda| OMG Ronny Linda denied the application for the fashion show| [person:ronny m 1-1][person:linda f 2-2]
ronny| What why|
amanda| she said the application was incomplete and we need to complete it in full| [person:linda f 0-0][person:we g(amanda:ronny) 7-7]
ronny| ok just chill what info did we miss| [person:we g(amanda:ronny) 6-6]
amanda| I don t know she just said it was incomplete we are running out of time if we dont get the application approved there will be no show| [person:amanda f 0-0][person:linda f 4-4][person:we g(amanda:ronny) 10-10][person:we g(amanda:ronny) 17-17]
ronny| What did David say| [person:david m 2-2]
amanda| David approved it but without Linda we are done| [person:david m 0-0][person:linda f 5-5][person:we g(amanda:ronny) 6-6]
ronny| Ok well at least we have the event space reserved| [person:we g(amanda:ronny) 4-4]
amanda| I don t know for sure I think so| [person:amanda f 0-0][person:amanda f 6-6]
ronny| send me the application and I will look it over and resubmit to Linda Can you get with David and ask that he hold the space and we are going to complete the app for Linda| [person:ronny m 1-1][person:ronny m 5-5][person:linda f 13-13][person:amanda f 15-15][person:david m 18-18][person:we g(amanda:ronny) 27-27][person:linda f 35-35]
amanda| Yes Thanks Ronny I will email it now| [person:ronny m 2-2][person:amanda f 3-3]
ronny| You betcha it will be fine I will handle it| [person:amanda f 0-0][person:ronny m 6-6]
amanda| I am going to send Linda and Ronny s email to you alos| [person:amanda f 0-0][person:linda f 5-5][person:ronny m 7-7][person:ronny m 11-11]
ronny| Alright sounds good|
amanda| Hey do you want to have lunch and go over the application| [person:ronny m 2-2]
ronny| yeah that s fine when|
amanda| I am free after 1100 how about ChicFilA on Center at 1200| [person:amanda f 0-0]
ronny| I loves me some CHiFilA l m in see you then| [person:ronny m 0-0][person:ronny m 2-2][person:amanda f 9-9]

conv:people_long_0313_68:aug_0:chat_0:chataug_0| jane rita| [person:jane f 0-0][person:rita f 1-1]
jane| Hey Rita I am thinking about visiting my husband John in prison| [person:rita f 1-1][person:jane f 2-2][person:jane f 7-7][person:husband m 8-8][person:john m 9-9]
rita| Are you mad Why do you want to go to the prison to meet him| [person:jane f 1-1][person:jane f 5-5][person:john m 14-14]
jane| I just had a feeling to meet him in person| [person:jane f 0-0][person:john m 7-7]
rita| Okay and what made you feel like that| [person:jane f 4-4]
jane| It s because I feel that I should see him after the death of his parents| [person:jane f 3-3][person:jane f 6-6][person:husband m 9-9][person:john m 14-14][person:parents g() 15-15]
rita| Okay I understand but I wonder if he would want to see you| [person:rita f 1-1][person:rita f 4-4][person:john m 7-7][person:jane f 12-12]
jane| My husband knows me and he will definitely appreciate it| [person:jane f 0-0][person:john m 1-1][person:john m 3-3][person:john m 5-5]
jane| Can I know that you and your husband Adam can give me a ride| [person:jane f 1-1][person:rita f 4-4][person:rita f 6-6][person:john m 7-7][person:adam m 8-8][person:jane f 11-11]
rita| I am not sure about it Jane| [person:rita f 0-0][person:jane f 6-6]
rita| I don t think Adam will be willing to give you a ride to the prison| [person:rita f 0-0][person:adam m 4-4][person:jane f 10-10]
jane| Can you please ask him and intimate me about the ride earlier| [person:rita f 1-1][person:adam m 4-4][person:jane f 7-7]
rita| Yeah I will get back to you about it soon| [person:rita f 1-1][person:jane f 6-6]
jane| Thanks for your help Rita I really appreciate you| [person:rita f 2-2][person:rita f 4-4][person:jane f 5-5][person:rita f 8-8]
rita| It s my pleasure to help you Jane| [person:rita f 2-2][person:jane f 6-6][person:jane f 7-7]

conv:people_long_0313_69:aug_0:chat_0:chataug_0| austin maddie| [person:austin m 0-0][person:maddie f 1-1]
austin| Hey Maddie Are you done with your todo list| [person:maddie f 1-1][person:maddie f 3-3][person:maddie f 6-6]
maddie| Hi Austin I just have to talk with the caterers to put in our final food list| [person:austin m 1-1][person:maddie f 2-2][person:our g(austin:maddie) 13-13]
maddie| Have you sent the invitations to all our guests| [person:austin m 1-1][person:our g(austin:maddie) 7-7]
austin| Yeah Almost done just a few people left|
maddie| Okay cool I hope make our engagement party the most memorable one| [person:maddie f 2-2][person:our g(austin:maddie) 5-5]
austin| Don t worry about it Everything will be all right|
austin| I think we should invite our new neighbors Evan and Kaylie| [person:austin m 0-0][person:we g(austin:maddie) 2-2][person:our g(austin:maddie) 5-5][person:neighbors g() 7-7][person:evan m 8-8]
maddie| Why didn t we think about them before I think that s a great idea| [person:we g(austin:maddie) 3-3][person:neighbors g(evan) 6-6][person:maddie f 8-8]
austin| I really enjoyed meeting them at the country club golf course| [person:austin m 0-0][person:neighbors g(evan) 4-4][location:country s 7-7][location:club s 8-8]
austin| They are energetic polite and love to golf| [person:neighbors g(evan) 0-0]
maddie| I couldn t agree more Kaylie is like my sister from another mother| [person:maddie f 0-0][person:maddie f 8-8][person:sister f 9-9]
maddie| Do you think we should personally invite them as it s such a short notice| [person:austin m 1-1][person:we g(austin:maddie) 3-3][person:neighbors g(evan) 7-7]
austin| Sounds like a good idea Decide and tell me about it| [person:austin m 8-8]
maddie| Let s meet them this weekend then and invite them to the party| [person:neighbors g(evan) 3-3][person:neighbors g(evan) 9-9]

conv:people_long_0313_70:aug_0:chat_0:chataug_0| jarvis kenedy| [person:jarvis m 0-0][person:kenedy m 1-1]
jarvis| Hey Kenedy I am planning to create a community program| [person:kenedy m 1-1][person:jarvis m 2-2]
kenedy| Wow what a great idea Jarvis| [person:jarvis m 5-5]
kenedy| Do you have any specific motive for it| [person:jarvis m 1-1]
jarvis| I want to create this program to benefit the disadvantaged| [person:jarvis m 0-0]
jarvis| I want you to participate in this community program| [person:jarvis m 0-0][person:kenedy m 2-2]
kenedy| Well I am obliged but I am engaged in another project| [person:kenedy m 1-1][person:kenedy m 5-5]
kenedy| Why don t you contact John and Ross| [person:jarvis m 3-3][person:john m 5-5][person:ross m 7-7]
jarvis| I hope they are most important as you suggest them to me| [person:jarvis m 0-0][person:they g(john:ross) 2-2][person:kenedy m 7-7][person:they g(john:ross) 9-9][person:jarvis m 11-11]
kenedy| Yeah I suggest as they have amazing organizational skills| [person:kenedy m 1-1][person:they g(john:ross) 4-4]
jarvis| Okay I will try to invite them to participate in the program| [person:jarvis m 1-1][person:they g(john:ross) 6-6]
kenedy| Great when are you planning to organize it| [person:jarvis m 3-3]
jarvis| I am planning to organize this weekend| [person:jarvis m 0-0]
jarvis| I will send you the details I will be pleased if you participated in the event| [person:jarvis m 0-0][person:kenedy m 3-3][person:jarvis m 6-6][person:kenedy m 11-11]
kenedy| As I said previously I have some other projects Still I will try| [person:kenedy m 1-1][person:kenedy m 4-4][person:kenedy m 10-10]

conv:people_long_0313_73:aug_0:chat_0:chataug_0| ivantina kat| [person:ivantina f 0-0][person:kat f 1-1]
kat| Hey Ivantina Are you free this weekend| [person:ivantina f 1-1][person:kat f 3-3]
ivantina| Yes I don t have any plans still now What about you| [person:ivantina f 1-1][person:kat f 11-11]
kat| I am planning to go on a road trip for a long time| [person:kat f 0-0]
kat| Would you like to join me| [person:ivantina f 1-1][person:kat f 5-5]
ivantina| Well that s a great plan Kat| [person:kat f 6-6]
ivantina| But I cannot drive in different cities as I get confused by the signs| [person:ivantina f 1-1][location:cities g() 6-6][person:ivantina f 8-8]
kat| No problem I can understand that Ivantina My friends Martin and Donald will be joining us for the trip| [person:kat f 2-2][person:ivantina f 6-6][person:kat f 7-7][person:friends g() 8-8][person:martin m 9-9][person:donald m 11-11][person:us g(kat:ivantina) 15-15]
ivantina| Wow that s great they are joining us It would be fun together| [person:friends g(martin:donald) 4-4][person:us g(kat:ivantina) 7-7]
ivantina| Can any of the boys drive the car for us| [person:friends g(martin:donald) 4-4][person:us g(kat:ivantina) 9-9]
kat| You have nothing to worry about they drive very well| [person:ivantina f 0-0][person:friends g(martin:donald) 6-6]
ivantina| Great I can t understand when shall I start the packing then| [person:ivantina f 1-1][person:ivantina f 7-7]
kat| I will let you know about it Once after the plan is revised| [person:kat f 0-0][person:ivantina f 3-3]
ivantina| Yeah I will be waiting for your update regarding the trip See you soon| [person:ivantina f 1-1][person:kat f 6-6][person:kat f 12-12]
kat| Sure thank you very much for joining us for the trip| [person:ivantina f 2-2][person:us2 g(kat:martin:donald) 7-7]

conv:people_long_0313_75:aug_0:chat_0:chataug_0| marco mirella| [person:marco m 0-0][person:mirella f 1-1]
mirella| Hey Marco I want to buy a new kitten to give company to my current older cat| [person:marco m 1-1][person:mirella f 2-2][person:mirella f 13-13]
mirella| But I am not sure that where to get them Do you suggest me some place| [person:mirella f 1-1][person:them g() 9-9][person:marco m 11-11][person:mirella f 13-13][location:place s 15-15]
marco| That s very good to hear I know a cat shelter where one of my friends Frank work| [person:marco m 6-6][person:marco m 14-14][person:friends g() 15-15][person:frank m 16-16]
marco| Frank works at a local community shelter He can help you out in this| [person:frank m 0-0][location:local_community_shelter s 4-6][person:frank m 7-7][person:mirella f 10-10]
mirella| Okay I am very fasinated to visit that place| [person:mirella f 1-1][location:local_community_shelter s 8-8]
mirella| But I am not sure of what breed to buy| [person:mirella f 1-1]
marco| Well I don t know much about the breed of cats| [person:marco m 1-1]
mirella| Do you know any good breeders in the area| [person:marco m 1-1]
marco| I think you should contact Jane because her family has been breeding cats for years| [person:marco m 0-0][person:mirella f 2-2][person:jane f 5-5][person:jane f 7-7][person:family g() 8-8]
marco| I also heard that one of her cats recently had a litter of kittens| [person:marco m 0-0][person:jane f 6-6]
mirella| I hope that I can get a Persian cat over there It is the best fit of all the breeds| [person:mirella f 0-0][person:mirella f 3-3][location:local_community_shelter s 10-10]
marco| Is it Jane can suggest this better| [person:jane f 2-2]
mirella| Okay can you take me to her place if you are free| [person:marco m 2-2][person:mirella f 4-4][person:jane f 6-6][location:place s 7-7][person:marco m 9-9]
marco| Yeah sure we can visit her place this weekend| [person:we g(mirella:marco) 2-2][person:jane f 5-5][location:place s 6-6]

conv:people_long_0313_76:aug_0:chat_0:chataug_0| jillian tia| [person:jillian f 0-0][person:tia f 1-1]
jillian| Hey Tia weren t you planning to join a gym because of your growing weight concerns| [person:tia f 1-1][person:tia f 4-4][location:gym s 9-9][person:tia f 12-12]
tia| Yes I m planning to do the same I m worried about being overweight| [person:tia f 1-1][person:tia f 8-8]
