conv:people_chats_04182020_63:aug_0:chat_0:chataug_0| shane tim| [person:shane m 0-0][person:tim m 1-1]
amber| Haha I will never get tired of selfies Is Ronald coming to pick us in the morning or shall we book a cab What are we gonna do| [person:amber f 1-1][person:ronald m 9-9][person:we g(amber:julia) 13-13][person:we g(amber:julia) 19-19][person:we g(amber:julia) 25-25]
julia| We will Start from here in a cab On our way we will pick both Ronald and Pierre from Adam street We should wake up by at least 3 am so that we will be on schedule| [person:we g(amber:julia) 0-0][person:we g(amber:julia) 9-9][person:we g(amber:julia) 11-11][person:ronald m 15-15][person:pierre m 17-17][person:we g(amber:julia) 21-21]
amber| Wait I will just text Ronald to set an alarm in the morning That idiot doesn t come on time and I ve experienced it so many times Can you inform Pierre as well| [person:amber f 1-1][person:ronald m 5-5][person:amber f 21-21][person:julia f 29-29][person:pierre m 31-31]
julia| Of course I will take care of Pierre But make sure Ronald is completely your responsibility I am also very well aware of his time management skills| [person:julia f 2-2][person:pierre m 7-7][person:ronald m 11-11][person:amber f 14-14][person:julia f 16-16][person:ronald m 23-23]
amber| Sure I just completed my packing Now I m going to parlour to set up my hair and I will come back within an hour Please you sleep early Bye| [person:amber f 1-1][person:amber f 4-4][person:amber f 7-7][location:parlour s 11-11][person:amber f 15-15][person:amber f 18-18][person:julia f 26-26]
julia| Make sure you sleep early and wake up much more earlier See you tomorrow Good night Bye| [person:amber f 2-2][person:amber f 12-12]

conv:people_chats_04182020_212:aug_0:chat_0:chataug_0| austin kate| [person:austin m 0-0][person:kate f 1-1]
austin| Hey Kate do you remember that Janet is going to stay with us for a week| [person:kate f 1-1][person:kate f 3-3][person:janet f 6-6][person:us g(austin:kate) 12-12]
kate| yeah of course I remember Austin when will she be arriving here| [person:kate f 3-3][person:austin m 5-5][person:janet f 8-8]
austin| She will be here on Tuesday I am going to pick her up from the airport| [person:janet f 0-0][person:austin m 6-6][person:janet f 11-11]
kate| Okay fine what are her favorites in food or does she have any food restrictions| [person:janet f 4-4][person:janet f 10-10]
austin| To be honest I have no idea about her food habits| [person:austin m 3-3][person:janet f 8-8]
kate| Try to remember Austin so that I can cook food based on her taste| [person:austin m 3-3][person:kate f 6-6][person:janet f 12-12]
austin| I remember that she hates anything oily and does not like spicy food| [person:austin m 0-0][person:janet f 3-3]
kate| Okay I ll cook Macaroni then will that be okay| [person:kate f 1-1]
austin| I am not totally sure but let s hope it will be fine| [person:austin m 0-0]
kate| I ll go and get the materials from grocery store so that I can cook her favorite food| [person:kate f 0-0][person:kate f 12-12][person:janet f 15-15]

conv:people_chats_04182020_214:aug_0:chat_0:chataug_0| emily jaime| [person:emily f 0-0][person:jaime m 1-1]
emily| Hi Jamie It looks like my sister is too busy doing her chores Well I don t blame you Job has been such a pain| [person:jaime m 1-1][person:emily f 5-5][person:jill f 6-6][person:jill f 11-11][person:emily f 14-14][person:jaime m 18-18]
jaime| Rightly so and not to forget the tremendous emptiness that follows|
emily| Really that s the whole miseries of our lives But we can keep our miseries at bay for sometimes and spend some time with your little sister Jill| [person:our g(emily:jaime) 7-7][person:our g(emily:jaime) 10-10][person:our g(emily:jaime) 13-13][person:jaime m 24-24][person:jill f 26-26][person:jill f 27-27]
jaime| Oh God I totally forgot that she is coming to stay with us I think she just hit 13 That little princess is too eager to come here| [person:jaime m 2-2][person:jill f 6-6][person:us g(jaime) 12-12][person:jaime m 13-13][person:jill f 15-15]
emily| Isn t she into Hannah Montana You once told me about her fandom once| [person:jill f 2-2][person:hannah f 4-4][person:jaime m 6-6][person:emily f 9-9][person:jill f 11-11]
jaime| All the 98 episodes she literally devoured them in a single day Not a day has passed by when she has not messed with her mom watching her chick on screen| [person:jill f 4-4][person:jill f 19-19][person:jill f 24-24][person:mom f 25-25][person:jill f 27-27]
jaime| And now she wants share a room with us I wonder what color should I paint it| [person:jill f 2-2][person:us g(jaime) 8-8][person:jaime m 9-9][person:jaime m 14-14]
emily| Well time to get a new paint job Pink I think that s what she likes How about getting a new pair of woofers| [person:emily f 9-9][person:jill f 14-14]
jaime| Yeah nice way to spend the weekend I desperately needed to change the paint of our room along with some upholstery Jill shall be a nice excuse to overhaul our shitty mess| [person:jaime m 7-7][person:our g(jaime:jill) 15-15][person:jill f 21-21][person:our g(jaime) 29-29]
emily| Bang on honey I will go pick her up She likes waffles I am going to buy for her| [person:emily f 3-3][person:jill f 7-7][person:jill f 9-9][person:emily f 12-12][person:jill f 18-18]

conv:people_chats_04182020_216:aug_0:chat_0:chataug_0| brandon luis| [person:brandon m 0-0][person:luis m 1-1]
luis| Hello Brandon will you join me for playing golf next week| [person:brandon m 1-1][person:brandon m 3-3][person:luis m 5-5]
brandon| Yeah I will Where you are planning go| [person:brandon m 1-1][person:luis m 4-4]
luis| Let s go to the golf course in our neighboring town| [person:our g(luis:brandon) 8-8][location:town s 10-10]
brandon| Actually I don t want to go too far as Catherine and I have planned for a date in the evening| [person:brandon m 1-1][person:catherine f 10-10][person:brandon m 12-12]
luis| Okay then I will find out a place near by| [person:luis m 2-2][location:place s 7-7]
brandon| Would you like to join us on the date| [person:luis m 1-1][person:us g(brandon:catherine) 5-5]
luis| It s not at all a good idea What would I do between you both| [person:luis m 10-10][person:us g(brandon:catherine) 13-13]
brandon| One of my friend Brit would join if you want to come with us| [person:brandon m 2-2][person:brit f 3-3][person:brit f 4-4][person:luis m 8-8][person:us g(brandon:catherine) 13-13]
luis| I will let you know by tomorrow about the it| [person:luis m 0-0][person:brandon m 3-3]
brandon| Sure we all will have a great time| [person:we g(luis:brandon:catherine:brit) 1-1]

conv:people_chats_04182020_217:aug_0:chat_0:chataug_0| carrie frances| [person:carrie f 0-0][person:frances f 1-1]
carrie| Hi Frances Do you remember Kenneth and Karan whom we meet recently| [person:frances f 1-1][person:frances f 3-3][person:kenneth m 5-5][person:karan m 7-7][person:we g(carrie:frances) 9-9]
frances| Hello Carrie yeah I do remember| [person:carrie f 1-1][person:frances f 3-3]
carrie| I am planning for a double date with them so that it will be less awkward| [person:carrie f 0-0][person:we g(carrie:frances) 8-8]
frances| Sounds great we can enjoy the date if we make that double| [person:we g(carrie:frances) 2-2][person:we g(carrie:frances) 8-8]
carrie| Well this time we have to make sure that they should not miss anything| [person:we g(carrie:frances) 3-3][person:we g(carrie:frances) 9-9]
frances| irst of all I have to confirm with them whether they are actually willing to come| [person:frances f 3-3][person:we g(carrie:frances) 8-8][person:we g(carrie:frances) 10-10]
carrie| Cool Try to convince them if they aren t interested| [person:we g(carrie:frances) 4-4][person:we g(carrie:frances) 6-6]
frances| To the best of my knowledge they will certainly come We must look for some peaceful location for the date| [person:frances f 4-4][person:we g(carrie:frances) 6-6][person:we g(carrie:frances) 10-10]
carrie| Great I will take care about those things Just ping me if everything s conformed| [person:carrie f 1-1][person:carrie f 10-10]
frances| Good news Carrie they are okay with the double date| [person:carrie f 2-2][person:we g(carrie:frances) 3-3]

conv:people_chats_04182020_218:aug_0:chat_0:chataug_0| derek marvin| [person:derek m 0-0][person:marvin m 1-1]
marvin| Hey Derek I m so hungry Let s order something for lunch| [person:derek m 1-1][person:marvin m 2-2]
derek| Yeah Marvin I m starving too What should we order| [person:marvin m 1-1][person:derek m 2-2][person:we g(marvin:derek) 8-8]
marvin| It s been so long I had Chinese food I will go with that| [person:marvin m 5-5][person:marvin m 9-9]
derek| Alright me too How about we invite Elle and Maxine to join us for lunch| [person:derek m 1-1][person:we g(marvin:derek) 5-5][person:elle f 7-7][person:maxine f 9-9][person:we g(marvin:derek) 12-12]
marvin| I do not think that is a good idea Let s not invite them| [person:marvin m 0-0][person:them g(elle:maxine) 13-13]
derek| Why not They really like Chinese food| [person:them g(elle:maxine) 2-2]
marvin| Yes but I had an argument with both of them at work yesterday| [person:marvin m 2-2][person:them g(elle:maxine) 9-9]
derek| Then I think inviting them is a good idea because it ll give you a good chance to sort out your argument| [person:derek m 1-1][person:them g(elle:maxine) 4-4][person:marvin m 13-13][person:marvin m 20-20]
marvin| No Derek I have no interest in dealing with them| [person:derek m 1-1][person:marvin m 2-2][person:them g(elle:maxine) 9-9]
derek| Alright we won t invite them| [person:we g(marvin:derek) 1-1][person:them g(elle:maxine) 5-5]

conv:people_chats_04182020_222:aug_0:chat_0:chataug_0| gerald king| [person:gerald m 0-0][person:king m 1-1]
king| Hey Gerald let s plan for camping during this spring break| [person:gerald m 1-1]
gerald| Yeah that s a great idea who all will be joining us| [person:us g(king:gerald) 11-11]
king| I don t know you only suggest me whom to invite for camping| [person:king m 0-0][person:gerald m 4-4][person:king m 7-7]
gerald| I would like to invite my girlfriend and her friend Karen| [person:gerald m 0-0][person:gerald m 5-5][person:girlfriend f 6-6][person:girlfriend f 8-8][person:friend f 9-9][person:friend f 10-10]
king| It s okay if you invite Myra but please don t invite Karen in our plan| [person:gerald m 4-4][person:girlfriend f 6-6][person:friend f 12-12][person:us g(king:gerald) 14-14]
gerald| Why you don t want Karen to involve in our plan| [person:king m 1-1][person:friend f 5-5][person:us g(king:gerald) 9-9]
king| Because Karen and I were on dating terms before but now we are not even on talking terms| [person:friend f 1-1][person:king m 3-3][person:we g(king:friend) 11-11]
gerald| Okay then whom shall we invite for the camping| [person:us g(king:gerald) 4-4]
king| I ll invite my younger brother Tom for the trip| [person:king m 0-0][person:king m 3-3][person:brother m 5-5][person:brother m 6-6]
gerald| Okay invite him and tell me whether he is interested in it or not| [person:brother m 2-2][person:gerald m 5-5][person:brother m 7-7]

conv:people_chats_04182020_223:aug_0:chat_0:chataug_0| angela grace| [person:angela f 0-0][person:grace f 1-1]
grace| Hey Angela today s home work about Algebra was to hard to complete| [person:angela f 1-1][location:home s 4-4]
angela| Yes it was to hard to complete even our class mates Janice and Tracy where facing this problems| [person:our g(grace:angela) 8-8][person:class_mates g() 9-10][person:class_mates g() 10-10][person:janice f 11-11][person:tracy f 13-13]
grace| It s a headache to work on algebra Even Janice and Tracy are best students in the whole class but they also have the same problem| [person:janice f 9-9][person:tracy f 11-11][person:they g(janice:tracy) 20-20]
angela| Only Algebra is a hard word for me I can complete all the other works easily| [person:angela f 7-7][person:angela f 8-8]
grace| Even I have problem with this I can complete all the Trigonometry Probability home works well But not thia| [person:grace f 1-1][person:grace f 6-6][location:home s 13-13]
angela| Yeah I agree with you all the other home works are to easy compared to this| [person:angela f 1-1][person:grace f 4-4][location:home s 8-8]
grace| Understanding and completing a problem takes lot s of time Let s go to Janice and Tracy I think their will suggest us how to solve this problems easily| [person:janice f 14-14][person:tracy f 16-16][person:grace f 17-17][person:they g(janice:tracy) 19-19][person:our g(grace:angela) 22-22]
angela| Yeah it s a good idea With they suggestions we might take less time and we may understand all these problems easily| [person:they g(janice:tracy) 7-7][person:our g(grace:angela) 9-9][person:our g(grace:angela) 15-15]
grace| This time we took lot of time to complete our work So after listening to their suggestions I think we might complete our work as soon as possible| [person:our g(grace:angela) 2-2][person:our g(grace:angela) 9-9][person:they g(janice:tracy) 15-15][person:grace f 17-17][person:our g(grace:angela) 19-19][person:our g(grace:angela) 22-22]
angela| Yeah let s hope for the best Let s go to them and decide what to do| [person:they g(janice:tracy) 11-11]

conv:people_chats_04182020_224:aug_0:chat_0:chataug_0| ellen jonathan| [person:ellen f 0-0][person:jonathan m 1-1]
ellen| Jonathan dad s birthday is on the way What shall we do to make him feel special| [person:jonathan m 0-0][person:dad m 1-1][person:we g(ellen:jonathan) 10-10][person:dad m 14-14]
jonathan| I was thinking about it too he has had a hard year we should try to make him feel better| [person:jonathan m 0-0][person:dad m 6-6][person:we g(ellen:jonathan) 12-12][person:dad m 17-17]
ellen| How about we cook his favourite food and present him the gift he always wanted| [person:we g(ellen:jonathan) 2-2][person:dad m 4-4][person:dad m 9-9][person:dad m 12-12]
jonathan| I know what kind of food he likes but do you know what gift he would want| [person:jonathan m 0-0][person:dad m 6-6][person:ellen f 10-10][person:dad m 14-14]
ellen| I don t know either but I think dad s friends Jim and Terry can help us in this situation| [person:ellen f 0-0][person:ellen f 6-6][person:dad m 8-8][person:friends g() 10-10][person:jim m 11-11][person:terry m 13-13][person:we g(ellen:jonathan) 16-16]
jonathan| That is a good idea but I think talking to Jim will be enough| [person:jonathan m 6-6][person:jim m 10-10]
ellen| Fine we ll meet Jim and ask for his suggestions| [person:we g(ellen:jonathan) 1-1][person:jim m 4-4][person:jim m 8-8]
jonathan| I think you alone can talk to him I will try to make his favourite dishes| [person:jonathan m 0-0][person:ellen f 2-2][person:jim m 7-7][person:jonathan m 8-8][person:jim m 13-13]
ellen| Okay I ll go and talk to him about our dad s favourite things| [person:ellen f 1-1][person:jim m 7-7][person:we g(ellen:jonathan) 9-9][person:dad m 10-10]
jonathan| Great we will make this a memorable day for dad| [person:we g(ellen:jonathan) 1-1][person:dad m 9-9]

conv:people_chats_04182020_225:aug_0:chat_0:chataug_0| abraham madison| [person:abraham m 0-0][person:madison f 1-1]
abraham| Hey Madison Let s plan a Thanksgiving dinner party at our house| [person:madison f 1-1][person:our g(abraham:madison) 10-10]
madison| Yeah that s a good idea Whom shall we invite for the party| [person:our g(abraham:madison) 8-8]
abraham| I was thinking to invite our inlaw s Harvey and Suzy to join the family festivities| [person:abraham m 0-0][person:our g(abraham:madison) 5-5][person:harvey m 8-8][person:suzy f 10-10][person:family g(abraham:madison:harvey:suzy) 14-14]
madison| It will be great if they join us in the thanksgiving party| [person:they g(harvey:suzy) 5-5][person:our g(abraham:madison) 7-7]
abraham| Yeah just try to call Suzy and see if they are interested| [person:suzy f 5-5][person:they g(harvey:suzy) 9-9]
madison| I m unable to reach Suzy Can you please call Harvey| [person:madison f 0-0][person:suzy f 5-5][person:abraham m 7-7][person:harvey m 10-10]
abraham| Even I am unable to reach him over phone| [person:abraham m 1-1][person:harvey m 6-6]
madison| I totally forgot They are on vacation and I think that is the reason they are not answering our phone calls| [person:madison f 0-0][person:they g(harvey:suzy) 3-3][person:madison f 8-8][person:they g(harvey:suzy) 14-14][person:our g(abraham:madison) 18-18]
abraham| Okay what shall we do about the Thanksgiving dinner then| [person:our g(abraham:madison) 3-3]
madison| Let s postpone it to another date|

conv:people_chats_04182020_226:aug_0:chat_0:chataug_0| barbara gerald| [person:barbara f 0-0][person:gerald m 1-1]
barbara| Hey Gerald who are those unpacking their car next to our house| [person:gerald m 1-1][person:their g() 6-6][person:our g(barbara:gerald) 10-10]
gerald| I think they are moving into the apartment next to ours| [person:gerald m 0-0][person:their g() 2-2][location:apartment s 7-7][person:our g(barbara:gerald) 10-10]
barbara| Okay I think they are new to the city Have you seen them anywhere before| [person:barbara f 1-1][person:their g() 3-3][location:city s 8-8][person:gerald m 10-10][person:their g() 12-12]
gerald| I think I saw them somewhere before But I am not sure| [person:gerald m 0-0][person:gerald m 2-2][person:their g() 4-4][person:gerald m 8-8]
barbara| Shall we invite them for a dinner tonight or tomorrow| [person:our g(barbara:gerald) 1-1][person:their g() 3-3]
gerald| Ok That s a good idea we shall plan it for tomorrow| [person:our g(barbara:gerald) 6-6]
barbara| That s fine I think they are too busy with the arrangements today| [person:barbara f 3-3][person:their g() 5-5]
gerald| Ok We shall invite them tomorrow in the morning for the dinner| [person:our g(barbara:gerald) 1-1][person:their g() 4-4]
barbara| Okay I will go to market and get the necessaries required| [person:barbara f 1-1]
gerald| Ok Then I will make things ready in the house| [person:gerald m 2-2]

conv:people_chats_04182020_228:aug_0:chat_0:chataug_0| cheryl tanya| [person:cheryl f 0-0][person:tanya f 1-1]
tanya| Hi Cheryl did you get any text from mom| [person:cheryl f 1-1][person:cheryl f 3-3][person:mom f 8-8]
cheryl| Not yet Hey wait yes i did get the text It says she will be late from the work| [person:cheryl f 5-5][person:mom f 12-12]
tanya| Is there anything else we should be careful about| [person:we g(tanya:cheryl) 4-4]
tanya| I think she wants us to have the dinner prepared for aunt Dorothy and herself| [person:tanya f 0-0][person:mom f 2-2][person:we g(tanya:cheryl) 4-4][person:aunt_dorothy f 11-12][person:dorothy f 12-12][person:mom f 14-14]
cheryl| Yes it will be better if we go and make preparations in the kitchen I hope you don t burn the bacon like last time| [person:we g(tanya:cheryl) 6-6][location:kitchen s 13-13][person:cheryl f 14-14][person:tanya f 16-16]
tanya| I will be careful this time Can you help me out in baking the pan cakes Dorothy loves it| [person:tanya f 0-0][person:cheryl f 7-7][person:tanya f 9-9][person:aunt_dorothy f 16-16]
cheryl| Yeah sure She loves extra cheese and honey I am afraid that we are running short of milk| [person:aunt_dorothy f 2-2][person:cheryl f 8-8][person:we g(tanya:cheryl) 12-12]
cheryl| It is better if i go and hit the dairy and buy some milk and eggs In the mean time you get the oven ready| [person:cheryl f 4-4][person:tanya f 20-20]
tanya| I am already on it you go to the dairy and purchase the needful| [person:tanya f 0-0][person:cheryl f 5-5]
cheryl| It s a good idea that we are making pan cakes and bacon I am sure they will enjoy a nice dinner| [person:we g(tanya:cheryl) 6-6][person:cheryl f 13-13][person:they g(mom) 16-16]

conv:people_chats_04182020_230:aug_0:chat_0:chataug_0| brittany heather| [person:brittany f 0-0][person:heather f 1-1]
heather| Brittany I think I ll buy noodles for the weekend| [person:brittany f 0-0][person:heather f 1-1][person:heather f 3-3]
brittany| Yeah Heather The twins Randy and Laura are coming over and Randy loves Italian food| [person:heather f 1-1][person:twins g() 3-3][person:randy m 4-4][person:laura f 6-6][person:randy m 11-11]
heather| True But what about Laura What would she like| [person:laura f 4-4][person:laura f 7-7]
brittany| She loves apple pie I ll pick some apples| [person:laura f 0-0][person:brittany f 4-4]
heather| It s crazy how they are twins but have different tastes| [person:twins g(randy:laura) 4-4][person:twins g(randy:laura) 6-6]
brittany| Haha You re right Heather I didn t think about that| [person:heather f 1-1][person:heather f 4-4][person:brittany f 5-5]
heather| What would they like for drinks| [person:twins g(randy:laura) 2-2]
brittany| They like Hendricks We ll get two bottles of that and also grab CocaCola| [person:twins g(randy:laura) 0-0][person:speakers g(heather:brittany) 3-3]
heather| Great I think this will be enough for the weekend| [person:heather f 1-1]
brittany| Yes let s get our items billed| [person:speakers g(heather:brittany) 4-4]

conv:people_chats_04182020_231:aug_0:chat_0:chataug_0| marcus stella| [person:marcus m 0-0][person:stella f 1-1]
marcus| Hey Stella What do you think about the session with Dr Wilsons| [person:stella f 1-1][person:stella f 4-4][person:dr_wilsons m 11-11]
stella| It was good I liked it| [person:stella f 3-3]
marcus| But I didn t like the session at all| [person:marcus m 1-1]
stella| Why What s the reason that you didn t like the session| [person:marcus m 6-6]
marcus| I think Dr Wilsons was taking your side and was biased against me| [person:marcus m 0-0][person:dr_wilsons m 3-3][person:stella f 6-6][person:marcus m 12-12]
stella| No he was not he made good points in the session| [person:dr_wilsons m 1-1][person:dr_wilsons m 4-4]
stella| Let s try another session with him next week What do you say| [person:dr_wilsons m 6-6][person:marcus m 11-11]
marcus| I don t think that s a good idea| [person:marcus m 0-0]
marcus| I have a friend Athena She spent lots of money on counselling and it didn t seem to help her at all| [person:marcus m 0-0][person:athena f 3-3][person:athena f 4-4][person:athena f 5-5][person:athena f 19-19]
stella| Oh okay We ll not go for counselling then| [person:we g(marcus:stella) 2-2]

conv:people_chats_04182020_232:aug_0:chat_0:chataug_0| mike ralph| [person:mike m 0-0][person:ralph m 1-1]
mike| Hey Ralph What are you doing| [person:ralph m 1-1][person:ralph m 4-4]
ralph| I m busy thinking about the block party Mike I don t understand what to do| [person:ralph m 0-0][person:mike m 8-8][person:ralph m 9-9]
mike| We have to think something about block party or else it will be a big mess| [person:we g(mike:ralph) 0-0]
ralph| I know but what shall we do We are only two of them and there s lots of work to do| [person:ralph m 0-0][person:we g(mike:ralph) 5-5][person:we g(mike:ralph) 7-7][person:neighbors g(mike:ralph) 12-12]
mike| I think we can get some help from our neighbours Judith and Sydney to set it up| [person:mike m 0-0][person:we g(mike:ralph) 2-2][person:we g(mike:ralph) 8-8][person:judith f 10-10][location:sydney s 12-12][location:sydney s 15-15]
ralph| Yeah that s a great idea but do you think that they will assist us in organizing the party| [person:mike m 8-8][person:they g(judith:sydney) 11-11][person:we g(mike:ralph) 14-14]
mike| Yeah I think they will be a great asset in assisting| [person:mike m 1-1][person:they g(judith:sydney) 3-3]
ralph| Okay fine Can you please request them to help us| [person:mike m 3-3][person:they g(judith:sydney) 6-6][person:we g(mike:ralph) 9-9]
mike| Yeah sure I will ask them and let you know| [person:mike m 2-2][person:they g(judith:sydney) 5-5][person:ralph m 8-8]
ralph| Okay Thanks a lot Mike| [person:mike m 4-4]

conv:people_chats_04182020_233:aug_0:chat_0:chataug_0| jeff marvin| [person:jeff m 0-0][person:marvin m 1-1]
marvin| Hello Jeff are you done with your work| [person:jeff m 1-1][person:jeff m 3-3][person:jeff m 6-6]
jeff| Hi Marvin yes I have done with my work what about you| [person:marvin m 1-1][person:jeff m 3-3][person:jeff m 7-7][person:marvin m 11-11]
marvin| I m almost done and do you remember that we are thinking to rent an apartment but the price is too high and we can t even try for another because it s near to our college What shall we do now| [person:marvin m 0-0][person:jeff m 6-6][person:we g(marvin:jeff) 9-9][person:we g(marvin:jeff) 23-23][person:our g(marvin:jeff) 35-35][person:we g(marvin:jeff) 39-39]
jeff| Yeah I am even thinking the same thing| [person:jeff m 1-1]
marvin| Okay we shall advertise about the apartment so that somebody might approach us and they might share the apartment and price with us| [person:we g(marvin:jeff) 1-1][location:apartment s 6-6][person:us g(marvin:jeff) 12-12][person:they g() 14-14][location:apartment s 18-18][person:us g(marvin:jeff) 22-22]
jeff| Great Idea I will do it and let you know who is willing to share with us| [person:jeff m 2-2][person:marvin m 8-8][person:us g(marvin:jeff) 16-16]
marvin| Okay do it and let me know without fail| [person:marvin m 5-5]
jeff| Bradley Heather would like to share the apartment with us what do you say| [person:bradley m 0-0][person:heather f 1-1][location:apartment s 7-7][person:us g(marvin:jeff) 9-9][person:marvin m 12-12]
marvin| Wow I knew them earlier and they are good humans and we can stay with them| [person:marvin m 1-1][person:them g(bradley:heather) 3-3][person:them g(bradley:heather) 6-6][person:we g(marvin:jeff) 11-11][person:them g(bradley:heather) 15-15]
jeff| Cool I shall ask them to shift to the apartment as soon as possible| [person:jeff m 1-1][person:them g(bradley:heather) 4-4][location:apartment s 9-9]

conv:people_chats_04182020_234:aug_0:chat_0:chataug_0| ben melissa| [person:ben m 0-0][person:melissa f 1-1]
melissa| Hey Ben your sister Ellie s birthday and our anniversary is on the way what are your plans| [person:ben m 1-1][person:ben m 2-2][person:ellie f 3-3][person:ellie f 4-4][person:ben___melissa g(melissa:ben) 8-8][person:ben m 16-16]
ben| Yeah I how about a family trip to celebrate| [person:family g(melissa:ben:ellie) 5-5]
melissa| I think it would be better to stay at home and celebrate together| [person:melissa f 0-0][location:home s 9-9]
ben| What do you think Ellie would prefer for her birthday| [person:melissa f 2-2][person:ellie f 4-4][person:ellie f 8-8]
melissa| I have no idea what she likes do you know what she did on her previous birthday| [person:melissa f 0-0][person:ellie f 5-5][person:ben m 8-8][person:ellie f 11-11][person:ellie f 14-14]
ben| I have no idea I think it is better if talk to her about this and then decide what to do| [person:ben m 0-0][person:ben m 4-4][person:ellie f 12-12]
melissa| Alright then I will talk to her and then we will make a plan for our celebrations| [person:melissa f 2-2][person:ellie f 6-6][person:family g(melissa:ben:ellie) 9-9][person:family g(melissa:ben:ellie) 15-15]
ben| Okay and I ll look after the materials that are needed for the celebrations| [person:ben m 2-2]
melissa| Let s make this occasion a memorable one|
ben| Yeah we are going to have a blast this year| [person:family g(melissa:ben:ellie) 1-1]

conv:people_chats_04182020_236:aug_0:chat_0:chataug_0| issac susan| [person:issac m 0-0][person:susan f 1-1]
issac| Hey Susan let s plan a family trip for some days| [person:susan f 1-1][person:family g(issac:susan) 6-6]
susan| That is a good idea what place do you have in mind| [location:place s 6-6][person:issac m 8-8]
issac| I was thinking about Hawaii What do you think about it| [person:issac m 0-0][location:hawaii s 4-4][person:susan f 7-7][location:hawaii s 10-10]
susan| I like that but do you think mom and dad will like it| [person:susan f 0-0][person:issac m 5-5][person:mom f 7-7][person:dad m 9-9][location:hawaii s 12-12]
issac| Even I have no idea about it shall we decide another place then| [person:issac m 1-1][person:we g(issac:susan) 8-8][location:place s 11-11]
susan| I think mom will like Hawaii but dad may have a problem due to the weather| [person:susan f 0-0][person:mom f 2-2][location:hawaii s 5-5][person:dad m 7-7]
issac| How about New York That s a good tourist destination also| [location:new_york s 2-3]
susan| That sounds good but I think it will be better if we include dad and mom in this discussion| [person:susan f 4-4][location:new_york s 6-6][person:we g(issac:susan) 11-11][person:dad m 13-13][person:mom f 15-15]
issac| Yeah you re right I ll talk to them and proceed with the booking of tickets| [person:susan f 1-1][person:issac m 4-4][person:them g(mom:dad) 8-8]
susan| Also let me know after everything is decided| [person:susan f 2-2]

conv:people_chats_04182020_237:aug_0:chat_0:chataug_0| mindy paulo| [person:mindy f 0-0][person:paulo m 1-1]
mindy| Hello Paulo sorry I couldn t answer your call as I was driving the car What happened Is anything important| [person:paulo m 1-1][person:mindy f 3-3][person:paulo m 7-7][person:mindy f 10-10]
paulo| Nothing important Mindy I was on my way to shopping thought I could pick you up in the middle Are you home| [person:mindy f 2-2][person:paulo m 3-3][person:paulo m 6-6][person:paulo m 11-11][person:mindy f 14-14][person:mindy f 20-20][location:home s 21-21]
mindy| Yes buddy I m home Thank you Why shopping all of a sudden Is it for birthday| [person:paulo m 1-1][person:mindy f 2-2][location:home s 4-4][person:paulo m 6-6]
paulo| You re right I m really excited for this birthday My dad said he will me an iPhone on occasion of my birthday| [person:mindy f 0-0][person:paulo m 3-3][person:paulo m 10-10][person:dad m 11-11][person:dad m 13-13][person:paulo m 15-15][person:paulo m 21-21]
mindy| That s awesome You know what your aunt Patricia called me yesterday and was asking me suggestions for your birthday gift As she lives in France she know places where they sell unique stuff Are you double excited now| [person:paulo m 3-3][person:paulo m 6-6][person:patricia f 7-7][person:patricia f 8-8][person:mindy f 10-10][person:mindy f 15-15][person:paulo m 18-18][person:patricia f 22-22]
paulo| Thank you so much for this info mate I m really excited What do you think I can ask my aunt Any suggestions please| [person:mindy f 1-1][person:paulo m 8-8][person:mindy f 14-14][person:paulo m 16-16][person:paulo m 19-19][person:patricia f 20-20]
mindy| I have a really cool idea Since your father is buying you an iPhone why cannot you ask your aunt to gift Airpods The new version is really cool and awesome| [person:mindy f 0-0][person:paulo m 7-7][person:paulo m 11-11][person:paulo m 16-16][person:paulo m 18-18][person:patricia f 19-19]
paulo| But what is the point of getting Airpods from France when it s already available here I know the new version takes time to launch in our country but I don t think it s a good idea bro| [location:france s 9-9][location:france s 15-15][person:paulo m 16-16][person:our g(mindy:paulo) 26-26][location:country s 27-27][person:paulo m 29-29][location:country s 33-33]
mindy| Listen In France one can purchase Apple products directly from Apple where they don t involve third party vendors like Aptronix or imagine stores So the customer is liable to ask for complimentary customization for few Apple accessories This customization is done only in Apple centers So why don t you ask to customize your name with gold color font on Airpods It looks really cool and gives you attention as well| [location:france s 2-2][person:they g(patricia) 12-12][location:party s 17-17][person:paulo m 50-50][person:paulo m 54-54][person:paulo m 68-68]
paulo| Oh really I like the concept brother Thanks for the great suggestion I will call my aunt and ask her same Time to SHOWOFF p| [person:paulo m 2-2][person:mindy f 6-6][person:paulo m 12-12][person:paulo m 15-15][person:patricia f 16-16][person:patricia f 19-19]

conv:people_chats_04182020_238:aug_0:chat_0:chataug_0| janet melissa| [person:janet f 0-0][person:melissa f 1-1]
janet| Hi Melissa Shall we plan to have a girls party tonight| [person:melissa f 1-1][person:we g(janet:melissa) 3-3][person:we g(janet:melissa) 8-8]
melissa| Yeah That s a good idea But where shall we plan to have the party| [person:we g(janet:melissa) 9-9]
janet| We shall do that in your house if you are fine with it| [person:we g(janet:melissa) 0-0][person:melissa f 5-5][location:house s 6-6][person:melissa f 8-8][location:house s 12-12]
