conv:chats_1127_159:aug_0:chat_0:chataug_0| aiden rusell| [person:aiden m 0-0][person:rusell m 1-1]
marcus| I do not know anyone who could train me for a reasonable cost| [person:marcus m 0-0][person:anyone u 4-4][person:marcus m 8-8]
anne| Why don t you get in touch with your brother Brad He is a martial arts fanatic and has been training my friend Trina for the last few months| [person:marcus m 3-3][person:marcus m 8-8][person:brad m 9-9][person:brad m 10-10][person:brad m 11-11][person:anne f 21-21][person:trina f 23-23]
anne| And she has been really enjoying it and thinks Brad is excellent| [person:trina f 1-1][person:brad m 9-9]
marcus| I am really worried about your idea| [person:marcus m 0-0][person:anne f 5-5]
marcus| Because I don t think Brad has enough experience about martial arts| [person:marcus m 1-1][person:brad m 5-5]
anne| If you really want to be trained for martial arts then I think joining Brad will be the best option| [person:marcus m 1-1][person:anne f 11-11][person:brad m 14-14]
marcus| I am unable to decide whether to join Brad or some other professional trainer| [person:marcus m 0-0][person:brad m 8-8]
anne| That is your decision to make I gave you the suggestion| [person:marcus m 2-2][person:anne f 6-6][person:marcus m 8-8]
marcus| As I am confused let me analyze the pros and cons and then I will decide whom to join| [person:marcus m 1-1][person:marcus m 5-5][person:marcus m 13-13]
anne| Okay choose the best trainer at a reasonable cost|

conv:long_chats_0223_135:aug_0:chat_0:chataug_0| joan ted| [person:joan f 0-0][person:ted m 1-1]
joan| Hey Ted I want to get into a winter activity| [person:ted m 1-1][person:joan f 2-2]
ted| That s a good idea but is there any reason behind it|
joan| Yes I want to keep up my fitness during the cold winter months| [person:joan f 1-1][person:joan f 6-6]
ted| You are right Joan we should think about our fitness as we become lazy in winter| [person:joan f 0-0][person:joan f 3-3][person:we g(joan:ted) 4-4][person:we g(joan:ted) 8-8][person:we g(joan:ted) 11-11]
joan| Yeah but I am not sure what to do I am thinking of skiing activity| [person:joan f 2-2][person:joan f 9-9]
ted| Well in skiing we will have lots of exercise and lots of fun but I think it won t be a good idea| [person:we g(joan:ted) 3-3][person:ted m 14-14]
joan| Why do you think that it won t be a good idea| [person:ted m 2-2]
ted| Don t you think skiing can be expensive due to the equipment and gas needed to travel to appropriate hills| [person:joan f 2-2]
joan| Can you suggest me any other activity which can be affordable| [person:ted m 1-1][person:joan f 3-3]
ted| We can think about skating since it s a much more affordable hobby| [person:we g(joan:ted) 0-0]
ted| Anyhow my friends Fred and Velma teach skating classes in the local arena You can join them| [person:ted m 1-1][person:friends g() 2-2][person:fred m 3-3][person:velma f 5-5][person:joan f 13-13][person:friends g(fred:velma) 16-16]
joan| I don t think skating would be so exciting I am unable to decide whether to take skating skiing or any other| [person:joan f 0-0][person:joan f 9-9]
ted| Anyways all depends upon your choice if you can afford skiing then go for it| [person:joan f 4-4][person:joan f 7-7]
joan| Really I need to think about it again Thank you very much for your advise| [person:joan f 1-1][person:ted m 9-9][person:ted m 13-13]

conv:long_chats_0223_137:aug_0:chat_0:chataug_0| adam jenna| [person:adam m 0-0][person:jenna f 1-1]
adam| Hey Jenna Do you remember our plan for tomorrow| [person:jenna f 1-1][person:jenna f 3-3][person:our g(adam:jenna) 5-5]
jenna| Yeah I do remember about the breakfast Adam| [person:jenna f 1-1][person:adam m 7-7]
jenna| But where shall we go to have our breakfast| [person:our g(adam:jenna) 3-3][person:our g(adam:jenna) 7-7]
adam| Okay I know a popular restaurant but it s really small and seating is hard to find| [person:adam m 1-1][location:restaurant s 5-5][location:restaurant s 7-7]
adam| But the food over there tastes very good| [location:restaurant s 4-4]
jenna| It s okay if it is small and has good taste but is that place expensive| [location:restaurant s 4-4][location:restaurant s 14-14]
adam| No that place isn t expensive but uncomfortable Do you want to suggest any other restaurants| [location:restaurant s 2-2][person:jenna f 9-9][location:restaurants g() 15-15]
jenna| I know a place it s quite spacious but it is very expensive| [person:jenna f 0-0][location:place s 3-3][location:place s 4-4][location:place s 9-9]
adam| Now we have to search for a restaurant which is bigger and cheaper| [person:our g(adam:jenna) 1-1][location:restaurant s 7-7]
jenna| I just remembered my friends Luna and Daniel work at a restaurant that also sells breakfast| [person:jenna f 0-0][person:jenna f 3-3][person:friends g() 4-4][person:luna f 5-5][person:daniel m 7-7][location:restaurant s 11-11]
adam| Is it cheap and spacious| [location:restaurant s 1-1]
jenna| Yes it is very big and cheap The food is also very tasty there| [location:restaurant s 1-1][location:restaurant s 13-13]
adam| It is a good idea But now I am unable to decide about what order to place| [person:adam m 7-7]
jenna| We ll check that in the restaurants menu don t think about it now| [person:our g(adam:jenna) 0-0][location:restaurant s 6-6]

conv:long_chats_0223_138:aug_0:chat_0:chataug_0| george hilary| [person:george m 0-0][person:hilary f 1-1]
george| Hey Hilary what about planning for hiking this vacation| [person:hilary f 1-1][location:vacation s 8-8]
hilary| Even I was also planning to go for a vacation anyways I like your plan| [person:hilary f 1-1][location:vacation s 9-9][person:hilary f 11-11][person:george m 13-13]
george| So would you like to join me on the trip| [person:hilary f 2-2][person:george m 6-6][location:vacation s 9-9]
hilary| Yeah I am intrested How about joining Sara and Natasha with us| [person:hilary f 1-1][person:sara f 7-7][person:natasha f 9-9][person:us g(george:hilary) 11-11]
george| Yeah sure why not It would be great fun|
hilary| I need some basic essentials for the hiking trip such as a backpack boots water bottle and a first aid kit| [person:hilary f 0-0][location:vacation s 8-8]
george| Thank you for reminding me even I also need a few things| [person:hilary f 1-1][person:george m 4-4][person:george m 6-6]
george| Well we can make an official list of the essential things that we might need for the trip or else we may miss some| [person:us g(george:hilary) 1-1][person:us g(george:hilary) 12-12][location:vacation s 17-17][person:us g(george:hilary) 20-20]
hilary| Yes we should also ask them to go through the list| [person:us g(george:hilary) 1-1][person:them g(sara:natasha) 5-5]
hilary| Whether they have forgotten to add something extremely important to the list| [person:them g(sara:natasha) 1-1]
george| Okay Hilary I will arrange a time to reach out to both of them| [person:hilary f 1-1][person:george m 2-2][person:them g(sara:natasha) 13-13]
hilary| Once I am done with the official list of things we can start shopping together| [person:hilary f 1-1][person:us g(george:hilary) 10-10]
george| Great we can meet this weekend and make plans further| [person:us g(george:hilary) 1-1]
hilary| Okay let s meet this weekend I am really excited for this vacation| [person:hilary f 6-6][location:vacation s 12-12]

conv:long_chats_0223_140:aug_0:chat_0:chataug_0| matt sabrina| [person:matt m 0-0][person:sabrina f 1-1]
sabrina| Hey Matt I need your help| [person:matt m 1-1][person:sabrina f 2-2][person:matt m 4-4]
matt| Yeah Sabrina How can I help you| [person:sabrina f 1-1][person:matt m 4-4][person:sabrina f 6-6]
sabrina| Can you suggest me a gift for my grandparents for their upcoming anniversary| [person:matt m 1-1][person:sabrina f 3-3][person:sabrina f 7-7][person:their g() 10-10]
matt| Sure but I need to know what hobbies they like more| [person:matt m 2-2][person:their g() 8-8]
sabrina| They both are foodies so they love to bake different deserts on their free time| [person:their g() 0-0][person:their g() 5-5][person:their g() 12-12]
matt| Then why don t you gift them baking equipment| [person:sabrina f 4-4][person:their g() 6-6]
matt| I think they will enjoy it a lot| [person:matt m 0-0][person:their g() 2-2]
sabrina| I haven t visited their place for a long time so I don t know what equipment they need| [person:sabrina f 0-0][person:their g() 4-4][location:place s 5-5][person:sabrina f 11-11][person:their g() 17-17]
sabrina| Can you please find out and let me know As you know I am not good in it| [person:matt m 1-1][person:sabrina f 7-7][person:matt m 10-10][person:sabrina f 12-12]
matt| We can have a basic baking equipment available in the market We can buy that online as well| [person:we g(sabrina:matt) 0-0][location:market s 10-10][person:we g(sabrina:matt) 11-11]
sabrina| Do you really think this will work Or shall I try to get something else| [person:matt m 1-1][person:sabrina f 9-9]
matt| I think this will be a memorable gift than any Anyhow you have to take the call regarding it| [person:matt m 0-0][person:sabrina f 11-11]
sabrina| Okay I will go with your suggestion Can you help me in buying it| [person:sabrina f 1-1][person:matt m 5-5][person:matt m 8-8][person:sabrina f 10-10]
matt| Yeah I will help you I hope they will be happy with the gift| [person:matt m 1-1][person:sabrina f 4-4][person:matt m 5-5][person:their g() 7-7]

conv:long_chats_0223_141:aug_0:chat_0:chataug_0| bina min| [person:bina f 0-0][person:min m 1-1]
bina| Hey Min Do you have any plans this weekend| [person:min m 1-1][person:min m 3-3]
min| No I am free this weekend Why d you ask| [person:min m 1-1][person:bina f 8-8]
bina| Shall we plan to watch Hockey| [person:we g(bina:min) 1-1]
min| Yeah I m ready to watch it and let s take our in laws also to the game It will be like a gift for them| [person:min m 1-1][person:we g(bina:min) 11-11][person:inlaws g() 25-25]
bina| Yeah That s a good idea We ll buy them the club seats or regular| [person:we g(bina:min) 6-6][person:inlaws g() 9-9]
min| Let s take regular seats only why do you want to buy club seats| [person:bina f 8-8]
bina| Our in laws would love to have the club seats as it is their first match to watch| [person:we g(bina:min) 0-0][person:inlaws g() 13-13]
min| Private club seats are very much expensive Bina we can t afford those seats| [person:bina f 7-7][person:we g(bina:min) 8-8]
bina| We ll try to get the club seats as it makes them happy without thinking about the cost| [person:we g(bina:min) 0-0][person:inlaws g() 11-11]
min| I already started looking for the cheapest and best seats in front row| [person:min m 0-0]
bina| Why do you think that they would love sitting in the front rows| [person:min m 2-2][person:inlaws g() 5-5]
min| Because it will be a good view from there and they would love sitting close to the players| [person:inlaws g() 10-10]
bina| Okay Fine Then we ll get the front seats| [person:we g(bina:min) 3-3]
min| Yeah I ll go and buy the tickets for us now| [person:min m 1-1][person:we g(bina:min) 9-9]

conv:long_chats_0223_143:aug_0:chat_0:chataug_0| austin maddie| [person:austin m 0-0][person:maddie f 1-1]
austin| Hey Maddie Are you done with your todo list| [person:maddie f 1-1][person:maddie f 3-3][person:maddie f 6-6]
maddie| Hi Austin I just have to talk with the caterers to put in our final food list| [person:austin m 1-1][person:maddie f 2-2][person:our g(austin:maddie) 13-13]
maddie| Have you sent the invitations to all our guests| [person:austin m 1-1][person:our g(austin:maddie) 7-7]
austin| Yeah Almost done just a few people left|
maddie| Okay cool I hope make our engagement party the most memorable one| [person:maddie f 2-2][person:our g(austin:maddie) 5-5]
austin| Don t worry about it Everything will be all right|
austin| I think we should invite our new neighbors Evan and Kaylie| [person:austin m 0-0][person:our g(austin:maddie) 2-2][person:our g(austin:maddie) 5-5][person:neighbors g() 7-7][person:evan m 8-8][person:kaylie f 10-10]
maddie| Why didn t we think about them before I think that s a great idea| [person:our g(austin:maddie) 3-3][person:them g(evan:kaylie) 6-6][person:maddie f 8-8]
austin| I really enjoyed meeting them at the country club golf course| [person:austin m 0-0][person:them g(evan:kaylie) 4-4][location:country s 7-7][location:country s 8-8]
austin| They are energetic polite and love to golf| [person:them g(evan:kaylie) 0-0]
maddie| I couldn t agree more Kaylie is like my sister from another mother| [person:maddie f 0-0][person:maddie f 8-8][person:sister f 9-9]
maddie| Do you think we should personally invite them as it s such a short notice| [person:austin m 1-1][person:our g(austin:maddie) 3-3][person:them g(evan:kaylie) 7-7]
austin| Sounds like a good idea Decide and tell me about it| [person:austin m 8-8]
maddie| Let s meet them this weekend then and invite them to the party| [person:them g(evan:kaylie) 3-3][person:them g(evan:kaylie) 9-9]

conv:long_chats_0223_144:aug_0:chat_0:chataug_0| luna zeke| [person:luna f 0-0][person:zeke m 1-1]
luna| Hey Zeke what did the results for Agnes and Ernest say| [person:zeke m 1-1][person:agnes f 7-7][person:ernest m 9-9]
zeke| They got infected with the coronavirus Lana This virus is spreading like wildfire| [person:they g(agnes:ernest) 0-0][person:lana f 6-6]
luna| I cant believe that our family members are affected by this virus| [person:luna f 0-0][person:our g(luna:zeke) 4-4][person:family g() 5-5]
zeke| They are currently undergoing treatment at the hospital| [person:family g() 0-0][location:hospital s 7-7]
luna| I m very scared by this news Is there a cure for the virus yet| [person:luna f 0-0]
zeke| Me too I read that the virus has been cured in some cases| [person:zeke m 0-0][person:zeke m 2-2]
luna| I hope they will get over this virus very soon| [person:luna f 0-0][person:they g(agnes:ernest) 2-2]
zeke| Do you think it s a good idea to visit them at the hospital| [person:luna f 1-1][person:they g(agnes:ernest) 10-10][location:hospital s 13-13]
luna| That is the worst idea they won t allow us to visit them because they are affected with coronavirus| [person:they g(agnes:ernest) 5-5][person:our g(luna:zeke) 9-9][person:they g(agnes:ernest) 12-12][person:they g(agnes:ernest) 14-14]
luna| Rather than visiting the hospital it s better to be at home Zeke| [location:hospital s 4-4][location:home s 11-11][person:zeke m 12-12]
zeke| That is true I just thought that way because it s our family| [person:zeke m 3-3][person:our g(luna:zeke) 11-11][person:family g() 12-12]
zeke| I will be in touch with our cousins so that we are updated on their condition| [person:zeke m 0-0][person:our g(luna:zeke) 6-6][person:cousins g() 7-7][person:our g(luna:zeke) 10-10][person:cousins g() 14-14]
luna| I think that is a cool idea better to do that| [person:luna f 0-0]
zeke| Okay let s visit them when they say it is safe| [person:they g(agnes:ernest) 4-4][person:they g(agnes:ernest) 6-6]

conv:long_chats_0223_147:aug_0:chat_0:chataug_0| flynn sophie| [person:flynn f 0-0][person:sophie f 1-1]
sophie| Hey Flynn Do you mind if we reconsider our weekend plan| [person:flynn f 1-1][person:flynn f 3-3][person:we g(sophie:flynn) 6-6][person:we g(sophie:flynn) 8-8]
flynn| Why What happened We planned to take a helicopter tour right| [person:we g(sophie:flynn) 3-3]
sophie| Yeah Have you heard about the recent helicopter accident that made the news| [person:flynn f 2-2]
sophie| I am really very scared to fly after hearing about that incident| [person:sophie f 0-0]
flynn| Yeah it was a tragic accident that has occurred and I feel sorry for the people who died| [person:flynn f 10-10]
flynn| But that should not discourage us from flying right| [person:we g(sophie:flynn) 5-5]
sophie| I think you are right I must not be discouraged over other incidents| [person:sophie f 0-0][person:flynn f 2-2][person:sophie f 5-5]
sophie| But I still feel scared about flying| [person:sophie f 1-1]
flynn| What will make you feel better so that you come with me on a helicopter tour| [person:sophie f 3-3][person:sophie f 8-8][person:flynn f 11-11]
sophie| I think that if I could speak to somebody familiar with helicopters it might alleviate my worries| [person:sophie f 0-0][person:sophie f 4-4][person:sophie f 15-15]
flynn| I suggest you to talk to my friends Shaunise and Luke| [person:flynn f 0-0][person:sophie f 2-2][person:flynn f 6-6][person:friends g() 7-7][person:shaunise f 8-8][person:luke m 10-10]
flynn| They take helicopters often and are both aviation experts and I guess they can make you feel better| [person:friends g(shaunise:luke) 0-0][person:flynn f 10-10][person:friends g(shaunise:luke) 12-12][person:sophie f 15-15]
sophie| Yeah Give me their phone numbers so that I can contact them| [person:sophie f 2-2][person:friends g(shaunise:luke) 3-3][person:sophie f 8-8][person:friends g(shaunise:luke) 11-11]
flynn| Please wait for a minute I ll search and send their contacts to you| [person:flynn f 5-5][person:friends g(shaunise:luke) 10-10][person:sophie f 13-13]

conv:long_chats_0223_148:aug_0:chat_0:chataug_0| marvin trevor| [person:marvin m 0-0][person:trevor m 1-1]
marvin| Hey Trevor is everything set for the Superbowl party| [person:trevor m 1-1]
trevor| I m always ready for the Super Bowl party Marvin| [person:trevor m 0-0][person:marvin m 9-9]
marvin| We are also inviting Kenny and Brinda to join us Isn t it| [person:we g(marvin:trevor) 0-0][person:kenny m 4-4][person:brinda f 6-6][person:we g(marvin:trevor) 9-9]
trevor| Yes definitely we are going to invite both of them| [person:we g(marvin:trevor) 2-2][person:friends g(kenny:brinda) 9-9]
marvin| Before planning for the party we need to make a list of things that we would need for the party| [person:we g(marvin:trevor) 5-5][person:we g(marvin:trevor) 14-14]
trevor| Alright I will make a list of Items that we would require for our party| [person:trevor m 1-1][person:we g(marvin:trevor) 9-9][person:we g(marvin:trevor) 13-13]
marvin| I ll bring a variety of snacks and appetizers that our friends like| [person:marvin m 0-0][person:we g(marvin:trevor) 10-10][person:friends g(kenny:brinda) 11-11]
trevor| That s good Marvin Let me know if I need to bring anything| [person:marvin m 3-3][person:trevor m 5-5][person:trevor m 8-8]
marvin| Hey buddy why don t we plan things a bit different this time| [person:trevor m 1-1][person:we g(marvin:trevor) 5-5]
trevor| Of course but what s in your mind I m sure it ll be a crazy idea| [person:marvin m 6-6][person:trevor m 8-8]
marvin| How about setting up a theme for the party|
trevor| Yeah that sounds good then why don t we host a teamcolored theme party| [person:we g(marvin:trevor) 8-8]
marvin| That a great idea buddy No only we but Kenny and Brinda are also going to love it| [person:trevor m 4-4][person:we g(marvin:trevor) 7-7][person:kenny m 9-9][person:brinda f 11-11]
trevor| Then let s get some party poppers to celebrate for the winning team| [person:we g(marvin:trevor) 2-2][person:team g() 12-12]

conv:long_chats_0223_150:aug_0:chat_0:chataug_0| ben ellie| [person:ben m 0-0][person:ellie f 1-1]
ben| Hey how are you Are you busy this weekend| [person:ellie f 3-3][person:ellie f 5-5]
ellie| I m good Ben I will mostly be free this weekend| [person:ellie f 0-0][person:ben m 3-3][person:ellie f 4-4]
ben| Not really but its been 3 weeks that we ve met I feel like meeting you again| [person:we g(ben:ellie) 8-8][person:ben m 11-11][person:ellie f 15-15]
ellie| Yes Ben I have the same feeling of meeting you Do you have any plans| [person:ben m 1-1][person:ben m 2-2][person:ben m 9-9][person:ben m 11-11]
ben| I think I m becoming a firm believer of online dating site Is it the same with you| [person:ben m 0-0][person:ben m 2-2][person:ellie f 17-17]
ellie| I m not sure but I have the same feeling on online dating after meeting you| [person:ellie f 0-0][person:ellie f 5-5][person:ben m 15-15]
ben| How about going for a bowling this weekend Are you interested| [person:ellie f 9-9]
ellie| Yeah that will be cool even I m interested in bowling| [person:ellie f 6-6]
ellie| But Ben I want to add my siblings too What do you say is it ok for you| [person:ben m 1-1][person:ellie f 2-2][person:ellie f 6-6][person:ben m 11-11][person:ben m 17-17]
ben| I don t mind if they join us In fact i ll just find a chance to get them know better| [person:ben m 0-0][person:they g() 5-5][person:we g(ben:ellie) 7-7][person:ben m 10-10][person:they g() 18-18]
ellie| Not only knowing them better but we can also have lots of fun together| [person:they g() 3-3][person:we g(ben:ellie) 6-6]
ben| Well in that case I ll find a groupon because I bowl just for fun| [person:ben m 4-4][person:ben m 10-10]
ben| I m really worried about how bad I m going to score on my second date| [person:ben m 0-0][person:ben m 7-7][person:ben m 13-13]
ellie| Don t worry about that Ben You will score good points and we will have a good time| [person:ben m 5-5][person:ben m 6-6][person:we g(ben:ellie) 12-12]

conv:long_chats_0223_152:aug_0:chat_0:chataug_0| issa linda| [person:issa f 0-0][person:linda f 1-1]
issa| Hey Linda What are you doing| [person:linda f 1-1][person:linda f 4-4]
linda| Hey Issa I am starving I want to eat something good| [person:issa f 1-1][person:linda f 2-2][person:linda f 5-5]
issa| Shall we go out and have dinner then| [person:we g(issa:linda) 1-1]
linda| Yeah sure That s a great idea|
issa| I really want to eat Italian food tonight| [person:issa f 0-0]
linda| I am craving for spicy mexican food| [person:linda f 0-0]
issa| My friends Jessica and Tom recently went to a restaurant that had a fusion of both| [person:issa f 0-0][person:friends g() 1-1][person:jessica f 2-2][person:tom m 4-4][location:restaurant s 9-9]
issa| They both were craving for two different things and they got their favourite food in that restaurant| [person:friends g(jessica:tom) 0-0][person:friends g(jessica:tom) 9-9][person:friends g(jessica:tom) 11-11][location:restaurant s 16-16]
linda| Yes I think we should also go to that restaurant and have our favourite food| [person:linda f 1-1][person:we g(issa:linda) 3-3][location:restaurant s 9-9][person:we g(issa:linda) 12-12]
issa| Yeah We should go and have the food we are craving for| [person:we g(issa:linda) 1-1][person:we g(issa:linda) 8-8]
linda| But I am unable to decide when we should go out for dinner| [person:linda f 1-1][person:we g(issa:linda) 7-7]
linda| Because now it is not possible to go as I have an important work to do| [person:linda f 9-9]
issa| Okay tell me whenever you re ready to go out for dinner| [person:issa f 2-2][person:linda f 4-4]
linda| Sure Issa I will plan when ever I am free| [person:issa f 1-1][person:linda f 2-2][person:linda f 7-7]

conv:long_chats_0223_155:aug_0:chat_0:chataug_0| dakota frank| [person:dakota f 0-0][person:frank m 1-1]
frank| Hey Dakota What are your plans for this weekend| [person:dakota f 1-1][person:dakota f 4-4]
dakota| As of now there is nothing as such but thinking of going for a vacation Do you have anything in mind| [location:vacation s 14-14][person:frank m 16-16]
frank| Yeah even I am planning to go on a vacation to a tropical island| [person:frank m 2-2][location:vacation s 9-9][location:island s 13-13]
frank| Do you have any specific place in your mind| [person:dakota f 1-1][location:place s 5-5][person:dakota f 7-7]
dakota| Yeah I am willing to visit a historic place somewhere in Europe| [person:dakota f 1-1][location:place s 8-8][location:europe s 11-11]
dakota| It has been so long I haven t visited a historic place| [location:europe s 0-0][person:dakota f 5-5][location:place s 11-11]
frank| I want to tell you about my friends Jack and Amanda who recently went on a vacation to Hawaii| [person:frank m 0-0][person:dakota f 4-4][person:frank m 6-6][person:friends g() 7-7][person:jack m 8-8][person:amanda f 10-10][location:vacation s 16-16][location:hawaii s 18-18]
dakota| No doubt Hawaii is a beautiful place to visit We should plan it later| [location:hawaii s 2-2][location:hawaii s 6-6][person:we g(frank:dakota) 9-9][location:hawaii s 12-12]
frank| Yeah But they told me that the tickets will be cheap for a limited time| [person:friends g(jack:amanda) 2-2][person:frank m 4-4]
frank| I don t want to miss this offer| [person:frank m 0-0]
dakota| That s great to have a trip to Hawaii at a cheaper rate| [location:hawaii s 6-6][location:hawaii s 8-8]
dakota| But I can t decide I am willing to go there Anyways I will let you know soon| [person:dakota f 1-1][person:dakota f 5-5][location:hawaii s 10-10][person:dakota f 12-12][person:frank m 15-15]
frank| Okay I will wait for your response Let me as soon as possible as this offer is for a limited time| [person:frank m 1-1][person:dakota f 5-5][person:frank m 8-8]
dakota| Yeah sure meet you soon| [person:frank m 3-3]

conv:long_chats_0223_156:aug_0:chat_0:chataug_0| artem stacy| [person:artem m 0-0][person:stacy f 1-1]
stacy| What s up Artem Why are you awake till this late| [person:artem m 3-3][person:artem m 6-6]
artem| I m unable to move on from my previous relationship Stacy| [person:artem m 0-0][person:artem m 7-7][person:stacy f 10-10]
stacy| Oh dear for how long will you keep remembering her feel sad| [person:artem m 6-6][person:her f 9-9]
artem| What do I do I just can t take her out of my mind| [person:artem m 2-2][person:artem m 4-4][person:her f 9-9][person:artem m 12-12]
stacy| Listen I m going out with my friends tonight Would you like to come along| [person:stacy f 1-1][person:stacy f 6-6][person:friends g() 7-7][person:artem m 10-10]
artem| Yeah that s cool but with whom your going with Stacy| [person:stacy f 7-7][person:stacy f 10-10]
stacy| Chris Donavan me are planning to booze the entire night| [person:chris m 0-0][person:donavan m 1-1][person:stacy f 2-2]
artem| I wish I could come But I don t feel like hanging out| [person:artem m 0-0][person:artem m 2-2][person:artem m 6-6]
stacy| I m sure that would help you take your mind off things make you feel better| [person:stacy f 0-0][person:artem m 6-6][person:artem m 8-8][person:artem m 13-13]
artem| I would love to go out but I feel comfortable to stay at home and mope tonight| [person:artem m 0-0][person:artem m 7-7][location:home s 13-13]
stacy| Look Artem I really want you to move on with your life| [person:artem m 1-1][person:stacy f 2-2][person:artem m 5-5][person:artem m 10-10]
artem| Even I want to move on but it might take some time| [person:artem m 1-1]
stacy| I have a friend named Elena You both have very similar tastes I can set her up with you but I doubt if you re ready for another relationship| [person:stacy f 0-0][person:elena f 3-3][person:elena f 5-5][person:artem m 6-6][person:stacy f 12-12][person:elena f 15-15][person:artem m 18-18][person:artem m 23-23]
artem| Stacy give me some time I need some space to figure things out by myself| [person:stacy f 0-0][person:artem m 2-2][person:artem m 5-5][person:artem m 14-14]

conv:long_chats_0223_158:aug_0:chat_0:chataug_0| ivantina kat| [person:ivantina f 0-0][person:kat f 1-1]
kat| Hey Ivantina Are you free this weekend| [person:ivantina f 1-1][person:ivantina f 3-3]
ivantina| Yes I don t have any plans still now What about you| [person:ivantina f 1-1][person:kat f 11-11]
kat| I am planning to go on a road trip for a long time| [person:kat f 0-0][location:road s 7-7][location:road s 8-8]
kat| Would you like to join me| [person:ivantina f 1-1][person:kat f 5-5]
ivantina| Well that s a great plan Kat| [person:kat f 6-6]
ivantina| But I cannot drive in different cities as I get confused by the signs| [person:ivantina f 1-1][location:cities g() 6-6][person:ivantina f 8-8]
kat| No problem I can understand that Ivantina My friends Martin and Donald will be joining us for the trip| [person:kat f 2-2][person:ivantina f 6-6][person:kat f 7-7][person:friends g() 8-8][person:martin m 9-9][person:donald m 11-11][person:us g(kat:ivantina) 15-15][location:road s 18-18]
ivantina| Wow that s great they are joining us It would be fun together| [person:friends g(martin:donald) 4-4][person:us g(kat:ivantina) 7-7][location:road s 8-8]
ivantina| Can any of the boys drive the car for us| [person:friends g(martin:donald) 4-4][person:us g(kat:ivantina) 9-9]
kat| You have nothing to worry about they drive very well| [person:ivantina f 0-0][person:friends g(martin:donald) 6-6]
ivantina| Great I can t understand when shall I start the packing then| [person:ivantina f 1-1][person:ivantina f 7-7]
kat| I will let you know about it Once after the plan is revised| [person:kat f 0-0][person:ivantina f 3-3]
ivantina| Yeah I will be waiting for your update regarding the trip See you soon| [person:ivantina f 1-1][person:kat f 6-6][location:road s 10-10][person:kat f 12-12]
kat| Sure thank you very much for joining us for the trip| [person:ivantina f 2-2][person:us g(kat:martin:donald) 7-7][location:road s 10-10]

conv:long_chats_0223_161:aug_0:chat_0:chataug_0| aspen drederick| [person:aspen f 0-0][person:drederick m 1-1]
drederick| Aspen finally we are at wonderland we were waiting for this day since so long| [person:aspen f 0-0][person:we g(drederick:aspen) 2-2][person:we g(drederick:aspen) 6-6]
aspen| Yes it was a long wait to get here Let s not waste time|
drederick| You know that wonderland is a very big in terms of area and we have to cover everything| [person:aspen f 0-0][person:we g(drederick:aspen) 13-13]
aspen| I m sure that we are definitely going to get tired by today evening| [person:aspen f 0-0][person:we g(drederick:aspen) 4-4]
drederick| I m very much excited for the ride s here but I m a bit confused about which ride to take first| [person:drederick m 0-0][person:drederick m 11-11]
aspen| Why don t we try the Drop Zone I have heard that s very exciting| [person:we g(drederick:aspen) 3-3][person:aspen f 8-8]
drederick| Yes Drop Zone is a great ride but I still remember that Katy puked her guts out at the Drop Zone| [person:drederick m 8-8][person:katy f 12-12][person:katy f 14-14]
aspen| Oh is that so I ve never heard this about her| [person:aspen f 4-4][person:katy f 10-10]
drederick| I definitely want to try it but I don t want to suffer the same as Katy faced| [person:drederick m 0-0][person:drederick m 7-7][person:katy f 16-16]
aspen| Don t worry much Dred It s not going to be the same every time|
drederick| Ok then let s first start our ride with a smaller coaster and then we will go to Drop Zone| [person:we g(drederick:aspen) 6-6][person:we g(drederick:aspen) 14-14]
aspen| Well that s a good start But I don t know any smaller roller coasters Do you know| [person:aspen f 7-7][person:drederick m 16-16]
drederick| Do you remember our friend Derick He works here but I don t know exactly where in wonderland| [person:aspen f 1-1][person:we g(drederick:aspen) 3-3][person:derick m 5-5][person:derick m 6-6][person:drederick m 10-10]
aspen| Yes I remember him saying that he works in a park here He must be in a position to help us out| [person:aspen f 1-1][person:derick m 3-3][person:derick m 6-6][person:derick m 12-12][person:we g(drederick:aspen) 20-20]
drederick| Ok let me check my contact list and call him| [person:drederick m 2-2][person:drederick m 4-4][person:derick m 9-9]
aspen| Alright Let s wait till he comes then explore the rest| [person:derick m 5-5]

conv:long_chats_0223_163:aug_0:chat_0:chataug_0| phillip ricky| [person:phillip m 0-0][person:ricky m 1-1]
phillip| We haven t gone on a trip with the family for a long time I was thinking to plan for it What do you say| [person:we g(phillip:ricky) 0-0][location:trip s 6-6][person:family g(phillip) 9-9][person:phillip m 14-14][location:trip s 20-20][person:ricky m 23-23]
ricky| That s really a good idea Philip even I am also tired of this daily schedule| [person:phillip m 6-6][person:ricky m 8-8]
phillip| You are a good tour planner Please plan a trip for a week so that we can freshen up our minds| [person:ricky m 0-0][person:ricky m 5-5][location:trip s 9-9][person:we g(phillip:ricky) 15-15][person:we g(phillip:ricky) 19-19]
ricky| Just a week But I want to spend more time with them so I was thinking to plan the trip for 10 days Do you have any issues| [person:ricky m 4-4][person:them g() 11-11][person:ricky m 13-13][location:trip s 19-19][person:phillip m 24-24]
