conv:long_chats_0223_199:aug_0:chat_0:chataug_0| lilly sheila| [person:lilly f 0-0][person:sheila f 1-1]
nora| okay good becase he is good at his job| [person:dr__luna m 3-3][person:dr__luna m 7-7]
jack| oh really how do know this|
nora| he helped my ex boyfriend he also snored| [person:dr__luna m 0-0][person:nora f 2-2][person:ex_boyfriend m 3-4][person:ex_boyfriend m 5-5]
jack| okay great am definitely getting help from him as well| [person:dr__luna m 7-7]
nora| you better because i really can t sleep at night| [person:jack m 0-0][person:nora f 3-3]
jack| are you serious do i stress you that much| [person:nora f 1-1][person:jack m 4-4][person:nora f 6-6]
nora| you do honestly i do not just complain you know it is my nature| [person:jack m 0-0][person:nora f 3-3][person:jack m 8-8][person:nora f 12-12]
jack| i am really sorry babe| [person:jack m 0-0][person:nora f 4-4]
nora| i understand darling i just you get help soon| [person:nora f 0-0][person:jack m 2-2][person:nora f 3-3][person:jack m 5-5]
jack| i will work hard to ensure i no longer stress you anymore| [person:jack m 0-0][person:jack m 6-6][person:nora f 10-10]
nora| yea i trust you darling| [person:nora f 1-1][person:jack m 3-3][person:jack m 4-4]
jack| okay darling i have to rush i will talk to you later| [person:nora f 1-1][person:jack m 2-2][person:jack m 6-6][person:nora f 10-10]

conv:people_chats_04182020_16:aug_0:chat_0:chataug_0| edgar juan| [person:edgar m 0-0][person:juan m 1-1]
edgar| Hi Juan what are you doing| [person:juan m 1-1][person:juan m 4-4]
juan| Hey Edgar I was watching TV What about you| [person:edgar m 1-1][person:juan m 2-2][person:edgar m 8-8]
edgar| There is something running in mind and I wanted to ask you about it| [person:edgar m 7-7][person:juan m 11-11]
juan| Sure tell me What do you want to ask| [person:juan m 2-2][person:edgar m 5-5]
edgar| Do you have crush on Maxine| [person:juan m 1-1][person:maxine f 5-5]
juan| Why would you ask that| [person:edgar m 2-2]
edgar| Because I overheard Maxine talking to Abigail about how she is interested in you| [person:edgar m 1-1][person:maxine f 3-3][person:abigail f 6-6][person:maxine f 9-9][person:juan m 13-13]
juan| Is that true I do have a crush on Maxine from the time I met her| [person:juan m 3-3][person:maxine f 9-9][person:juan m 13-13][person:maxine f 15-15]
edgar| That s wonderful we should go on a double date then| [person:we g(edgar:juan) 3-3]
juan| That s a good idea I ll ask Maxine and you ask Abigail| [person:juan m 5-5][person:maxine f 8-8][person:edgar m 10-10][person:abigail f 12-12]

conv:people_chats_04182020_20:aug_0:chat_0:chataug_0| quentin vincent| [person:quentin m 0-0][person:vincent m 1-1]
quentin| Hi Vincent How are you doing| [person:vincent m 1-1][person:quentin m 4-4]
vincent| Hi Quentin I m fine just some girl problems that is all| [person:quentin m 1-1][person:vincent m 2-2]
quentin| Is everything okay What is the problem|
vincent| I ve been seeing these two women Ellen and Paris both of whom I met online| [person:vincent m 0-0][person:ellen f 7-7][person:paris f 9-9][person:vincent m 13-13]
quentin| What s the matter Do you like them both| [person:vincent m 5-5][person:them g(ellen:paris) 7-7]
vincent| Ellen is adventurous and loves to travel Paris is a school teacher and wants kids Both are beautiful and seem really interested in me I don t know what to do about them or what I even want in life| [person:ellen f 0-0][person:paris f 7-7][person:kids g() 14-14][person:vincent m 23-23][person:vincent m 24-24][person:them g(quentin:vincent:ellen:paris) 32-32]
quentin| It all sounds really complicated Do you want to grab drinks after work to talk about it| [person:vincent m 6-6]
vincent| That would be great man I get off work at 500 pm| [person:vincent m 5-5]
quentin| Okay we will meet at our regular bar at 600| [person:we g(quentin:vincent) 1-1][person:our g(quentin:vincent) 5-5][location:bar s 7-7]
vincent| Perfect I ll make a reservation for us| [person:vincent m 1-1][person:us g(quentin:vincent:ellen:paris) 7-7]

conv:people_chats_04182020_23:aug_0:chat_0:chataug_0| shirley zachary| [person:shirley f 0-0][person:zachary m 1-1]
shirley| Hey Zachary We will buy some Paint affect Lighting as it makes home look brighter| [person:zachary m 1-1][person:we g(shirley:zachary) 2-2][location:home s 12-12]
zachary| Yeah That was a good Idea Shirley| [person:shirley f 6-6]
shirley| Our Neighbors were planning with some decorative items I think we would also go with the same| [person:we g(shirley:zachary) 0-0][person:neighbors g() 1-1][person:shirley f 8-8][person:we g(shirley:zachary) 10-10]
zachary| I don t think that was needed for our home| [person:zachary m 0-0][person:we g(shirley:zachary) 8-8][location:home s 9-9]
shirley| Yes First of all We need to start with the Floor renovation| [person:we g(shirley:zachary) 4-4]
zachary| Let us plan about the things required for the process and get done| [person:we g(shirley:zachary) 1-1]
shirley| I want to buy a Carpet Do you have any things in mind Let me know| [person:shirley f 0-0][person:zachary m 7-7][person:shirley f 14-14]
zachary| I would like to go with the wall Furnishing| [person:zachary m 0-0]
shirley| ok Let us go and buy the stuff required| [person:we g(shirley:zachary) 2-2]
zachary| Yeah Let s go Shirley| [person:shirley f 4-4]

conv:people_chats_04182020_24:aug_0:chat_0:chataug_0| juan kate| [person:juan m 0-0][person:kate f 1-1]
kate| Have you checked this Juan Someone is unpacking their car| [person:juan m 1-1][person:juan m 4-4][person:andrea f 5-5][person:andrea f 8-8]
juan| Ya Her name is Andrea She is moving to the apartment next to ours| [person:andrea f 1-1][person:andrea f 4-4][person:andrea f 5-5][location:apartment s 10-10][person:ours g(kate:juan) 13-13]
kate| Who told you about this How do you know her name| [person:juan m 2-2][person:juan m 7-7][person:andrea f 9-9]
juan| Tom called me last night He told me all that stuffs She is Tom s friend| [person:tom m 0-0][person:juan m 2-2][person:tom m 5-5][person:juan m 7-7][person:andrea f 11-11][person:tom m 13-13][person:andrea f 15-15]
kate| That s great Shall we call her for a small dinner What do you think about it| [person:we g(kate:juan) 4-4][person:andrea f 6-6][person:juan m 13-13]
juan| Sounds great It would be great if we call up Tom too| [person:we g(kate:juan) 7-7][person:tom m 10-10]
kate| Fine Just give a call to Tom Let me go and help her with those stuffs| [person:tom m 6-6][person:kate f 8-8][person:andrea f 12-12]
juan| I would love to join you We will call Tom once we unpack everything| [person:juan m 0-0][person:kate f 5-5][person:we g(kate:juan) 6-6][person:tom m 9-9][person:we g(kate:juan:andrea) 11-11]
kate| No I think you should not give stress to your back That s what the doctor said| [person:kate f 1-1][person:juan m 3-3][person:juan m 9-9][person:doctor u 15-15]
juan| Its been a long time since then I am perfectly alright now Come Lets go| [person:juan m 7-7]

conv:people_chats_04182020_26:aug_0:chat_0:chataug_0| gerald sophia| [person:gerald m 0-0][person:sophia f 1-1]
sophia| Hey Gerald I think you are ready for the upcoming trip| [person:gerald m 1-1][person:sophia f 2-2][person:gerald m 4-4]
gerald| Hi Sophia Yeah I am ready for the upcoming trip| [person:sophia f 1-1][person:gerald m 3-3]
sophia| I want to talk to Grace and Raymond But I don t have their contacts| [person:sophia f 0-0][person:grace f 5-5][person:raymond m 7-7][person:sophia f 9-9][person:their g(grace:raymond) 13-13]
gerald| Yeah Today I saw them together in the morning| [person:gerald m 2-2][person:their g(grace:raymond) 4-4]
sophia| Did you discuss about the planned trip with them| [person:gerald m 1-1][person:their g(grace:raymond) 8-8]
gerald| No I could not reach them as I was bit busy with my work| [person:gerald m 1-1][person:their g(grace:raymond) 5-5][person:gerald m 7-7][person:gerald m 12-12]
sophia| If you have contact numbers of Grace and Raymond just tell them about the trip| [person:gerald m 1-1][person:grace f 6-6][person:raymond m 8-8][person:their g(grace:raymond) 11-11]
gerald| I have their contact numbers shall we go to their places in the evening| [person:gerald m 0-0][person:their g(grace:raymond) 2-2][person:we g(sophia:gerald) 6-6][person:their g(grace:raymond) 9-9][location:places g() 10-10]
sophia| Yeah sure Be in your place after leaving from the work| [person:gerald m 4-4][location:place s 5-5]
gerald| Okay I will be waiting for you in my place| [person:gerald m 1-1][person:sophia f 6-6][person:gerald m 8-8][location:place s 9-9]

conv:people_chats_04182020_27:aug_0:chat_0:chataug_0| cassie karen| [person:cassie f 0-0][person:karen f 1-1]
karen| Hi Cassie I was wondering if you d be in for a girls night in at my apartment on Saturday| [person:cassie f 1-1][person:karen f 2-2][person:cassie f 6-6][person:girls g(karen:cassie) 12-12][person:karen f 16-16][location:apartment s 17-17]
cassie| I would love that I need a break from my daily routine| [person:cassie f 0-0][person:cassie f 4-4][person:cassie f 9-9]
karen| Awesome We ll cook our favorites for dinner listen to loud music and dance our boredom away| [person:girls g(karen:cassie) 1-1][person:girls g(karen:cassie) 4-4][person:girls g(karen:cassie) 14-14]
cassie| Oh my God that s going to be so much fun| [person:cassie f 1-1]
cassie| A nice girls night has been overdue| [person:girls g(karen:cassie) 2-2]
karen| There s only one problem My neighbor Teresa might not like all the noise we make Worse she might complain to our landlord| [location:apartment s 0-0][person:karen f 5-5][person:teresa f 6-6][person:teresa f 7-7][person:girls g(karen:cassie) 14-14][person:teresa f 17-17][person:girls g(karen:cassie) 21-21]
cassie| Shoot Sounds like trouble I have an idea| [person:cassie f 4-4]
cassie| Why don t we invite her for too That way she s not going to complain| [person:girls g(karen:cassie) 3-3][person:teresa f 5-5][person:teresa f 10-10]
karen| Cassie you re a genius She s actually a fun person to be around| [person:teresa f 0-0][person:cassie f 1-1][person:cassie f 5-5]
karen| I ll call her Be there at 8 on Saturday Love you bye| [person:karen f 0-0][person:teresa f 3-3][location:apartment s 5-5][person:teresa f 11-11]

conv:people_chats_04182020_28:aug_0:chat_0:chataug_0| isla jordan| [person:isla f 0-0][person:jordan m 1-1]
isla| What do ou have in mind for valentines day Jordan| [person:jordan m 9-9]
isla| What do you want me to give you| [person:jordan m 2-2][person:isla f 4-4][person:jordan m 7-7]
jordan| I dont really want anything on Valentines day Isla| [person:jordan m 0-0][person:isla f 8-8]
jordan| Spending time with you is a gift enough for me| [person:isla f 3-3][person:jordan m 9-9]
isla| But I want to do something like Caroline and Gilbert are doing| [person:isla f 1-1][person:caroline f 7-7][person:gilbert m 9-9]
jordan| What plans do they have| [person:they g(caroline:gilbert) 3-3]
isla| They are going to hot bath and spa| [person:they g(caroline:gilbert) 0-0][location:spa s 7-7]
jordan| Yes but they have money for that so they can do that| [person:they g(caroline:gilbert) 2-2][person:they g(caroline:gilbert) 8-8]
jordan| You dont really have to follow your friends| [person:isla f 0-0][person:isla f 6-6][person:friends g() 7-7]
isla| Yes I know that Jordan but I am feeling a bit left out| [person:isla f 1-1][person:jordan m 4-4][person:isla f 6-6]
isla| Maybe I should give you a special suprise or something| [person:isla f 1-1][person:jordan m 4-4]
jordan| I can t wait to find out what you would do| [person:jordan m 0-0][person:isla f 8-8]
isla| Right now it is a surprise for me as well because I dont have any ideas| [person:isla f 7-7][person:isla f 11-11]
jordan| Haha I am sure you will come up with something great| [person:jordan m 1-1][person:isla f 4-4]

conv:people_chats_04182020_29:aug_0:chat_0:chataug_0| andrea king| [person:andrea f 0-0][person:king m 1-1]
king| Hi Andrea are you free I want to talk to you| [person:andrea f 1-1][person:andrea f 3-3][person:king m 5-5][person:andrea f 10-10]
andrea| Hi King yes I am free tell me what you want to talk about| [person:king m 1-1][person:andrea f 3-3][person:andrea f 7-7][person:king m 9-9]
king| Shall we buy a toy for our children Sally and Mel| [person:we g(king:andrea) 1-1][person:we g(king:andrea) 6-6][person:sally f 8-8][person:mel f 10-10]
andrea| Yeah That was a nice idea but Sally will like something of her own| [person:sally f 7-7][person:sally f 12-12]
king| Oh I see but I can t purchase two toys at a time| [person:king m 1-1][person:king m 4-4]
andrea| Why What is the reason behind your statement| [person:king m 6-6]
king| Why because we are running out of the budget| [person:we g(king:andrea) 2-2]
andrea| Oh okay but let us checkin online if we found any offer we can buy two toys| [person:we g(king:andrea) 4-4][person:we g(king:andrea) 8-8][person:we g(king:andrea) 12-12]
king| Yeah I got the offer in online we can buy two toys Don t worry| [person:king m 1-1][person:we g(king:andrea) 7-7]
andrea| Okay It also covers our budget too| [person:we g(king:andrea) 4-4]

conv:people_chats_04182020_30:aug_0:chat_0:chataug_0| carrie emma| [person:carrie f 0-0][person:emma f 1-1]
carrie| Hey Emma What are you doing in your room| [person:emma f 1-1][person:emma f 4-4][person:emma f 7-7][location:room s 8-8]
emma| Hey Carrie I am doing my homework What about you| [person:carrie f 1-1][person:emma f 2-2][person:emma f 5-5][person:carrie f 9-9]
carrie| Yeah I am also doing my homework And still there is lot more to be done| [person:carrie f 1-1][person:carrie f 5-5]
emma| Okay Did you got any text from our mom Kim| [person:carrie f 2-2][person:our g(carrie:emma) 7-7][person:kim f 8-8][person:kim f 9-9]
carrie| No I didn t get any text from mom What s the matter| [person:carrie f 1-1][person:kim f 8-8]
emma| Yeah Mom told me that we have to prepare for the dinner| [person:kim f 1-1][person:emma f 3-3][person:we g(carrie:emma) 5-5]
carrie| Oh But where did mom go without informing me| [person:kim f 4-4][person:carrie f 8-8]
emma| Mom is going to have a late night at work today| [person:kim f 0-0]
carrie| What shall we prepare so that aunt Frances also likes it| [person:we g(carrie:emma) 2-2][person:frances f 6-6][person:frances f 7-7]
emma| Okay we shall cook rice and egg curry for the dinner| [person:we g(carrie:emma) 1-1]

conv:people_chats_04182020_31:aug_0:chat_0:chataug_0| joan lauren| [person:joan f 0-0][person:lauren f 1-1]
joan| Today I want to share one of my secrets| [person:joan f 1-1][person:joan f 7-7]
lauren| Even I also have something to share I m sorry but I ve been hiding it from you since long| [person:lauren f 1-1][person:lauren f 7-7][person:lauren f 11-11][person:joan f 17-17]
joan| I don t know why from the last few days I am feeling something special for Lucas| [person:joan f 0-0][person:joan f 10-10][person:lucas m 16-16]
lauren| I strongly feel that you have a crush on Lucas I ve been noticing you from a past few days You seem so lost when you are in his company| [person:lauren f 0-0][person:joan f 4-4][person:lucas m 9-9][person:lauren f 10-10][person:joan f 14-14][person:joan f 20-20][person:joan f 25-25][person:lucas m 28-28]
joan| This proves that you are my best friend Anyways you were confacing something to me What is it| [person:lauren f 3-3][person:joan f 5-5][person:lauren f 7-7][person:lauren f 9-9][person:joan f 14-14]
lauren| I have a huge crush on Walter I wonder if he is the perfect match for me| [person:lauren f 0-0][person:walter m 6-6][person:lauren f 7-7][person:walter m 10-10][person:lauren f 16-16]
joan| Wow that s great news Yeah I think you both are a perfect match for each other| [person:joan f 6-6][person:lauren f 8-8]
lauren| Thanks Even you look cute with Lucas You both will make the cutest pair| [person:joan f 2-2][person:lucas m 6-6][person:joan f 7-7]
joan| I am glad that we have fallen for the cutest guys in the school Let confess our feelings for them| [person:joan f 0-0][person:we g(joan:lauren) 4-4][location:school s 13-13][person:we g(joan:lauren) 16-16][person:them g(lucas:walter) 19-19]
lauren| Yes true It s such a coincidence that we both have crush on the cutest guys at the same time| [person:we g(joan:lauren) 8-8]

conv:people_chats_04182020_35:aug_0:chat_0:chataug_0| trevor vivian| [person:trevor m 0-0][person:vivian f 1-1]
trevor| Vivian I was thinking of planning a dinner for Bonnie are Rory| [person:vivian f 0-0][person:trevor m 1-1][person:bonnie f 9-9][person:rory m 11-11]
vivian| Are you planning for a surprise for their anniversary When is it| [person:trevor m 1-1][person:their g(bonnie:rory) 7-7]
trevor| You are right they are having their first anniversary this Friday They will be glad to see that we have planned this after a hectic week| [person:vivian f 0-0][person:they g(bonnie:rory) 3-3][person:their g(bonnie:rory) 6-6][person:they g(bonnie:rory) 11-11][person:we g(trevor:vivian) 18-18]
vivian| That is really a great idea Trevor Have you thought of anything special for them| [person:trevor m 6-6][person:trevor m 8-8][person:them g(bonnie:rory) 14-14]
trevor| Yeah I am thinking to select a fancy spot in the city maybe a disc What do you think| [person:trevor m 1-1][location:city s 11-11][person:vivian f 17-17]
vivian| After a busy schedule they might love to attend a calm and romantic place to spend quality time and have dinner We can plan for a candlelight dinner beside a pool| [person:they g(bonnie:rory) 4-4][location:place s 13-13][person:we g(trevor:vivian) 21-21]
trevor| Well previously I thought about this but I remember last month Bonnie said that he felt bored in a candlelight dinner He wants to enjoy dancing and also by having some drinks| [person:trevor m 2-2][person:trevor m 7-7][person:bonnie f 11-11][person:rory m 14-14][person:rory m 21-21]
vivian| Let me confirm what he wants Accordingly we can plan for the surprise| [person:vivian f 1-1][person:rory m 4-4][person:we g(trevor:vivian) 7-7]
trevor| Yeah sure but please don t let them know that we are planning for them| [person:them g(bonnie:rory) 7-7][person:we g(trevor:vivian) 10-10][person:them g(bonnie:rory) 14-14]
vivian| Definitely I will take care of it I won t tell them about our surprise| [person:vivian f 1-1][person:vivian f 7-7][person:them g(bonnie:rory) 11-11][person:our g(trevor:vivian) 13-13]
trevor| After getting the information we need to list some of the places| [person:we g(trevor:vivian) 4-4][location:places g() 11-11]
vivian| Yeah sure I will also sort out some of the places after that we will decide| [person:vivian f 2-2][location:places g() 10-10][person:we g(trevor:vivian) 13-13]
trevor| Anyways let s meet up and select the venue|
vivian| That is a cool idea let s meet in the evening|

conv:people_chats_04182020_36:aug_0:chat_0:chataug_0| jordan paula| [person:jordan m 0-0][person:paula f 1-1]
jordan| Hey Paula daily i m noticing trash outside of Valentina s door Have you noticed it| [person:paula f 1-1][person:jordan m 3-3][person:valentina f 9-9][person:paula f 13-13]
paula| Yeah Jordan I noticed it Always their is a trash outside of her home and it s creating a lot s of problems| [person:jordan m 1-1][person:paula f 2-2][person:valentina f 12-12][location:home s 13-13]
jordan| Actually for the first time I didn t mind it But from the next day I heard noises of rats| [person:jordan m 5-5][person:jordan m 15-15]
paula| Is it I observed trash but I don t know about this Rats And even because of this trash bad smell is coming out| [person:paula f 2-2][person:paula f 6-6]
jordan| Yeah because of this smell surrounding people are suffering a lot She doesn t know about these| [person:valentina f 11-11]
paula| These is one of the reason why I want to leave this apartment| [person:paula f 7-7][location:apartment s 12-12]
jordan| Before leaving let s do one thing we will figure out the best way to bring this up to her so that she would take trash to the dumpster daily| [person:we g(jordan:paula) 7-7][person:valentina f 19-19][person:valentina f 22-22]
paula| Yeah that s good idea by doing this she might get to know that all the other people are facing problems| [person:valentina f 8-8]
jordan| We will speak about this with her And let her know about these Rats scratching at the bags| [person:we g(jordan:paula) 0-0][person:valentina f 6-6][person:valentina f 9-9]
paula| Yeah let s go and solve the problem before leaving this apartment| [location:apartment s 11-11]

conv:people_chats_04182020_37:aug_0:chat_0:chataug_0| jennifer lucas| [person:jennifer f 0-0][person:lucas m 1-1]
lucas| Hey Jennifer Which places do you think we should visit on our upcoming trip to Europe| [person:jennifer f 1-1][location:places g() 3-3][person:jennifer f 5-5][person:we g(lucas:jennifer) 7-7][person:we g(lucas:jennifer) 11-11][location:europe s 13-13][location:europe s 15-15]
jennifer| I really don t have any idea about Europe| [person:jennifer f 0-0][location:europe s 8-8]
lucas| Nor do I Whom do you think we could ask| [person:lucas m 2-2][person:jennifer f 5-5][person:we g(lucas:jennifer) 7-7]
jennifer| I got to know that Julia and Ted returned from their Europe trip a few days ago| [person:jennifer f 0-0][person:julia f 5-5][person:ted m 7-7][person:their g(julia:ted) 10-10][location:europe s 11-11][location:europe s 12-12]
lucas| Oh yes I was planning to invite them for dinner next week| [person:lucas m 2-2][person:their g(julia:ted) 7-7]
jennifer| It s a good idea since they can help out with planning the itinerary for our trip| [person:their g(julia:ted) 6-6][person:we g(lucas:jennifer) 15-15][location:europe s 16-16]
lucas| Yes I think they would give us some good advice| [person:lucas m 1-1][person:their g(julia:ted) 3-3][person:we g(lucas:jennifer) 6-6]
jennifer| They have been to Paris and London They could suggest some nice places to visit| [person:their g(julia:ted) 0-0][location:paris s 4-4][location:london s 6-6][person:their g(julia:ted) 7-7][location:places g() 12-12]
lucas| Awesome when do you plan on inviting them| [person:jennifer f 3-3][person:their g(julia:ted) 7-7]
jennifer| I will invite them for dinner this weekend| [person:jennifer f 0-0][person:their g(julia:ted) 3-3]

conv:people_chats_04182020_38:aug_0:chat_0:chataug_0| harvey khalil| [person:harvey m 0-0][person:khalil m 1-1]
harvey| Khalil are you ready with your plans for the party| [person:khalil m 0-0][person:khalil m 2-2][person:khalil m 5-5]
khalil| I tried to prepare in my way but I am not sure about it| [person:khalil m 0-0][person:khalil m 5-5][person:khalil m 8-8]
harvey| As the party date is coming I am getting more tensed As we are new to this society we also don t know all the neighbors| [person:harvey m 6-6][person:we g(harvey:khalil) 12-12][person:we g(harvey:khalil) 18-18][person:neighbors g() 25-25]
khalil| I think we should take help from Sara and Cathy| [person:khalil m 0-0][person:we g(harvey:khalil) 2-2][person:sara f 7-7][person:cathy f 9-9]
khalil| As they are the only person with whom we have a good interaction| [person:they g(sara:cathy) 1-1][person:we g(harvey:khalil) 8-8]
harvey| Even they both have good relationships with almost all the neighbors| [person:they g(sara:cathy) 1-1][person:neighbors g() 10-10]
khalil| Even they can give us the idea of precious parties that they had| [person:they g(sara:cathy) 1-1][person:we g(harvey:khalil) 4-4][person:they g(sara:cathy) 11-11]
harvey| I will contact them and share all our plannings| [person:harvey m 0-0][person:they g(sara:cathy) 3-3][person:we g(harvey:khalil) 7-7]
harvey| They will be a great asset in assisting them| [person:they g(sara:cathy) 0-0][person:they g(sara:cathy) 8-8]
khalil| See you then in the evening at the meeting| [person:harvey m 1-1]

conv:people_chats_04182020_42:aug_0:chat_0:chataug_0| lorenzo sydney| [person:lorenzo m 0-0][person:sydney f 1-1]
lorenzo| Sydney what are your plans for this weekend| [person:sydney f 0-0][person:sydney f 3-3]
sydney| How about we go to brewery| [person:l_s g(lorenzo:sydney) 2-2][location:brewery s 5-5]
lorenzo| Sounds fun who else shall we invite| [person:l_s g(lorenzo:sydney) 5-5]
sydney| Great I am thinking about inviting Wilson| [person:sydney f 1-1][person:wilson m 6-6]
lorenzo| What No if we invite Wilson then his girlfriend Tania will also join us| [person:l_s g(lorenzo:sydney) 3-3][person:wilson m 5-5][person:wilson m 7-7][person:tania f 8-8][person:tania f 9-9][person:l_s g(lorenzo:sydney) 13-13]
sydney| It looks like you have problem with Tania| [person:lorenzo m 3-3][person:tania f 7-7]
lorenzo| Yeah she has a habit of spoiling the fun it will be better if we call only Wilson to the brewery| [person:tania f 1-1][person:l_s g(lorenzo:sydney) 14-14][person:wilson m 17-17][location:brewery s 20-20]
sydney| Alright but how do you plan on doing that| [person:lorenzo m 4-4]
lorenzo| I ll think about that and I ll inform you| [person:lorenzo m 0-0][person:lorenzo m 6-6][person:sydney f 9-9]
sydney| Alright then but be careful not to hurt his feelings| [person:wilson m 8-8]

conv:people_chats_04182020_44:aug_0:chat_0:chataug_0| colin darick| [person:colin m 0-0][person:darick m 1-1]
colin| Hey did you see marks party it was so fun| [person:darick m 2-2]
darick| Nah I couldn t make it I was so sick Damn it I really wanted to go| [person:darick m 1-1][person:darick m 6-6][person:darick m 12-12]
colin| I went with Rebecca and there was a live cover band performing rock music| [person:colin m 0-0][person:rebecca f 3-3][location:there u 5-5]
darick| I feel so bad I should ve been there but I got sick| [person:darick m 0-0][person:darick m 4-4][location:there u 8-8][person:darick m 10-10]
colin| Hey don t feel too bad once you get better we can hang out| [person:darick m 7-7][person:we g(colin:darick) 10-10]
darick| Really you want to Where do you want to go| [person:colin m 1-1][person:colin m 6-6]
colin| Let s go anywhere you like after all we are trying to cheer you up| [person:darick m 4-4][person:we g(colin:rebecca) 8-8][person:darick m 13-13]
darick| Ok thanks let s go to that ice cream place I really like| [location:place s 9-9][person:darick m 10-10]
colin| Yea sure let s go there I really like the chocolate chip ice cream they offer It s so delicious| [location:place s 5-5][person:colin m 6-6]
darick| Oh really I hate that one I really like the cookie dough ice cream they offer It s way better| [person:darick m 2-2][person:darick m 6-6]
colin| Anyways so don t feel too bad for missing the party because you and I will have a great time| [person:darick m 12-12][person:colin m 14-14]
darick| Yeah I don t even feel too bad for missing the party going to the ice cream shop will be really fun| [person:darick m 1-1]
colin| You said it it ll be my treat You can buy anything you like| [person:darick m 0-0][person:colin m 6-6][person:darick m 8-8][person:darick m 12-12]
darick| Gee thanks I can t believe you would do this for me| [person:darick m 2-2][person:colin m 6-6][person:darick m 11-11]
darick| That s what friends are for cheering up their friend s| [person:we g(colin:darick) 3-3][person:we g(colin:darick) 8-8][person:we g(colin:darick) 9-9]
colin| Yup that s exactly what friends are for you just get better soon| [person:we g(colin:darick) 5-5][person:darick m 8-8]

conv:people_chats_04182020_46:aug_0:chat_0:chataug_0| louis melanie| [person:louis m 0-0][person:melanie f 1-1]
louis| Hey Melanie What time should I pick up Logan and Carly| [person:melanie f 1-1][person:louis m 5-5][person:logan m 8-8][person:carly f 10-10]
melanie| Hi Louis we will all be done with church at noon| [person:louis m 1-1][person:we g(melanie:logan:carly) 2-2][location:church s 8-8]
louis| Sounds good then I will pick them up at noon from church| [person:louis m 3-3][person:them g(logan:carly) 6-6][location:church s 11-11]
melanie| I don t think that would be possible We were planning for something else| [person:melanie f 0-0][person:we g(melanie) 8-8]
louis| What were you ll planning on doing| [person:we g(melanie) 2-2]
melanie| We are going to have lunch with my parents| [person:we g(melanie) 0-0][person:melanie f 7-7][person:parents g() 8-8]
louis| Oh that s nice The kids would love to spend some time with them| [person:kids g(logan:carly) 5-5][person:parents g() 13-13]
melanie| Yeah it s been a long time since they met their grandparents| [person:kids g(logan:carly) 8-8][person:kids g(logan:carly) 10-10]
louis| That s cool So will I have to pick them up after their lunch| [person:louis m 5-5][person:kids g(logan:carly) 9-9][person:kids g(logan:carly) 12-12]
melanie| That s okay I ll pick them up at two instead| [person:melanie f 3-3][person:kids g(logan:carly) 6-6]

conv:people_chats_04182020_47:aug_0:chat_0:chataug_0| jaime mason| [person:jaime m 0-0][person:mason m 1-1]
mason| Hey Jaime Can I ask you something about your personal| [person:jaime m 1-1][person:mason m 3-3][person:jaime m 5-5][person:jaime m 8-8]
jaime| Please don t tell me that it is about Gloria I don t want to talk about it| [person:jaime m 4-4][person:gloria f 9-9][person:jaime m 10-10]
mason| You should I know that you love her very much So please try to listen to me| [person:jaime m 0-0][person:mason m 2-2][person:jaime m 5-5][person:gloria f 7-7][person:mason m 16-16]
jaime| Alright Tell me What is this all about| [person:jaime m 2-2]
mason| Gloria is in love with someone else and I am very sure about it I don t want you to get fooled around her| [person:gloria f 0-0][person:someone u 5-5][person:mason m 8-8][person:mason m 14-14][person:jaime m 18-18][person:gloria f 23-23]
jaime| Why are you so much worried about me| [person:mason m 2-2][person:jaime m 7-7]
mason| I don t want you to spoil yourself Gloria doesn t deserve you| [person:mason m 0-0][person:jaime m 4-4][person:jaime m 7-7][person:gloria f 8-8][person:jaime m 12-12]
jaime| I love her so much I can t be without her| [person:jaime m 0-0][person:gloria f 2-2][person:jaime m 5-5][person:gloria f 10-10]
mason| I can understand that Better you should look for someone else| [person:mason m 0-0][person:jaime m 5-5][person:someone u 9-9]
jaime| Ya Mason I will surely follow your advice| [person:mason m 1-1][person:jaime m 2-2][person:mason m 6-6]

conv:people_chats_04182020_48:aug_0:chat_0:chataug_0| val walt| [person:val f 0-0][person:walt m 1-1]
walt| Val I think it s time for your annual health checkup| [person:val f 0-0][person:walt m 1-1][person:val f 7-7]
val| Yeah Dad we shall go for the health check up tomorrow| [person:walt m 1-1][person:we g(walt:val) 2-2]
walt| I shall get an appointment of Doctor Clyde for tomorrow| [person:walt m 0-0][person:clyde m 6-6][person:clyde m 7-7]
val| We shall not go to that doctor because he is very rude to me| [person:we g(walt:val) 0-0][person:clyde m 6-6][person:clyde m 8-8][person:val f 13-13]
walt| But he is a very successful doctor in the city| [person:clyde m 1-1][person:clyde m 6-6][location:city s 9-9]
val| Whatever it is I don t want to go to him for the check up| [person:val f 3-3][person:clyde m 10-10]
walt| His way of treatment is like that And he treats so many patients on a daily basis| [person:clyde m 0-0][person:clyde m 8-8]
val| Last time he gave me an injection which was very painful| [person:clyde m 2-2][person:val f 4-4]
walt| He is the only doctor who has great experience in his field and he knows how to treat any kind of patient| [person:clyde m 0-0][person:clyde m 4-4][person:clyde m 10-10][person:clyde m 13-13]
val| Ok dad I will come to the doctor this time| [person:walt m 1-1][person:val f 2-2][person:clyde m 7-7]

conv:people_chats_04182020_49:aug_0:chat_0:chataug_0| gerald maddie| [person:gerald m 0-0][person:maddie f 1-1]
